AirTemp,ONE_DAY_PRECIPITATION,Snow_WE,time,MIN_TEMP,MAX_TEMP,week_of_year
-5.7, None, 415.4,2023-02-19 00:00:00, None, None,8
-5.6, None, 415.7,2023-02-19 00:15:00, None, None,8
-5.6, None, 415.6,2023-02-19 00:30:00, None, None,8
-5.5, None, 415.4,2023-02-19 00:45:00, None, None,8
-5.5, None, 393.2,2023-02-19 01:00:00, None, None,8
-5.3, None, 393.3,2023-02-19 01:15:00, None, None,8
-5.3, None, 415.3,2023-02-19 01:30:00, None, None,8
-5.2, None, 393.2,2023-02-19 01:45:00, None, None,8
-5.2, None, 392.9,2023-02-19 02:00:00, None, None,8
-5.3, None, 393.2,2023-02-19 02:15:00, None, None,8
-5.4, None, 393.0,2023-02-19 02:30:00, None, None,8
-5.5, None, 393.1,2023-02-19 02:45:00, None, None,8
-5.4, None, 415.6,2023-02-19 03:00:00, None, None,8
-5.6, None, 415.7,2023-02-19 03:15:00, None, None,8
-5.8, None, 415.7,2023-02-19 03:30:00, None, None,8
-6.0, None, 393.9,2023-02-19 03:45:00, None, None,8
-6.1, None, 393.9,2023-02-19 04:00:00, None, None,8
-6.1, None, 394.0,2023-02-19 04:15:00, None, None,8
-6.1, None, 394.3,2023-02-19 04:30:00, None, None,8
-6.2, None, 394.2,2023-02-19 04:45:00, None, None,8
-6.2, None, 416.9,2023-02-19 05:00:00, None, None,8
-6.2, None, 394.6,2023-02-19 05:15:00, None, None,8
-6.2, None, 394.7,2023-02-19 05:30:00, None, None,8
-6.2, None, 395.3,2023-02-19 05:45:00, None, None,8
-6.1, None, 395.4,2023-02-19 06:00:00, None, None,8
-6.0, None, 418.4,2023-02-19 06:15:00, None, None,8
-5.9, None, 418.5,2023-02-19 06:30:00, None, None,8
-5.9, None, 418.8,2023-02-19 06:45:00, None, None,8
-5.9, None, 419.2,2023-02-19 07:00:00, None, None,8
-5.8, None, 396.8,2023-02-19 07:15:00, None, None,8
-5.8, None, 397.2,2023-02-19 07:30:00, None, None,8
-5.7, None, 397.1,2023-02-19 07:45:00, None, None,8
-5.6, None, 420.2,2023-02-19 08:00:00, None, None,8
-5.5, None, 420.3,2023-02-19 08:15:00, None, None,8
-5.3, None, 397.7,2023-02-19 08:30:00, None, None,8
-5.0, None, 397.9,2023-02-19 08:45:00, None, None,8
-4.8, None, 397.9,2023-02-19 09:00:00, None, None,8
-4.7, None, 398.2,2023-02-19 09:15:00, None, None,8
-4.6, None, 398.6,2023-02-19 09:30:00, None, None,8
-4.3, None, 398.7,2023-02-19 09:45:00, None, None,8
-4.0, None, 421.7,2023-02-19 10:00:00, None, None,8
-3.9, None, 399.4,2023-02-19 10:15:00, None, None,8
-3.8, None, 399.5,2023-02-19 10:30:00, None, None,8
-3.6, None, 399.9,2023-02-19 10:45:00, None, None,8
-3.5, None, 423.0,2023-02-19 11:00:00, None, None,8
-3.3, None, 400.6,2023-02-19 11:15:00, None, None,8
-3.3, None, 401.0,2023-02-19 11:30:00, None, None,8
-3.1, None, 401.1,2023-02-19 11:45:00, None, None,8
-3.0, None, 401.5,2023-02-19 12:00:00, None, None,8
