pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
2.0, None,1093.0, None,-8.5,-8.5,310.0, None, None, None, 702.0, None,2023-02-26 00:00:00, None,9
2.0, None,1094.0, None,-8.4,-8.4,312.0, None, None, 1.0, 705.0, None,2023-02-26 01:00:00, None,9
2.0, None,1094.0, None,-8.3,-8.3,315.0, None, None, 0.0, 707.0, None,2023-02-26 02:00:00, None,9
2.0, None,1094.0, None,-8.1,-8.1,316.0, None, None, 0.0, 709.0, None,2023-02-26 03:00:00, None,9
1.0, None,1094.0, None,-8.0,-8.0,316.0, None, None, 0.0, 711.0, None,2023-02-26 04:00:00, None,9
1.0, None,1094.0, None,-8.0,-8.0,316.0, None, None, 0.0, 712.0, None,2023-02-26 05:00:00, None,9
0.0, None,1094.0, None,-8.1,-8.0,316.0, None, None, 0.0, 713.0, None,2023-02-26 06:00:00, None,9
1.0, None,1094.0, None,-8.0,-8.0,316.0, None, None, 0.0, 713.0, None,2023-02-26 07:00:00, None,9
1.0, None,1094.0, None,-7.7,-7.6,317.0, None, None, 0.0, 714.0, None,2023-02-26 08:00:00, None,9
0.0, None,1093.0, None,-6.9,-6.9,54.0, None, None, None, 715.0, None,2023-02-26 09:00:00, None,9
0.0, None,1093.0, None,-6.1,-6.1,316.0, None, None, 0.0, 716.0, None,2023-02-26 10:00:00, None,9
None, None,1091.0, None,-5.5,-5.7,316.0, None, None, None, 717.0, None,2023-02-26 11:00:00, None,9
None, None,1091.0, None,-5.9,-5.5,315.0, None, None, 0.0, 718.0, None,2023-02-26 12:00:00, None,9
None, None,1090.0, None,-7.0,-6.8,315.0, None, None, None, 718.0, None,2023-02-26 13:00:00, None,9
None, None,1089.0, None,-6.1,-5.9,53.0, None, None, None, 718.0, None,2023-02-26 14:00:00, None,9
None, None,1091.0, None,-6.4,-6.1,315.0, None, None, 2.0, 719.0, None,2023-02-26 15:00:00, None,9
None, None,1092.0, None,-7.2,-6.9,314.0, None, None, 1.0, 719.0, None,2023-02-26 16:00:00, None,9
0.0, None,1093.0, None,-7.5,-7.2,314.0, None, None, 1.0, 719.0, None,2023-02-26 17:00:00, None,9
0.0, None,1093.0, None,-8.1,-8.2,313.0, None, None, 0.0, 720.0, None,2023-02-26 18:00:00, None,9
