station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, None, 1.536, None, 84.4, 2012-01-01 00:00:00, -9.71
None, None, 2.443, None, 81.1, 2012-01-01 01:00:00, -8.82
None, None, 1.816, None, 80.9, 2012-01-01 02:00:00, -8.34
None, None, 2.398, None, 78.2, 2012-01-01 03:00:00, -7.83
None, None, 2.945, None, 74.5, 2012-01-01 04:00:00, -7.12
None, None, 2.748, None, 75.3, 2012-01-01 05:00:00, -6.921
None, None, 4.05, None, 74.3, 2012-01-01 06:00:00, -6.781
None, None, 4.179, None, 74.2, 2012-01-01 07:00:00, -6.895
None, None, 4.533, None, 73.6, 2012-01-01 08:00:00, -6.787
None, None, 4.459, None, 74.2, 2012-01-01 09:00:00, -7.21
None, None, 4.029, None, 73.2, 2012-01-01 10:00:00, -6.906
None, None, 4.948, None, 72.6, 2012-01-01 11:00:00, -6.756
None, None, 4.283, None, 71.9, 2012-01-01 12:00:00, -6.423
None, None, 3.779, None, 80.6, 2012-01-01 13:00:00, -6.445
None, None, 3.369, None, 87.1, 2012-01-01 14:00:00, -6.491
None, None, 2.642, None, 85.5, 2012-01-01 15:00:00, -5.93
None, None, 2.85, None, 80.4, 2012-01-01 16:00:00, -5.323
None, None, 2.786, None, 78.3, 2012-01-01 17:00:00, -4.928
None, None, 2.475, None, 80.2, 2012-01-01 18:00:00, -4.827
None, None, 2.6, None, 79.0, 2012-01-01 19:00:00, -4.651
None, None, 0.764999, None, 85.0, 2012-01-01 20:00:00, -5.173
None, None, 1.247, None, 83.4, 2012-01-01 21:00:00, -4.591
None, None, 1.143, None, 88.0, 2012-01-01 22:00:00, -5.319
None, None, 0.432999, None, 89.3, 2012-01-01 23:00:00, -5.316
None, None, 0.598999, None, 91.9, 2012-01-02 00:00:00, -5.423
None, None, 0.354, None, 92.5, 2012-01-02 01:00:00, -5.501
None, None, 0.648, None, 92.9, 2012-01-02 02:00:00, -5.544
None, None, 0.782, None, 92.9, 2012-01-02 03:00:00, -5.259
None, None, 0.425, None, 93.3, 2012-01-02 04:00:00, -4.856
None, None, 0.685, None, 94.4, 2012-01-02 05:00:00, -4.663
None, None, 0.79, None, 95.5, 2012-01-02 06:00:00, -4.216
None, None, 0.400999, None, 95.9, 2012-01-02 07:00:00, -4.072
None, None, 0.4, None, 96.0, 2012-01-02 08:00:00, -3.776
None, None, 0.777999, None, 96.1, 2012-01-02 09:00:00, -3.514
None, None, 1.025, None, 95.1, 2012-01-02 10:00:00, -3.246
None, None, 1.473, None, 95.1, 2012-01-02 11:00:00, -3.105
None, None, 1.14, None, 91.9, 2012-01-02 12:00:00, -1.934
None, None, 0.708, None, 91.8, 2012-01-02 13:00:00, -1.77
None, None, 1.059, None, 91.8, 2012-01-02 14:00:00, -1.434
None, None, 0.857999, None, 91.3, 2012-01-02 15:00:00, -1.038
None, None, 0.866999, None, 93.7, 2012-01-02 16:00:00, -1.71
None, None, 1.309, None, 96.7, 2012-01-02 17:00:00, -2.859
None, None, 0.769999, None, 97.9, 2012-01-02 18:00:00, -3.848
None, None, 0.73, None, 97.2, 2012-01-02 19:00:00, -4.672
None, None, 1.333, None, 96.8, 2012-01-02 20:00:00, -4.262
None, None, 1.235, None, 96.5, 2012-01-02 21:00:00, -3.365
None, None, 1.221, None, 96.6, 2012-01-02 22:00:00, -3.13
None, None, 0.822, None, 96.5, 2012-01-02 23:00:00, -2.935
