station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, None, -14.6, None, 2013-01-01 00:00:00, 41.0, -8.2
2.6, 0.0, -12.6, None, 2013-01-02 00:00:00, 40.0, -3.2
0.0, None, -8.8, None, 2013-01-03 00:00:00, 44.0, -2.6
0.0, None, -12.8, None, 2013-01-04 00:00:00, 44.0, -5.6
0.0, None, -15.5, None, 2013-01-05 00:00:00, 43.0, -9.4
0.0, None, -21.2, None, 2013-01-06 00:00:00, 43.0, -11.5
0.0, None, -19.6, None, 2013-01-07 00:00:00, 43.0, -7.4
0.0, None, -18.2, None, 2013-01-08 00:00:00, 43.0, -7.0
0.0, None, -23.5, None, 2013-01-09 00:00:00, 43.0, -11.7
0.3, 0.0, -26.0, None, 2013-01-10 00:00:00, 43.0, -17.4
0.0, None, -22.2, None, 2013-01-11 00:00:00, 43.0, -15.5
0.0, None, -17.6, None, 2013-01-12 00:00:00, 43.0, -11.3
None, None, None, None, 2013-01-13 00:00:00, 44.0, -3.6
0.0, None, -4.1, None, 2013-01-14 00:00:00, 43.0, 1.5
