station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
3.6, 3.6, -0.6, 0.0, 2014-01-01 00:00:00, 0.0, 7.3
12.5, 12.5, 4.0, 0.0, 2014-01-02 00:00:00, 0.0, 6.5
0.0, 0.0, -1.2, 0.0, 2014-01-03 00:00:00, 0.0, 6.5
0.0, 0.0, -1.5, 0.0, 2014-01-04 00:00:00, 0.0, 4.3
0.0, 0.0, -2.6, 0.0, 2014-01-05 00:00:00, 0.0, 4.2
6.0, 6.0, -1.0, 0.0, 2014-01-06 00:00:00, 0.0, 3.5
4.8, 4.8, -0.5, 0.0, 2014-01-07 00:00:00, 0.0, 5.5
8.0, 8.0, 2.5, 0.0, 2014-01-08 00:00:00, 0.0, 6.5
18.0, 18.0, 2.0, 0.0, 2014-01-09 00:00:00, 0.0, 8.0
61.0, 61.0, 3.8, 0.0, 2014-01-10 00:00:00, 0.0, 8.5
13.5, 13.5, 4.0, 0.0, 2014-01-11 00:00:00, 0.0, 6.5
0.8, 0.8, 3.3, 0.0, 2014-01-12 00:00:00, 0.0, 9.7
0.0, 0.0, 4.6, 0.0, 2014-01-13 00:00:00, 0.0, 11.4
0.0, 0.0, 5.0, 0.0, 2014-01-14 00:00:00, 0.0, 11.8
0.2, 0.2, 3.0, 0.0, 2014-01-15 00:00:00, 0.0, 8.6
0.2, 0.2, 3.5, 0.0, 2014-01-16 00:00:00, 0.0, 5.1
0.0, 0.0, 1.5, 0.0, 2014-01-17 00:00:00, 0.0, 5.1
0.0, 0.0, -1.0, 0.0, 2014-01-18 00:00:00, 0.0, 8.5
0.0, 0.0, 2.5, 0.0, 2014-01-19 00:00:00, 0.0, 5.5
0.0, 0.0, 2.5, 0.0, 2014-01-20 00:00:00, 0.0, 6.8
0.0, 0.0, 1.0, 0.0, 2014-01-21 00:00:00, 0.0, 6.1
0.0, 0.0, 2.1, 0.0, 2014-01-22 00:00:00, 0.0, 7.3
0.0, 0.0, 1.6, 0.0, 2014-01-23 00:00:00, 0.0, 7.3
0.0, 0.0, 1.3, 0.0, 2014-01-24 00:00:00, 0.0, 11.2
0.0, 0.0, 0.5, 0.0, 2014-01-25 00:00:00, 0.0, 10.1
0.0, 0.0, 0.4, 0.0, 2014-01-26 00:00:00, 0.0, 9.1
2.6, 2.6, 0.8, 0.0, 2014-01-27 00:00:00, 0.0, 5.6
14.8, 14.8, 2.0, 0.0, 2014-01-28 00:00:00, 0.0, 5.9
9.6, 9.6, 4.0, 0.0, 2014-01-29 00:00:00, 0.0, 6.4
0.0, None, 2.1, 0.0, 2014-01-30 00:00:00, 0.0, None
0.0, None, None, 0.0, 2014-01-31 00:00:00, 0.0, None
