station_observations
AirTemp, ONE_DAY_PRECIPITATION, time, MIN_TEMP, MAX_TEMP
None, 0.0, 2015-01-01 00:00:00, -17.1, -9.4
None, 5.9, 2015-01-02 00:00:00, -12.6, -7.7
None, 2.8, 2015-01-03 00:00:00, -12.9, -8.0
None, 18.5, 2015-01-04 00:00:00, -13.5, -10.1
None, 16.8, 2015-01-05 00:00:00, -14.0, -8.8
None, 29.9, 2015-01-06 00:00:00, -9.5, -5.8
None, 0.0, 2015-01-07 00:00:00, -5.8, -2.7
None, 0.0, 2015-01-08 00:00:00, -4.3, -1.6
None, 0.0, 2015-01-09 00:00:00, -5.5, -3.1
None, 0.8, 2015-01-10 00:00:00, -8.2, -3.7
None, 0.0, 2015-01-11 00:00:00, -12.5, -4.3
None, 0.0, 2015-01-12 00:00:00, -12.2, -2.6
None, 0.0, 2015-01-13 00:00:00, -13.3, -4.9
None, 0.0, 2015-01-14 00:00:00, -9.7, -2.8
None, 0.0, 2015-01-15 00:00:00, -6.3, -2.5
None, 5.8, 2015-01-16 00:00:00, -9.8, -2.2
None, 0.0, 2015-01-17 00:00:00, -10.9, -3.4
None, 18.3, 2015-01-18 00:00:00, -6.0, -1.4
None, 0.0, 2015-01-19 00:00:00, -5.7, 0.3
None, 0.0, 2015-01-20 00:00:00, -8.4, -0.9
None, 0.0, 2015-01-21 00:00:00, -11.6, -2.6
None, 0.4, 2015-01-22 00:00:00, -5.5, -1.8
None, 23.9, 2015-01-23 00:00:00, -3.7, -1.4
None, 4.7, 2015-01-24 00:00:00, -3.9, 0.1
None, 1.0, 2015-01-25 00:00:00, -1.2, 1.7
None, 0.0, 2015-01-26 00:00:00, 0.4, 1.9
None, 0.0, 2015-01-27 00:00:00, 0.3, 2.5
None, 0.0, 2015-01-28 00:00:00, -1.0, 3.3
None, 0.0, 2015-01-29 00:00:00, -5.9, 0.7
None, 3.0, 2015-01-30 00:00:00, -6.9, -0.8
None, 0.9, 2015-01-31 00:00:00, -5.5, 1.2
None, 4.6, 2015-02-01 00:00:00, -6.4, -3.2
None, 5.9, 2015-02-02 00:00:00, -6.3, -2.3
None, 0.4, 2015-02-03 00:00:00, -5.4, -0.2
None, 0.9, 2015-02-04 00:00:00, -5.6, 0.0
None, 17.7, 2015-02-05 00:00:00, -3.5, -1.2
None, 34.2, 2015-02-06 00:00:00, -1.4, 1.1
None, 11.7, 2015-02-07 00:00:00, 0.4, 2.7
None, 3.4, 2015-02-08 00:00:00, 0.1, 3.9
None, 9.5, 2015-02-09 00:00:00, 0.3, 2.5
None, 0.0, 2015-02-10 00:00:00, 0.5, 3.4
None, 0.0, 2015-02-11 00:00:00, 0.7, 3.2
None, 0.3, 2015-02-12 00:00:00, 0.7, 4.0
None, 2.8, 2015-02-13 00:00:00, 0.7, 3.2
None, 4.6, 2015-02-14 00:00:00, -1.8, 4.8
None, 0.0, 2015-02-15 00:00:00, -3.9, 3.0
None, 0.0, 2015-02-16 00:00:00, -7.0, 3.7
None, 0.0, 2015-02-17 00:00:00, -9.1, 2.7
None, 0.0, 2015-02-18 00:00:00, -8.4, 2.7
None, 0.0, 2015-02-19 00:00:00, -2.6, 4.5
None, 0.0, 2015-02-20 00:00:00, -1.6, 6.1
None, 0.0, 2015-02-21 00:00:00, -7.0, 5.1
None, 0.0, 2015-02-22 00:00:00, -9.6, 2.0
None, 0.0, 2015-02-23 00:00:00, -7.9, 4.0
None, 0.0, 2015-02-24 00:00:00, -6.4, 3.4
None, 0.0, 2015-02-25 00:00:00, -7.5, 6.5
None, 0.0, 2015-02-26 00:00:00, -9.7, 3.3
None, 0.0, 2015-02-27 00:00:00, -9.1, 3.5
None, 0.0, 2015-02-28 00:00:00, -13.1, 2.2
None, 0.0, 2015-03-01 00:00:00, -10.3, 2.2
None, 0.0, 2015-03-02 00:00:00, -10.7, 2.8
None, 1.3, 2015-03-03 00:00:00, -16.6, -1.1
None, 0.0, 2015-03-04 00:00:00, -16.7, -0.2
None, 0.0, 2015-03-05 00:00:00, -11.9, 1.1
None, 0.0, 2015-03-06 00:00:00, -4.5, 4.5
None, 0.0, 2015-03-07 00:00:00, -1.7, 8.7
None, 0.0, 2015-03-08 00:00:00, -0.6, 10.3
None, 0.0, 2015-03-09 00:00:00, 0.1, 6.9
None, 0.0, 2015-03-10 00:00:00, -1.0, 9.7
None, 0.0, 2015-03-11 00:00:00, -0.6, 6.7
None, 4.6, 2015-03-12 00:00:00, -0.2, 10.6
None, 0.0, 2015-03-13 00:00:00, -1.9, 11.8
None, 24.7, 2015-03-14 00:00:00, -0.1, 2.8
None, 0.0, 2015-03-15 00:00:00, -0.4, 3.9
None, 0.0, 2015-03-16 00:00:00, -2.8, 8.1
None, 0.0, 2015-03-17 00:00:00, -5.0, 9.3
None, 0.0, 2015-03-18 00:00:00, -3.3, 7.4
None, 10.6, 2015-03-19 00:00:00, -0.8, 3.4
None, 7.3, 2015-03-20 00:00:00, 0.4, 4.0
None, 7.2, 2015-03-21 00:00:00, 1.0, 5.3
None, 0.0, 2015-03-22 00:00:00, -0.1, 7.8
None, 0.0, 2015-03-23 00:00:00, -1.5, 11.5
None, 0.0, 2015-03-24 00:00:00, -3.0, 10.1
None, 1.9, 2015-03-25 00:00:00, -2.5, 5.8
None, 4.4, 2015-03-26 00:00:00, 1.2, 6.3
None, 1.3, 2015-03-27 00:00:00, 1.2, 11.3
None, 2.5, 2015-03-28 00:00:00, 1.6, 10.8
None, 8.1, 2015-03-29 00:00:00, 1.3, 5.1
None, 4.4, 2015-03-30 00:00:00, 1.7, 6.4
None, 3.8, 2015-03-31 00:00:00, -0.1, 9.9
None, 0.0, 2015-04-01 00:00:00, -1.7, 9.0
None, 0.0, 2015-04-02 00:00:00, -3.9, 9.2
None, 0.0, 2015-04-03 00:00:00, -2.8, 9.4
None, 0.0, 2015-04-04 00:00:00, -1.3, 5.6
None, 0.0, 2015-04-05 00:00:00, -2.3, 10.3
None, 0.0, 2015-04-06 00:00:00, -2.9, 11.1
None, 0.0, 2015-04-07 00:00:00, -4.4, 11.5
None, 0.0, 2015-04-08 00:00:00, -4.5, 13.3
None, 0.0, 2015-04-09 00:00:00, -4.0, 15.1
None, 0.0, 2015-04-10 00:00:00, -2.1, 11.9
None, 8.2, 2015-04-11 00:00:00, -0.5, 7.0
None, 1.2, 2015-04-12 00:00:00, -0.7, 6.7
None, 0.0, 2015-04-13 00:00:00, -0.8, 7.7
None, 1.8, 2015-04-14 00:00:00, -2.0, 7.9
None, 0.0, 2015-04-15 00:00:00, -4.0, 12.2
None, 0.0, 2015-04-16 00:00:00, -0.2, 16.6
None, 5.1, 2015-04-17 00:00:00, -1.5, 16.3
None, 0.7, 2015-04-18 00:00:00, 0.1, 14.7
None, 0.0, 2015-04-19 00:00:00, -2.1, 17.1
None, 0.0, 2015-04-20 00:00:00, -2.1, 19.4
None, 0.0, 2015-04-21 00:00:00, -0.7, 21.3
None, 0.0, 2015-04-22 00:00:00, 1.0, 12.9
None, 0.0, 2015-04-23 00:00:00, 1.3, 12.4
None, 0.0, 2015-04-24 00:00:00, -1.4, 12.2
None, 0.0, 2015-04-25 00:00:00, -3.3, 15.8
None, 0.0, 2015-04-26 00:00:00, -2.0, 15.2
None, 0.0, 2015-04-27 00:00:00, 1.2, 17.8
None, 0.0, 2015-04-28 00:00:00, 1.8, 24.4
None, 4.6, 2015-04-29 00:00:00, 4.6, 14.4
None, 0.1, 2015-04-30 00:00:00, 1.7, 12.8
None, 8.2, 2015-05-01 00:00:00, 3.7, 15.6
None, 0.0, 2015-05-02 00:00:00, -0.5, 12.6
None, 0.0, 2015-05-03 00:00:00, -2.7, 16.5
None, 0.0, 2015-05-04 00:00:00, -1.7, 19.8
None, 0.0, 2015-05-05 00:00:00, 1.7, 12.2
None, 0.0, 2015-05-06 00:00:00, 1.6, 10.1
None, 0.0, 2015-05-07 00:00:00, -0.3, 16.9
None, 0.0, 2015-05-08 00:00:00, -1.3, 17.3
None, 0.0, 2015-05-09 00:00:00, -1.7, 21.3
None, 0.0, 2015-05-10 00:00:00, -0.3, 24.3
None, 0.0, 2015-05-11 00:00:00, 1.0, 22.5
None, 0.0, 2015-05-12 00:00:00, -0.2, 23.7
None, 0.0, 2015-05-13 00:00:00, -0.1, 21.4
None, 0.0, 2015-05-14 00:00:00, 2.2, 17.1
None, 0.0, 2015-05-15 00:00:00, 4.5, 21.7
None, 0.0, 2015-05-16 00:00:00, 1.4, 21.3
None, 0.0, 2015-05-17 00:00:00, 8.4, 21.7
None, 0.0, 2015-05-18 00:00:00, 5.0, 25.3
None, 0.0, 2015-05-19 00:00:00, 1.1, 26.0
None, 0.0, 2015-05-20 00:00:00, 2.0, 26.6
None, 0.0, 2015-05-21 00:00:00, 3.6, 28.9
None, 0.0, 2015-05-22 00:00:00, 4.0, 29.5
None, 0.0, 2015-05-23 00:00:00, 4.4, 30.3
