station_observations
time, tasmin, tasmax, pcp
2015-01-01 00:00:00, -5.4, 4.9, 0.0
2015-01-02 00:00:00, -8.7, 3.2, 8.0
2015-01-03 00:00:00, -12.6, -10.4, 2.8
2015-01-04 00:00:00, -12.8, -12.4, 11.1
2015-01-05 00:00:00, -10.6, -10.6, 1.4
2015-01-06 00:00:00, -9.4, -8.1, 0.0
2015-01-07 00:00:00, -7.5, -4.7, 10.5
2015-01-08 00:00:00, -6.9, -5.1, 0.0
2015-01-09 00:00:00, -7.7, -7.7, 0.0
2015-01-10 00:00:00, -5.5, -5.5, 1.5
2015-01-11 00:00:00, -7.4, -3.2, 0.0
2015-01-12 00:00:00, 0.0, 1.4, 0.6
2015-01-13 00:00:00, 0.0, 2.1, 8.7
2015-01-14 00:00:00, -3.1, 5.9, 0.9
2015-01-15 00:00:00, -2.9, 0.8, 11.3
2015-01-16 00:00:00, -4.0, 2.5, 1.5
2015-01-17 00:00:00, -1.6, 3.1, 4.7
2015-01-18 00:00:00, -3.4, 1.8, 5.7
2015-01-19 00:00:00, -3.3, 2.0, 3.9
2015-01-20 00:00:00, -3.8, 2.1, 1.7
2015-01-21 00:00:00, -0.7, 5.1, 21.4
2015-01-22 00:00:00, 0.6, 5.4, 8.8
2015-01-23 00:00:00, 0.1, 4.5, 24.9
2015-01-24 00:00:00, -1.7, 6.3, 45.0
2015-01-25 00:00:00, 0.5, 5.3, 20.4
2015-01-26 00:00:00, 0.5, 1.1, 39.0
2015-01-27 00:00:00, -1.8, 2.9, 3.0
2015-01-28 00:00:00, -5.2, 0.2, 0.0
2015-01-29 00:00:00, -2.4, 1.0, 8.4
2015-01-30 00:00:00, -2.0, 0.4, 9.0
2015-01-31 00:00:00, -5.6, -2.2, 19.8
2015-02-01 00:00:00, -6.1, -5.8, 13.8
2015-02-02 00:00:00, -7.5, -6.5, 13.6
2015-02-03 00:00:00, -7.8, -7.6, 3.0
2015-02-04 00:00:00, -6.8, 3.4, 6.3
2015-02-05 00:00:00, -6.3, -2.9, 65.0
2015-02-06 00:00:00, -9.6, -7.9, 80.8
2015-02-07 00:00:00, -7.6, 2.8, 17.3
2015-02-08 00:00:00, -3.6, 0.2, 10.4
2015-02-09 00:00:00, -3.5, 0.6, 3.3
2015-02-10 00:00:00, -4.8, -1.6, 0.0
2015-02-11 00:00:00, -3.6, 2.8, 19.8
2015-02-12 00:00:00, 0.8, 5.9, 13.5
2015-02-13 00:00:00, -0.8, 6.5, 24.0
2015-02-14 00:00:00, -2.0, 4.5, 1.0
2015-02-15 00:00:00, -1.8, 5.4, 0.0
2015-02-16 00:00:00, -2.4, 3.4, 0.0
2015-02-17 00:00:00, -2.9, 13.6, 0.0
2015-02-18 00:00:00, 1.3, 6.2, 0.5
2015-02-19 00:00:00, -0.9, 4.6, 0.4
2015-02-20 00:00:00, -5.5, 2.3, 0.0
2015-02-21 00:00:00, -4.2, 4.7, 0.0
2015-02-22 00:00:00, -4.8, 11.8, 0.0
2015-02-23 00:00:00, -0.2, 10.9, 0.0
2015-02-24 00:00:00, -2.4, 6.7, 0.0
2015-02-25 00:00:00, -5.0, 2.0, 1.3
2015-02-26 00:00:00, -1.6, 2.4, 6.0
2015-02-27 00:00:00, -5.5, -1.1, 0.5
2015-02-28 00:00:00, -11.7, 3.9, 0.1
2015-03-01 00:00:00, -4.6, 3.1, 0.0
2015-03-02 00:00:00, -11.5, 2.9, 0.1
2015-03-03 00:00:00, -11.2, 6.1, 0.0
2015-03-04 00:00:00, -3.5, 5.3, 0.7
2015-03-05 00:00:00, -0.3, 4.0, 18.9
2015-03-06 00:00:00, -0.2, 8.7, 3.7
2015-03-07 00:00:00, 0.8, 8.4, 0.0
2015-03-08 00:00:00, 0.8, 5.3, 24.9
2015-03-09 00:00:00, 0.4, 6.1, 15.7
2015-03-10 00:00:00, -2.3, 10.4, 0.1
2015-03-11 00:00:00, 0.5, 4.9, 18.0
2015-03-12 00:00:00, 0.3, 4.8, 29.5
2015-03-13 00:00:00, 2.5, 9.8, 0.5
2015-03-14 00:00:00, -3.6, 6.9, 6.0
2015-03-15 00:00:00, -7.7, 6.2, 0.1
2015-03-16 00:00:00, -9.5, 7.7, 0.1
2015-03-17 00:00:00, -7.9, 9.7, 0.1
2015-03-18 00:00:00, -2.1, 4.3, 7.7
2015-03-19 00:00:00, -0.2, 4.9, 13.3
2015-03-20 00:00:00, -0.5, 6.7, 8.4
2015-03-21 00:00:00, -2.4, 9.1, 0.0
2015-03-22 00:00:00, -5.1, 5.7, 0.0
2015-03-23 00:00:00, -1.9, 6.1, 0.8
2015-03-24 00:00:00, -5.3, 7.3, 0.1
2015-03-25 00:00:00, -0.3, 5.1, 21.8
2015-03-26 00:00:00, 0.9, 4.5, 27.1
2015-03-27 00:00:00, -0.6, 1.0, 17.4
2015-03-28 00:00:00, -1.8, 3.2, 5.6
2015-03-29 00:00:00, -0.2, 4.3, 5.9
2015-03-30 00:00:00, -1.3, 4.4, 16.4
2015-03-31 00:00:00, -3.1, 3.7, 1.4
2015-04-01 00:00:00, -1.1, 6.0, 0.3
