CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, -3.588,97.1, None, None, None, None, 9.73, 9.17, 229.2, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 00:00:00, None, None,10
None, -4.076,96.6, None, None, None, None, 4.97, 9.84, 222.5, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 01:00:00, None, None,10
None, -4.831,96.0, None, None, None, None, 4.356, 12.83, 224.4, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 02:00:00, None, None,10
None, -4.807,96.0, None, None, None, None, 3.823, 12.81, 228.6, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 03:00:00, None, None,10
None, -4.952,95.9, None, None, None, None, 4.192, 13.07, 227.1, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 04:00:00, None, None,10
None, -5.05,95.7, None, None, None, None, 10.42, 12.18, 215.9, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 05:00:00, None, None,10
None, -5.172,95.5, None, None, None, None, 14.14, 10.19, 190.1, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 06:00:00, None, None,10
None, -5.123,95.6, None, None, None, None, 16.09, 15.36, 191.8, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 07:00:00, None, None,10
None, -3.819,95.2, None, None, None, None, 16.39, 14.96, 181.8, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 08:00:00, None, None,10
None, -3.792,94.9, None, None, None, None, 24.51, 15.34, 180.6, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 09:00:00, None, None,10
None, -2.505,94.8, None, None, None, None, 25.14, 16.36, 160.4, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 10:00:00, None, None,10
None, -2.199,94.1, None, None, None, None, 21.66, 19.52, 181.3, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 11:00:00, None, None,10
None, -2.282,90.6, None, None, None, None, 22.7, 20.46, 169.3, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 12:00:00, None, None,10
None, -1.295,90.2, None, None, None, None, 18.41, 22.25, 163.7, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 13:00:00, None, None,10
None, -1.538,89.9, None, None, None, None, 22.45, 22.64, 175.5, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 14:00:00, None, None,10
None, -0.622,91.6, None, None, None, None, 21.84, 23.21, 186.4, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 15:00:00, None, None,10
None, -1.022,94.7, None, None, None, None, 20.12, 24.3, 198.8, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 16:00:00, None, None,10
None, -1.709,95.6, None, None, None, None, 17.43, 30.41, 193.4, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 17:00:00, None, None,10
None, -1.582,95.2, None, None, None, None, 12.29, 37.43, 200.1, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 18:00:00, None, None,10
None, -1.251,94.1, None, None, None, None, 13.52, 37.54, 201.0, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 19:00:00, None, None,10
None, -0.929,92.0, None, None, None, None, 13.31, 35.67, 200.4, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 20:00:00, None, None,10
None, -1.141,88.9, None, None, None, None, 12.93, 29.56, 206.4, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 21:00:00, None, None,10
None, -1.116,86.6, None, None, None, None, 11.78, 28.06, 214.5, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 22:00:00, None, None,10
None, -0.372,83.9, None, None, None, None, 14.21, 26.17, 199.0, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-04 23:00:00, None, None,10
None, -0.195,84.6, None, None, None, None, 17.2, 24.5, 175.2, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 00:00:00, None, None,10
None, 0.386,81.9, None, None, None, None, 21.76, 22.49, 170.6, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 01:00:00, None, None,10
None, 0.738,75.6, None, None, None, None, 18.9, 26.89, 187.7, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 02:00:00, None, None,10
None, 1.173,74.38, None, None, None, None, 15.77, 29.84, 197.0, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 03:00:00, None, None,10
None, -0.554,93.0, None, None, None, None, 14.49, 29.89, 203.9, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 04:00:00, None, None,10
None, 0.215,86.5, None, None, None, None, 14.48, 26.78, 212.0, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 05:00:00, None, None,10
None, -0.64,98.6, None, None, None, None, 14.22, 30.24, 201.0, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 06:00:00, None, None,10
None, -0.233,99.5, None, None, None, None, 12.6, 34.43, 206.3, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 07:00:00, None, None,10
None, -0.445,99.7, None, None, None, None, 13.26, 35.17, 212.5, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 08:00:00, None, None,10
None, -1.059,99.9, None, None, None, None, 7.6, 30.27, 224.8, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 09:00:00, None, None,10
None, -1.322,99.7, None, None, None, None, 6.301, 31.48, 230.4, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 10:00:00, None, None,10
None, -0.908,99.6, None, None, None, None, 7.49, 14.22, 229.9, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 11:00:00, None, None,10
None, -0.273,99.6, None, None, None, None, 7.229, 19.77, 231.8, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 12:00:00, None, None,10
None, -0.299,99.8, None, None, None, None, 8.6, 27.27, 232.3, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 13:00:00, None, None,10
None, -0.239,99.8, None, None, None, None, 7.409, 16.77, 228.3, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 14:00:00, None, None,10
None, -0.445,99.9, None, None, None, None, 7.821, 24.13, 228.6, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 15:00:00, None, None,10
None, -0.075,99.7, None, None, None, None, 6.82, 20.76, 230.6, None, None, None, None, None, None, None, None, None, None, None, None,2016-03-05 16:00:00, None, None,10
