pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,2.758, 94.4, None, None, None, None, None, None, None, 2.0, None, None, None,2016-03-11 00:00:00, None, None, None,11
None,1.314, 94.7, None, None, None, None, None, None, None, 1.0, None, None, None,2016-03-11 01:00:00, None, None, None,11
None,1.175, 97.3, None, None, None, None, None, None, None, 1.0, None, None, None,2016-03-11 02:00:00, None, None, None,11
None,1.32, 97.5, None, None, None, None, None, None, None, 1.0, None, None, None,2016-03-11 03:00:00, None, None, None,11
None,2.333, 94.4, None, None, None, None, None, None, None, 2.0, None, None, None,2016-03-11 04:00:00, None, None, None,11
None,1.799, 93.5, None, None, None, None, None, None, None, 1.0, None, None, None,2016-03-11 05:00:00, None, None, None,11
None,2.666, 83.3, None, None, None, None, None, None, None, 0.0, None, None, None,2016-03-11 06:00:00, None, None, None,11
None,2.948, 81.0, None, None, None, None, None, None, None, None, None, None, None,2016-03-11 07:00:00, None, None, None,11
None,3.427, 77.1, None, None, None, None, None, None, None, 0.0, None, None, None,2016-03-11 08:00:00, None, None, None,11
None,4.382, 71.9, None, None, None, None, None, None, None, 0.0, None, None, None,2016-03-11 09:00:00, None, None, None,11
None,5.974, 65.13, None, None, None, None, None, None, None, 0.0, None, None, None,2016-03-11 10:00:00, None, None, None,11
None,7.35, 56.48, None, None, None, None, None, None, None, -1.0, None, None, None,2016-03-11 11:00:00, None, None, None,11
None,7.78, 58.84, None, None, None, None, None, None, None, 0.0, None, None, None,2016-03-11 12:00:00, None, None, None,11
None,7.39, 64.23, None, None, None, None, None, None, None, 1.0, None, None, None,2016-03-11 13:00:00, None, None, None,11
None,7.39, 67.19, None, None, None, None, None, None, None, 2.0, None, None, None,2016-03-11 14:00:00, None, None, None,11
None,7.15, 66.99, None, None, None, None, None, None, None, 1.0, None, None, None,2016-03-11 15:00:00, None, None, None,11
None,7.2, 72.6, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-11 16:00:00, None, None, None,11
None,7.15, 75.8, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-11 17:00:00, None, None, None,11
None,6.67, 80.8, None, None, None, None, None, None, None, 4.0, None, None, None,2016-03-11 18:00:00, None, None, None,11
None,5.474, 86.1, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-11 19:00:00, None, None, None,11
None,5.056, 89.2, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-11 20:00:00, None, None, None,11
None,5.154, 88.0, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-11 21:00:00, None, None, None,11
None,4.864, 89.3, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-11 22:00:00, None, None, None,11
None,4.623, 89.8, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-11 23:00:00, None, None, None,11
None,4.43, 91.2, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-12 00:00:00, None, None, None,11
None,4.479, 91.6, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-12 01:00:00, None, None, None,11
None,4.527, 92.2, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-12 02:00:00, None, None, None,11
None,4.479, 93.4, None, None, None, None, None, None, None, 4.0, None, None, None,2016-03-12 03:00:00, None, None, None,11
None,4.189, 94.5, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-12 04:00:00, None, None, None,11
None,4.479, 95.1, None, None, None, None, None, None, None, 4.0, None, None, None,2016-03-12 05:00:00, None, None, None,11
None,4.382, 95.5, None, None, None, None, None, None, None, 4.0, None, None, None,2016-03-12 06:00:00, None, None, None,11
None,4.382, 93.4, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-12 07:00:00, None, None, None,11
None,4.864, 89.3, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-12 08:00:00, None, None, None,11
None,4.093, 91.2, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-12 09:00:00, None, None, None,11
None,4.382, 94.5, None, None, None, None, None, None, None, 4.0, None, None, None,2016-03-12 10:00:00, None, None, None,11
None,5.636, 91.1, None, None, None, None, None, None, None, 4.0, None, None, None,2016-03-12 11:00:00, None, None, None,11
None,6.335, 84.9, None, None, None, None, None, None, None, 4.0, None, None, None,2016-03-12 12:00:00, None, None, None,11
None,8.14, 72.8, None, None, None, None, None, None, None, 4.0, None, None, None,2016-03-12 13:00:00, None, None, None,11
None,8.65, 76.7, None, None, None, None, None, None, None, 5.0, None, None, None,2016-03-12 14:00:00, None, None, None,11
None,8.23, 84.3, None, None, None, None, None, None, None, 6.0, None, None, None,2016-03-12 15:00:00, None, None, None,11
None,7.71, 84.3, None, None, None, None, None, None, None, 5.0, None, None, None,2016-03-12 16:00:00, None, None, None,11
None,7.25, 82.1, None, None, None, None, None, None, None, 4.0, None, None, None,2016-03-12 17:00:00, None, None, None,11
None,5.706, 83.2, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-12 18:00:00, None, None, None,11
None,4.378, 92.8, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-12 19:00:00, None, None, None,11
None,4.141, 92.0, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-12 20:00:00, None, None, None,11
None,3.9, 93.6, None, None, None, None, None, None, None, 3.0, None, None, None,2016-03-12 21:00:00, None, None, None,11
None,3.273, 93.7, None, None, None, None, None, None, None, 2.0, None, None, None,2016-03-12 22:00:00, None, None, None,11
None,2.839, 95.6, None, None, None, None, None, None, None, 2.0, None, None, None,2016-03-12 23:00:00, None, None, None,11
None,2.891, 92.6, None, None, None, None, None, None, None, 2.0, None, None, None,2016-03-13 00:00:00, None, None, None,11
None,2.946, 90.7, None, None, None, None, None, None, None, 2.0, None, None, None,2016-03-13 01:00:00, None, None, None,11
None,2.562, 89.4, None, None, None, None, None, None, None, 1.0, None, None, None,2016-03-13 04:00:00, None, None, None,11
None,2.274, 89.1, None, None, None, None, None, None, None, 1.0, None, None, None,2016-03-13 05:00:00, None, None, None,11
None,1.892, 87.6, None, None, None, None, None, None, None, 0.0, None, None, None,2016-03-13 08:00:00, None, None, None,11
None,2.417, 84.4, None, None, None, None, None, None, None, 0.0, None, None, None,2016-03-13 09:00:00, None, None, None,11
None,3.804, 79.5, None, None, None, None, None, None, None, 1.0, None, None, None,2016-03-13 10:00:00, None, None, None,11
None,5.733, 65.67, None, None, None, None, None, None, None, 0.0, None, None, None,2016-03-13 11:00:00, None, None, None,11
None,6.869, 55.34, None, None, None, None, None, None, None, -1.0, None, None, None,2016-03-13 12:00:00, None, None, None,11
