WDIR_VECT,TEMP_MEAN,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, None,81.3,2016-04-22 00:00:00,7.869,17
None, None, None,88.8,2016-04-22 01:00:00,6.385,17
None, None, None,88.2,2016-04-22 02:00:00,5.915,17
None, None, None,89.4,2016-04-22 03:00:00,5.231,17
None, None, None,90.0,2016-04-22 04:00:00,4.726,17
None, None, None,91.2,2016-04-22 05:00:00,4.061,17
None, None, None,91.6,2016-04-22 06:00:00,4.037,17
None, None, None,85.0,2016-04-22 07:00:00,6.156,17
None, None, None,73.11,2016-04-22 08:00:00,8.4,17
None, None, None,61.87,2016-04-22 09:00:00,10.63,17
None, None, None,52.62,2016-04-22 10:00:00,13.12,17
None, None, None,46.1,2016-04-22 11:00:00,14.9,17
None, None, None,42.03,2016-04-22 12:00:00,16.3,17
None, None, None,40.35,2016-04-22 13:00:00,17.36,17
None, None, None,38.84,2016-04-22 14:00:00,18.11,17
None, None, None,37.42,2016-04-22 15:00:00,18.88,17
None, None, None,38.12,2016-04-22 16:00:00,18.61,17
None, None, None,38.67,2016-04-22 17:00:00,18.14,17
None, None, None,41.9,2016-04-22 18:00:00,16.83,17
None, None, None,52.75,2016-04-22 19:00:00,14.46,17
None, None, None,75.79,2016-04-22 20:00:00,11.58,17
None, None, None,85.9,2016-04-22 21:00:00,10.37,17
None, None, None,94.1,2016-04-22 22:00:00,9.86,17
None, None, None,95.7,2016-04-22 23:00:00,9.61,17
None, None, None,96.3,2016-04-23 00:00:00,9.14,17
None, None, None,96.3,2016-04-23 01:00:00,8.74,17
None, None, None,94.7,2016-04-23 02:00:00,8.12,17
None, None, None,94.0,2016-04-23 03:00:00,7.731,17
None, None, None,94.9,2016-04-23 04:00:00,7.553,17
None, None, None,95.4,2016-04-23 05:00:00,7.148,17
None, None, None,94.7,2016-04-23 06:00:00,6.504,17
None, None, None,92.3,2016-04-23 07:00:00,6.081,17
None, None, None,91.2,2016-04-23 08:00:00,5.57,17
None, None, None,88.8,2016-04-23 09:00:00,4.78,17
None, None, None,88.3,2016-04-23 10:00:00,3.955,17
None, None, None,87.8,2016-04-23 11:00:00,4.918,17
None, None, None,86.3,2016-04-23 12:00:00,5.956,17
None, None, None,87.4,2016-04-23 13:00:00,6.629,17
None, None, None,84.2,2016-04-23 14:00:00,7.96,17
None, None, None,81.0,2016-04-23 15:00:00,9.33,17
None, None, None,76.98,2016-04-23 16:00:00,10.48,17
None, None, None,75.68,2016-04-23 17:00:00,10.63,17
None, None, None,73.92,2016-04-23 18:00:00,11.13,17
None, None, None,78.38,2016-04-23 19:00:00,9.68,17
None, None, None,83.2,2016-04-23 20:00:00,8.31,17
None, None, None,85.9,2016-04-23 21:00:00,7.466,17
None, None, None,88.3,2016-04-23 22:00:00,6.664,17
None, None, None,90.5,2016-04-23 23:00:00,5.907,17
None, None, None,90.6,2016-04-24 00:00:00,5.56,17
None, None, None,89.6,2016-04-24 01:00:00,5.35,17
None, None, None,90.6,2016-04-24 02:00:00,4.922,17
None, None, None,91.1,2016-04-24 03:00:00,4.935,17
None, None, None,93.7,2016-04-24 04:00:00,4.756,17
None, None, None,94.7,2016-04-24 05:00:00,4.757,17
None, None, None,95.0,2016-04-24 06:00:00,4.913,17
None, None, None,94.6,2016-04-24 07:00:00,5.082,17
None, None, None,91.4,2016-04-24 08:00:00,5.852,17
None, None, None,86.1,2016-04-24 09:00:00,6.665,17
None, None, None,83.8,2016-04-24 10:00:00,7.143,17
None, None, None,77.87,2016-04-24 11:00:00,8.01,17
None, None, None,74.1,2016-04-24 12:00:00,8.62,17
None, None, None,72.7,2016-04-24 13:00:00,9.25,17
None, None, None,72.07,2016-04-24 14:00:00,9.44,17
None, None, None,69.92,2016-04-24 15:00:00,9.28,17
None, None, None,63.46,2016-04-24 16:00:00,10.13,17
None, None, None,62.57,2016-04-24 17:00:00,10.3,17
