wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
94.0, None, None,0.0, None,1.8, None,-11.4, None, None, None,89.0,2016-01-08 00:00:00,2
98.0, None, None,0.0, None,2.8, None,-10.9, None, None, None,90.0,2016-01-08 01:00:00,2
140.0, None, None,0.0, None,2.7, None,-11.0, None, None, None,89.0,2016-01-08 02:00:00,2
84.0, None, None,0.0, None,2.1, None,-10.9, None, None, None,89.0,2016-01-08 03:00:00,2
80.0, None, None,0.0, None,2.7, None,-11.0, None, None, None,89.0,2016-01-08 04:00:00,2
87.0, None, None,0.0, None,2.5, None,-11.3, None, None, None,88.0,2016-01-08 05:00:00,2
77.0, None, None,0.0, None,3.0, None,-11.5, None, None, None,88.0,2016-01-08 06:00:00,2
77.0, None, None,0.0, None,3.2, None,-11.9, None, None, None,88.0,2016-01-08 07:00:00,2
68.0, None, None,0.0, None,2.7, None,-12.3, None, None, None,87.0,2016-01-08 08:00:00,2
55.0, None, None,0.0, None,3.0, None,-12.5, None, None, None,87.0,2016-01-08 09:00:00,2
94.0, None, None,0.0, None,3.1, None,-12.3, None, None, None,86.0,2016-01-08 10:00:00,2
98.0, None, None,0.0, None,2.7, None,-11.8, None, None, None,84.0,2016-01-08 11:00:00,2
77.0, None, None,0.0, None,2.0, None,-11.2, None, None, None,83.0,2016-01-08 12:00:00,2
114.0, None, None,0.0, None,3.8, None,-11.7, None, None, None,83.0,2016-01-08 13:00:00,2
96.0, None, None,0.0, None,2.0, None,-11.9, None, None, None,83.0,2016-01-08 14:00:00,2
100.0, None, None,0.0, None,2.7, None,-12.2, None, None, None,84.0,2016-01-08 15:00:00,2
93.0, None, None,0.0, None,3.3, None,-13.2, None, None, None,84.0,2016-01-08 16:00:00,2
103.0, None, None,0.0, None,3.2, None,-14.0, None, None, None,85.0,2016-01-08 17:00:00,2
335.0, None, None,0.0, None,0.0, None,-14.2, None, None, None,84.0,2016-01-08 18:00:00,2
92.0, None, None,0.0, None,1.8, None,-14.2, None, None, None,85.0,2016-01-08 19:00:00,2
92.0, None, None,0.0, None,1.7, None,-14.3, None, None, None,84.0,2016-01-08 20:00:00,2
287.0, None, None,0.0, None,2.0, None,-15.1, None, None, None,83.0,2016-01-08 21:00:00,2
286.0, None, None,0.0, None,0.0, None,-15.4, None, None, None,83.0,2016-01-08 22:00:00,2
16.0, None, None,0.0, None,0.0, None,-15.6, None, None, None,83.0,2016-01-08 23:00:00,2
104.0, None, None,0.0, None,2.4, None,-15.4, None, None, None,83.0,2016-01-09 00:00:00,2
82.0, None, None,0.0, None,2.2, None,-15.6, None, None, None,83.0,2016-01-09 01:00:00,2
81.0, None, None,0.0, None,2.1, None,-15.7, None, None, None,83.0,2016-01-09 02:00:00,2
113.0, None, None,0.0, None,1.8, None,-15.7, None, None, None,83.0,2016-01-09 03:00:00,2
101.0, None, None,0.0, None,1.8, None,-15.9, None, None, None,82.0,2016-01-09 04:00:00,2
72.0, None, None,0.0, None,1.7, None,-16.0, None, None, None,83.0,2016-01-09 05:00:00,2
87.0, None, None,0.0, None,1.6, None,-15.9, None, None, None,82.0,2016-01-09 06:00:00,2
113.0, None, None,0.0, None,0.0, None,-15.8, None, None, None,83.0,2016-01-09 07:00:00,2
107.0, None, None,0.0, None,0.0, None,-15.5, None, None, None,83.0,2016-01-09 08:00:00,2
87.0, None, None,0.0, None,1.6, None,-15.2, None, None, None,83.0,2016-01-09 09:00:00,2
104.0, None, None,0.0, None,1.6, None,-13.7, None, None, None,83.0,2016-01-09 10:00:00,2
131.0, None, None,0.0, None,0.0, None,-12.7, None, None, None,80.0,2016-01-09 11:00:00,2
8.0, None, None,0.0, None,0.0, None,-11.3, None, None, None,77.0,2016-01-09 12:00:00,2
266.0, None, None,0.0, None,0.0, None,-11.0, None, None, None,77.0,2016-01-09 13:00:00,2
221.0, None, None,0.0, None,0.0, None,-11.2, None, None, None,80.0,2016-01-09 14:00:00,2
252.0, None, None,0.0, None,0.0, None,-12.2, None, None, None,84.0,2016-01-09 15:00:00,2
3.0, None, None,0.0, None,0.0, None,-12.4, None, None, None,85.0,2016-01-09 16:00:00,2
11.0, None, None,0.0, None,0.0, None,-12.4, None, None, None,86.0,2016-01-09 17:00:00,2
5.0, None, None,0.0, None,0.0, None,-12.6, None, None, None,86.0,2016-01-09 18:00:00,2
95.0, None, None,0.0, None,0.0, None,-12.1, None, None, None,87.0,2016-01-09 19:00:00,2
73.0, None, None,0.0, None,1.6, None,-12.0, None, None, None,87.0,2016-01-09 20:00:00,2
101.0, None, None,0.0, None,1.6, None,-11.9, None, None, None,87.0,2016-01-09 21:00:00,2
79.0, None, None,0.0, None,0.0, None,-11.6, None, None, None,87.0,2016-01-09 22:00:00,2
92.0, None, None,0.0, None,1.8, None,-11.7, None, None, None,87.0,2016-01-09 23:00:00,2
86.0, None, None,0.0, None,2.0, None,-11.7, None, None, None,87.0,2016-01-10 00:00:00,2
89.0, None, None,0.0, None,2.0, None,-11.7, None, None, None,87.0,2016-01-10 01:00:00,2
103.0, None, None,0.0, None,2.4, None,-11.6, None, None, None,87.0,2016-01-10 02:00:00,2
109.0, None, None,0.0, None,1.8, None,-11.5, None, None, None,87.0,2016-01-10 03:00:00,2
94.0, None, None,0.0, None,1.8, None,-11.4, None, None, None,88.0,2016-01-10 04:00:00,2
74.0, None, None,0.0, None,1.6, None,-11.4, None, None, None,87.0,2016-01-10 05:00:00,2
74.0, None, None,0.0, None,2.2, None,-11.3, None, None, None,87.0,2016-01-10 06:00:00,2
81.0, None, None,0.0, None,2.0, None,-11.3, None, None, None,88.0,2016-01-10 07:00:00,2
59.0, None, None,0.0, None,2.5, None,-11.1, None, None, None,88.0,2016-01-10 08:00:00,2
120.0, None, None,0.0, None,1.6, None,-10.8, None, None, None,88.0,2016-01-10 09:00:00,2
83.0, None, None,0.0, None,1.8, None,-10.0, None, None, None,88.0,2016-01-10 10:00:00,2
90.0, None, None,0.0, None,2.3, None,-9.1, None, None, None,86.0,2016-01-10 11:00:00,2
125.0, None, None,0.0, None,1.7, None,-8.1, None, None, None,86.0,2016-01-10 12:00:00,2
88.0, None, None,0.0, None,1.7, None,-7.4, None, None, None,86.0,2016-01-10 13:00:00,2
101.0, None, None,0.0, None,2.6, None,-7.6, None, None, None,85.0,2016-01-10 14:00:00,2
101.0, None, None,0.0, None,2.2, None,-7.6, None, None, None,86.0,2016-01-10 15:00:00,2
78.0, None, None,0.0, None,1.9, None,-8.4, None, None, None,89.0,2016-01-10 16:00:00,2
75.0, None, None,0.0, None,2.2, None,-8.8, None, None, None,90.0,2016-01-10 17:00:00,2
89.0, None, None,0.0, None,0.0, None,-9.5, None, None, None,89.0,2016-01-10 18:00:00,2
100.0, None, None,0.0, None,2.0, None,-9.6, None, None, None,89.0,2016-01-10 19:00:00,2
62.0, None, None,0.0, None,0.0, None,-10.4, None, None, None,88.0,2016-01-10 20:00:00,2
91.0, None, None,0.0, None,2.4, None,-10.0, None, None, None,91.0,2016-01-10 21:00:00,2
108.0, None, None,0.0, None,0.0, None,-9.7, None, None, None,90.0,2016-01-10 22:00:00,2
91.0, None, None,0.0, None,1.7, None,-9.5, None, None, None,90.0,2016-01-10 23:00:00,2
90.0, None, None,0.0, None,1.9, None,-9.4, None, None, None,90.0,2016-01-11 00:00:00,2
93.0, None, None,0.0, None,1.8, None,-9.5, None, None, None,90.0,2016-01-11 01:00:00,2
92.0, None, None,0.0, None,2.5, None,-9.4, None, None, None,90.0,2016-01-11 02:00:00,2
74.0, None, None,0.0, None,2.1, None,-9.4, None, None, None,90.0,2016-01-11 03:00:00,2
80.0, None, None,0.0, None,1.8, None,-9.3, None, None, None,90.0,2016-01-11 04:00:00,2
78.0, None, None,0.0, None,1.8, None,-9.2, None, None, None,90.0,2016-01-11 05:00:00,2
86.0, None, None,0.0, None,2.3, None,-9.2, None, None, None,90.0,2016-01-11 06:00:00,2
83.0, None, None,0.0, None,2.0, None,-9.3, None, None, None,90.0,2016-01-11 07:00:00,2
84.0, None, None,0.0, None,1.6, None,-9.2, None, None, None,90.0,2016-01-11 08:00:00,2
105.0, None, None,0.0, None,1.8, None,-9.1, None, None, None,90.0,2016-01-11 09:00:00,2
98.0, None, None,0.0, None,1.6, None,-8.5, None, None, None,90.0,2016-01-11 10:00:00,2
76.0, None, None,0.0, None,1.7, None,-7.8, None, None, None,89.0,2016-01-11 11:00:00,2
84.0, None, None,0.0, None,1.9, None,-7.2, None, None, None,89.0,2016-01-11 12:00:00,2
115.0, None, None,0.0, None,1.6, None,-7.1, None, None, None,89.0,2016-01-11 13:00:00,2
87.0, None, None,0.0, None,1.6, None,-6.4, None, None, None,89.0,2016-01-11 14:00:00,2
76.0, None, None,0.0, None,2.1, None,-6.6, None, None, None,90.0,2016-01-11 15:00:00,2
82.0, None, None,0.0, None,2.0, None,-7.1, None, None, None,91.0,2016-01-11 16:00:00,2
60.0, None, None,0.0, None,0.0, None,-7.3, None, None, None,92.0,2016-01-11 17:00:00,2
113.0, None, None,0.0, None,1.6, None,-7.4, None, None, None,92.0,2016-01-11 18:00:00,2
281.0, None, None,0.0, None,1.6, None,-7.2, None, None, None,92.0,2016-01-11 19:00:00,2
98.0, None, None,0.0, None,2.0, None,-7.4, None, None, None,92.0,2016-01-11 20:00:00,2
104.0, None, None,0.0, None,2.3, None,-7.2, None, None, None,92.0,2016-01-11 21:00:00,2
77.0, None, None,0.0, None,1.6, None,-7.3, None, None, None,92.0,2016-01-11 22:00:00,2
91.0, None, None,0.0, None,2.5, None,-7.5, None, None, None,92.0,2016-01-11 23:00:00,2
88.0, None, None,0.0, None,2.0, None,-7.5, None, None, None,92.0,2016-01-12 00:00:00,2
300.0, None, None,0.0, None,0.0, None,-7.5, None, None, None,93.0,2016-01-12 01:00:00,2
153.0, None, None,0.0, None,0.0, None,-7.2, None, None, None,93.0,2016-01-12 02:00:00,2
296.0, None, None,0.0, None,1.6, None,-7.6, None, None, None,93.0,2016-01-12 03:00:00,2
77.0, None, None,0.0, None,2.6, None,-7.1, None, None, None,92.0,2016-01-12 04:00:00,2
110.0, None, None,0.0, None,0.0, None,-7.7, None, None, None,92.0,2016-01-12 05:00:00,2
