CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
5.492, None, None, None,17.25,12.47,112.8, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 00:00:00, None, None, None, None,20
6.611, None, None, None,15.61,12.98,115.1, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 01:00:00, None, None, None, None,20
5.779, None, None, None,13.9,11.98,106.1, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 02:00:00, None, None, None, None,20
5.741, None, None, None,8.22,11.84,89.8, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 03:00:00, None, None, None, None,20
5.53, None, None, None,7.44,11.91,94.9, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 04:00:00, None, None, None, None,20
5.34, None, None, None,7.43,13.05,95.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 05:00:00, None, None, None, None,20
4.959, None, None, None,8.14,12.68,95.1, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 06:00:00, None, None, None, None,20
4.892, None, None, None,6.137,13.32,95.9, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 07:00:00, None, None, None, None,20
5.807, None, None, None,6.487,13.06,97.8, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 08:00:00, None, None, None, None,20
6.313, None, None, None,9.42,12.62,99.6, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 09:00:00, None, None, None, None,20
9.27, None, None, None,18.21,12.14,122.9, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 10:00:00, None, None, None, None,20
9.34, None, None, None,23.8,11.96,147.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 11:00:00, None, None, None, None,20
8.91, None, None, None,27.81,11.88,144.1, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 12:00:00, None, None, None, None,20
11.07, None, None, None,36.84,8.82,138.1, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 13:00:00, None, None, None, None,20
11.56, None, None, None,31.28,11.04,133.2, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 14:00:00, None, None, None, None,20
10.51, None, None, None,32.92,10.0,132.4, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 15:00:00, None, None, None, None,20
11.14, None, None, None,41.03,7.92,124.5, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 16:00:00, None, None, None, None,20
11.7, None, None, None,32.07,10.41,124.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 17:00:00, None, None, None, None,20
12.41, None, None, None,25.85,11.21,131.0, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 18:00:00, None, None, None, None,20
11.18, None, None, None,17.73,13.22,120.5, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 19:00:00, None, None, None, None,20
9.89, None, None, None,11.12,13.45,109.5, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 20:00:00, None, None, None, None,20
8.24, None, None, None,11.54,13.6,109.8, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 21:00:00, None, None, None, None,20
7.84, None, None, None,11.86,15.78,106.7, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 22:00:00, None, None, None, None,20
7.66, None, None, None,11.3,18.36,107.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-13 23:00:00, None, None, None, None,20
7.86, None, None, None,12.97,21.13,110.8, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 00:00:00, None, None, None, None,20
7.37, None, None, None,9.41,28.49,116.5, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 01:00:00, None, None, None, None,20
7.4, None, None, None,9.63,32.01,121.6, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 02:00:00, None, None, None, None,20
6.89, None, None, None,10.11,31.22,125.0, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 03:00:00, None, None, None, None,20
6.353, None, None, None,11.62,26.38,114.6, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 04:00:00, None, None, None, None,20
6.066, None, None, None,10.33,25.0,112.1, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 05:00:00, None, None, None, None,20
5.817, None, None, None,10.38,23.57,110.0, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 06:00:00, None, None, None, None,20
5.779, None, None, None,10.75,25.36,111.7, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 07:00:00, None, None, None, None,20
7.25, None, None, None,10.27,20.9,111.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 08:00:00, None, None, None, None,20
7.5, None, None, None,12.78,20.9,110.4, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 09:00:00, None, None, None, None,20
8.77, None, None, None,13.84,19.81,115.9, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 10:00:00, None, None, None, None,20
9.06, None, None, None,18.33,16.41,115.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 11:00:00, None, None, None, None,20
10.96, None, None, None,21.05,16.23,128.0, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 12:00:00, None, None, None, None,20
12.33, None, None, None,22.39,17.1,148.4, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 13:00:00, None, None, None, None,20
12.34, None, None, None,27.55,17.39,150.6, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 14:00:00, None, None, None, None,20
13.81, None, None, None,24.81,16.54,147.2, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 15:00:00, None, None, None, None,20
14.87, None, None, None,23.75,15.73,150.0, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 16:00:00, None, None, None, None,20
13.56, None, None, None,31.2,11.87,153.6, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 17:00:00, None, None, None, None,20
10.89, None, None, None,21.37,12.88,105.7, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 18:00:00, None, None, None, None,20
10.26, None, None, None,12.11,12.73,92.8, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 19:00:00, None, None, None, None,20
9.96, None, None, None,6.854,13.59,92.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 20:00:00, None, None, None, None,20
9.3, None, None, None,6.223,12.44,91.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 21:00:00, None, None, None, None,20
8.9, None, None, None,6.804,15.31,104.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 22:00:00, None, None, None, None,20
8.63, None, None, None,9.64,11.19,100.1, None, None, None, None, None, None, None, None, None, None, None,2016-05-14 23:00:00, None, None, None, None,20
8.25, None, None, None,7.69,10.1,100.1, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 00:00:00, None, None, None, None,20
8.13, None, None, None,8.15,10.18,100.6, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 01:00:00, None, None, None, None,20
8.13, None, None, None,7.48,11.02,101.9, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 02:00:00, None, None, None, None,20
8.32, None, None, None,7.34,10.04,101.8, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 03:00:00, None, None, None, None,20
8.25, None, None, None,7.33,10.27,101.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 04:00:00, None, None, None, None,20
8.09, None, None, None,8.0,11.47,102.9, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 05:00:00, None, None, None, None,20
7.54, None, None, None,9.51,7.69,99.7, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 06:00:00, None, None, None, None,20
7.71, None, None, None,9.34,7.92,104.7, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 07:00:00, None, None, None, None,20
9.06, None, None, None,7.52,9.82,108.2, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 08:00:00, None, None, None, None,20
12.02, None, None, None,8.17,9.39,111.2, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 09:00:00, None, None, None, None,20
13.63, None, None, None,15.44,7.08,165.0, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 10:00:00, None, None, None, None,20
14.02, None, None, None,15.41,8.28,165.9, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 11:00:00, None, None, None, None,20
14.37, None, None, None,13.72,9.46,170.2, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 12:00:00, None, None, None, None,20
14.87, None, None, None,19.77,11.33,181.0, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 13:00:00, None, None, None, None,20
14.66, None, None, None,24.93,12.98,191.0, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 14:00:00, None, None, None, None,20
17.23, None, None, None,28.33,13.52,195.1, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 15:00:00, None, None, None, None,20
17.98, None, None, None,24.63,13.37,194.9, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 16:00:00, None, None, None, None,20
15.89, None, None, None,15.74,16.77,183.8, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 17:00:00, None, None, None, None,20
15.21, None, None, None,18.04,13.88,188.1, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 18:00:00, None, None, None, None,20
12.37, None, None, None,34.07,9.81,214.4, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 19:00:00, None, None, None, None,20
11.27, None, None, None,27.06,7.49,266.2, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 20:00:00, None, None, None, None,20
8.68, None, None, None,26.71,6.729,284.0, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 21:00:00, None, None, None, None,20
7.24, None, None, None,14.23,13.11,335.8, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 22:00:00, None, None, None, None,20
7.24, None, None, None,17.74,8.93,353.1, None, None, None, None, None, None, None, None, None, None, None,2016-05-15 23:00:00, None, None, None, None,20
7.21, None, None, None,17.06,8.52,335.4, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 00:00:00, None, None, None, None,20
5.597, None, None, None,47.76,1.622,125.1, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 01:00:00, None, None, None, None,20
4.806, None, None, None,26.44,4.289,333.8, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 02:00:00, None, None, None, None,20
3.439, None, None, None,24.72,5.904,304.9, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 03:00:00, None, None, None, None,20
2.616, None, None, None,51.35,2.765,255.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 04:00:00, None, None, None, None,20
1.255, None, None, None,21.14,10.79,308.0, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 05:00:00, None, None, None, None,20
0.311, None, None, None,14.49,10.82,303.9, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 06:00:00, None, None, None, None,20
0.359, None, None, None,8.67,10.14,319.9, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 07:00:00, None, None, None, None,20
0.236, None, None, None,11.26,8.51,307.6, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 08:00:00, None, None, None, None,20
0.896, None, None, None,25.33,5.517,283.7, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 09:00:00, None, None, None, None,20
1.009, None, None, None,23.35,4.766,271.5, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 10:00:00, None, None, None, None,20
1.906, None, None, None,30.55,5.954,285.2, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 11:00:00, None, None, None, None,20
3.619, None, None, None,27.94,8.4,215.1, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 12:00:00, None, None, None, None,20
3.117, None, None, None,25.95,10.14,205.7, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 13:00:00, None, None, None, None,20
3.089, None, None, None,27.84,10.93,281.9, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 14:00:00, None, None, None, None,20
3.373, None, None, None,25.81,11.26,205.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 15:00:00, None, None, None, None,20
3.875, None, None, None,26.31,11.31,202.0, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 16:00:00, None, None, None, None,20
4.369, None, None, None,32.93,6.668,217.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 17:00:00, None, None, None, None,20
3.439, None, None, None,42.72,5.261,243.8, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 18:00:00, None, None, None, None,20
3.193, None, None, None,34.07,6.627,224.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 19:00:00, None, None, None, None,20
2.105, None, None, None,29.53,5.616,237.3, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 20:00:00, None, None, None, None,20
2.199, None, None, None,39.49,4.512,143.4, None, None, None, None, None, None, None, None, None, None, None,2016-05-16 21:00:00, None, None, None, None,20
