pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None, None,3.0, 102.0, None, None,685.0, 640.0, None,2016-05-27 00:00:00, None,22
None, None, None, None, None,2.0, 102.0, None, None,686.0, 640.0, None,2016-05-27 01:00:00, None,22
None, None, None, None, None,1.7, 102.0, None, None,686.0, 639.0, None,2016-05-27 02:00:00, None,22
None, None, None, None, None,1.5, 102.0, None, None,686.0, 638.0, None,2016-05-27 03:00:00, None,22
None, None, None, None, None,1.0, 102.0, None, None,686.0, 638.0, None,2016-05-27 04:00:00, None,22
None, None, None, None, None,0.8, 102.0, None, None,686.0, 636.0, None,2016-05-27 05:00:00, None,22
None, None, None, None, None,0.1, 100.0, None, None,686.0, 635.0, None,2016-05-27 06:00:00, None,22
None, None, None, None, None,-0.7, 102.0, None, None,686.0, 633.0, None,2016-05-27 07:00:00, None,22
None, None, None, None, None,-1.1, 102.0, None, None,686.0, 633.0, None,2016-05-27 08:00:00, None,22
None, None, None, None, None,-1.4, 100.0, None, None,686.0, 632.0, None,2016-05-27 09:00:00, None,22
None, None, None, None, None,-1.6, 102.0, None, None,687.0, 631.0, None,2016-05-27 10:00:00, None,22
None, None, None, None, None,-1.8, 102.0, None, None,687.0, 631.0, None,2016-05-27 11:00:00, None,22
None, None, None, None, None,-1.8, 102.0, None, None,688.0, 630.0, None,2016-05-27 12:00:00, None,22
None, None, None, None, None,-1.8, 102.0, None, None,687.0, 629.0, None,2016-05-27 13:00:00, None,22
None, None, None, None, None,-1.6, 102.0, None, None,688.0, 628.0, None,2016-05-27 14:00:00, None,22
None, None, None, None, None,-0.9, 102.0, None, None,688.0, 628.0, None,2016-05-27 15:00:00, None,22
None, None, None, None, None,-0.2, 101.0, None, None,688.0, 627.0, None,2016-05-27 16:00:00, None,22
None, None, None, None, None,0.3, 102.0, None, None,689.0, 627.0, None,2016-05-27 17:00:00, None,22
None, None, None, None, None,1.5, 101.0, None, None,689.0, 627.0, None,2016-05-27 18:00:00, None,22
None, None, None, None, None,5.6, 101.0, None, None,689.0, 627.0, None,2016-05-27 19:00:00, None,22
None, None, None, None, None,3.0, 102.0, None, None,689.0, 627.0, None,2016-05-27 20:00:00, None,22
None, None, None, None, None,4.2, 101.0, None, None,689.0, 627.0, None,2016-05-27 21:00:00, None,22
None, None, None, None, None,2.4, 101.0, None, None,691.0, 628.0, None,2016-05-27 22:00:00, None,22
None, None, None, None, None,1.2, 101.0, None, None,691.0, 628.0, None,2016-05-27 23:00:00, None,22
None, None, None, None, None,1.4, 100.0, None, None,692.0, 628.0, None,2016-05-28 00:00:00, None,22
None, None, None, None, None,1.2, 99.0, None, None,692.0, 628.0, None,2016-05-28 01:00:00, None,22
None, None, None, None, None,0.3, 100.0, None, None,692.0, 628.0, None,2016-05-28 02:00:00, None,22
None, None, None, None, None,-0.1, 98.0, None, None,691.0, 628.0, None,2016-05-28 03:00:00, None,22
None, None, None, None, None,-0.5, 99.0, None, None,692.0, 628.0, None,2016-05-28 04:00:00, None,22
None, None, None, None, None,-0.7, 101.0, None, None,693.0, 627.0, None,2016-05-28 05:00:00, None,22
None, None, None, None, None,-0.9, 101.0, None, None,693.0, 627.0, None,2016-05-28 06:00:00, None,22
None, None, None, None, None,-1.1, 102.0, None, None,693.0, 627.0, None,2016-05-28 07:00:00, None,22
None, None, None, None, None,-1.2, 102.0, None, None,693.0, 627.0, None,2016-05-28 08:00:00, None,22
None, None, None, None, None,-1.3, 103.0, None, None,693.0, 627.0, None,2016-05-28 09:00:00, None,22
None, None, None, None, None,-1.1, 103.0, None, None,693.0, 627.0, None,2016-05-28 10:00:00, None,22
None, None, None, None, None,-1.2, 106.0, None, None,693.0, 627.0, None,2016-05-28 11:00:00, None,22
None, None, None, None, None,-1.2, 104.0, None, None,694.0, 627.0, None,2016-05-28 12:00:00, None,22
None, None, None, None, None,-1.1, 104.0, None, None,694.0, 627.0, None,2016-05-28 13:00:00, None,22
