pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None, None, 8.3, 10.0, None, None, 655.0, 49.0, None,2016-06-24 00:00:00, None,26
None, None, None, None, None, 5.9, 7.0, None, None, 661.0, 49.0, None,2016-06-24 01:00:00, None,26
None, None, None, None, None, 4.0, 9.0, None, None, 669.0, 47.0, None,2016-06-24 02:00:00, None,26
None, None, None, None, None, 4.6, 10.0, None, None, 670.0, 45.0, None,2016-06-24 03:00:00, None,26
None, None, None, None, None, 3.9, 10.0, None, None, 670.0, 44.0, None,2016-06-24 04:00:00, None,26
None, None, None, None, None, 3.8, 9.0, None, None, 670.0, 43.0, None,2016-06-24 05:00:00, None,26
None, None, None, None, None, 3.5, 9.0, None, None, 670.0, 43.0, None,2016-06-24 06:00:00, None,26
None, None, None, None, None, 3.4, 9.0, None, None, 670.0, 43.0, None,2016-06-24 07:00:00, None,26
None, None, None, None, None, 3.9, 9.0, None, None, 671.0, 42.0, None,2016-06-24 08:00:00, None,26
None, None, None, None, None, 4.0, 9.0, None, None, 672.0, 42.0, None,2016-06-24 09:00:00, None,26
None, None, None, None, None, 3.7, 9.0, None, None, 676.0, 43.0, None,2016-06-24 10:00:00, None,26
None, None, None, None, None, 3.2, 9.0, None, None, 683.0, 43.0, None,2016-06-24 11:00:00, None,26
None, None, None, None, None, 2.7, 9.0, None, None, 684.0, 42.0, None,2016-06-24 12:00:00, None,26
None, None, None, None, None, 3.0, 9.0, None, None, 684.0, 41.0, None,2016-06-24 13:00:00, None,26
None, None, None, None, None, 3.3, 9.0, None, None, 684.0, 41.0, None,2016-06-24 14:00:00, None,26
None, None, None, None, None, 4.8, 8.0, None, None, 684.0, 41.0, None,2016-06-24 15:00:00, None,26
None, 8.0, None, None, None, 4.4, 8.0, None, None, 684.0, 41.0, None,2016-06-24 16:00:00, None,26
None, None, None, None, None, 5.0, 8.0, None, None, 684.0, 40.0, None,2016-06-24 17:00:00, None,26
None, None, None, None, None, 5.4, 8.0, None, None, 684.0, 40.0, None,2016-06-24 18:00:00, None,26
None, None, None, None, None, 5.5, 8.0, None, None, 684.0, 39.0, None,2016-06-24 19:00:00, None,26
None, None, None, None, None, 5.5, 5.0, None, None, 684.0, 39.0, None,2016-06-24 20:00:00, None,26
None, None, None, None, None, 6.3, 7.0, None, None, 684.0, 38.0, None,2016-06-24 21:00:00, None,26
