wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,relative_humidity,time,snw_dpth,week_of_year
15.0, None, None,0.0, None,2.1, None,10.9, None, None,97.0,2016-07-15 00:00:00, None,29
136.0, None, None,0.0, None,1.6, None,10.5, None, None,98.0,2016-07-15 01:00:00, None,29
3.0, None, None,0.0, None,2.2, None,10.1, None, None,98.0,2016-07-15 02:00:00, None,29
351.0, None, None,0.0, None,2.6, None,10.0, None, None,98.0,2016-07-15 03:00:00, None,29
337.0, None, None,0.0, None,0.0, None,9.9, None, None,98.0,2016-07-15 04:00:00, None,29
145.0, None, None,0.0, None,0.0, None,9.7, None, None,98.0,2016-07-15 05:00:00, None,29
359.0, None, None,0.0, None,1.9, None,9.6, None, None,99.0,2016-07-15 06:00:00, None,29
123.0, None, None,0.0, None,1.6, None,11.1, None, None,95.0,2016-07-15 07:00:00, None,29
51.0, None, None,0.0, None,0.0, None,15.1, None, None,83.0,2016-07-15 08:00:00, None,29
66.0, None, None,0.0, None,2.6, None,17.9, None, None,70.0,2016-07-15 09:00:00, None,29
180.0, None, None,0.0, None,4.4, None,19.3, None, None,56.0,2016-07-15 10:00:00, None,29
244.0, None, None,0.0, None,4.7, None,21.4, None, None,60.0,2016-07-15 11:00:00, None,29
171.0, None, None,0.0, None,4.6, None,22.3, None, None,60.0,2016-07-15 12:00:00, None,29
241.0, None, None,0.0, None,4.6, None,23.4, None, None,57.0,2016-07-15 13:00:00, None,29
273.0, None, None,0.0, None,4.7, None,23.2, None, None,50.0,2016-07-15 14:00:00, None,29
222.0, None, None,0.0, None,3.1, None,22.3, None, None,62.0,2016-07-15 15:00:00, None,29
335.0, None, None,0.0, None,2.8, None,20.9, None, None,65.0,2016-07-15 16:00:00, None,29
306.0, None, None,0.0, None,2.4, None,20.2, None, None,71.0,2016-07-15 17:00:00, None,29
321.0, None, None,0.0, None,3.1, None,19.6, None, None,69.0,2016-07-15 18:00:00, None,29
305.0, None, None,0.0, None,0.0, None,18.9, None, None,78.0,2016-07-15 19:00:00, None,29
344.0, None, None,0.0, None,1.8, None,17.8, None, None,81.0,2016-07-15 20:00:00, None,29
23.0, None, None,0.0, None,0.0, None,17.0, None, None,85.0,2016-07-15 21:00:00, None,29
350.0, None, None,0.0, None,0.0, None,16.5, None, None,87.0,2016-07-15 22:00:00, None,29
357.0, None, None,0.0, None,0.0, None,16.3, None, None,90.0,2016-07-15 23:00:00, None,29
326.0, None, None,0.0, None,0.0, None,15.9, None, None,92.0,2016-07-16 00:00:00, None,29
348.0, None, None,0.0, None,0.0, None,15.4, None, None,93.0,2016-07-16 01:00:00, None,29
71.0, None, None,0.0, None,0.0, None,15.1, None, None,94.0,2016-07-16 02:00:00, None,29
20.0, None, None,0.0, None,0.0, None,14.8, None, None,95.0,2016-07-16 03:00:00, None,29
83.0, None, None,0.0, None,0.0, None,14.4, None, None,95.0,2016-07-16 04:00:00, None,29
64.0, None, None,0.0, None,0.0, None,14.3, None, None,96.0,2016-07-16 05:00:00, None,29
195.0, None, None,0.0, None,0.0, None,14.7, None, None,95.0,2016-07-16 06:00:00, None,29
207.0, None, None,0.0, None,0.0, None,15.3, None, None,94.0,2016-07-16 07:00:00, None,29
97.0, None, None,0.0, None,0.0, None,16.4, None, None,90.0,2016-07-16 08:00:00, None,29
138.0, None, None,0.0, None,1.7, None,19.3, None, None,78.0,2016-07-16 09:00:00, None,29
181.0, None, None,0.0, None,3.4, None,19.4, None, None,68.0,2016-07-16 10:00:00, None,29
131.0, None, None,0.0, None,3.2, None,19.8, None, None,68.0,2016-07-16 11:00:00, None,29
263.0, None, None,0.0, None,3.3, None,20.8, None, None,71.0,2016-07-16 12:00:00, None,29
290.0, None, None,0.0, None,4.1, None,21.2, None, None,63.0,2016-07-16 13:00:00, None,29
303.0, None, None,0.0, None,3.0, None,21.4, None, None,69.0,2016-07-16 14:00:00, None,29
299.0, None, None,0.0, None,3.9, None,21.3, None, None,67.0,2016-07-16 15:00:00, None,29
255.0, None, None,0.0, None,4.5, None,22.2, None, None,65.0,2016-07-16 16:00:00, None,29
245.0, None, None,0.0, None,2.3, None,20.6, None, None,66.0,2016-07-16 17:00:00, None,29
131.0, None, None,0.0, None,2.4, None,20.3, None, None,73.0,2016-07-16 18:00:00, None,29
296.0, None, None,0.0, None,1.7, None,19.2, None, None,79.0,2016-07-16 19:00:00, None,29
307.0, None, None,0.0, None,0.0, None,18.3, None, None,82.0,2016-07-16 20:00:00, None,29
7.0, None, None,0.0, None,0.0, None,17.6, None, None,87.0,2016-07-16 21:00:00, None,29
225.0, None, None,0.0, None,1.7, None,16.8, None, None,93.0,2016-07-16 22:00:00, None,29
221.0, None, None,0.0, None,0.0, None,16.3, None, None,96.0,2016-07-16 23:00:00, None,29
35.0, None, None,0.0, None,1.6, None,15.6, None, None,96.0,2016-07-17 00:00:00, None,29
30.0, None, None,0.0, None,0.0, None,15.4, None, None,97.0,2016-07-17 01:00:00, None,29
359.0, None, None,0.0, None,0.0, None,15.6, None, None,96.0,2016-07-17 02:00:00, None,29
347.0, None, None,0.0, None,0.0, None,15.6, None, None,96.0,2016-07-17 03:00:00, None,29
40.0, None, None,0.0, None,0.0, None,15.6, None, None,96.0,2016-07-17 04:00:00, None,29
57.0, None, None,0.0, None,0.0, None,15.7, None, None,96.0,2016-07-17 05:00:00, None,29
243.0, None, None,0.0, None,0.0, None,15.9, None, None,96.0,2016-07-17 06:00:00, None,29
37.0, None, None,0.0, None,0.0, None,16.7, None, None,94.0,2016-07-17 07:00:00, None,29
223.0, None, None,0.0, None,1.6, None,18.3, None, None,86.0,2016-07-17 08:00:00, None,29
216.0, None, None,0.0, None,1.9, None,20.2, None, None,79.0,2016-07-17 09:00:00, None,29
225.0, None, None,0.0, None,2.2, None,21.5, None, None,68.0,2016-07-17 10:00:00, None,29
272.0, None, None,0.0, None,1.9, None,21.5, None, None,69.0,2016-07-17 11:00:00, None,29
296.0, None, None,0.0, None,2.1, None,23.3, None, None,63.0,2016-07-17 12:00:00, None,29
304.0, None, None,0.0, None,0.0, None,21.5, None, None,76.0,2016-07-17 13:00:00, None,29
73.0, None, None,0.0, None,2.9, None,24.6, None, None,66.0,2016-07-17 14:00:00, None,29
302.0, None, None,0.0, None,3.1, None,24.6, None, None,60.0,2016-07-17 15:00:00, None,29
296.0, None, None,0.0, None,2.1, None,21.8, None, None,76.0,2016-07-17 16:00:00, None,29
316.0, None, None,0.0, None,2.1, None,21.1, None, None,79.0,2016-07-17 17:00:00, None,29
36.0, None, None,2.4, None,2.8, None,19.2, None, None,93.0,2016-07-17 18:00:00, None,29
309.0, None, None,11.6, None,1.7, None,16.8, None, None,98.0,2016-07-17 19:00:00, None,29
332.0, None, None,5.6, None,0.0, None,16.1, None, None,98.0,2016-07-17 20:00:00, None,29
315.0, None, None,1.0, None,2.0, None,15.5, None, None,98.0,2016-07-17 21:00:00, None,29
186.0, None, None,0.0, None,1.7, None,14.6, None, None,99.0,2016-07-17 22:00:00, None,29
16.0, None, None,0.0, None,1.7, None,14.0, None, None,99.0,2016-07-17 23:00:00, None,29
75.0, None, None,0.0, None,2.1, None,13.9, None, None,99.0,2016-07-18 00:00:00, None,29
13.0, None, None,0.0, None,2.1, None,13.6, None, None,99.0,2016-07-18 01:00:00, None,29
14.0, None, None,0.0, None,2.1, None,13.2, None, None,99.0,2016-07-18 02:00:00, None,29
340.0, None, None,0.2, None,1.7, None,12.9, None, None,100.0,2016-07-18 03:00:00, None,29
60.0, None, None,0.0, None,2.3, None,12.9, None, None,99.0,2016-07-18 04:00:00, None,29
19.0, None, None,0.0, None,2.1, None,12.6, None, None,100.0,2016-07-18 05:00:00, None,29
60.0, None, None,0.0, None,1.8, None,12.7, None, None,100.0,2016-07-18 06:00:00, None,29
152.0, None, None,0.0, None,1.6, None,13.7, None, None,98.0,2016-07-18 07:00:00, None,29
129.0, None, None,0.0, None,1.7, None,17.3, None, None,85.0,2016-07-18 08:00:00, None,29
15.0, None, None,0.0, None,1.7, None,17.3, None, None,93.0,2016-07-18 09:00:00, None,29
137.0, None, None,0.0, None,1.8, None,21.3, None, None,78.0,2016-07-18 10:00:00, None,29
174.0, None, None,0.0, None,3.3, None,22.6, None, None,73.0,2016-07-18 11:00:00, None,29
199.0, None, None,0.0, None,4.0, None,23.8, None, None,57.0,2016-07-18 12:00:00, None,29
220.0, None, None,0.0, None,3.1, None,24.0, None, None,72.0,2016-07-18 13:00:00, None,29
283.0, None, None,0.0, None,2.0, None,21.6, None, None,79.0,2016-07-18 14:00:00, None,29
230.0, None, None,0.0, None,2.6, None,22.0, None, None,78.0,2016-07-18 15:00:00, None,29
280.0, None, None,0.0, None,3.0, None,22.7, None, None,75.0,2016-07-18 16:00:00, None,29
331.0, None, None,0.0, None,7.0, None,19.3, None, None,83.0,2016-07-18 17:00:00, None,29
319.0, None, None,2.6, None,3.1, None,17.7, None, None,96.0,2016-07-18 18:00:00, None,29
243.0, None, None,1.6, None,1.9, None,17.3, None, None,98.0,2016-07-18 19:00:00, None,29
338.0, None, None,1.8, None,2.0, None,17.0, None, None,98.0,2016-07-18 20:00:00, None,29
357.0, None, None,0.2, None,1.9, None,16.6, None, None,98.0,2016-07-18 21:00:00, None,29
69.0, None, None,0.0, None,2.0, None,16.1, None, None,98.0,2016-07-18 22:00:00, None,29
31.0, None, None,0.0, None,2.5, None,15.8, None, None,99.0,2016-07-18 23:00:00, None,29
339.0, None, None,0.0, None,1.6, None,15.6, None, None,99.0,2016-07-19 00:00:00, None,29
29.0, None, None,0.2, None,1.8, None,15.4, None, None,99.0,2016-07-19 01:00:00, None,29
