WDIR_VECT,TEMP_MEAN,WSPD_SCLR,time,avg_air_temp_pst1hr,week_of_year
None, None, 0.745998,2016-08-26 00:00:00,21.6,35
None, None, 1.551,2016-08-26 01:00:00,21.57,35
None, None, 1.052,2016-08-26 02:00:00,20.92,35
None, None, 1.053,2016-08-26 03:00:00,20.71,35
None, None, 0.572,2016-08-26 04:00:00,19.54,35
None, None, 0.508,2016-08-26 05:00:00,19.37,35
None, None, 0.652998,2016-08-26 06:00:00,19.11,35
None, None, 0.589999,2016-08-26 07:00:00,19.33,35
None, None, 0.416999,2016-08-26 08:00:00,21.13,35
None, None, 0.27,2016-08-26 09:00:00,22.85,35
None, None, 0.647,2016-08-26 10:00:00,23.92,35
None, None, 0.927999,2016-08-26 11:00:00,24.54,35
None, None, 0.644999,2016-08-26 12:00:00,25.52,35
None, None, 0.777,2016-08-26 13:00:00,26.11,35
None, None, 0.714999,2016-08-26 14:00:00,26.93,35
None, None, 1.254,2016-08-26 15:00:00,27.33,35
None, None, 1.027,2016-08-26 16:00:00,27.58,35
None, None, 0.532,2016-08-26 17:00:00,27.19,35
None, None, 0.537,2016-08-26 18:00:00,26.28,35
None, None, 1.013,2016-08-26 19:00:00,23.91,35
None, None, 1.808,2016-08-26 20:00:00,23.11,35
None, None, 1.687,2016-08-26 21:00:00,22.09,35
None, None, 1.734,2016-08-26 22:00:00,21.34,35
None, None, 1.132,2016-08-26 23:00:00,20.78,35
None, None, 1.034,2016-08-27 00:00:00,20.37,35
None, None, 0.702,2016-08-27 01:00:00,19.52,35
None, None, 0.275,2016-08-27 02:00:00,18.76,35
None, None, 0.845,2016-08-27 03:00:00,19.06,35
None, None, 0.652,2016-08-27 04:00:00,18.47,35
None, None, 0.354,2016-08-27 05:00:00,18.2,35
None, None, 0.476999,2016-08-27 06:00:00,17.87,35
None, None, 0.54,2016-08-27 07:00:00,17.85,35
None, None, 0.175999,2016-08-27 08:00:00,20.91,35
None, None, 0.846,2016-08-27 09:00:00,20.91,35
None, None, 1.199,2016-08-27 10:00:00,21.32,35
None, None, 3.284,2016-08-27 11:00:00,20.89,35
None, None, 3.508,2016-08-27 12:00:00,21.75,35
None, None, 3.05,2016-08-27 13:00:00,23.17,35
None, None, 3.449,2016-08-27 14:00:00,23.29,35
None, None, 6.551,2016-08-27 15:00:00,21.26,35
None, None, 4.114,2016-08-27 16:00:00,20.48,35
None, None, 1.632,2016-08-27 17:00:00,20.82,35
None, None, 0.629,2016-08-27 18:00:00,20.56,35
None, None, 0.391,2016-08-27 19:00:00,20.17,35
None, None, 0.126,2016-08-27 20:00:00,19.84,35
None, None, 0.368999,2016-08-27 21:00:00,19.59,35
None, None, 0.828,2016-08-27 22:00:00,18.95,35
None, None, 0.446,2016-08-27 23:00:00,18.76,35
None, None, 1.802,2016-08-28 00:00:00,18.91,35
None, None, 0.638,2016-08-28 01:00:00,18.66,35
None, None, 1.049,2016-08-28 02:00:00,18.35,35
None, None, 1.623,2016-08-28 03:00:00,17.75,35
None, None, 1.934,2016-08-28 04:00:00,17.36,35
None, None, 1.434,2016-08-28 05:00:00,16.94,35
None, None, 0.123,2016-08-28 06:00:00,16.88,35
None, None, 1.18,2016-08-28 07:00:00,16.95,35
None, None, 1.961,2016-08-28 08:00:00,16.86,35
None, None, 0.6,2016-08-28 09:00:00,16.81,35
None, None, 0.773998,2016-08-28 10:00:00,16.87,35
None, None, 0.421,2016-08-28 11:00:00,17.79,35
None, None, 1.166,2016-08-28 12:00:00,17.6,35
None, None, 0.112,2016-08-28 13:00:00,18.37,35
None, None, 0.786,2016-08-28 14:00:00,18.21,35
None, None, 0.690998,2016-08-28 15:00:00,17.19,35
None, None, 0.128,2016-08-28 16:00:00,18.03,35
None, None, None,2016-08-28 17:00:00,18.28,35
None, None, None,2016-08-28 18:00:00,18.26,35
None, None, 0.246,2016-08-28 19:00:00,17.51,35
None, None, 1.183,2016-08-28 20:00:00,17.22,35
None, None, 0.481,2016-08-28 21:00:00,17.17,35
None, None, 0.822,2016-08-28 22:00:00,17.03,35
None, None, 1.275,2016-08-28 23:00:00,17.22,35
None, None, 1.232,2016-08-29 00:00:00,16.98,35
None, None, 1.584,2016-08-29 01:00:00,16.48,35
None, None, 1.238,2016-08-29 02:00:00,16.08,35
None, None, 1.692,2016-08-29 03:00:00,15.56,35
None, None, 1.605,2016-08-29 04:00:00,15.12,35
None, None, 0.638,2016-08-29 05:00:00,15.06,35
