ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None, 289.0, None, None, None,2016-09-23 00:00:00, 10.9, None, None,39
None, 289.0, None, None, None,2016-09-23 01:00:00, 9.7, None, None,39
None, 289.0, None, None, None,2016-09-23 02:00:00, 8.6, None, None,39
None, 289.0, None, None, None,2016-09-23 03:00:00, 7.3, None, None,39
None, 289.0, None, None, None,2016-09-23 04:00:00, 5.9, None, None,39
None, 289.0, None, None, None,2016-09-23 05:00:00, 5.1, None, None,39
None, 289.0, 0.0, None, None,2016-09-23 06:00:00, 4.5, None, None,39
None, 289.0, None, None, None,2016-09-23 07:00:00, 5.8, None, None,39
None, 289.0, None, None, None,2016-09-23 08:00:00, 5.6, None, None,39
None, 289.0, None, None, None,2016-09-23 09:00:00, 5.6, None, None,39
None, 289.0, 0.0, None, None,2016-09-23 10:00:00, 4.5, None, None,39
None, 289.0, 0.0, None, None,2016-09-23 11:00:00, 5.0, None, None,39
None, 289.0, 0.0, None, None,2016-09-23 12:00:00, 4.4, None, None,39
None, 289.0, 0.0, None, None,2016-09-23 13:00:00, 5.0, None, None,39
None, 289.0, None, None, None,2016-09-23 14:00:00, 4.2, None, None,39
None, 289.0, None, None, None,2016-09-23 15:00:00, 5.7, None, None,39
None, 289.0, None, 0.0, None,2016-09-23 16:00:00, 5.1, None, None,39
None, 291.0, None, None, None,2016-09-23 17:00:00, 3.9, None, None,39
None, 292.0, None, None, None,2016-09-23 18:00:00, 3.9, None, None,39
None, 293.0, None, None, None,2016-09-23 19:00:00, 4.8, None, None,39
None, 295.0, None, None, None,2016-09-23 20:00:00, 5.2, None, None,39
None, 295.0, None, None, None,2016-09-23 21:00:00, 5.3, None, None,39
None, 296.0, None, None, None,2016-09-23 22:00:00, 6.1, None, None,39
None, 296.0, None, None, None,2016-09-23 23:00:00, 6.5, None, None,39
None, 296.0, None, None, None,2016-09-24 00:00:00, 6.5, None, None,39
None, 296.0, None, None, None,2016-09-24 01:00:00, 6.0, None, None,39
None, 296.0, None, None, None,2016-09-24 02:00:00, 5.5, None, None,39
None, 296.0, None, None, None,2016-09-24 03:00:00, 5.0, None, None,39
None, 296.0, None, None, None,2016-09-24 04:00:00, 4.9, None, None,39
None, 296.0, None, None, None,2016-09-24 05:00:00, 4.9, None, None,39
None, 296.0, None, None, None,2016-09-24 06:00:00, 4.6, None, None,39
None, 296.0, None, None, None,2016-09-24 07:00:00, 5.0, None, None,39
None, 296.0, None, None, None,2016-09-24 08:00:00, 3.9, None, None,39
None, 296.0, None, None, None,2016-09-24 09:00:00, 4.1, None, None,39
None, 296.0, None, None, None,2016-09-24 10:00:00, 4.1, None, None,39
None, 296.0, None, None, None,2016-09-24 11:00:00, 4.2, None, None,39
None, 296.0, None, None, None,2016-09-24 12:00:00, 3.9, None, None,39
None, 296.0, None, None, None,2016-09-24 13:00:00, 3.5, None, None,39
None, 296.0, None, None, None,2016-09-24 14:00:00, 3.4, None, None,39
None, 296.0, None, None, None,2016-09-24 15:00:00, 3.8, None, None,39
None, 297.0, None, 0.0, None,2016-09-24 16:00:00, 5.7, None, None,39
None, 297.0, None, None, None,2016-09-24 17:00:00, 6.8, None, None,39
None, 297.0, None, None, None,2016-09-24 18:00:00, 9.0, None, None,39
None, 297.0, None, None, None,2016-09-24 19:00:00, 9.3, None, None,39
None, 297.0, None, None, None,2016-09-24 20:00:00, 9.2, None, None,39
None, 297.0, None, None, None,2016-09-24 21:00:00, 9.9, None, None,39
None, 297.0, None, None, None,2016-09-24 22:00:00, 9.5, None, None,39
None, 297.0, None, None, None,2016-09-24 23:00:00, 9.3, None, None,39
None, 297.0, None, None, None,2016-09-25 00:00:00, 8.3, None, None,39
None, 297.0, None, None, None,2016-09-25 01:00:00, 7.6, None, None,39
None, 297.0, None, None, None,2016-09-25 02:00:00, 6.5, None, None,39
None, 297.0, None, None, None,2016-09-25 03:00:00, 6.4, None, None,39
None, 297.0, None, None, None,2016-09-25 04:00:00, 6.2, None, None,39
None, 297.0, None, None, None,2016-09-25 05:00:00, 6.2, None, None,39
None, 297.0, None, None, None,2016-09-25 06:00:00, 5.9, None, None,39
None, 297.0, None, None, None,2016-09-25 07:00:00, 5.6, None, None,39
None, 297.0, None, None, None,2016-09-25 08:00:00, 5.4, None, None,39
None, 297.0, None, None, None,2016-09-25 09:00:00, 5.2, None, None,39
None, 299.0, None, None, None,2016-09-25 10:00:00, 4.5, None, None,39
None, 300.0, None, None, None,2016-09-25 11:00:00, 4.5, None, None,39
None, 301.0, None, None, None,2016-09-25 12:00:00, 4.5, None, None,39
None, 301.0, None, None, None,2016-09-25 13:00:00, 4.7, None, None,39
None, 302.0, None, None, None,2016-09-25 14:00:00, 4.9, None, None,39
None, 303.0, None, None, None,2016-09-25 15:00:00, 5.5, None, None,39
None, 303.0, None, 0.0, None,2016-09-25 16:00:00, 6.5, None, None,39
None, 303.0, None, None, None,2016-09-25 17:00:00, 8.1, None, None,39
None, 304.0, None, None, None,2016-09-25 18:00:00, 10.3, None, None,39
None, 304.0, None, None, None,2016-09-25 19:00:00, 12.8, None, None,39
None, 303.0, None, None, None,2016-09-25 20:00:00, 15.5, None, None,39
None, 304.0, None, None, None,2016-09-25 21:00:00, 15.5, None, None,39
None, 304.0, None, None, None,2016-09-25 22:00:00, 16.0, None, None,39
None, 304.0, None, None, None,2016-09-25 23:00:00, 15.1, None, None,39
None, 304.0, None, None, None,2016-09-26 00:00:00, 13.8, None, None,39
None, 304.0, None, None, None,2016-09-26 01:00:00, 12.1, None, None,39
None, 304.0, None, None, None,2016-09-26 02:00:00, 10.9, None, None,39
None, 304.0, 0.0, None, None,2016-09-26 03:00:00, 9.9, None, None,39
None, 304.0, 0.0, None, None,2016-09-26 04:00:00, 9.1, None, None,39
None, 304.0, 0.0, None, None,2016-09-26 05:00:00, 8.3, None, None,39
None, 304.0, 0.0, None, None,2016-09-26 06:00:00, 8.3, None, None,39
None, 304.0, 0.0, None, None,2016-09-26 07:00:00, 8.5, None, None,39
None, 304.0, 0.0, None, None,2016-09-26 08:00:00, 8.1, None, None,39
None, 304.0, 0.0, None, None,2016-09-26 09:00:00, 8.0, None, None,39
None, 304.0, 0.0, None, None,2016-09-26 10:00:00, 7.8, None, None,39
None, 304.0, 0.0, None, None,2016-09-26 11:00:00, 7.5, None, None,39
None, 304.0, 0.0, None, None,2016-09-26 12:00:00, 7.0, None, None,39
None, 303.0, 0.0, None, None,2016-09-26 13:00:00, 6.6, None, None,39
None, 304.0, 0.0, None, None,2016-09-26 14:00:00, 6.7, None, None,39
None, 304.0, 0.0, None, None,2016-09-26 15:00:00, 7.3, None, None,39
None, 304.0, 0.0, 0.0, None,2016-09-26 16:00:00, 10.1, None, None,39
None, 304.0, None, None, None,2016-09-26 17:00:00, 11.2, None, None,39
None, 304.0, None, None, None,2016-09-26 18:00:00, 14.0, None, None,39
None, 304.0, None, None, None,2016-09-26 19:00:00, 15.3, None, None,39
None, 304.0, None, None, None,2016-09-26 20:00:00, 16.5, None, None,39
None, 304.0, None, None, None,2016-09-26 21:00:00, 16.0, None, None,39
None, 304.0, None, None, None,2016-09-26 22:00:00, 15.9, None, None,39
None, 304.0, None, None, None,2016-09-26 23:00:00, 15.3, None, None,39
None, 304.0, None, None, None,2016-09-27 00:00:00, 14.4, None, None,39
None, 304.0, None, None, None,2016-09-27 01:00:00, 13.8, None, None,39
None, 304.0, None, None, None,2016-09-27 02:00:00, 13.2, None, None,39
None, 304.0, None, None, None,2016-09-27 03:00:00, 13.2, None, None,39
None, 304.0, None, None, None,2016-09-27 04:00:00, 12.7, None, None,39
None, 304.0, None, None, None,2016-09-27 05:00:00, 11.8, None, None,39
None, 304.0, None, None, None,2016-09-27 06:00:00, 10.8, None, None,39
None, 304.0, None, None, None,2016-09-27 07:00:00, 11.2, None, None,39
None, 304.0, None, None, None,2016-09-27 08:00:00, 10.5, None, None,39
None, 304.0, None, None, None,2016-09-27 09:00:00, 10.7, None, None,39
None, 304.0, 0.0, None, None,2016-09-27 10:00:00, 10.3, None, None,39
None, 304.0, None, None, None,2016-09-27 11:00:00, 10.6, None, None,39
None, 304.0, 0.0, None, None,2016-09-27 12:00:00, 10.0, None, None,39
None, 304.0, 0.0, None, None,2016-09-27 13:00:00, 9.2, None, None,39
None, 304.0, 0.0, None, None,2016-09-27 14:00:00, 8.8, None, None,39
None, 304.0, 0.0, None, None,2016-09-27 15:00:00, 7.2, None, None,39
None, 303.0, 0.0, 0.0, None,2016-09-27 16:00:00, 6.2, None, None,39
None, 303.0, 0.0, None, None,2016-09-27 17:00:00, 6.9, None, None,39
None, 304.0, None, None, None,2016-09-27 18:00:00, 9.5, None, None,39
None, 304.0, None, None, None,2016-09-27 19:00:00, 10.6, None, None,39
None, 304.0, None, None, None,2016-09-27 20:00:00, 12.2, None, None,39
None, 304.0, None, None, None,2016-09-27 21:00:00, 11.0, None, None,39
None, 304.0, None, None, None,2016-09-27 22:00:00, 10.3, None, None,39
None, 304.0, None, None, None,2016-09-27 23:00:00, 9.6, None, None,39
None, 304.0, None, None, None,2016-09-28 00:00:00, 9.0, None, None,39
None, 304.0, None, None, None,2016-09-28 01:00:00, 7.7, None, None,39
None, 304.0, None, None, None,2016-09-28 02:00:00, 6.6, None, None,39
None, 304.0, None, None, None,2016-09-28 03:00:00, 5.9, None, None,39
None, 304.0, None, None, None,2016-09-28 04:00:00, 5.5, None, None,39
None, 304.0, None, None, None,2016-09-28 05:00:00, 5.2, None, None,39
None, 304.0, None, None, None,2016-09-28 06:00:00, 4.9, None, None,39
None, 304.0, None, None, None,2016-09-28 07:00:00, 5.1, None, None,39
None, 304.0, None, None, None,2016-09-28 08:00:00, 4.9, None, None,39
None, 304.0, None, None, None,2016-09-28 09:00:00, 4.8, None, None,39
None, 303.0, None, None, None,2016-09-28 10:00:00, 4.7, None, None,39
None, 303.0, None, None, None,2016-09-28 11:00:00, 4.7, None, None,39
None, 303.0, None, None, None,2016-09-28 12:00:00, 3.7, None, None,39
None, 303.0, None, None, None,2016-09-28 13:00:00, 2.8, None, None,39
None, 303.0, None, None, None,2016-09-28 14:00:00, 2.2, None, None,39
None, 303.0, None, None, None,2016-09-28 15:00:00, 3.3, None, None,39
None, 303.0, None, 0.0, None,2016-09-28 16:00:00, 4.4, None, None,39
None, 303.0, None, None, None,2016-09-28 17:00:00, 7.4, None, None,39
None, 304.0, None, None, None,2016-09-28 18:00:00, 10.4, None, None,39
None, 304.0, None, None, None,2016-09-28 19:00:00, 11.4, None, None,39
None, 304.0, None, None, None,2016-09-28 20:00:00, 14.1, None, None,39
None, 304.0, None, None, None,2016-09-28 21:00:00, 13.3, None, None,39
None, 304.0, None, None, None,2016-09-28 22:00:00, 12.5, None, None,39
None, 304.0, None, None, None,2016-09-28 23:00:00, 11.7, None, None,39
None, 304.0, None, None, None,2016-09-29 00:00:00, 10.5, None, None,39
None, 304.0, None, None, None,2016-09-29 01:00:00, 9.3, None, None,39
None, 304.0, None, None, None,2016-09-29 02:00:00, 7.3, None, None,39
None, 304.0, None, None, None,2016-09-29 03:00:00, 6.1, None, None,39
None, 304.0, None, None, None,2016-09-29 04:00:00, 5.7, None, None,39
None, 304.0, None, None, None,2016-09-29 05:00:00, 5.7, None, None,39
None, 304.0, None, None, None,2016-09-29 06:00:00, 5.5, None, None,39
None, 304.0, None, None, None,2016-09-29 07:00:00, 5.6, None, None,39
None, 304.0, None, None, None,2016-09-29 08:00:00, 5.4, None, None,39
None, 304.0, None, None, None,2016-09-29 09:00:00, 5.1, None, None,39
None, 303.0, None, None, None,2016-09-29 10:00:00, 5.1, None, None,39
None, 303.0, None, None, None,2016-09-29 11:00:00, 5.3, None, None,39
None, 303.0, None, None, None,2016-09-29 12:00:00, 5.1, None, None,39
None, 303.0, None, None, None,2016-09-29 13:00:00, 5.0, None, None,39
None, 303.0, None, None, None,2016-09-29 14:00:00, 5.3, None, None,39
None, 303.0, None, None, None,2016-09-29 15:00:00, 6.9, None, None,39
None, 303.0, None, 0.0, None,2016-09-29 16:00:00, 8.1, None, None,39
None, 304.0, None, None, None,2016-09-29 17:00:00, 10.1, None, None,39
None, 304.0, None, None, None,2016-09-29 18:00:00, 12.5, None, None,39
None, 304.0, None, None, None,2016-09-29 19:00:00, 14.6, None, None,39
None, 304.0, None, None, None,2016-09-29 20:00:00, 16.6, None, None,39
None, 304.0, None, None, None,2016-09-29 21:00:00, 16.0, None, None,39
None, 304.0, None, None, None,2016-09-29 22:00:00, 15.6, None, None,39
None, 304.0, None, None, None,2016-09-29 23:00:00, 14.9, None, None,39
