CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None,1.029, 91.2, None, None, None, None,36.94,9.6,103.9, None, None, None, None, None, 0.0, None, None, None, None, None, None, None,2016-10-07 00:00:00, None, None, None, None,41
None,1.319, 84.2, None, None, None, None,32.55,15.85,91.2, None, None, None, None, None, -1.0, None, None, None, None, None, None, None,2016-10-07 01:00:00, None, None, None, None,41
None,1.188, 81.6, None, None, None, None,25.97,23.27,102.7, None, None, None, None, None, -2.0, None, None, None, None, None, None, None,2016-10-07 02:00:00, None, None, None, None,41
None,1.309, 72.8, None, None, None, None,29.93,23.07,95.6, None, None, None, None, None, -3.0, None, None, None, None, None, None, None,2016-10-07 03:00:00, None, None, None, None,41
None,1.094, 74.7, None, None, None, None,28.54,26.74,97.3, None, None, None, None, None, -3.0, None, None, None, None, None, None, None,2016-10-07 04:00:00, None, None, None, None,41
None,0.506, 91.8, None, None, None, None,25.44,30.59,103.4, None, None, None, None, None, -1.0, None, None, None, None, None, None, None,2016-10-07 05:00:00, None, None, None, None,41
None,-0.037, 102.4, None, None, None, None,24.56,35.85,104.4, None, None, None, None, None, 0.0, None, None, None, None, None, None, None,2016-10-07 06:00:00, None, None, None, None,41
None,-0.364, None, None, None, None, None,22.12,43.8,107.6, None, None, None, None, None, 0.0, None, None, None, None, None, None, None,2016-10-07 07:00:00, None, None, None, None,41
None,-0.252, None, None, None, None, None,24.44,39.7,105.0, None, None, None, None, None, 0.0, None, None, None, None, None, None, None,2016-10-07 08:00:00, None, None, None, None,41
None,-0.243, None, None, None, None, None,27.53,29.71,102.8, None, None, None, None, None, 0.0, None, None, None, None, None, None, None,2016-10-07 09:00:00, None, None, None, None,41
None,-0.14, None, None, None, None, None,35.73,21.76,93.0, None, None, None, None, None, 0.0, None, None, None, None, None, None, None,2016-10-07 10:00:00, None, None, None, None,41
None,0.187, None, None, None, None, None,35.71,22.5,89.2, None, None, None, None, None, 0.0, None, None, None, None, None, None, None,2016-10-07 11:00:00, None, None, None, None,41
None,0.523, None, None, None, None, None,34.23,15.68,90.6, None, None, None, None, None, 1.0, None, None, None, None, None, None, None,2016-10-07 12:00:00, None, None, None, None,41
