wind_direction,air_temperature,wind_gust_speed,tendency_amount,wind_speed,mean_sea_level,dew_point,snow_amount,air_temperature_yesterday_high,relative_humidity,time,air_temperature_yesterday_low,total_precipitation,week_of_year
337.5,13.2, None, 0.1,1.0, 101.7,7.3, None, None,67.0,2016-10-21 00:00:00, None, None,43
22.5,11.6, None, 0.13,4.0, 101.7,8.9, None, None,84.0,2016-10-21 01:00:00, None, None,43
22.5,10.0, None, 0.1,5.0, 101.8,8.0, None, None,87.0,2016-10-21 02:00:00, None, None,43
22.5,9.5, None, 0.09,6.0, 101.8,7.4, None, None,87.0,2016-10-21 03:00:00, None, None,43
45.0,9.3, None, 0.09,4.0, 101.8,7.5, None, None,88.0,2016-10-21 04:00:00, None, None,43
67.5,9.8, None, 0.08,3.0, 101.9,7.8, None, None,88.0,2016-10-21 05:00:00, None, None,43
90.0,10.6, None, 0.08,6.0, 101.9,7.2, None, None,79.0,2016-10-21 06:00:00, None, None,43
45.0,8.8, None, 0.02,4.0, 101.8,6.8, None, None,87.0,2016-10-21 07:00:00, None, None,43
45.0,8.5, None, 0.0,4.0, 101.8,6.7, None, None,89.0,2016-10-21 08:00:00, None, None,43
67.5,9.8, None, -0.05,5.0, 101.8,6.9, None, None,82.0,2016-10-21 09:00:00, None, None,43
67.5,10.0, None, -0.07,6.0, 101.8,6.5, None, None,79.0,2016-10-21 10:00:00, None, None,43
45.0,9.2, None, -0.12,4.0, 101.7,7.1, None, None,86.0,2016-10-21 11:00:00, None, None,43
45.0,9.0, None, -0.14,3.0, 101.7,7.6, None, None,91.0,2016-10-21 12:00:00, None, None,43
0.0,8.1, None, -0.13,2.0, 101.6,6.8, None, None,91.0,2016-10-21 13:00:00, None, None,43
45.0,9.4, None, -0.15,5.0, 101.6,7.9, None, None,90.0,2016-10-21 14:00:00, None, None,43
67.5,9.9, None, -0.13,4.0, 101.5,7.3, None, None,84.0,2016-10-21 15:00:00, None, None,43
45.0,10.0, None, -0.12,6.0, 101.5,7.4, None, None,84.0,2016-10-21 16:00:00, None, None,43
67.5,11.4, None, -0.11,9.0, 101.5,6.9, None, None,74.0,2016-10-21 17:00:00, None, None,43
67.5,11.6, None, -0.12,7.0, 101.4,6.4, None, None,70.0,2016-10-21 18:00:00, None, None,43
22.5,10.7, None, -0.08,5.0, 101.4,7.9, None, None,83.0,2016-10-21 19:00:00, None, None,43
22.5,10.2, None, -0.06,3.0, 101.4,8.4, None, None,89.0,2016-10-21 20:00:00, None, None,43
0.0,10.0, None, -0.05,3.0, 101.4,8.5, None, None,91.0,2016-10-21 21:00:00, None, None,43
45.0,10.1, None, -0.11,5.0, 101.3,8.7, None, None,91.0,2016-10-21 22:00:00, None, None,43
67.5,10.1, None, -0.09,6.0, 101.3,8.3, None, 15.6,89.0,2016-10-21 23:00:00, 9.2, 14.8,43
337.5,9.5, None, -0.11,4.0, 101.3,7.1, None, None,85.0,2016-10-22 00:00:00, None, None,43
67.5,9.1, None, -0.09,2.0, 101.2,7.2, None, None,88.0,2016-10-22 01:00:00, None, None,43
22.5,8.9, None, -0.05,3.0, 101.3,7.3, None, None,90.0,2016-10-22 02:00:00, None, None,43
67.5,8.7, None, 0.02,4.0, 101.3,7.3, None, None,91.0,2016-10-22 03:00:00, None, None,43
90.0,8.8, None, 0.05,7.0, 101.3,6.7, None, None,86.0,2016-10-22 04:00:00, None, None,43
22.5,8.6, None, 0.07,2.0, 101.3,6.9, None, None,89.0,2016-10-22 05:00:00, None, None,43
45.0,8.4, None, 0.06,2.0, 101.3,6.9, None, None,90.0,2016-10-22 06:00:00, None, None,43
45.0,7.9, None, 0.08,4.0, 101.4,6.6, None, None,91.0,2016-10-22 07:00:00, None, None,43
45.0,7.1, None, 0.04,3.0, 101.4,5.7, None, None,91.0,2016-10-22 08:00:00, None, None,43
22.5,7.1, None, 0.08,5.0, 101.4,5.8, None, None,91.0,2016-10-22 09:00:00, None, None,43
45.0,7.4, None, 0.09,3.0, 101.5,6.1, None, None,91.0,2016-10-22 10:00:00, None, None,43
22.5,6.8, None, 0.11,3.0, 101.5,5.4, None, None,91.0,2016-10-22 11:00:00, None, None,43
90.0,7.4, None, 0.07,5.0, 101.5,5.7, None, None,89.0,2016-10-22 12:00:00, None, None,43
67.5,8.1, None, 0.06,6.0, 101.5,6.0, None, None,86.0,2016-10-22 13:00:00, None, None,43
67.5,8.6, None, 0.06,4.0, 101.6,5.6, None, None,82.0,2016-10-22 14:00:00, None, None,43
90.0,8.9, None, 0.03,5.0, 101.5,5.6, None, None,80.0,2016-10-22 15:00:00, None, None,43
None,9.0, None, 0.02,0.0, 101.6,6.4, None, None,84.0,2016-10-22 16:00:00, None, None,43
112.5,9.9, None, 0.0,2.0, 101.5,6.7, None, None,81.0,2016-10-22 17:00:00, None, None,43
180.0,10.7, None, 0.01,1.0, 101.5,6.5, None, None,75.0,2016-10-22 18:00:00, None, None,43
90.0,11.6, None, -0.04,5.0, 101.5,6.5, None, None,71.0,2016-10-22 19:00:00, None, None,43
112.5,11.9, None, -0.09,2.0, 101.5,5.7, None, None,66.0,2016-10-22 20:00:00, None, None,43
112.5,12.1, None, -0.18,6.0, 101.4,4.5, None, None,60.0,2016-10-22 21:00:00, None, None,43
67.5,12.1, None, -0.29,6.0, 101.2,3.4, None, None,55.0,2016-10-22 22:00:00, None, None,43
22.5,12.0, None, -0.32,2.0, 101.1,3.3, None, None,55.0,2016-10-22 23:00:00, None, 0.0,43
90.0,12.6, None, -0.35,5.0, 101.0,1.1, None, None,46.0,2016-10-23 00:00:00, None, None,43
315.0,9.9, None, -0.3,2.0, 100.9,5.5, None, None,74.0,2016-10-23 01:00:00, None, None,43
202.5,9.8, None, -0.23,4.0, 100.9,5.0, None, None,72.0,2016-10-23 02:00:00, None, None,43
22.5,9.1, None, -0.12,2.0, 100.9,5.2, None, None,77.0,2016-10-23 03:00:00, None, None,43
337.5,9.6, None, 0.03,2.0, 100.9,5.4, None, None,75.0,2016-10-23 04:00:00, None, None,43
