ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None, 423.0, 656.0, None, None,2016-02-12 00:00:00, -1.1, None, None,7
None, 424.0, 656.0, None, None,2016-02-12 01:00:00, -1.4, None, None,7
None, 424.0, 656.0, None, None,2016-02-12 02:00:00, -1.5, None, None,7
None, 425.0, 657.0, None, None,2016-02-12 03:00:00, -1.6, None, None,7
None, 425.0, 657.0, None, None,2016-02-12 04:00:00, -1.5, None, None,7
None, 425.0, 658.0, None, None,2016-02-12 05:00:00, -1.6, None, None,7
None, 426.0, 658.0, None, None,2016-02-12 06:00:00, -1.6, None, None,7
None, 426.0, 658.0, None, None,2016-02-12 07:00:00, -0.9, None, None,7
None, 426.0, 658.0, None, None,2016-02-12 08:00:00, -0.7, None, None,7
None, 426.0, 659.0, None, None,2016-02-12 09:00:00, -0.7, None, None,7
None, 427.0, 659.0, None, None,2016-02-12 10:00:00, 0.7, None, None,7
None, 427.0, 659.0, None, None,2016-02-12 11:00:00, 0.1, None, None,7
None, 428.0, 660.0, None, None,2016-02-12 12:00:00, 0.1, None, None,7
None, 429.0, 662.0, None, None,2016-02-12 13:00:00, 0.1, None, None,7
None, 429.0, 662.0, None, None,2016-02-12 14:00:00, 1.1, None, None,7
None, 429.0, 662.0, None, None,2016-02-12 15:00:00, 1.1, None, None,7
None, 430.0, 663.0, 887.0, None,2016-02-12 16:00:00, 1.1, None, None,7
None, 431.0, 664.0, None, None,2016-02-12 17:00:00, 0.8, None, None,7
None, 433.0, 666.0, None, None,2016-02-12 18:00:00, 0.8, None, None,7
None, 433.0, 667.0, None, None,2016-02-12 19:00:00, 0.9, None, None,7
None, 435.0, 667.0, None, None,2016-02-12 20:00:00, 0.1, None, None,7
None, 436.0, 670.0, None, None,2016-02-12 21:00:00, 0.2, None, None,7
None, 437.0, 671.0, None, None,2016-02-12 22:00:00, -0.1, None, None,7
None, 437.0, 672.0, None, None,2016-02-12 23:00:00, -0.8, None, None,7
None, 438.0, 672.0, None, None,2016-02-13 00:00:00, -1.2, None, None,7
None, 438.0, 672.0, None, None,2016-02-13 01:00:00, -2.0, None, None,7
None, 438.0, 673.0, None, None,2016-02-13 02:00:00, -2.1, None, None,7
None, 438.0, 674.0, None, None,2016-02-13 03:00:00, -2.0, None, None,7
None, 438.0, 674.0, None, None,2016-02-13 04:00:00, -2.3, None, None,7
None, 439.0, 675.0, None, None,2016-02-13 05:00:00, -2.7, None, None,7
None, 439.0, 675.0, None, None,2016-02-13 06:00:00, -2.9, None, None,7
None, 439.0, 675.0, None, None,2016-02-13 07:00:00, -3.2, None, None,7
None, 439.0, 675.0, None, None,2016-02-13 08:00:00, -3.1, None, None,7
None, 439.0, 675.0, None, None,2016-02-13 09:00:00, -2.9, None, None,7
None, 439.0, 675.0, None, None,2016-02-13 10:00:00, -3.3, None, None,7
None, 439.0, 675.0, None, None,2016-02-13 11:00:00, -3.7, None, None,7
None, 439.0, 675.0, None, None,2016-02-13 12:00:00, -3.8, None, None,7
None, 439.0, 675.0, None, None,2016-02-13 13:00:00, -3.2, None, None,7
None, 439.0, 675.0, None, None,2016-02-13 14:00:00, -3.1, None, None,7
None, 440.0, 675.0, None, None,2016-02-13 15:00:00, -3.2, None, None,7
None, 441.0, 675.0, 887.0, None,2016-02-13 16:00:00, -3.2, None, None,7
None, 441.0, 676.0, None, None,2016-02-13 17:00:00, -3.3, None, None,7
None, 442.0, 677.0, None, None,2016-02-13 18:00:00, -3.1, None, None,7
None, 443.0, 677.0, None, None,2016-02-13 19:00:00, -2.7, None, None,7
None, 444.0, 678.0, None, None,2016-02-13 20:00:00, -2.9, None, None,7
None, 445.0, 678.0, None, None,2016-02-13 21:00:00, -3.5, None, None,7
None, 445.0, 680.0, None, None,2016-02-13 22:00:00, -3.6, None, None,7
None, 445.0, 680.0, None, None,2016-02-13 23:00:00, -3.7, None, None,7
None, 447.0, 681.0, None, None,2016-02-14 00:00:00, -4.1, None, None,7
None, 448.0, 682.0, None, None,2016-02-14 01:00:00, -4.2, None, None,7
None, 450.0, 684.0, None, None,2016-02-14 02:00:00, -4.1, None, None,7
None, 450.0, 685.0, None, None,2016-02-14 03:00:00, -4.0, None, None,7
None, 450.0, 686.0, None, None,2016-02-14 04:00:00, -3.9, None, None,7
None, 450.0, 686.0, None, None,2016-02-14 05:00:00, -3.8, None, None,7
None, 451.0, 687.0, None, None,2016-02-14 06:00:00, -4.1, None, None,7
None, 450.0, 687.0, None, None,2016-02-14 07:00:00, -3.2, None, None,7
None, 451.0, 687.0, None, None,2016-02-14 08:00:00, -3.8, None, None,7
