station_observations
AirTemp, ONE_DAY_PRECIPITATION, MIN_TEMP, Snow_WE, time, SNOW_ON_THE_GROUND, MAX_TEMP
None, 0.0, -19.2, None, 2017-01-01 00:00:00, None, -10.2
None, 0.0, -19.3, None, 2017-01-02 00:00:00, None, -15.4
None, 0.0, -14.5, None, 2017-01-03 00:00:00, None, -12.7
None, 0.0, -14.9, None, 2017-01-04 00:00:00, None, -11.8
None, 6.0, -18.4, None, 2017-01-05 00:00:00, None, -13.8
None, 1.0, -17.1, None, 2017-01-06 00:00:00, None, -12.5
None, 0.0, -22.5, None, 2017-01-07 00:00:00, None, -16.9
None, 0.0, -31.0, None, 2017-01-08 00:00:00, None, -24.0
None, 0.0, -27.6, None, 2017-01-09 00:00:00, None, -20.1
None, 0.0, -26.9, None, 2017-01-10 00:00:00, None, -14.5
None, 0.0, -27.2, None, 2017-01-11 00:00:00, None, -21.0
None, 1.1, -29.3, None, 2017-01-12 00:00:00, None, -20.7
None, 5.1, -19.9, None, 2017-01-13 00:00:00, None, -14.8
None, 3.6, -12.8, None, 2017-01-14 00:00:00, None, -5.0
None, 3.0, -6.8, None, 2017-01-15 00:00:00, None, 0.4
None, 0.8, 0.0, None, 2017-01-16 00:00:00, None, 0.0
None, 2.2, -4.4, None, 2017-01-17 00:00:00, None, -1.6
None, 4.4, -1.9, None, 2017-01-18 00:00:00, None, 0.8
None, 0.6, -2.0, None, 2017-01-19 00:00:00, None, -0.1
None, 3.0, -7.4, None, 2017-01-20 00:00:00, None, -1.9
None, 2.0, -9.8, None, 2017-01-21 00:00:00, None, -5.8
None, 0.0, -9.8, None, 2017-01-22 00:00:00, None, -6.8
None, 0.0, -14.9, None, 2017-01-23 00:00:00, None, -6.9
None, 0.0, -14.3, None, 2017-01-24 00:00:00, None, -6.0
None, 1.0, -12.2, None, 2017-01-25 00:00:00, None, -5.8
None, 1.0, -11.1, None, 2017-01-26 00:00:00, None, -2.5
None, 5.0, -5.6, None, 2017-01-27 00:00:00, None, 0.3
None, 7.3, -0.9, None, 2017-01-28 00:00:00, None, 0.7
None, 1.7, -7.5, None, 2017-01-29 00:00:00, None, 0.1
None, 0.0, -14.6, None, 2017-01-30 00:00:00, None, -5.9
None, 0.0, -20.4, None, 2017-01-31 00:00:00, None, -9.5
None, 0.0, -26.3, None, 2017-02-01 00:00:00, None, -13.8
None, 0.0, -24.2, None, 2017-02-02 00:00:00, None, -14.9
None, 0.0, -22.7, None, 2017-02-03 00:00:00, None, -11.6
None, 0.0, -27.4, None, 2017-02-04 00:00:00, None, -13.6
None, 0.0, -27.3, None, 2017-02-05 00:00:00, None, -14.0
None, 0.0, -28.3, None, 2017-02-06 00:00:00, None, -14.1
None, 0.0, -30.6, None, 2017-02-07 00:00:00, None, -16.1
None, 0.0, -30.5, None, 2017-02-08 00:00:00, None, -15.1
None, 0.0, -31.2, None, 2017-02-09 00:00:00, None, -14.1
None, 0.0, -25.7, None, 2017-02-10 00:00:00, None, -9.1
None, 0.5, -15.8, None, 2017-02-11 00:00:00, None, -2.3
None, 0.5, -2.8, None, 2017-02-12 00:00:00, None, 1.3
None, 0.7, -3.2, None, 2017-02-13 00:00:00, None, 6.8
None, 5.2, -4.8, None, 2017-02-14 00:00:00, None, 4.8
None, 2.8, -1.2, None, 2017-02-15 00:00:00, None, 6.5
None, 0.3, -2.8, None, 2017-02-16 00:00:00, None, 0.5
None, 0.0, -5.0, None, 2017-02-17 00:00:00, None, -0.5
None, 0.0, -7.8, None, 2017-02-18 00:00:00, None, -2.4
None, 0.0, -9.6, None, 2017-02-19 00:00:00, None, -1.4
None, 0.0, -9.2, None, 2017-02-20 00:00:00, None, -1.9
None, 0.0, -9.3, None, 2017-02-21 00:00:00, None, -0.2
None, 0.0, -15.6, None, 2017-02-22 00:00:00, None, -5.5
None, 0.0, -18.2, None, 2017-02-23 00:00:00, None, -4.2
None, 0.0, -19.2, None, 2017-02-24 00:00:00, None, -4.1
None, 0.0, -17.0, None, 2017-02-25 00:00:00, None, -5.5
None, 0.0, -17.1, None, 2017-02-26 00:00:00, None, -4.8
None, 1.0, -15.2, None, 2017-02-27 00:00:00, None, -3.9
None, 1.0, -16.0, None, 2017-02-28 00:00:00, None, -5.9
None, 1.0, -13.2, None, 2017-03-01 00:00:00, None, -3.3
None, 5.0, -9.0, None, 2017-03-02 00:00:00, None, -0.8
None, 0.0, -14.7, None, 2017-03-03 00:00:00, None, -2.7
None, 0.0, -16.8, None, 2017-03-04 00:00:00, None, -10.0
None, 0.0, -24.0, None, 2017-03-05 00:00:00, None, -8.7
None, 0.0, -20.5, None, 2017-03-06 00:00:00, None, -8.9
None, 0.0, -25.6, None, 2017-03-07 00:00:00, None, -14.1
None, 0.0, -18.8, None, 2017-03-08 00:00:00, None, -13.1
None, 0.0, -26.3, None, 2017-03-09 00:00:00, None, -13.5
None, 0.0, -23.7, None, 2017-03-10 00:00:00, None, -11.7
None, 4.0, -24.4, None, 2017-03-11 00:00:00, None, -12.7
None, 7.0, -15.5, None, 2017-03-12 00:00:00, None, -10.7
None, 2.0, -11.3, None, 2017-03-13 00:00:00, None, 2.2
None, 3.0, -7.6, None, 2017-03-14 00:00:00, None, 2.5
None, 1.0, -7.8, None, 2017-03-15 00:00:00, None, 1.8
None, 1.0, -9.8, None, 2017-03-16 00:00:00, None, 2.2
None, 9.0, -10.5, None, 2017-03-17 00:00:00, None, 1.2
None, 7.0, -9.5, None, 2017-03-18 00:00:00, None, -0.4
None, 0.0, -12.8, None, 2017-03-19 00:00:00, None, -2.6
None, 0.0, -18.8, None, 2017-03-20 00:00:00, None, 3.1
None, 0.0, -15.4, None, 2017-03-21 00:00:00, None, 4.4
None, 6.0, -3.7, None, 2017-03-22 00:00:00, None, 5.0
None, 0.0, -8.9, None, 2017-03-23 00:00:00, None, 1.6
None, 1.0, -10.3, None, 2017-03-24 00:00:00, None, 2.5
None, 2.0, -7.2, None, 2017-03-25 00:00:00, None, 5.7
None, 0.0, -12.9, None, 2017-03-26 00:00:00, None, 4.4
None, 0.0, -4.3, None, 2017-03-27 00:00:00, None, 5.9
None, 0.0, -3.5, None, 2017-03-28 00:00:00, None, 6.7
None, 3.0, -2.3, None, 2017-03-29 00:00:00, None, 6.4
None, 0.0, -4.5, None, 2017-03-30 00:00:00, None, 8.0
None, 0.0, -2.0, None, 2017-03-31 00:00:00, None, 2.8
None, 0.0, 4.6, None, 2017-06-01 00:00:00, None, 17.8
None, 1.0, 3.6, None, 2017-06-02 00:00:00, None, 15.5
None, 8.0, -1.0, None, 2017-06-03 00:00:00, None, 7.7
None, 0.0, -2.7, None, 2017-06-04 00:00:00, None, 14.5
None, 0.0, 1.3, None, 2017-06-05 00:00:00, None, 13.9
None, 0.0, 3.4, None, 2017-06-06 00:00:00, None, 19.5
None, 0.0, 4.8, None, 2017-06-07 00:00:00, None, 25.4
None, 3.0, 9.9, None, 2017-06-08 00:00:00, None, 27.0
None, 6.0, 7.3, None, 2017-06-09 00:00:00, None, 15.2
None, 1.0, 3.2, None, 2017-06-10 00:00:00, None, 22.8
None, 1.0, 9.3, None, 2017-06-11 00:00:00, None, 15.9
None, 0.0, 3.4, None, 2017-06-12 00:00:00, None, 14.7
None, 0.0, 1.2, None, 2017-06-13 00:00:00, None, 16.6
None, 1.0, 4.0, None, 2017-06-14 00:00:00, None, 14.4
None, 1.0, 0.3, None, 2017-06-15 00:00:00, None, 13.0
None, 1.0, 4.7, None, 2017-06-16 00:00:00, None, 15.4
None, 0.0, 1.0, None, 2017-06-17 00:00:00, None, 13.6
None, 0.0, 3.0, None, 2017-06-18 00:00:00, None, 18.4
None, 3.0, 6.3, None, 2017-06-19 00:00:00, None, 15.1
None, 2.0, 5.5, None, 2017-06-20 00:00:00, None, 13.3
None, 0.0, 5.6, None, 2017-06-21 00:00:00, None, 12.8
None, 2.0, 4.6, None, 2017-06-22 00:00:00, None, 14.1
None, 0.0, 1.8, None, 2017-06-23 00:00:00, None, 20.3
None, 0.0, 2.4, None, 2017-06-24 00:00:00, None, 23.6
None, 2.0, 6.2, None, 2017-06-25 00:00:00, None, 23.0
None, 0.0, 6.0, None, 2017-06-26 00:00:00, None, 18.8
None, 0.0, 9.8, None, 2017-06-27 00:00:00, None, 20.1
None, 0.0, 6.4, None, 2017-06-28 00:00:00, None, 25.8
None, 0.0, 12.3, None, 2017-06-29 00:00:00, None, 20.5
None, 0.0, 8.3, None, 2017-06-30 00:00:00, None, 22.4
None, 0.0, 7.7, None, 2017-07-01 00:00:00, None, 19.9
None, 2.0, 5.7, None, 2017-07-02 00:00:00, None, 17.7
None, 0.0, 6.4, None, 2017-07-03 00:00:00, None, 15.1
None, 0.0, 5.2, None, 2017-07-04 00:00:00, None, 17.1
None, 0.0, 1.8, None, 2017-07-05 00:00:00, None, 22.1
None, 0.0, 4.2, None, 2017-07-06 00:00:00, None, 26.8
None, 7.0, 6.9, None, 2017-07-07 00:00:00, None, 30.6
None, 0.0, 7.3, None, 2017-07-08 00:00:00, None, 22.4
None, 1.0, 6.8, None, 2017-07-09 00:00:00, None, 19.3
None, 0.0, 4.5, None, 2017-07-10 00:00:00, None, 16.3
None, 0.0, 1.0, None, 2017-07-11 00:00:00, None, 16.3
None, 4.0, 6.3, None, 2017-07-12 00:00:00, None, 13.6
None, 2.0, 6.2, None, 2017-07-13 00:00:00, None, 12.8
None, 7.0, 5.7, None, 2017-07-14 00:00:00, None, 15.3
None, 3.0, 3.5, None, 2017-07-15 00:00:00, None, 13.1
None, 2.0, 5.2, None, 2017-07-16 00:00:00, None, 13.7
None, 0.0, 8.9, None, 2017-07-17 00:00:00, None, 13.5
None, 0.0, 9.3, None, 2017-07-18 00:00:00, None, 21.2
None, 0.0, 7.6, None, 2017-07-19 00:00:00, None, 23.9
None, 0.0, 7.4, None, 2017-07-20 00:00:00, None, 24.3
None, 0.0, 7.3, None, 2017-07-21 00:00:00, None, 21.5
None, 10.0, 5.4, None, 2017-07-22 00:00:00, None, 17.4
None, 2.0, 5.7, None, 2017-07-23 00:00:00, None, 13.8
None, 0.0, 5.5, None, 2017-07-24 00:00:00, None, 23.0
None, 0.0, 6.8, None, 2017-07-25 00:00:00, None, 25.5
None, 2.0, 8.3, None, 2017-07-26 00:00:00, None, 21.8
None, 0.0, 5.3, None, 2017-07-27 00:00:00, None, 17.9
None, 0.0, 6.0, None, 2017-07-28 00:00:00, None, 20.7
None, 3.0, 4.5, None, 2017-07-29 00:00:00, None, 17.1
None, 0.0, 4.6, None, 2017-07-30 00:00:00, None, 16.7
None, 0.0, 4.4, None, 2017-07-31 00:00:00, None, 18.6
None, 0.0, 2.6, None, 2017-08-01 00:00:00, None, 24.0
None, 0.0, 5.8, None, 2017-08-02 00:00:00, None, 27.1
None, 0.0, 10.6, None, 2017-08-03 00:00:00, None, 25.5
None, 0.0, 6.5, None, 2017-08-04 00:00:00, None, 27.6
None, 0.0, 6.9, None, 2017-08-05 00:00:00, None, 28.0
None, 7.0, 9.3, None, 2017-08-06 00:00:00, None, 27.1
None, 0.0, 5.7, None, 2017-08-07 00:00:00, None, 26.9
None, 0.0, 8.2, None, 2017-08-08 00:00:00, None, 29.5
None, 0.0, 9.6, None, 2017-08-09 00:00:00, None, 29.6
None, 0.0, 10.1, None, 2017-08-10 00:00:00, None, 30.0
None, 0.0, 9.8, None, 2017-08-11 00:00:00, None, 27.6
None, 1.0, 9.2, None, 2017-08-12 00:00:00, None, 28.3
None, 0.0, 8.9, None, 2017-08-13 00:00:00, None, 17.5
None, 0.0, 6.8, None, 2017-08-14 00:00:00, None, 17.7
None, 1.0, 6.3, None, 2017-08-15 00:00:00, None, 16.8
None, 0.0, 8.1, None, 2017-08-16 00:00:00, None, 15.4
None, 5.0, 8.3, None, 2017-08-17 00:00:00, None, 15.2
None, 5.0, 4.1, None, 2017-08-18 00:00:00, None, 12.6
None, 0.0, 2.5, None, 2017-08-19 00:00:00, None, 12.8
None, 0.0, 6.5, None, 2017-08-20 00:00:00, None, 16.7
None, 3.0, 8.1, None, 2017-08-21 00:00:00, None, 15.0
None, 0.0, 6.3, None, 2017-08-22 00:00:00, None, 23.0
None, 1.0, 5.0, None, 2017-08-23 00:00:00, None, 18.9
None, 0.0, 5.9, None, 2017-08-24 00:00:00, None, 17.9
None, 0.0, 3.3, None, 2017-08-25 00:00:00, None, 15.3
None, 2.0, 7.3, None, 2017-08-26 00:00:00, None, 14.8
None, 0.0, 4.5, None, 2017-08-27 00:00:00, None, 14.9
None, 0.0, 0.2, None, 2017-08-28 00:00:00, None, 20.1
None, 1.0, 1.0, None, 2017-08-29 00:00:00, None, 19.2
None, 2.0, 3.0, None, 2017-08-30 00:00:00, None, 16.8
