station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, rel_hum, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, -6.356, 87.2, None, None, 29.2, 6.164, 163.3, None, None, None, None, None, None, -8.0, 908.0, None, None, None, 2017-01-06 14:00:00, None, 29.85, None
None, -6.258, 86.2, None, None, 29.91, 5.782, 163.4, None, None, None, None, None, None, -8.0, 908.0, None, None, None, 2017-01-06 15:00:00, None, 29.74, None
None, -6.477, 86.8, None, None, 32.87, 5.469, 164.2, None, None, None, None, None, None, -8.0, 908.0, None, None, None, 2017-01-06 16:00:00, None, 29.68, None
None, -6.577, 86.9, None, None, 24.87, 4.925, 154.6, None, None, None, None, None, None, -8.0, 909.0, None, None, None, 2017-01-06 17:00:00, None, 29.61, None
None, -6.513, 85.6, None, None, 18.26, 6.068, 149.3, None, None, None, None, None, None, -8.0, 909.0, None, None, None, 2017-01-06 18:00:00, None, 29.51, None
None, -6.508, 86.6, None, None, 22.25, 3.627, 129.8, None, None, None, None, None, None, -8.0, 910.0, None, None, None, 2017-01-06 19:00:00, None, 29.33, None
None, -7.001, 87.7, None, None, 32.5, 1.844, 115.3, None, None, None, None, None, None, -8.0, 910.0, None, None, None, 2017-01-06 20:00:00, None, 29.04, None
None, -6.945, 88.9, None, None, 24.89, 2.514, 126.8, None, None, None, None, None, None, -8.0, 910.0, None, None, None, 2017-01-06 21:00:00, None, 29.12, None
None, -6.761, 88.4, None, None, 25.88, 2.291, 109.3, None, None, None, None, None, None, -8.0, 911.0, None, None, None, 2017-01-06 22:00:00, None, 29.21, None
None, -6.506, 87.3, None, None, 25.93, 2.756, 100.0, None, None, None, None, None, None, -8.0, 911.0, None, None, None, 2017-01-06 23:00:00, None, 28.98, None
None, -6.653, 89.0, None, None, 27.89, 1.801, 103.6, None, None, None, None, None, None, -8.0, 912.0, None, None, None, 2017-01-07 00:00:00, None, 28.96, None
