AirTemperature,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
0.2,0.0,5.9, None,2017-03-05 00:00:00,310.0,97.0,10
0.1,0.0,5.6, None,2017-03-05 00:15:00,313.0,97.0,10
0.0,0.0,5.8, None,2017-03-05 00:30:00,300.0,98.0,10
-0.1,0.0,7.4, None,2017-03-05 00:45:00,296.0,98.0,10
-0.1,0.0,6.3, None,2017-03-05 01:00:00,312.0,98.0,10
-0.1,0.0,6.5, None,2017-03-05 01:15:00,310.0,98.0,10
-0.1,0.0,6.0, None,2017-03-05 01:30:00,319.0,98.0,10
-0.1,0.0,4.4, None,2017-03-05 01:45:00,318.0,98.0,10
-0.2,0.0,3.8, None,2017-03-05 02:00:00,345.0,98.0,10
-0.2,0.0,4.0, None,2017-03-05 02:15:00,312.0,98.0,10
-0.2,0.0,2.2, None,2017-03-05 02:30:00,295.0,98.0,10
-0.1,0.0,1.7, None,2017-03-05 02:45:00,290.0,98.0,10
-0.1,0.0,2.1, None,2017-03-05 03:00:00,351.0,97.0,10
-0.2,0.0,1.1, None,2017-03-05 03:15:00,336.0,97.0,10
-0.2,0.0,1.4, None,2017-03-05 03:30:00,44.0,97.0,10
-0.4,0.0,4.3, None,2017-03-05 03:45:00,328.0,97.0,10
-0.5,0.0,6.4, None,2017-03-05 04:00:00,299.0,97.0,10
-0.5,0.0,6.8, None,2017-03-05 04:15:00,318.0,97.0,10
-0.5,0.0,4.3, None,2017-03-05 04:30:00,316.0,97.0,10
-0.5,0.0,3.8, None,2017-03-05 04:45:00,5.0,97.0,10
-0.5,0.0,3.1, None,2017-03-05 05:00:00,69.0,98.0,10
-0.5,0.0,0.7, None,2017-03-05 05:15:00,68.0,98.0,10
-0.6,0.0,0.3, None,2017-03-05 05:30:00,35.0,98.0,10
-0.9,0.0,0.9, None,2017-03-05 05:45:00,10.0,98.0,10
-1.2,0.0,1.0, None,2017-03-05 06:00:00,79.0,98.0,10
-1.3,0.0,0.8, None,2017-03-05 06:15:00,92.0,98.0,10
-1.5,0.0,0.7, None,2017-03-05 06:30:00,82.0,98.0,10
-1.5,0.0,1.8, None,2017-03-05 06:45:00,78.0,98.0,10
-1.8,0.0,0.0, None,2017-03-05 07:00:00,355.0,98.0,10
-1.9,0.0,0.9, None,2017-03-05 07:15:00,121.0,98.0,10
-1.5,0.0,1.0, None,2017-03-05 07:30:00,27.0,99.0,10
-1.6,0.0,0.3, None,2017-03-05 07:45:00,290.0,98.0,10
-1.1,0.0,3.7, None,2017-03-05 08:00:00,55.0,98.0,10
-0.6,0.0,1.1, None,2017-03-05 08:15:00,70.0,98.0,10
-0.2,0.0,1.0, None,2017-03-05 08:30:00,51.0,98.0,10
0.1,0.0,0.7, None,2017-03-05 08:45:00,65.0,96.0,10
0.8,0.0,2.1, None,2017-03-05 09:00:00,46.0,93.0,10
1.7,0.0,0.3, None,2017-03-05 09:15:00,38.0,90.0,10
1.7,0.0,3.5, None,2017-03-05 09:30:00,38.0,89.0,10
2.4,0.0,2.3, None,2017-03-05 09:45:00,35.0,83.0,10
2.9,0.0,2.8, None,2017-03-05 10:00:00,33.0,83.0,10
3.0,0.0,4.0, None,2017-03-05 10:15:00,21.0,79.0,10
3.0,1.78,7.7, None,2017-03-05 10:30:00,38.0,81.0,10
4.6,2.03,4.9, None,2017-03-05 10:45:00,17.0,73.0,10
4.5,1.02,4.6, None,2017-03-05 11:00:00,354.0,76.0,10
3.6,0.51,2.9, None,2017-03-05 11:15:00,66.0,80.0,10
3.6,0.5,5.9, None,2017-03-05 11:30:00,312.0,82.0,10
3.3,0.26,4.8, None,2017-03-05 11:45:00,340.0,83.0,10
3.0,0.0,2.0, None,2017-03-05 12:00:00,62.0,82.0,10
2.5,0.0,4.2, None,2017-03-05 12:15:00,6.0,85.0,10
1.9,0.0,5.5, None,2017-03-05 12:30:00,357.0,89.0,10
1.8,0.0,3.5, None,2017-03-05 12:45:00,349.0,90.0,10
2.4,0.0,4.7, None,2017-03-05 13:00:00,332.0,89.0,10
1.8,0.0,8.7, None,2017-03-05 13:15:00,312.0,91.0,10
2.4,0.0,7.4, None,2017-03-05 13:30:00,313.0,90.0,10
2.0,0.0,6.5, None,2017-03-05 13:45:00,297.0,90.0,10
1.7,0.0,7.3, None,2017-03-05 14:00:00,305.0,92.0,10
1.9,0.0,6.3, None,2017-03-05 14:15:00,313.0,93.0,10
1.7,0.0,6.1, None,2017-03-05 14:30:00,300.0,93.0,10
1.7,0.0,6.3, None,2017-03-05 14:45:00,309.0,93.0,10
1.7,0.0,6.0, None,2017-03-05 15:00:00,313.0,94.0,10
1.6,0.0,4.7, None,2017-03-05 15:15:00,333.0,93.0,10
1.8,0.0,5.1, None,2017-03-05 15:30:00,332.0,92.0,10
1.9,0.0,3.6, None,2017-03-05 15:45:00,305.0,93.0,10
1.9,0.0,4.5, None,2017-03-05 16:00:00,293.0,93.0,10
2.0,0.0,2.7, None,2017-03-05 16:15:00,305.0,93.0,10
1.8,0.0,6.4, None,2017-03-05 16:30:00,309.0,92.0,10
1.7,0.0,2.4, None,2017-03-05 16:45:00,357.0,92.0,10
1.5,0.0,5.0, None,2017-03-05 17:00:00,111.0,95.0,10
1.4,0.0,1.8, None,2017-03-05 17:15:00,113.0,96.0,10
1.3,0.0,1.9, None,2017-03-05 17:30:00,150.0,96.0,10
1.2,0.0,3.1, None,2017-03-05 17:45:00,137.0,97.0,10
1.0,0.0,1.7, None,2017-03-05 18:00:00,113.0,97.0,10
0.8,0.0,3.6, None,2017-03-05 18:15:00,127.0,97.0,10
0.7,0.0,0.1, None,2017-03-05 18:30:00,180.0,98.0,10
0.5,0.0,1.2, None,2017-03-05 18:45:00,189.0,98.0,10
0.1,0.0,0.0, None,2017-03-05 19:00:00,250.0,98.0,10
-0.2,0.0,1.5, None,2017-03-05 19:15:00,252.0,98.0,10
-0.3,0.0,3.0, None,2017-03-05 19:30:00,266.0,99.0,10
-0.3,0.0,4.2, None,2017-03-05 19:45:00,256.0,99.0,10
-0.3,0.0,5.0, None,2017-03-05 20:00:00,252.0,99.0,10
-0.3,0.0,3.4, None,2017-03-05 20:15:00,288.0,99.0,10
-0.3,0.0,4.8, None,2017-03-05 20:30:00,291.0,99.0,10
-0.4,0.0,4.1, None,2017-03-05 20:45:00,248.0,99.0,10
-0.7,0.0,4.1, None,2017-03-05 21:00:00,261.0,99.0,10
-0.7,0.0,2.5, None,2017-03-05 21:15:00,262.0,99.0,10
-0.9,0.0,4.1, None,2017-03-05 21:30:00,270.0,99.0,10
-0.9,0.0,1.7, None,2017-03-05 21:45:00,238.0,99.0,10
-1.0,0.0,2.4, None,2017-03-05 22:00:00,241.0,99.0,10
-1.0,0.0,3.0, None,2017-03-05 22:15:00,262.0,99.0,10
-0.8,0.0,3.9, None,2017-03-05 22:30:00,276.0,99.0,10
-0.5,0.0,2.4, None,2017-03-05 22:45:00,322.0,99.0,10
-0.5,0.0,3.5, None,2017-03-05 23:00:00,258.0,99.0,10
-0.3,0.0,2.4, None,2017-03-05 23:15:00,213.0,99.0,10
-0.3,0.0,2.5, None,2017-03-05 23:30:00,248.0,99.0,10
-0.5,0.0,3.1, None,2017-03-05 23:45:00,334.0,99.0,10
-0.5,0.0,5.5, None,2017-03-06 00:00:00,293.0,99.0,10
-0.6,0.0,4.1, None,2017-03-06 00:15:00,299.0,99.0,10
-0.8,0.0,4.7, None,2017-03-06 00:30:00,228.0,99.0,10
-0.7,0.0,7.9, None,2017-03-06 00:45:00,270.0,96.0,10
-0.1,0.0,11.1, None,2017-03-06 01:00:00,230.0,82.0,10
0.1,0.0,8.1, None,2017-03-06 01:15:00,242.0,87.0,10
