pcpn_amt_pst24hrs,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None, 0.4, 324.0, None, None, 1607.0, 1878.0, None,2017-04-30 00:00:00, None,18
None, None, None, None, 0.5, 324.0, None, None, 1608.0, 1880.0, None,2017-04-30 01:00:00, None,18
None, None, None, None, 0.3, 324.0, None, None, 1609.0, 1883.0, None,2017-04-30 02:00:00, None,18
None, None, None, None, 0.2, 325.0, None, None, 1610.0, 1884.0, None,2017-04-30 03:00:00, None,18
None, None, None, None, 0.2, 326.0, None, None, 1611.0, 1884.0, None,2017-04-30 04:00:00, None,18
None, None, None, None, 0.1, 326.0, None, None, 1612.0, 1884.0, None,2017-04-30 05:00:00, None,18
None, None, None, None, 0.1, 326.0, None, None, 1613.0, 1884.0, None,2017-04-30 06:00:00, None,18
None, None, None, None, 0.3, 327.0, None, None, 1614.0, 1885.0, None,2017-04-30 07:00:00, None,18
None, None, None, None, 0.4, 327.0, None, None, 1615.0, 1886.0, None,2017-04-30 08:00:00, None,18
None, None, None, None, 0.5, 327.0, None, None, 1616.0, 1886.0, None,2017-04-30 09:00:00, None,18
None, None, None, None, 0.7, 328.0, None, None, 1618.0, 1886.0, None,2017-04-30 10:00:00, None,18
None, None, None, None, 0.6, 328.0, None, None, 1619.0, 1885.0, None,2017-04-30 11:00:00, None,18
None, None, None, None, 0.3, 327.0, None, None, 1620.0, 1884.0, None,2017-04-30 12:00:00, None,18
None, None, None, None, 0.2, 328.0, None, None, 1621.0, 1883.0, None,2017-04-30 13:00:00, None,18
None, None, None, None, 0.0, 328.0, None, None, 1624.0, 1882.0, None,2017-04-30 14:00:00, None,18
None, None, None, None, -0.3, 328.0, None, None, 1624.0, 1881.0, None,2017-04-30 15:00:00, None,18
None, None, None, None, -0.2, 328.0, None, None, 1625.0, 1880.0, None,2017-04-30 16:00:00, None,18
None, None, None, None, 0.0, 328.0, None, None, 1625.0, 1879.0, None,2017-04-30 17:00:00, None,18
None, None, None, None, 0.0, 327.0, None, None, 1625.0, 1878.0, None,2017-04-30 18:00:00, None,18
None, None, None, None, 0.2, 326.0, None, None, 1625.0, 1877.0, None,2017-04-30 19:00:00, None,18
None, None, None, None, 0.1, 328.0, None, None, 1625.0, 1876.0, None,2017-04-30 20:00:00, None,18
None, None, None, None, 0.3, 327.0, None, None, 1625.0, 1876.0, None,2017-04-30 21:00:00, None,18
None, None, None, None, 0.6, 327.0, None, None, 1626.0, 1876.0, None,2017-04-30 22:00:00, None,18
None, None, None, None, 0.9, 327.0, None, None, 1626.0, 1876.0, None,2017-04-30 23:00:00, None,18
None, None, None, None, 0.8, 327.0, None, None, 1626.0, 1875.0, None,2017-05-01 00:00:00, None,18
None, None, None, None, 1.0, 328.0, None, None, 1626.0, 1875.0, None,2017-05-01 01:00:00, None,18
None, None, None, None, 0.9, 328.0, None, None, 1626.0, 1875.0, None,2017-05-01 02:00:00, None,18
None, None, None, None, 0.5, 328.0, None, None, 1626.0, 1876.0, None,2017-05-01 03:00:00, None,18
None, None, None, None, 0.2, 328.0, None, None, 1626.0, 1875.0, None,2017-05-01 04:00:00, None,18
None, None, None, None, 0.3, 328.0, None, None, 1626.0, 1875.0, None,2017-05-01 05:00:00, None,18
None, None, None, None, 0.4, 328.0, None, None, 1626.0, 1872.0, None,2017-05-01 06:00:00, None,18
None, None, None, None, 0.2, 328.0, None, None, 1626.0, 1872.0, None,2017-05-01 07:00:00, None,18
None, None, None, None, 0.5, 328.0, None, None, 1626.0, 1872.0, None,2017-05-01 08:00:00, None,18
None, None, None, None, 0.2, 328.0, None, None, 1626.0, 1873.0, None,2017-05-01 09:00:00, None,18
None, None, None, None, 0.3, 328.0, None, None, 1627.0, 1874.0, None,2017-05-01 10:00:00, None,18
None, None, None, None, 0.2, 328.0, None, None, 1627.0, 1875.0, None,2017-05-01 11:00:00, None,18
None, None, None, None, 0.3, 328.0, None, None, 1627.0, 1875.0, None,2017-05-01 12:00:00, None,18
None, None, None, None, 0.2, 327.0, None, None, 1627.0, 1878.0, None,2017-05-01 13:00:00, None,18
None, None, None, None, 0.4, 327.0, None, None, 1626.0, 1879.0, None,2017-05-01 14:00:00, None,18
None, None, None, None, 0.2, 327.0, None, None, 1627.0, 1881.0, None,2017-05-01 15:00:00, None,18
None, None, None, None, 0.5, 327.0, None, None, 1626.0, 1882.0, None,2017-05-01 16:00:00, None,18
None, None, None, None, 0.8, 327.0, None, None, 1626.0, 1883.0, None,2017-05-01 17:00:00, None,18
None, None, None, None, 0.8, 327.0, None, None, 1627.0, 1883.0, None,2017-05-01 18:00:00, None,18
None, None, None, None, 1.2, 327.0, None, None, 1627.0, 1884.0, None,2017-05-01 19:00:00, None,18
None, None, None, None, 1.4, 327.0, None, None, 1627.0, 1884.0, None,2017-05-01 20:00:00, None,18
None, None, None, None, 1.8, 326.0, None, None, 1627.0, 1884.0, None,2017-05-01 21:00:00, None,18
None, None, None, None, 2.4, 326.0, None, None, 1627.0, 1887.0, None,2017-05-01 22:00:00, None,18
None, None, None, None, 2.5, 325.0, None, None, 1627.0, 1888.0, None,2017-05-01 23:00:00, None,18
None, None, None, None, 2.3, 325.0, None, None, 1627.0, 1888.0, None,2017-05-02 00:00:00, None,18
None, None, None, None, 2.1, 325.0, None, None, 1627.0, 1889.0, None,2017-05-02 01:00:00, None,18
None, None, None, None, 1.8, 325.0, None, None, 1628.0, 1889.0, None,2017-05-02 02:00:00, None,18
None, None, None, None, 1.2, 325.0, None, None, 1628.0, 1887.0, None,2017-05-02 03:00:00, None,18
None, None, None, None, 1.1, 325.0, None, None, 1628.0, 1885.0, None,2017-05-02 04:00:00, None,18
None, None, None, None, 1.0, 325.0, None, None, 1628.0, 1885.0, None,2017-05-02 05:00:00, None,18
None, None, None, None, 0.1, 325.0, None, None, 1628.0, 1884.0, None,2017-05-02 06:00:00, None,18
None, None, None, None, -0.2, 325.0, None, None, 1628.0, 1884.0, None,2017-05-02 07:00:00, None,18
None, None, None, None, -0.7, 325.0, None, None, 1628.0, 1884.0, None,2017-05-02 08:00:00, None,18
None, None, None, None, -0.4, 325.0, None, None, 1629.0, 1883.0, None,2017-05-02 09:00:00, None,18
None, None, None, None, -0.2, 325.0, None, None, 1629.0, 1882.0, None,2017-05-02 10:00:00, None,18
None, None, None, None, -0.1, 325.0, None, None, 1629.0, 1881.0, None,2017-05-02 11:00:00, None,18
None, None, None, None, -0.2, 324.0, None, None, 1629.0, 1878.0, None,2017-05-02 12:00:00, None,18
None, None, None, None, -0.4, 324.0, None, None, 1629.0, 1878.0, None,2017-05-02 13:00:00, None,18
None, None, None, None, -0.3, 324.0, None, None, 1629.0, 1878.0, None,2017-05-02 14:00:00, None,18
None, None, None, None, 0.1, 324.0, None, None, 1629.0, 1878.0, None,2017-05-02 15:00:00, None,18
None, None, None, None, 0.5, 324.0, None, None, 1629.0, 1878.0, None,2017-05-02 16:00:00, None,18
None, None, None, None, 3.2, 323.0, None, None, 1627.0, 1878.0, None,2017-05-02 17:00:00, None,18
None, None, None, None, 6.4, 323.0, None, None, 1625.0, 1878.0, None,2017-05-02 18:00:00, None,18
None, None, None, None, 8.1, 322.0, None, None, 1623.0, 1879.0, None,2017-05-02 19:00:00, None,18
None, None, None, None, 8.5, 323.0, None, None, 1622.0, 1882.0, None,2017-05-02 20:00:00, None,18
None, None, None, None, 9.8, 322.0, None, None, 1621.0, 1882.0, None,2017-05-02 21:00:00, None,18
None, None, None, None, 9.7, 322.0, None, None, 1621.0, 1882.0, None,2017-05-02 22:00:00, None,18
None, None, None, None, 8.8, 321.0, None, None, 1621.0, 1882.0, None,2017-05-02 23:00:00, None,18
None, None, None, None, 8.0, 321.0, None, None, 1622.0, 1882.0, None,2017-05-03 00:00:00, None,18
None, None, None, None, 6.4, 320.0, None, None, 1623.0, 1880.0, None,2017-05-03 01:00:00, None,18
None, None, None, None, 5.3, 320.0, None, None, 1623.0, 1879.0, None,2017-05-03 02:00:00, None,18
None, None, None, None, 3.4, 320.0, None, None, 1624.0, 1877.0, None,2017-05-03 03:00:00, None,18
None, None, None, None, 2.2, 321.0, None, None, 1624.0, 1874.0, None,2017-05-03 04:00:00, None,18
None, None, None, None, 1.9, 320.0, None, None, 1624.0, 1870.0, None,2017-05-03 05:00:00, None,18
None, None, None, None, 1.9, 320.0, None, None, 1625.0, 1870.0, None,2017-05-03 06:00:00, None,18
None, None, None, None, 1.9, 320.0, None, None, 1625.0, 1870.0, None,2017-05-03 07:00:00, None,18
None, None, None, None, 2.0, 320.0, None, None, 1625.0, 1871.0, None,2017-05-03 08:00:00, None,18
