TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, 1.434, None, 81.5,2017-05-07 00:00:00, 7.177,19
None, 0.632, None, 84.5,2017-05-07 01:00:00, 6.244,19
None, 0.532998, None, 89.5,2017-05-07 02:00:00, 5.094,19
None, 0.345999, None, 91.1,2017-05-07 03:00:00, 4.306,19
None, 0.225998, None, 93.3,2017-05-07 04:00:00, 3.554,19
None, 0.254, None, 94.8,2017-05-07 05:00:00, 2.916,19
None, 0.175999, None, 95.3,2017-05-07 06:00:00, 3.22,19
None, 0.347, None, 87.1,2017-05-07 07:00:00, 5.381,19
None, 0.785, None, 72.37,2017-05-07 08:00:00, 8.84,19
None, 0.773998, None, 59.59,2017-05-07 09:00:00, 11.49,19
None, 1.108, None, 53.61,2017-05-07 10:00:00, 12.99,19
None, 1.68, None, 51.31,2017-05-07 11:00:00, 14.2,19
None, 2.008, None, 49.58,2017-05-07 12:00:00, 14.56,19
None, 1.979, None, 46.06,2017-05-07 13:00:00, 15.56,19
None, 1.922, None, 46.61,2017-05-07 14:00:00, 15.91,19
None, 2.19, None, 46.43,2017-05-07 15:00:00, 16.26,19
None, 2.425, None, 45.55,2017-05-07 16:00:00, 16.13,19
None, 2.075, None, 42.94,2017-05-07 17:00:00, 16.01,19
None, 1.534, None, 42.45,2017-05-07 18:00:00, 15.27,19
None, 1.402, None, 44.73,2017-05-07 19:00:00, 14.48,19
None, 0.748, None, 57.1,2017-05-07 20:00:00, 13.13,19
None, 0.616998, None, 72.26,2017-05-07 21:00:00, 10.6,19
None, 0.635999, None, 78.56,2017-05-07 22:00:00, 9.04,19
None, 1.573, None, 75.55,2017-05-07 23:00:00, 9.03,19
None, 1.532, None, 72.41,2017-05-08 00:00:00, 9.21,19
None, 1.237, None, 73.69,2017-05-08 01:00:00, 9.07,19
None, 0.977998, None, 76.32,2017-05-08 02:00:00, 8.76,19
None, 0.407, None, 78.07,2017-05-08 03:00:00, 8.6,19
None, 0.375, None, 78.85,2017-05-08 04:00:00, 8.61,19
None, 0.407, None, 79.66,2017-05-08 05:00:00, 8.65,19
None, 0.694, None, 79.19,2017-05-08 06:00:00, 8.78,19
None, 0.61, None, 76.19,2017-05-08 07:00:00, 9.49,19
None, 0.662998, None, 73.47,2017-05-08 08:00:00, 10.36,19
None, 0.759, None, 75.64,2017-05-08 09:00:00, 11.69,19
None, 1.088, None, 72.58,2017-05-08 10:00:00, 12.72,19
None, 0.907, None, 65.39,2017-05-08 11:00:00, 13.83,19
None, 1.094, None, 60.22,2017-05-08 12:00:00, 14.83,19
None, 1.045, None, 61.19,2017-05-08 13:00:00, 14.52,19
None, 1.056, None, 55.56,2017-05-08 14:00:00, 15.68,19
None, 0.822, None, 49.83,2017-05-08 15:00:00, 16.26,19
None, 0.87, None, 47.81,2017-05-08 16:00:00, 16.81,19
None, 0.950999, None, 50.1,2017-05-08 17:00:00, 16.29,19
None, 0.954999, None, 49.19,2017-05-08 18:00:00, 15.99,19
None, 0.792999, None, 50.23,2017-05-08 19:00:00, 14.78,19
None, 0.342, None, 58.82,2017-05-08 20:00:00, 12.97,19
None, 0.3, None, 69.83,2017-05-08 21:00:00, 11.21,19
None, 0.690998, None, 77.42,2017-05-08 22:00:00, 9.69,19
None, 0.486999, None, 81.8,2017-05-08 23:00:00, 8.64,19
None, 0.202, None, 83.5,2017-05-09 00:00:00, 8.02,19
None, 0.275999, None, 87.3,2017-05-09 01:00:00, 7.03,19
None, 0.185, None, 91.2,2017-05-09 02:00:00, 6.142,19
None, 0.111, None, 92.7,2017-05-09 03:00:00, 5.51,19
None, 0.178, None, 93.9,2017-05-09 04:00:00, 5.007,19
None, 0.303999, None, 94.3,2017-05-09 05:00:00, 5.013,19
None, 0.122, None, 93.4,2017-05-09 06:00:00, 5.348,19
None, 0.338999, None, 82.1,2017-05-09 07:00:00, 8.7,19
None, 0.725, None, 71.47,2017-05-09 08:00:00, 11.86,19
None, 0.99, None, 65.05,2017-05-09 09:00:00, 13.69,19
None, 1.107, None, 62.46,2017-05-09 10:00:00, 14.64,19
None, 1.097, None, 57.77,2017-05-09 11:00:00, 15.68,19
None, 1.345, None, 52.67,2017-05-09 12:00:00, 16.74,19
None, 1.049, None, 49.25,2017-05-09 13:00:00, 18.04,19
None, 1.088, None, 46.81,2017-05-09 14:00:00, 18.4,19
None, 1.285, None, 50.88,2017-05-09 15:00:00, 18.09,19
None, 1.301, None, 55.84,2017-05-09 16:00:00, 17.24,19
None, 1.113, None, 55.08,2017-05-09 17:00:00, 17.77,19
None, 0.779999, None, 56.64,2017-05-09 18:00:00, 17.19,19
None, 0.684, None, 59.58,2017-05-09 19:00:00, 16.29,19
None, 0.231, None, 63.87,2017-05-09 20:00:00, 15.35,19
None, 0.555998, None, 72.52,2017-05-09 21:00:00, 13.74,19
None, 0.441, None, 76.74,2017-05-09 22:00:00, 12.79,19
None, 0.34, None, 76.67,2017-05-09 23:00:00, 12.59,19
None, 0.368999, None, 72.13,2017-05-10 00:00:00, 12.49,19
None, 0.568, None, 71.85,2017-05-10 01:00:00, 12.1,19
None, 0.755999, None, 74.81,2017-05-10 02:00:00, 11.25,19
None, 0.958998, None, 78.28,2017-05-10 03:00:00, 10.48,19
None, 1.377, None, 81.5,2017-05-10 04:00:00, 10.02,19
None, 0.834999, None, 82.2,2017-05-10 05:00:00, 9.78,19
None, 0.691999, None, 81.7,2017-05-10 06:00:00, 9.71,19
