WSPD_SCLR,time,week_of_year
1.006,2017-01-08 00:00:00,2
0.937,2017-01-08 01:00:00,2
1.141,2017-01-08 02:00:00,2
0.875,2017-01-08 03:00:00,2
1.234,2017-01-08 04:00:00,2
1.637,2017-01-08 05:00:00,2
1.767,2017-01-08 06:00:00,2
1.125,2017-01-08 07:00:00,2
1.448,2017-01-08 08:00:00,2
1.495,2017-01-08 09:00:00,2
0.992,2017-01-08 10:00:00,2
0.295,2017-01-08 11:00:00,2
0.757,2017-01-08 12:00:00,2
1.226,2017-01-08 13:00:00,2
1.894,2017-01-08 14:00:00,2
1.488,2017-01-08 15:00:00,2
1.259,2017-01-08 16:00:00,2
1.699,2017-01-08 17:00:00,2
1.591,2017-01-08 18:00:00,2
1.896,2017-01-08 19:00:00,2
2.053,2017-01-08 20:00:00,2
1.796,2017-01-08 21:00:00,2
2.186,2017-01-08 22:00:00,2
2.512,2017-01-08 23:00:00,2
2.813,2017-01-09 00:00:00,2
2.089,2017-01-09 01:00:00,2
2.313,2017-01-09 02:00:00,2
1.373,2017-01-09 03:00:00,2
1.544,2017-01-09 04:00:00,2
1.283,2017-01-09 05:00:00,2
1.752,2017-01-09 06:00:00,2
2.245,2017-01-09 07:00:00,2
2.3,2017-01-09 08:00:00,2
1.806,2017-01-09 09:00:00,2
1.514,2017-01-09 10:00:00,2
1.918,2017-01-09 11:00:00,2
1.751,2017-01-09 12:00:00,2
1.828,2017-01-09 13:00:00,2
2.251,2017-01-09 14:00:00,2
1.807,2017-01-09 15:00:00,2
2.124,2017-01-09 16:00:00,2
1.78,2017-01-09 17:00:00,2
1.584,2017-01-09 18:00:00,2
1.924,2017-01-09 19:00:00,2
2.343,2017-01-09 20:00:00,2
2.845,2017-01-09 21:00:00,2
3.224,2017-01-09 22:00:00,2
3.374,2017-01-09 23:00:00,2
3.591,2017-01-10 00:00:00,2
3.553,2017-01-10 01:00:00,2
3.207,2017-01-10 02:00:00,2
6.862,2017-01-10 03:00:00,2
6.262,2017-01-10 04:00:00,2
4.932,2017-01-10 05:00:00,2
3.21,2017-01-10 06:00:00,2
1.838,2017-01-10 07:00:00,2
1.3,2017-01-10 08:00:00,2
1.354,2017-01-10 09:00:00,2
1.585,2017-01-10 10:00:00,2
2.207,2017-01-10 11:00:00,2
2.912,2017-01-10 12:00:00,2
3.117,2017-01-10 13:00:00,2
2.795,2017-01-10 14:00:00,2
2.383,2017-01-10 15:00:00,2
2.133,2017-01-10 16:00:00,2
2.326,2017-01-10 17:00:00,2
2.532,2017-01-10 18:00:00,2
2.443,2017-01-10 19:00:00,2
2.572,2017-01-10 20:00:00,2
3.157,2017-01-10 21:00:00,2
4.076,2017-01-10 22:00:00,2
3.444,2017-01-10 23:00:00,2
3.264,2017-01-11 00:00:00,2
3.224,2017-01-11 01:00:00,2
3.676,2017-01-11 02:00:00,2
3.796,2017-01-11 03:00:00,2
3.079,2017-01-11 04:00:00,2
3.282,2017-01-11 05:00:00,2
3.708,2017-01-11 06:00:00,2
4.009,2017-01-11 07:00:00,2
2.853,2017-01-11 08:00:00,2
3.554,2017-01-11 09:00:00,2
3.521,2017-01-11 10:00:00,2
5.152,2017-01-11 11:00:00,2
4.896,2017-01-11 12:00:00,2
4.331,2017-01-11 13:00:00,2
3.519,2017-01-11 14:00:00,2
3.249,2017-01-11 15:00:00,2
2.155,2017-01-11 16:00:00,2
1.128,2017-01-11 17:00:00,2
0.941,2017-01-11 18:00:00,2
1.393,2017-01-11 19:00:00,2
1.715,2017-01-11 20:00:00,2
1.942,2017-01-11 21:00:00,2
1.414,2017-01-11 22:00:00,2
0.548,2017-01-11 23:00:00,2
1.534,2017-01-12 00:00:00,2
1.334,2017-01-12 01:00:00,2
1.793,2017-01-12 02:00:00,2
2.137,2017-01-12 03:00:00,2
2.328,2017-01-12 04:00:00,2
1.219,2017-01-12 05:00:00,2
1.653,2017-01-12 06:00:00,2
1.634,2017-01-12 07:00:00,2
1.625,2017-01-12 08:00:00,2
1.852,2017-01-12 09:00:00,2
1.221,2017-01-12 10:00:00,2
1.724,2017-01-12 11:00:00,2
2.667,2017-01-12 12:00:00,2
3.037,2017-01-12 13:00:00,2
3.272,2017-01-12 14:00:00,2
3.466,2017-01-12 15:00:00,2
3.41,2017-01-12 16:00:00,2
3.805,2017-01-12 17:00:00,2
3.704,2017-01-12 18:00:00,2
3.329,2017-01-12 19:00:00,2
2.531,2017-01-12 20:00:00,2
2.045,2017-01-12 21:00:00,2
1.052,2017-01-12 22:00:00,2
0.636,2017-01-12 23:00:00,2
1.465,2017-01-13 00:00:00,2
1.99,2017-01-13 01:00:00,2
2.858,2017-01-13 02:00:00,2
3.805,2017-01-13 03:00:00,2
5.156,2017-01-13 04:00:00,2
4.538,2017-01-13 05:00:00,2
4.458,2017-01-13 06:00:00,2
4.588,2017-01-13 07:00:00,2
4.252,2017-01-13 08:00:00,2
3.136,2017-01-13 09:00:00,2
3.186,2017-01-13 10:00:00,2
4.819,2017-01-13 11:00:00,2
4.625,2017-01-13 12:00:00,2
4.592,2017-01-13 13:00:00,2
5.492,2017-01-13 14:00:00,2
4.519,2017-01-13 15:00:00,2
4.733,2017-01-13 16:00:00,2
5.675,2017-01-13 17:00:00,2
5.238,2017-01-13 18:00:00,2
4.742,2017-01-13 19:00:00,2
5.169,2017-01-13 20:00:00,2
5.019,2017-01-13 21:00:00,2
5.577,2017-01-13 22:00:00,2
6.186,2017-01-13 23:00:00,2
6.887,2017-01-14 00:00:00,2
6.775,2017-01-14 01:00:00,2
5.987,2017-01-14 02:00:00,2
5.314,2017-01-14 03:00:00,2
5.311,2017-01-14 04:00:00,2
6.318,2017-01-14 05:00:00,2
6.652,2017-01-14 06:00:00,2
5.821,2017-01-14 07:00:00,2
8.42,2017-01-14 08:00:00,2
9.47,2017-01-14 09:00:00,2
8.55,2017-01-14 10:00:00,2
6.39,2017-01-14 11:00:00,2
5.359,2017-01-14 12:00:00,2
6.519,2017-01-14 13:00:00,2
9.03,2017-01-14 14:00:00,2
9.43,2017-01-14 15:00:00,2
10.16,2017-01-14 16:00:00,2
8.26,2017-01-14 17:00:00,2
7.45,2017-01-14 18:00:00,2
6.893,2017-01-14 19:00:00,2
7.784,2017-01-14 20:00:00,2
7.234,2017-01-14 21:00:00,2
8.04,2017-01-14 22:00:00,2
6.326,2017-01-14 23:00:00,2
