pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, None, 7.53, 58.01, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None,2017-05-21 00:00:00, None, None, -0.007,21
None, None, 7.15, 58.28, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None,2017-05-21 01:00:00, None, None, -0.241,21
None, None, 6.007, 63.49, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None,2017-05-21 02:00:00, None, None, -0.222,21
None, None, 6.261, 63.5, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None,2017-05-21 04:00:00, None, None, -0.314,21
None, None, 6.557, 61.17, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None,2017-05-21 05:00:00, None, None, -0.03,21
None, None, 6.463, 64.85, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None,2017-05-21 06:00:00, None, None, -0.231,21
None, None, 7.04, 58.3, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None,2017-05-21 07:00:00, None, None, 0.182,21
None, None, 9.5, 53.54, None, None, None, None, None, None, None, None, None, None, 1.0, None, None, None, None,2017-05-21 08:00:00, None, None, 0.326,21
None, None, 11.31, 56.54, None, None, None, None, None, None, None, None, None, None, 3.0, None, None, None, None,2017-05-21 09:00:00, None, None, 0.357,21
None, None, 11.33, 55.45, None, None, None, None, None, None, None, None, None, None, 3.0, None, None, None, None,2017-05-21 10:00:00, None, None, 0.471,21
None, None, 12.41, 55.5, None, None, None, None, None, None, None, None, None, None, 4.0, None, None, None, None,2017-05-21 11:00:00, None, None, 0.603,21
None, None, 13.55, 47.68, None, None, None, None, None, None, None, None, None, None, 3.0, None, None, None, None,2017-05-21 12:00:00, None, None, 0.39,21
None, None, 17.62, 36.37, None, None, None, None, None, None, None, None, None, None, 3.0, None, None, None, None,2017-05-21 14:00:00, None, None, 0.603,21
None, None, 18.77, 29.41, None, None, None, None, None, None, None, None, None, None, 1.0, None, None, None, None,2017-05-21 16:00:00, None, None, 1.339,21
None, None, 18.4, 30.95, None, None, None, None, None, None, None, None, None, None, 1.0, None, None, None, None,2017-05-21 17:00:00, None, None, 0.794,21
None, None, 18.04, 32.62, None, None, None, None, None, None, None, None, None, None, 1.0, None, None, None, None,2017-05-21 18:00:00, None, None, 0.68,21
None, None, 16.9, 34.23, None, None, None, None, None, None, None, None, None, None, 1.0, None, None, None, None,2017-05-21 19:00:00, None, None, 0.443,21
None, None, 14.77, 48.98, None, None, None, None, None, None, None, None, None, None, 4.0, None, None, None, None,2017-05-21 20:00:00, None, None, 0.335,21
None, None, 12.74, 54.07, None, None, None, None, None, None, None, None, None, None, 4.0, None, None, None, None,2017-05-21 21:00:00, None, None, 0.296,21
None, None, 9.82, 56.84, None, None, None, None, None, None, None, None, None, None, 2.0, None, None, None, None,2017-05-21 23:00:00, None, None, -0.037,21
None, None, 9.22, 58.72, None, None, None, None, None, None, None, None, None, None, 2.0, None, None, None, None,2017-05-22 00:00:00, None, None, -0.152,21
None, None, 9.42, 52.85, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None,2017-05-22 02:00:00, None, None, -0.106,21
None, None, 8.28, 55.66, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None,2017-05-22 03:00:00, None, None, -0.137,21
None, None, 9.49, 52.26, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None,2017-05-22 04:00:00, None, None, 0.239,21
None, None, 8.49, 56.67, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None,2017-05-22 05:00:00, None, None, -0.008,21
None, None, 8.16, 59.35, None, None, None, None, None, None, None, None, None, None, 1.0, None, None, None, None,2017-05-22 07:00:00, None, None, 0.029,21
None, None, 9.88, 58.21, None, None, None, None, None, None, None, None, None, None, 2.0, None, None, None, None,2017-05-22 08:00:00, None, None, 0.458,21
None, None, 11.05, 54.79, None, None, None, None, None, None, None, None, None, None, 2.0, None, None, None, None,2017-05-22 09:00:00, None, None, 0.287,21
None, None, 15.0, 47.36, None, None, None, None, None, None, None, None, None, None, 4.0, None, None, None, None,2017-05-22 10:00:00, None, None, 0.359,21
None, None, 15.73, 49.15, None, None, None, None, None, None, None, None, None, None, 5.0, None, None, None, None,2017-05-22 11:00:00, None, None, 0.135,21
None, None, 14.98, 48.93, None, None, None, None, None, None, None, None, None, None, 4.0, None, None, None, None,2017-05-22 12:00:00, None, None, 0.487,21
None, None, 20.0, 37.08, None, None, None, None, None, None, None, None, None, None, 5.0, None, None, None, None,2017-05-22 14:00:00, None, None, 1.105,21
None, None, 20.54, 28.4, None, None, None, None, None, None, None, None, None, None, 2.0, None, None, None, None,2017-05-22 15:00:00, None, None, 1.511,21
None, None, 20.44, 23.86, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None,2017-05-22 16:00:00, None, None, 0.774,21
None, None, 19.89, 23.0, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None,2017-05-22 17:00:00, None, None, 1.094,21
None, None, 19.29, 24.88, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None,2017-05-22 18:00:00, None, None, 0.842,21
None, None, 17.68, 33.08, None, None, None, None, None, None, None, None, None, None, 1.0, None, None, None, None,2017-05-22 19:00:00, None, None, 0.505,21
None, None, 12.24, 48.92, None, None, None, None, None, None, None, None, None, None, 2.0, None, None, None, None,2017-05-22 21:00:00, None, None, 0.281,21
None, None, 9.84, 54.61, None, None, None, None, None, None, None, None, None, None, 1.0, None, None, None, None,2017-05-22 22:00:00, None, None, 0.156,21
None, None, 8.87, 57.1, None, None, None, None, None, None, None, None, None, None, 1.0, None, None, None, None,2017-05-22 23:00:00, None, None, -0.145,21
None, None, 9.32, 46.03, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None,2017-05-23 00:00:00, None, None, 0.135,21
None, None, 8.47, 46.7, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None,2017-05-23 01:00:00, None, None, 0.071,21
None, None, 7.33, 50.79, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None,2017-05-23 02:00:00, None, None, -0.11,21
None, None, 6.915, 52.33, None, None, None, None, None, None, None, None, None, None, -2.0, None, None, None, None,2017-05-23 03:00:00, None, None, -0.005,21
None, None, 7.44, 53.27, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None,2017-05-23 04:00:00, None, None, -0.766,21
None, None, 5.815, 61.75, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None,2017-05-23 05:00:00, None, None, -0.555,21
None, None, 6.457, 59.43, None, None, None, None, None, None, None, None, None, None, -1.0, None, None, None, None,2017-05-23 06:00:00, None, None, -0.628,21
None, None, 8.66, 60.17, None, None, None, None, None, None, None, None, None, None, 1.0, None, None, None, None,2017-05-23 07:00:00, None, None, 0.126,21
