pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None, None, 16.8, 116.0, None, None, 376.0, 565.0, None,2017-05-28 00:00:00, None,22
None, None, None, None, None, 16.8, 116.0, None, None, 376.0, 563.0, None,2017-05-28 01:00:00, None,22
None, None, None, None, None, 16.1, 114.0, None, None, 376.0, 561.0, None,2017-05-28 02:00:00, None,22
None, None, None, None, None, 9.9, 116.0, None, None, 377.0, 559.0, None,2017-05-28 03:00:00, None,22
None, None, None, None, None, 8.0, 116.0, None, None, 377.0, 556.0, None,2017-05-28 04:00:00, None,22
None, None, None, None, None, 7.5, 117.0, None, None, 378.0, 555.0, None,2017-05-28 05:00:00, None,22
None, None, None, None, None, 8.3, 117.0, None, None, 378.0, 553.0, None,2017-05-28 06:00:00, None,22
None, None, None, None, None, 8.4, 117.0, None, None, 378.0, 552.0, None,2017-05-28 07:00:00, None,22
None, None, None, None, None, 9.9, 116.0, None, None, 378.0, 550.0, None,2017-05-28 08:00:00, None,22
None, None, None, None, None, 9.4, 116.0, None, None, 378.0, 549.0, None,2017-05-28 09:00:00, None,22
None, None, None, None, None, 9.3, 116.0, None, None, 378.0, 548.0, None,2017-05-28 10:00:00, None,22
None, None, None, None, None, 9.0, 117.0, None, None, 378.0, 548.0, None,2017-05-28 11:00:00, None,22
None, None, None, None, None, 8.8, 116.0, None, None, 378.0, 547.0, None,2017-05-28 12:00:00, None,22
None, None, None, None, None, 9.6, 117.0, None, None, 378.0, 547.0, None,2017-05-28 13:00:00, None,22
None, None, None, None, None, 11.1, 117.0, None, None, 378.0, 546.0, None,2017-05-28 14:00:00, None,22
None, None, None, None, None, 12.8, 116.0, None, None, 378.0, 546.0, None,2017-05-28 15:00:00, None,22
None, 547.0, None, None, None, 15.2, 115.0, None, None, 377.0, 547.0, None,2017-05-28 16:00:00, None,22
None, None, None, None, None, 16.3, 115.0, None, None, 377.0, 547.0, None,2017-05-28 17:00:00, None,22
None, None, None, None, None, 16.4, 114.0, None, None, 377.0, 547.0, None,2017-05-28 18:00:00, None,22
None, None, None, None, None, 16.4, 113.0, None, None, 376.0, 547.0, None,2017-05-28 19:00:00, None,22
None, None, None, None, None, 17.8, 113.0, None, None, 376.0, 546.0, None,2017-05-28 20:00:00, None,22
None, None, None, None, None, 18.4, 113.0, None, None, 376.0, 544.0, None,2017-05-28 21:00:00, None,22
None, None, None, None, None, 18.3, 111.0, None, None, 376.0, 541.0, None,2017-05-28 22:00:00, None,22
None, None, None, None, None, 17.9, 108.0, None, None, 376.0, 537.0, None,2017-05-28 23:00:00, None,22
None, None, None, None, None, 18.0, 109.0, None, None, 376.0, 533.0, None,2017-05-29 00:00:00, None,22
None, None, None, None, None, 17.7, 108.0, None, None, 376.0, 531.0, None,2017-05-29 01:00:00, None,22
None, None, None, None, None, 16.5, 107.0, None, None, 376.0, 529.0, None,2017-05-29 02:00:00, None,22
None, None, None, None, None, 12.3, 107.0, None, None, 377.0, 526.0, None,2017-05-29 03:00:00, None,22
None, None, None, None, None, 10.9, 108.0, None, None, 377.0, 523.0, None,2017-05-29 04:00:00, None,22
None, None, None, None, None, 10.4, 108.0, None, None, 377.0, 521.0, None,2017-05-29 05:00:00, None,22
None, None, None, None, None, 12.4, 108.0, None, None, 377.0, 520.0, None,2017-05-29 06:00:00, None,22
None, None, None, None, None, 10.1, 108.0, None, None, 377.0, 518.0, None,2017-05-29 07:00:00, None,22
None, None, None, None, None, 10.2, 108.0, None, None, 377.0, 517.0, None,2017-05-29 08:00:00, None,22
None, None, None, None, None, 9.7, 108.0, None, None, 377.0, 516.0, None,2017-05-29 09:00:00, None,22
None, None, None, None, None, 11.4, 108.0, None, None, 378.0, 515.0, None,2017-05-29 10:00:00, None,22
None, None, None, None, None, 11.1, 108.0, None, None, 377.0, 514.0, None,2017-05-29 11:00:00, None,22
None, None, None, None, None, 10.9, 107.0, None, None, 377.0, 513.0, None,2017-05-29 12:00:00, None,22
None, None, None, None, None, 11.6, 108.0, None, None, 378.0, 512.0, None,2017-05-29 13:00:00, None,22
None, None, None, None, None, 11.7, 108.0, None, None, 377.0, 512.0, None,2017-05-29 14:00:00, None,22
None, None, None, None, None, 12.1, 108.0, None, None, 377.0, 511.0, None,2017-05-29 15:00:00, None,22
None, 512.0, None, None, None, 14.9, 107.0, None, None, 376.0, 512.0, None,2017-05-29 16:00:00, None,22
None, None, None, None, None, 15.5, 108.0, None, None, 377.0, 512.0, None,2017-05-29 17:00:00, None,22
None, None, None, None, None, 17.3, 106.0, None, None, 377.0, 512.0, None,2017-05-29 18:00:00, None,22
None, None, None, None, None, 16.2, 106.0, None, None, 376.0, 512.0, None,2017-05-29 19:00:00, None,22
