RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None,16.96,194.3, None, None, None, None, None, None, None, None, None, None, None, -5.904, None, None, None, None,13.01, None, None, None, None,2017-06-04 00:00:00, None,23
None, None, None, None,14.51,185.7, None, None, None, None, None, None, None, None, None, None, None, -6.075, None, None, None, None,7.81, None, None, None, None,2017-06-04 01:00:00, None,23
None, None, None, None,13.2,213.9, None, None, None, None, None, None, None, None, None, None, None, -5.587, None, None, None, None,16.56, None, None, None, None,2017-06-04 02:00:00, None,23
None, None, None, None,12.6,218.9, None, None, None, None, None, None, None, None, None, None, None, -5.731, None, None, None, None,0.204, None, None, None, None,2017-06-04 03:00:00, None,23
None, None, None, None,6.081,218.6, None, None, None, None, None, None, None, None, None, None, None, -5.492, None, None, None, None,0.115, None, None, None, None,2017-06-04 04:00:00, None,23
None, None, None, None,1.056,218.6, None, None, None, None, None, None, None, None, None, None, None, -5.025, None, None, None, None,0.261, None, None, None, None,2017-06-04 05:00:00, None,23
None, None, None, None,5.091,184.0, None, None, None, None, None, None, None, None, None, None, None, -4.76, None, None, None, None,19.19, None, None, None, None,2017-06-04 06:00:00, None,23
None, None, None, None,16.49,170.7, None, None, None, None, None, None, None, None, None, None, None, -3.87, None, None, None, None,5.964, None, None, None, None,2017-06-04 07:00:00, None,23
None, None, None, None,19.24,181.1, None, None, None, None, None, None, None, None, None, None, None, -2.75, None, None, None, None,3.69, None, None, None, None,2017-06-04 08:00:00, None,23
None, None, None, None,23.19,182.4, None, None, None, None, None, None, None, None, None, None, None, -2.233, None, None, None, None,3.489, None, None, None, None,2017-06-04 09:00:00, None,23
