WDIR_VECT,TEMP_MEAN,WSPD_SCLR,time,avg_air_temp_pst1hr,week_of_year
None, 15.6, 0.01,2017-07-02 00:00:00,15.14,27
None, 15.1, 0.0,2017-07-02 01:00:00,14.32,27
None, 14.3, 0.0,2017-07-02 02:00:00,14.44,27
None, 14.4, 0.0,2017-07-02 03:00:00,13.87,27
None, 13.9, 0.15,2017-07-02 04:00:00,13.34,27
None, 13.3, 0.01,2017-07-02 05:00:00,13.06,27
None, 13.1, 0.0,2017-07-02 06:00:00,14.46,27
None, 14.5, 0.35,2017-07-02 07:00:00,15.95,27
None, 16.0, 1.88,2017-07-02 08:00:00,16.42,27
None, 16.4, 1.32,2017-07-02 09:00:00,17.42,27
None, 17.4, 1.33,2017-07-02 10:00:00,18.77,27
None, 18.8, 2.49,2017-07-02 11:00:00,19.27,27
None, 19.3, 3.09,2017-07-02 12:00:00,20.06,27
None, 20.1, 1.84,2017-07-02 13:00:00,21.22,27
None, 21.2, 2.39,2017-07-02 14:00:00,21.58,27
None, 21.6, 2.7,2017-07-02 15:00:00,22.06,27
None, 22.1, 2.52,2017-07-02 16:00:00,22.8,27
None, 22.8, 2.04,2017-07-02 17:00:00,23.16,27
None, 23.2, 1.95,2017-07-02 18:00:00,23.05,27
None, 23.1, 0.89,2017-07-02 19:00:00,22.6,27
None, 22.6, 0.85,2017-07-02 20:00:00,21.55,27
None, 21.6, 0.12,2017-07-02 21:00:00,18.74,27
None, 18.7, 0.99,2017-07-02 22:00:00,17.28,27
None, 17.3, 3.26,2017-07-02 23:00:00,17.51,27
None, 17.5, 3.58,2017-07-03 00:00:00,17.47,27
None, 17.5, 5.0,2017-07-03 01:00:00,16.49,27
None, 16.5, 6.33,2017-07-03 02:00:00,15.98,27
None, 16.0, 4.42,2017-07-03 03:00:00,15.43,27
None, 15.4, 3.5,2017-07-03 04:00:00,15.02,27
None, 15.0, 3.72,2017-07-03 05:00:00,14.67,27
None, 14.7, 3.99,2017-07-03 06:00:00,15.15,27
None, 15.2, 5.2,2017-07-03 07:00:00,15.72,27
None, 15.7, 6.19,2017-07-03 08:00:00,16.37,27
None, 16.4, 5.0,2017-07-03 09:00:00,16.73,27
None, 16.7, 5.48,2017-07-03 10:00:00,16.97,27
None, 17.0, 5.26,2017-07-03 11:00:00,17.5,27
None, 17.5, 4.44,2017-07-03 12:00:00,18.15,27
None, 18.2, 4.05,2017-07-03 13:00:00,18.4,27
None, 18.4, 4.28,2017-07-03 14:00:00,18.94,27
None, 18.9, 4.23,2017-07-03 15:00:00,19.66,27
None, 19.7, 3.5,2017-07-03 16:00:00,20.06,27
None, 20.1, 2.67,2017-07-03 17:00:00,20.75,27
None, 20.8, 1.59,2017-07-03 18:00:00,21.0,27
None, 21.0, 0.35,2017-07-03 19:00:00,20.45,27
None, 20.5, 0.35,2017-07-03 20:00:00,19.44,27
None, 19.4, 0.3,2017-07-03 21:00:00,15.91,27
None, 15.9, 0.0,2017-07-03 22:00:00,13.81,27
None, 13.8, 0.0,2017-07-03 23:00:00,12.91,27
None, 12.9, 0.0,2017-07-04 00:00:00,11.9,27
None, 11.9, 0.0,2017-07-04 01:00:00,11.28,27
None, 11.3, 0.07,2017-07-04 02:00:00,11.5,27
None, 11.5, 0.14,2017-07-04 03:00:00,14.42,27
None, 14.4, 1.64,2017-07-04 04:00:00,15.33,27
None, 15.3, 3.79,2017-07-04 05:00:00,14.94,27
None, 14.9, 3.22,2017-07-04 06:00:00,15.17,27
None, 15.2, 3.3,2017-07-04 07:00:00,15.57,27
None, 15.6, 3.99,2017-07-04 08:00:00,15.86,27
None, 15.9, 4.46,2017-07-04 09:00:00,16.39,27
None, 16.4, 4.07,2017-07-04 10:00:00,16.5,27
None, 16.5, 4.75,2017-07-04 11:00:00,17.25,27
None, 17.3, 4.65,2017-07-04 12:00:00,18.37,27
None, 18.4, 4.41,2017-07-04 13:00:00,19.5,27
None, 19.5, 4.24,2017-07-04 14:00:00,20.88,27
None, 20.9, 3.1,2017-07-04 15:00:00,22.13,27
None, 22.1, 1.71,2017-07-04 16:00:00,22.57,27
