AirTemperature,Precipitation,Rain,WindSpeed,SnowDepth,time,WindDirection,SnowWaterEquivalent,RelativeHumidity,week_of_year
15.2, 0.0,0.25, 10.1, None,2017-08-13 00:00:00, 138.0, None, 98.0,33
15.2, None,0.51, 8.7, None,2017-08-13 00:15:00, 143.0, None, 99.0,33
15.2, None,0.51, 6.6, None,2017-08-13 00:30:00, 150.0, None, 99.0,33
15.2, None,0.76, 6.7, None,2017-08-13 00:45:00, 152.0, None, 99.0,33
15.1, 3.0,0.51, 4.3, None,2017-08-13 01:00:00, 191.0, None, 99.0,33
15.1, None,0.51, 3.5, None,2017-08-13 01:15:00, 207.0, None, 99.0,33
15.1, None,0.25, 3.2, None,2017-08-13 01:30:00, 185.0, None, 99.0,33
15.1, None,0.25, 5.2, None,2017-08-13 01:45:00, 152.0, None, 99.0,33
15.1, 0.0,0.25, 4.5, None,2017-08-13 02:00:00, 190.0, None, 99.0,33
15.2, None,0.0, 4.5, None,2017-08-13 02:15:00, 168.0, None, 99.0,33
15.1, None,0.0, 5.1, None,2017-08-13 02:30:00, 165.0, None, 99.0,33
15.2, None,0.25, 6.1, None,2017-08-13 02:45:00, 164.0, None, 99.0,33
15.3, 1.0,0.0, 9.1, None,2017-08-13 03:00:00, 153.0, None, 100.0,33
15.2, None,0.0, 7.1, None,2017-08-13 03:15:00, 163.0, None, 100.0,33
15.3, None,0.25, 10.8, None,2017-08-13 03:30:00, 153.0, None, 99.0,33
15.2, None,0.0, 14.1, None,2017-08-13 03:45:00, 144.0, None, 99.0,33
15.3, 0.0,0.0, 15.0, None,2017-08-13 04:00:00, 150.0, None, 99.0,33
15.1, None,0.0, 12.8, None,2017-08-13 04:15:00, 160.0, None, 99.0,33
14.9, None,0.0, 12.7, None,2017-08-13 04:30:00, 162.0, None, 99.0,33
14.8, None,0.0, 13.1, None,2017-08-13 04:45:00, 158.0, None, 99.0,33
14.6, 0.0,0.0, 11.4, None,2017-08-13 05:00:00, 153.0, None, 99.0,33
14.4, None,0.0, 9.2, None,2017-08-13 05:15:00, 148.0, None, 98.0,33
14.3, None,0.0, 8.2, None,2017-08-13 05:30:00, 134.0, None, 99.0,33
14.2, None,0.0, 10.3, None,2017-08-13 05:45:00, 154.0, None, 99.0,33
14.0, 1.0,0.0, 7.2, None,2017-08-13 06:00:00, 167.0, None, 99.0,33
14.4, None,0.0, 5.8, None,2017-08-13 06:15:00, 146.0, None, 98.0,33
15.0, None,0.0, 9.2, None,2017-08-13 06:30:00, 159.0, None, 94.0,33
14.9, None,0.0, 7.2, None,2017-08-13 06:45:00, 195.0, None, 94.0,33
15.1, -1.0,0.0, 9.5, None,2017-08-13 07:00:00, 184.0, None, 92.0,33
15.6, None,0.0, 10.5, None,2017-08-13 07:15:00, 187.0, None, 87.0,33
15.6, None,0.0, 8.8, None,2017-08-13 07:30:00, 228.0, None, 87.0,33
15.7, None,0.0, 6.6, None,2017-08-13 07:45:00, 223.0, None, 88.0,33
16.6, 0.0,0.0, 5.3, None,2017-08-13 08:00:00, 227.0, None, 87.0,33
17.3, None,0.0, 7.2, None,2017-08-13 08:15:00, 258.0, None, 73.0,33
18.0, None,0.0, 8.4, None,2017-08-13 08:30:00, 227.0, None, 71.0,33
18.4, None,0.0, 8.3, None,2017-08-13 08:45:00, 210.0, None, 72.0,33
18.3, -2.0,0.0, 9.9, None,2017-08-13 09:00:00, 257.0, None, 67.0,33
18.0, None,0.0, 12.7, None,2017-08-13 09:15:00, 214.0, None, 68.0,33
18.8, None,0.0, 11.3, None,2017-08-13 09:30:00, 214.0, None, 75.0,33
19.2, None,0.0, 10.0, None,2017-08-13 09:45:00, 247.0, None, 62.0,33
