pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,14.8,91.6, None, None, 44.89, 0.243, 282.5, None, None, None, None, None, None,13.0, 945.0, None, None, None,2017-09-10 00:00:00, None, None, None,37
None,13.97,91.3, None, None, 30.62, 0.054, 281.5, None, None, None, None, None, None,13.0, 946.0, None, None, None,2017-09-10 01:00:00, None, None, None,37
None,12.91,91.7, None, None, 18.42, 0.081, 302.3, None, None, None, None, None, None,12.0, 947.0, None, None, None,2017-09-10 02:00:00, None, None, None,37
None,11.83,91.5, None, None, 17.3, 0.508, 322.4, None, None, None, None, None, None,10.0, 947.0, None, None, None,2017-09-10 03:00:00, None, None, None,37
None,11.45,91.6, None, None, 21.17, 0.363, 302.1, None, None, None, None, None, None,10.0, 948.0, None, None, None,2017-09-10 04:00:00, None, None, None,37
None,10.97,91.9, None, None, 26.65, 0.151, 279.6, None, None, None, None, None, None,10.0, 949.0, None, None, None,2017-09-10 05:00:00, None, None, None,37
None,10.35,91.6, None, None, 19.57, 0.161, 264.4, None, None, None, None, None, None,9.0, 949.0, None, None, None,2017-09-10 06:00:00, None, None, None,37
None,10.35,91.7, None, None, 28.49, 0.243, 266.8, None, None, None, None, None, None,9.0, 950.0, None, None, None,2017-09-10 07:00:00, None, None, None,37
None,11.71,89.2, None, None, 38.23, 1.319, 196.2, None, None, None, None, None, None,10.0, 951.0, None, None, None,2017-09-10 08:00:00, None, None, None,37
None,13.92,78.23, None, None, 28.3, 2.713, 168.1, None, None, None, None, None, None,10.0, 951.0, None, None, None,2017-09-10 09:00:00, None, None, None,37
None,16.03,64.73, None, None, 32.95, 2.059, 161.3, None, None, None, None, None, None,9.0, 951.0, None, None, None,2017-09-10 10:00:00, None, None, None,37
None,18.83,50.22, None, None, 36.13, 3.241, 162.6, None, None, None, None, None, None,8.0, 951.0, None, None, None,2017-09-10 11:00:00, None, None, None,37
None,20.06,41.34, None, None, 39.9, 2.943, 131.5, None, None, None, None, None, None,7.0, 951.0, None, None, None,2017-09-10 12:00:00, None, None, None,37
None,23.19,27.58, None, None, 32.44, 3.101, 135.9, None, None, None, None, None, None,4.0, 951.0, None, None, None,2017-09-10 13:00:00, None, None, None,37
None,24.28,24.4, None, None, 45.31, 2.736, 157.8, None, None, None, None, None, None,3.0, 950.0, None, None, None,2017-09-10 14:00:00, None, None, None,37
None,24.78,21.39, None, None, 45.01, 3.054, 173.3, None, None, None, None, None, None,1.0, 950.0, None, None, None,2017-09-10 15:00:00, None, None, None,37
None,24.75,17.53, None, None, 48.22, 2.297, 163.3, None, None, None, None, None, None,-2.0, 950.0, None, None, None,2017-09-10 16:00:00, None, None, None,37
None,23.88,21.04, None, None, 55.2, 2.837, 190.5, None, None, None, None, None, None,-1.0, 949.0, None, None, None,2017-09-10 17:00:00, None, None, None,37
None,21.19,27.89, None, None, 55.69, 1.335, 286.1, None, None, None, None, None, None,2.0, 949.0, None, None, None,2017-09-10 18:00:00, None, None, None,37
None,18.48,33.16, None, None, 24.86, 2.131, 323.4, None, None, None, None, None, None,2.0, 949.0, None, None, None,2017-09-10 19:00:00, None, None, None,37
None,17.25,34.29, None, None, 44.22, 0.412, 292.3, None, None, None, None, None, None,2.0, 950.0, None, None, None,2017-09-10 20:00:00, None, None, None,37
None,15.76,45.51, None, None, 55.7, 0.158, 292.6, None, None, None, None, None, None,4.0, 951.0, None, None, None,2017-09-10 21:00:00, None, None, None,37
None,14.95,47.59, None, None, 62.51, 0.287, 278.9, None, None, None, None, None, None,4.0, 951.0, None, None, None,2017-09-10 22:00:00, None, None, None,37
None,13.51,50.63, None, None, 63.59, 0.157, 264.9, None, None, None, None, None, None,4.0, 952.0, None, None, None,2017-09-10 23:00:00, None, None, None,37
None,12.68,62.23, None, None, 47.15, 0.045, 222.4, None, None, None, None, None, None,6.0, 952.0, None, None, None,2017-09-11 00:00:00, None, None, None,37
None,11.81,54.89, None, None, 53.47, 0.184, 266.1, None, None, None, None, None, None,3.0, 952.0, None, None, None,2017-09-11 01:00:00, None, None, None,37
None,11.05,60.15, None, None, 28.47, 0.001, 242.4, None, None, None, None, None, None,4.0, 952.0, None, None, None,2017-09-11 02:00:00, None, None, None,37
None,10.42,65.87, None, None, 48.5, 0.004, 248.8, None, None, None, None, None, None,4.0, 952.0, None, None, None,2017-09-11 03:00:00, None, None, None,37
None,9.72,66.24, None, None, 30.97, 0.014, 255.5, None, None, None, None, None, None,4.0, 953.0, None, None, None,2017-09-11 04:00:00, None, None, None,37
None,9.36,71.03, None, None, 49.72, 0.002, 247.8, None, None, None, None, None, None,4.0, 953.0, None, None, None,2017-09-11 05:00:00, None, None, None,37
None,8.93,71.47, None, None, 24.66, 0.043, 262.1, None, None, None, None, None, None,4.0, 953.0, None, None, None,2017-09-11 06:00:00, None, None, None,37
None,8.84,73.37, None, None, 41.92, 0.008, 266.0, None, None, None, None, None, None,4.0, 953.0, None, None, None,2017-09-11 07:00:00, None, None, None,37
None,11.23,71.23, None, None, 39.28, 0.166, 119.3, None, None, None, None, None, None,6.0, 953.0, None, None, None,2017-09-11 08:00:00, None, None, None,37
None,13.86,59.09, None, None, 17.24, 0.762, 118.5, None, None, None, None, None, None,6.0, 953.0, None, None, None,2017-09-11 09:00:00, None, None, None,37
None,16.54,42.79, None, None, 23.28, 2.11, 105.8, None, None, None, None, None, None,4.0, 952.0, None, None, None,2017-09-11 10:00:00, None, None, None,37
None,20.5,33.84, None, None, 28.36, 2.148, 94.2, None, None, None, None, None, None,4.0, 951.0, None, None, None,2017-09-11 11:00:00, None, None, None,37
None,23.18,32.46, None, None, 20.15, 2.538, 127.4, None, None, None, None, None, None,6.0, 949.0, None, None, None,2017-09-11 12:00:00, None, None, None,37
