TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
2.047, 0.6,100.0,0.19,978.85, 0.0,1.86,2017-10-29 00:00:00,334.1,2.0,44
1.778, 0.6,100.0,0.19,979.45, 0.0,1.11,2017-10-29 01:00:00,217.6,1.8,44
1.453, 0.6,100.0,0.0,979.95, 0.0,0.74,2017-10-29 02:00:00,282.2,1.5,44
1.099, 0.6,100.0,0.0,980.55, 0.0,1.11,2017-10-29 03:00:00,190.9,1.1,44
0.934, 0.6,100.0,0.19,980.55, 0.0,1.3,2017-10-29 04:00:00,73.0,0.9,44
0.66, 0.6,100.0,0.37,980.95, 0.0,1.86,2017-10-29 05:00:00,59.0,0.7,44
0.55, 0.6,100.0,0.19,981.55, 0.0,1.3,2017-10-29 06:00:00,154.4,0.5,44
0.356, 0.6,100.0,0.37,981.85, 0.0,1.86,2017-10-29 07:00:00,78.6,0.4,44
0.246, 9.4,100.0,0.37,982.25, 0.0,1.86,2017-10-29 08:00:00,37.9,0.2,44
0.246, 34.4,100.0,0.37,982.65, 0.0,2.04,2017-10-29 09:00:00,14.0,0.2,44
0.356, 61.9,100.0,0.56,982.85, 0.0,2.23,2017-10-29 10:00:00,59.0,0.4,44
0.412, 88.1,99.8,0.56,982.95, 0.0,2.6,2017-10-29 11:00:00,22.5,0.4,44
0.384, 140.6,99.4,0.56,983.15, 0.0,2.04,2017-10-29 12:00:00,5.6,0.3,44
1.235, 111.9,98.7,0.56,982.85, 0.0,2.04,2017-10-29 13:00:00,14.0,1.1,44
2.877, 305.6,97.0,0.56,982.35, 0.0,2.41,2017-10-29 14:00:00,63.2,2.4,44
2.664, 26.9,93.5,0.37,981.45, 0.0,1.86,2017-10-29 15:00:00,98.3,1.7,44
-0.06, 19.4,97.4,0.19,981.35, 0.0,0.37,2017-10-29 16:00:00,98.3,-0.4,44
-1.299, 1.9,99.8,0.19,981.65, 0.0,0.56,2017-10-29 17:00:00,98.3,-1.3,44
-1.871, 0.6,100.0,0.37,981.65, 0.0,0.74,2017-10-29 18:00:00,68.8,-1.9,44
-2.247, 0.6,100.0,0.19,981.35, 0.0,0.74,2017-10-29 19:00:00,22.5,-2.3,44
-2.102, 0.6,100.0,0.19,981.35, 0.0,1.3,2017-10-29 20:00:00,11.2,-2.1,44
