RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None, 0.037, 182.5, None, None, None,997.0, None, None, None, None, None, 34.49, None, None, -1.355, None, None, None, None, 76.5, None, None, None, None, None,2017-11-19 00:00:00, None,47
None, None, None, None, 0.112, 167.1, None, None, None,997.0, None, None, None, None, None, 33.98, None, None, -1.432, None, None, None, None, 67.05, None, None, None, None, None,2017-11-19 01:00:00, None,47
None, None, None, None, 0.058, 227.3, None, None, None,996.0, None, None, None, None, None, 33.56, None, None, -1.538, None, None, None, None, 74.0, None, None, None, None, None,2017-11-19 02:00:00, None,47
None, None, None, None, 0.086, 325.3, None, None, None,996.0, None, None, None, None, None, 33.44, None, None, -1.615, None, None, None, None, 70.2, None, None, None, None, None,2017-11-19 03:00:00, None,47
None, None, None, None, 0.143, 134.7, None, None, None,996.0, None, None, None, None, None, 32.93, None, None, -1.721, None, None, None, None, 61.34, None, None, None, None, None,2017-11-19 04:00:00, None,47
None, None, None, None, 0.166, 110.3, None, None, None,996.0, None, None, None, None, None, 32.66, None, None, -1.827, None, None, None, None, 56.34, None, None, None, None, None,2017-11-19 05:00:00, None,47
None, None, None, None, 0.151, 69.26, None, None, None,996.0, None, None, None, None, None, 32.49, None, None, -1.624, None, None, None, None, 58.57, None, None, None, None, None,2017-11-19 06:00:00, None,47
None, None, None, None, 0.207, 106.8, None, None, None,996.0, None, None, None, None, None, 32.17, None, None, -1.442, None, None, None, None, 50.04, None, None, None, None, None,2017-11-19 07:00:00, None,47
None, None, None, None, 0.109, 139.8, None, None, None,995.0, None, None, None, None, None, 32.4, None, None, -1.355, None, None, None, None, 67.09, None, None, None, None, None,2017-11-19 08:00:00, None,47
None, None, None, None, 0.213, 131.2, None, None, None,995.0, None, None, None, None, None, 33.13, None, None, -1.21, None, None, None, None, 48.78, None, None, None, None, None,2017-11-19 09:00:00, None,47
None, None, None, None, 0.31, 156.6, None, None, None,995.0, None, None, None, None, None, 32.72, None, None, -0.478, None, None, None, None, 26.76, None, None, None, None, None,2017-11-19 10:00:00, None,47
None, None, None, None, 0.079, 83.4, None, None, None,995.0, None, None, None, None, None, 32.53, None, None, 0.04, None, None, None, None, 70.4, None, None, None, None, None,2017-11-19 11:00:00, None,47
None, None, None, None, 0.229, 147.5, None, None, None,995.0, None, None, None, None, None, 32.8, None, None, -0.183, None, None, None, None, 47.21, None, None, None, None, None,2017-11-19 12:00:00, None,47
None, None, None, None, 0.205, 180.1, None, None, None,995.0, None, None, None, None, None, 32.15, None, None, 0.096, None, None, None, None, 64.98, None, None, None, None, None,2017-11-19 13:00:00, None,47
None, None, None, None, 0.651, 134.2, None, None, None,995.0, None, None, None, None, None, 31.05, None, None, 1.327, None, None, None, None, 31.69, None, None, None, None, None,2017-11-19 14:00:00, None,47
None, None, None, None, 1.46, 136.8, None, None, None,995.0, None, None, None, None, None, 30.3, None, None, 0.614, None, None, None, None, 35.07, None, None, None, None, None,2017-11-19 15:00:00, None,47
None, None, None, None, 0.713, 120.8, None, None, None,995.0, None, None, None, None, None, 30.57, None, None, 0.24, None, None, None, None, 44.76, None, None, None, None, None,2017-11-19 16:00:00, None,47
None, None, None, None, 0.317, 130.3, None, None, None,996.0, None, None, None, None, None, 29.83, None, None, 0.096, None, None, None, None, 53.08, None, None, None, None, None,2017-11-19 17:00:00, None,47
None, None, None, None, 0.276, 122.3, None, None, None,996.0, None, None, None, None, None, 30.69, None, None, 0.039, None, None, None, None, 59.73, None, None, None, None, None,2017-11-19 18:00:00, None,47
None, None, None, None, 0.231, 223.8, None, None, None,996.0, None, None, None, None, None, 30.26, None, None, 0.029, None, None, None, None, 71.8, None, None, None, None, None,2017-11-19 19:00:00, None,47
None, None, None, None, 0.775, 139.1, None, None, None,997.0, None, None, None, None, None, 29.78, None, None, -0.076, None, None, None, None, 47.61, None, None, None, None, None,2017-11-19 20:00:00, None,47
None, None, None, None, 0.833, 137.1, None, None, None,997.0, None, None, None, None, None, 30.63, None, None, -0.393, None, None, None, None, 49.58, None, None, None, None, None,2017-11-19 21:00:00, None,47
None, None, None, None, 0.829, 142.5, None, None, None,999.0, None, None, None, None, None, 30.06, None, None, -0.682, None, None, None, None, 45.47, None, None, None, None, None,2017-11-19 22:00:00, None,47
None, None, None, None, 0.073, 122.4, None, None, None,1000.0, None, None, None, None, None, 29.83, None, None, -0.912, None, None, None, None, 77.6, None, None, None, None, None,2017-11-19 23:00:00, None,47
None, None, None, None, 0.271, 31.58, None, None, None,1000.0, None, None, None, None, None, 29.73, None, None, -1.086, None, None, None, None, 45.52, None, None, None, None, None,2017-11-20 00:00:00, None,47
None, None, None, None, 0.332, 23.88, None, None, None,1001.0, None, None, None, None, None, 29.71, None, None, -1.23, None, None, None, None, 0.0, None, None, None, None, None,2017-11-20 01:00:00, None,47
None, None, None, None, 0.391, 41.46, None, None, None,1001.0, None, None, None, None, None, 29.45, None, None, -1.875, None, None, None, None, 35.91, None, None, None, None, None,2017-11-20 02:00:00, None,47
None, None, None, None, 0.328, 72.4, None, None, None,1003.0, None, None, None, None, None, 29.25, None, None, -2.492, None, None, None, None, 56.8, None, None, None, None, None,2017-11-20 03:00:00, None,47
None, None, None, None, 0.229, 103.3, None, None, None,1003.0, None, None, None, None, None, 29.14, None, None, -3.342, None, None, None, None, 67.69, None, None, None, None, None,2017-11-20 04:00:00, None,47
None, None, None, None, 0.219, 159.5, None, None, None,1003.0, None, None, None, None, None, 29.15, None, None, -3.418, None, None, None, None, 65.16, None, None, None, None, None,2017-11-20 05:00:00, None,47
None, None, None, None, 0.452, 136.3, None, None, None,1004.0, None, None, None, None, None, 29.22, None, None, -3.485, None, None, None, None, 57.25, None, None, None, None, None,2017-11-20 06:00:00, None,47
None, None, None, None, 0.483, 250.9, None, None, None,1004.0, None, None, None, None, None, 29.09, None, None, -3.367, None, None, None, None, 61.31, None, None, None, None, None,2017-11-20 07:00:00, None,47
None, None, None, None, 0.376, 63.77, None, None, None,1005.0, None, None, None, None, None, 28.87, None, None, -3.486, None, None, None, None, 73.0, None, None, None, None, None,2017-11-20 08:00:00, None,47
None, None, None, None, 0.289, 49.27, None, None, None,1007.0, None, None, None, None, None, 28.74, None, None, -4.29, None, None, None, None, 72.4, None, None, None, None, None,2017-11-20 09:00:00, None,47
None, None, None, None, 0.848, 121.0, None, None, None,1007.0, None, None, None, None, None, 28.73, None, None, -4.043, None, None, None, None, 53.36, None, None, None, None, None,2017-11-20 10:00:00, None,47
None, None, None, None, 0.385, 104.6, None, None, None,1008.0, None, None, None, None, None, 28.8, None, None, -2.508, None, None, None, None, 70.3, None, None, None, None, None,2017-11-20 11:00:00, None,47
None, None, None, None, 0.277, 159.5, None, None, None,1008.0, None, None, None, None, None, 29.04, None, None, -1.22, None, None, None, None, 67.17, None, None, None, None, None,2017-11-20 12:00:00, None,47
None, None, None, None, 0.614, 221.6, None, None, None,1008.0, None, None, None, None, None, 28.81, None, None, 0.116, None, None, None, None, 64.93, None, None, None, None, None,2017-11-20 13:00:00, None,47
