WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, 2.06532, None, 57.7871,2017-01-29 00:00:00, 6.27563,5
None, None, 3.44775, None, 57.745,2017-01-29 01:00:00, 6.22308,5
None, None, 2.92723, None, 59.8676,2017-01-29 02:00:00, 5.85581,5
None, None, 1.74153, None, 62.514,2017-01-29 03:00:00, 5.35866,5
None, None, 0.820797, None, 65.397,2017-01-29 04:00:00, 4.64921,5
None, None, 1.10172, None, 68.7642,2017-01-29 05:00:00, 3.99113,5
None, None, 0.755743, None, 71.2839,2017-01-29 06:00:00, 3.4949,5
None, None, 0.798749, None, 72.7002,2017-01-29 07:00:00, 3.40363,5
None, None, 1.66594, None, 67.253,2017-01-29 08:00:00, 4.31591,5
None, None, 1.87978, None, 63.66,2017-01-29 09:00:00, 4.8837,5
None, None, 1.87971, None, 61.1892,2017-01-29 10:00:00, 5.24827,5
None, None, 2.91981, None, 57.0504,2017-01-29 11:00:00, 5.99808,5
None, None, 2.603, None, 56.5927,2017-01-29 12:00:00, 6.13333,5
None, None, 2.18506, None, 54.0863,2017-01-29 13:00:00, 6.48109,5
None, None, 2.24178, None, 52.0279,2017-01-29 14:00:00, 6.64446,5
None, None, 2.39182, None, 49.6348,2017-01-29 15:00:00, 6.66555,5
None, None, 1.56914, None, 52.3829,2017-01-29 16:00:00, 6.10997,5
None, None, 1.9634, None, 53.7854,2017-01-29 17:00:00, 5.83149,5
None, None, 1.83845, None, 53.9334,2017-01-29 18:00:00, 5.43773,5
None, None, 1.22532, None, 55.9353,2017-01-29 19:00:00, 4.53468,5
None, None, 2.48703, None, 50.827,2017-01-29 20:00:00, 4.52879,5
None, None, 3.97632, None, 47.6877,2017-01-29 21:00:00, 4.7185,5
None, None, 3.57674, None, 47.9806,2017-01-29 22:00:00, 4.5242,5
None, None, 3.17546, None, 46.1044,2017-01-29 23:00:00, 4.21151,5
None, None, 4.28195, None, 45.7006,2017-01-30 00:00:00, 3.86386,5
None, None, 3.51444, None, 46.4442,2017-01-30 01:00:00, 3.29053,5
None, None, 4.53774, None, 54.5578,2017-01-30 02:00:00, 2.33748,5
None, None, 2.98719, None, 77.0915,2017-01-30 03:00:00, 0.035204,5
None, None, 0.976019, None, 87.3027,2017-01-30 04:00:00, -0.859327,5
None, None, 1.29074, None, 90.0424,2017-01-30 05:00:00, -1.02556,5
None, None, 3.65979, None, 62.1347,2017-01-30 06:00:00, -0.305833,5
None, None, 4.42777, None, 35.6514,2017-01-30 07:00:00, -0.199312,5
None, None, 3.6968, None, 31.9412,2017-01-30 08:00:00, -0.580407,5
None, None, 3.55845, None, 31.697,2017-01-30 09:00:00, -0.847329,5
None, None, 3.7003, None, 31.2121,2017-01-30 10:00:00, -0.702557,5
None, None, 4.05038, None, 30.175,2017-01-30 11:00:00, -0.389174,5
None, None, 3.76119, None, 29.3821,2017-01-30 12:00:00, -0.059615,5
None, None, 4.18467, None, 27.6523,2017-01-30 13:00:00, -0.086726,5
None, None, 4.03214, None, 28.7939,2017-01-30 14:00:00, -0.062761,5
None, None, 4.84716, None, 30.9616,2017-01-30 15:00:00, -0.316659,5
None, None, 6.16805, None, 44.535,2017-01-30 16:00:00, -1.38189,5
None, None, 5.42041, None, 48.6093,2017-01-30 17:00:00, -1.92074,5
None, None, 5.10521, None, 54.317,2017-01-30 18:00:00, -2.3889,5
None, None, 3.7654, None, 66.3465,2017-01-30 19:00:00, -3.10031,5
None, None, 1.88479, None, 79.3994,2017-01-30 20:00:00, -3.82681,5
None, None, 3.7901, None, 74.2029,2017-01-30 21:00:00, -3.82167,5
None, None, 5.50772, None, 71.3577,2017-01-30 22:00:00, -4.39557,5
None, None, 4.23302, None, 65.6323,2017-01-30 23:00:00, -4.91677,5
None, None, 2.96129, None, 72.6397,2017-01-31 00:00:00, -5.17993,5
None, None, 3.45952, None, 79.7369,2017-01-31 01:00:00, -5.4722,5
None, None, 4.61998, None, 77.5456,2017-01-31 02:00:00, -5.86152,5
None, None, 2.75413, None, 80.4315,2017-01-31 03:00:00, -6.05504,5
None, None, 3.2569, None, 77.7466,2017-01-31 04:00:00, -6.1345,5
None, None, 3.5709, None, 67.5555,2017-01-31 05:00:00, -6.40745,5
None, None, 2.78834, None, 67.8432,2017-01-31 06:00:00, -6.74389,5
None, None, 1.7741, None, 75.6062,2017-01-31 07:00:00, -6.9873,5
None, None, 1.75398, None, 78.1195,2017-01-31 08:00:00, -7.0536,5
None, None, 2.26911, None, 78.2357,2017-01-31 09:00:00, -6.64401,5
None, None, 2.52456, None, 73.2576,2017-01-31 10:00:00, -6.25552,5
None, None, 2.51472, None, 68.5658,2017-01-31 11:00:00, -5.74719,5
None, None, 2.50818, None, 62.199,2017-01-31 12:00:00, -5.13248,5
None, None, 2.67345, None, 57.764,2017-01-31 13:00:00, -4.7083,5
None, None, 2.70282, None, 55.0782,2017-01-31 14:00:00, -4.56363,5
None, None, 1.63875, None, 53.4157,2017-01-31 15:00:00, -4.50174,5
None, None, 1.02295, None, 51.3194,2017-01-31 16:00:00, -4.55481,5
None, None, 0.913375, None, 55.8725,2017-01-31 17:00:00, -5.58024,5
None, None, 1.32301, None, 65.1092,2017-01-31 18:00:00, -8.52949,5
None, None, 0.752057, None, 68.0046,2017-01-31 19:00:00, -8.13363,5
None, None, 1.24725, None, 70.5453,2017-01-31 20:00:00, -8.54844,5
None, None, 1.37085, None, 74.0935,2017-01-31 21:00:00, -10.2572,5
None, None, 1.36474, None, 76.2556,2017-01-31 22:00:00, -11.5437,5
None, None, 1.23899, None, 78.0101,2017-01-31 23:00:00, -12.0492,5
None, None, 0.964995, None, 79.6653,2017-02-01 00:00:00, -12.6004,5
None, None, 0.60578, None, 82.7634,2017-02-01 01:00:00, -12.6926,5
None, None, 0.581556, None, 83.4428,2017-02-01 02:00:00, -13.2888,5
None, None, 0.521861, None, 84.4497,2017-02-01 03:00:00, -13.0307,5
None, None, 0.420103, None, 84.6631,2017-02-01 04:00:00, -13.519,5
None, None, 0.59671, None, 84.835,2017-02-01 05:00:00, -13.5541,5
