CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,rel_hum,time,stn_pres,week_of_year
-7.963, 91.9, None, None,57.41, 0.0,12.48, None, None, None, None, None, None,-9.0, 939.0, None, None,2017-12-17 00:00:00, None,51
-7.628, 91.7, None, None,15.62, 0.0,42.49, None, None, None, None, None, None,-9.0, 942.0, None, None,2017-12-17 01:00:00, None,51
-7.584, 91.8, None, None,45.33, 0.0,49.8, None, None, None, None, None, None,-9.0, 943.0, None, None,2017-12-17 02:00:00, None,51
-7.428, 91.8, None, None,57.75, 0.0,9.05, None, None, None, None, None, None,-8.0, 942.0, None, None,2017-12-17 03:00:00, None,51
-7.437, 91.7, None, None,44.31, 0.0,325.2, None, None, None, None, None, None,-8.0, 943.0, None, None,2017-12-17 04:00:00, None,51
-7.404, 91.7, None, None,30.1, 0.0,333.5, None, None, None, None, None, None,-8.0, 944.0, None, None,2017-12-17 05:00:00, None,51
-7.428, 91.9, None, None,69.67, 0.0,254.6, None, None, None, None, None, None,-8.0, 944.0, None, None,2017-12-17 06:00:00, None,51
-7.307, 91.7, None, None,46.04, 0.0,205.2, None, None, None, None, None, None,-8.0, 945.0, None, None,2017-12-17 07:00:00, None,51
-7.209, 91.8, None, None,68.91, 0.0,206.8, None, None, None, None, None, None,-8.0, 945.0, None, None,2017-12-17 08:00:00, None,51
-6.974, 91.7, None, None,49.27, 0.0,340.8, None, None, None, None, None, None,-8.0, 944.0, None, None,2017-12-17 09:00:00, None,51
-6.365, 91.5, None, None,44.78, 0.0,357.1, None, None, None, None, None, None,-7.0, 944.0, None, None,2017-12-17 10:00:00, None,51
-5.906, 89.5, None, None,17.08, 0.001,246.3, None, None, None, None, None, None,-7.0, 945.0, None, None,2017-12-17 11:00:00, None,51
-5.536, 88.5, None, None,34.93, 0.0,257.7, None, None, None, None, None, None,-7.0, 944.0, None, None,2017-12-17 12:00:00, None,51
-5.128, 88.9, None, None,57.54, 0.004,271.5, None, None, None, None, None, None,-6.0, 943.0, None, None,2017-12-17 13:00:00, None,51
-4.981, 90.3, None, None,57.56, 0.005,239.1, None, None, None, None, None, None,-6.0, 941.0, None, None,2017-12-17 14:00:00, None,51
-5.022, 91.5, None, None,38.35, 0.009,258.6, None, None, None, None, None, None,-6.0, 939.0, None, None,2017-12-17 15:00:00, None,51
-5.111, 91.9, None, None,52.19, 0.0,290.0, None, None, None, None, None, None,-6.0, 939.0, None, None,2017-12-17 16:00:00, None,51
-5.233, 92.1, None, None,35.94, 0.0,326.9, None, None, None, None, None, None,-6.0, 939.0, None, None,2017-12-17 17:00:00, None,51
-5.259, 92.4, None, None,45.9, 0.0,354.8, None, None, None, None, None, None,-6.0, 937.0, None, None,2017-12-17 18:00:00, None,51
-5.325, 92.4, None, None,48.81, 0.0,10.87, None, None, None, None, None, None,-6.0, 936.0, None, None,2017-12-17 19:00:00, None,51
-5.3, 92.5, None, None,26.26, 0.0,28.3, None, None, None, None, None, None,-6.0, 939.0, None, None,2017-12-17 20:00:00, None,51
-5.298, 92.9, None, None,10.04, 0.0,49.39, None, None, None, None, None, None,-6.0, 940.0, None, None,2017-12-17 21:00:00, None,51
-5.155, 93.1, None, None,34.61, 0.0,39.84, None, None, None, None, None, None,-6.0, 939.0, None, None,2017-12-17 22:00:00, None,51
-5.204, 93.0, None, None,5.36, 0.0,232.0, None, None, None, None, None, None,-6.0, 939.0, None, None,2017-12-17 23:00:00, None,51
-5.133, 93.1, None, None,1.627, 0.0,237.2, None, None, None, None, None, None,-6.0, 939.0, None, None,2017-12-18 00:00:00, None,51
-5.115, 93.1, None, None,32.5, 0.001,229.2, None, None, None, None, None, None,-6.0, 939.0, None, None,2017-12-18 01:00:00, None,51
-5.107, 93.3, None, None,60.27, 0.0,305.6, None, None, None, None, None, None,-6.0, 939.0, None, None,2017-12-18 02:00:00, None,51
-5.058, 93.1, None, None,60.28, 0.0,220.4, None, None, None, None, None, None,-6.0, 939.0, None, None,2017-12-18 03:00:00, None,51
-4.852, 91.8, None, None,64.9, 0.0,152.4, None, None, None, None, None, None,-6.0, 938.0, None, None,2017-12-18 04:00:00, None,51
-4.986, 92.2, None, None,71.44, 0.269,33.26, None, None, None, None, None, None,-6.0, 939.0, None, None,2017-12-18 05:00:00, None,51
-4.96, 93.0, None, None,65.43, 0.016,47.96, None, None, None, None, None, None,-6.0, 939.0, None, None,2017-12-18 07:00:00, None,51
-4.913, 92.9, None, None,24.25, 0.0,78.87, None, None, None, None, None, None,-6.0, 938.0, None, None,2017-12-18 08:00:00, None,51
-4.622, 92.8, None, None,14.04, 0.0,90.2, None, None, None, None, None, None,-5.0, 941.0, None, None,2017-12-18 09:00:00, None,51
-4.282, 91.2, None, None,55.68, 0.113,90.2, None, None, None, None, None, None,-5.0, 942.0, None, None,2017-12-18 10:00:00, None,51
-3.836, 91.6, None, None,48.48, 0.345,333.8, None, None, None, None, None, None,-5.0, 944.0, None, None,2017-12-18 11:00:00, None,51
-3.722, 89.7, None, None,45.49, 0.609,262.8, None, None, None, None, None, None,-5.0, 942.0, None, None,2017-12-18 12:00:00, None,51
-4.118, 90.1, None, None,19.9, 1.146,242.6, None, None, None, None, None, None,-5.0, 942.0, None, None,2017-12-18 13:00:00, None,51
-4.154, 90.9, None, None,47.05, 0.673,268.6, None, None, None, None, None, None,-5.0, 941.0, None, None,2017-12-18 14:00:00, None,51
-4.697, 91.2, None, None,59.0, 0.222,84.1, None, None, None, None, None, None,-6.0, 943.0, None, None,2017-12-18 15:00:00, None,51
-6.272, 91.6, None, None,26.33, 0.118,83.6, None, None, None, None, None, None,-7.0, 943.0, None, None,2017-12-18 16:00:00, None,51
-7.384, 91.8, None, None,32.56, 0.236,87.0, None, None, None, None, None, None,-8.0, 944.0, None, None,2017-12-18 17:00:00, None,51
-7.398, 91.6, None, None,11.66, 0.447,94.1, None, None, None, None, None, None,-8.0, 943.0, None, None,2017-12-18 18:00:00, None,51
-7.782, 90.8, None, None,20.22, 0.452,92.3, None, None, None, None, None, None,-9.0, 944.0, None, None,2017-12-18 19:00:00, None,51
-8.08, 90.3, None, None,14.79, 0.407,84.7, None, None, None, None, None, None,-9.0, 944.0, None, None,2017-12-18 20:00:00, None,51
