WDIR_VECT,BAR_PRESS,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, 1023.66, -3.1, 0.698691, 83.2, 83.2442,2017-12-24 00:00:00, -3.05216,52
None, 1023.56, -2.9, 0.605332, 84.2, 84.2436,2017-12-24 01:00:00, -2.86137,52
None, 1023.05, -2.5, 0.486202, 83.9, 83.9414,2017-12-24 02:00:00, -2.46522,52
None, 1022.57, -2.4, 0.512138, 85.4, 85.4138,2017-12-24 03:00:00, -2.37757,52
None, 1021.99, -2.1, 0.533679, 83.9, 83.9399,2017-12-24 04:00:00, -2.07914,52
None, 1021.06, -1.6, 0.714856, 80.7, 80.6547,2017-12-24 05:00:00, -1.64467,52
None, 1019.85, -1.5, 0.743843, 80.1, 80.1298,2017-12-24 06:00:00, -1.4874,52
None, 1019.0, -1.2, 0.680561, 79.7, 79.7339,2017-12-24 07:00:00, -1.21606,52
None, 1018.18, -1.2, 0.521372, 81.8, 81.7721,2017-12-24 08:00:00, -1.23628,52
None, 1017.85, -0.7, 0.476283, 81.9, 81.9116,2017-12-24 09:00:00, -0.670737,52
None, 1017.58, -0.1, 0.587037, 80.2, 80.2105,2017-12-24 10:00:00, -0.114835,52
None, 1017.42, 0.5, 0.538151, 80.1, 80.0743,2017-12-24 11:00:00, 0.54641,52
None, 1017.01, 1.0, 0.549485, 79.5, 79.5094,2017-12-24 12:00:00, 0.952368,52
None, 1016.66, 1.4, 0.747605, 73.6, 73.6028,2017-12-24 13:00:00, 1.37319,52
None, 1016.41, 1.3, 0.895281, 72.0, 72.0233,2017-12-24 14:00:00, 1.32264,52
None, 1016.29, 1.3, 0.644235, 72.3, 72.2886,2017-12-24 15:00:00, 1.31878,52
None, 1016.05, 0.7, 1.51235, 83.0, 83.0456,2017-12-24 16:00:00, 0.728415,52
None, 1015.68, 0.0, 0.570424, 93.7, 93.7064,2017-12-24 17:00:00, -0.037539,52
None, 1015.44, -0.2, 0.584483, 94.7, 94.7362,2017-12-24 18:00:00, -0.249192,52
None, 1015.13, -0.4, 0.943054, 95.0, 94.9504,2017-12-24 19:00:00, -0.396001,52
None, 1014.83, -0.6, 0.765636, 94.6, 94.5987,2017-12-24 20:00:00, -0.568955,52
None, 1014.76, -0.5, 0.922743, 93.7, 93.662,2017-12-24 21:00:00, -0.494277,52
None, 1014.68, -0.1, 0.928691, 89.5, 89.5383,2017-12-24 22:00:00, -0.139868,52
None, 1014.76, -0.1, 0.681858, 88.3, 88.2996,2017-12-24 23:00:00, -0.119198,52
None, 1014.73, -0.2, 0.878045, 88.3, 88.3418,2017-12-25 00:00:00, -0.165316,52
None, 1014.86, -0.3, 0.962203, 89.5, 89.4686,2017-12-25 01:00:00, -0.260439,52
None, 1015.09, -0.3, 0.88752, 91.1, 91.089,2017-12-25 02:00:00, -0.285881,52
None, 1015.4, -0.6, 0.685513, 91.5, 91.4757,2017-12-25 03:00:00, -0.575034,52
None, 1015.49, -0.5, 0.93932, 90.3, 90.3334,2017-12-25 04:00:00, -0.462244,52
None, 1015.55, 0.1, 0.832964, 89.1, 89.088,2017-12-25 05:00:00, 0.057994,52
None, 1015.76, 0.2, 0.730189, 89.6, 89.6374,2017-12-25 06:00:00, 0.217967,52
None, 1016.25, 0.2, 0.876136, 90.2, 90.2277,2017-12-25 07:00:00, 0.17775,52
None, 1016.51, 0.0, 0.765847, 90.1, 90.0625,2017-12-25 08:00:00, -0.041733,52
None, 1016.91, -0.2, 0.618336, 90.8, 90.8104,2017-12-25 09:00:00, -0.18354,52
None, 1017.59, 1.0, 0.454338, 89.1, 89.1103,2017-12-25 10:00:00, 0.997815,52
None, 1018.39, 3.0, 0.794335, 82.6, 82.6426,2017-12-25 11:00:00, 2.95937,52
None, 1018.66, 3.0, 0.513346, 83.3, 83.2749,2017-12-25 12:00:00, 3.02084,52
None, 1018.74, 4.1, 0.814652, 78.7, 78.6826,2017-12-25 13:00:00, 4.08775,52
None, 1018.91, 3.6, 0.612957, 78.5, 78.5466,2017-12-25 14:00:00, 3.61779,52
None, 1018.8, 3.0, 0.692789, 82.5, 82.4831,2017-12-25 15:00:00, 3.0198,52
None, 1019.13, 2.6, 0.704225, 83.7, 83.6864,2017-12-25 16:00:00, 2.61568,52
None, 1019.61, 2.2, 0.75375, 85.4, 85.3688,2017-12-25 17:00:00, 2.23383,52
None, 1020.04, 1.7, 0.533657, 88.6, 88.6298,2017-12-25 18:00:00, 1.74101,52
None, 1020.04, 1.6, 0.702018, 90.2, 90.1751,2017-12-25 19:00:00, 1.57106,52
None, 1019.91, 2.0, 1.2323, 88.3, 88.2583,2017-12-25 20:00:00, 2.02044,52
None, 1020.18, 1.8, 0.67264, 89.6, 89.6465,2017-12-25 21:00:00, 1.81289,52
None, 1020.56, 1.8, 0.41936, 90.6, 90.6022,2017-12-25 22:00:00, 1.78755,52
None, 1020.66, 1.8, 0.548137, 90.7, 90.6825,2017-12-25 23:00:00, 1.82374,52
None, 1020.71, 1.9, 0.463312, 89.4, 89.4437,2017-12-26 00:00:00, 1.87825,52
None, 1020.6, 1.8, 0.818713, 87.2, 87.1566,2017-12-26 01:00:00, 1.83138,52
None, 1020.62, 2.2, 1.34627, 80.6, 80.5747,2017-12-26 02:00:00, 2.19674,52
None, 1020.66, 2.0, 1.301, 81.7, 81.7475,2017-12-26 03:00:00, 1.99276,52
None, 1020.66, 1.8, 1.21364, 81.4, 81.3778,2017-12-26 04:00:00, 1.81082,52
None, 1020.24, 1.9, 1.23813, 80.0, 80.0367,2017-12-26 05:00:00, 1.92488,52
None, 1020.13, 1.8, 1.05151, 80.6, 80.6119,2017-12-26 06:00:00, 1.80366,52
None, 1019.96, 1.3, 0.716297, 84.9, 84.8563,2017-12-26 07:00:00, 1.30259,52
None, 1019.74, 1.3, 0.825846, 85.4, 85.4355,2017-12-26 08:00:00, 1.28646,52
None, 1019.79, 1.4, 0.879001, 84.3, 84.2691,2017-12-26 09:00:00, 1.41222,52
None, 1019.81, 1.8, 0.882323, 81.7, 81.7198,2017-12-26 10:00:00, 1.77615,52
None, 1020.05, 2.3, 1.63955, 77.6, 77.6231,2017-12-26 11:00:00, 2.2666,52
None, 1019.81, 2.8, 1.00062, 74.2, 74.2278,2017-12-26 12:00:00, 2.84849,52
None, 1019.18, 3.2, 1.45415, 73.4, 73.4029,2017-12-26 13:00:00, 3.18534,52
None, 1018.49, 3.1, 1.12191, 73.4, 73.4193,2017-12-26 14:00:00, 3.10564,52
None, 1017.91, 3.1, 0.772121, 74.3, 74.335,2017-12-26 15:00:00, 3.14427,52
None, 1017.79, 2.7, 0.659137, 77.5, 77.5121,2017-12-26 16:00:00, 2.74029,52
None, 1017.65, 2.2, 0.91246, 83.0, 83.0083,2017-12-26 17:00:00, 2.15074,52
None, 1017.17, 1.9, 0.823189, 84.6, 84.617,2017-12-26 18:00:00, 1.90967,52
None, 1016.98, 1.5, 0.617905, 85.8, 85.8209,2017-12-26 19:00:00, 1.52709,52
None, 1016.86, 1.3, 0.717428, 87.7, 87.6726,2017-12-26 20:00:00, 1.30862,52
None, 1017.14, 1.6, 0.6815, 87.5, 87.5467,2017-12-26 21:00:00, 1.58813,52
None, 1016.92, 1.7, 1.2602, 86.7, 86.6724,2017-12-26 22:00:00, 1.7164,52
None, 1016.73, 1.9, 1.81615, 85.8, 85.8107,2017-12-26 23:00:00, 1.91777,52
None, 1016.77, 1.8, 1.13883, 85.5, 85.5338,2017-12-27 00:00:00, 1.83667,52
None, 1016.61, 1.1, 0.591489, 88.3, 88.3096,2017-12-27 01:00:00, 1.13932,52
None, 1016.64, 1.2, 0.652306, 88.3, 88.2642,2017-12-27 02:00:00, 1.20852,52
None, 1017.08, 1.3, 0.810051, 89.3, 89.3122,2017-12-27 03:00:00, 1.2801,52
None, 1017.19, 1.6, 0.971894, 87.7, 87.6967,2017-12-27 04:00:00, 1.61878,52
None, 1017.14, 1.6, 1.1293, 89.1, 89.1184,2017-12-27 05:00:00, 1.56687,52
None, 1016.7, 2.1, 1.45215, 88.0, 87.9936,2017-12-27 06:00:00, 2.10784,52
None, 1016.58, 2.4, 1.63702, 88.0, 88.0,2017-12-27 07:00:00, 2.37161,52
None, 1016.6, 2.2, 1.55681, 87.5, 87.4713,2017-12-27 08:00:00, 2.19192,52
None, 1016.56, 1.8, 2.29295, 90.2, 90.2205,2017-12-27 09:00:00, 1.81614,52
None, 1016.78, 2.2, 1.9718, 89.6, 89.5772,2017-12-27 10:00:00, 2.17124,52
None, 1017.29, 2.6, 1.90645, 87.9, 87.9381,2017-12-27 11:00:00, 2.57296,52
None, 1017.3, 3.1, 1.69223, 87.0, 87.0,2017-12-27 12:00:00, 3.08882,52
None, 1017.11, 3.3, 1.78049, 86.9, 86.8735,2017-12-27 13:00:00, 3.32842,52
None, 1017.07, 3.0, 2.15037, 88.2, 88.1929,2017-12-27 14:00:00, 3.03937,52
None, 1017.1, 3.3, 1.6387, 88.4, 88.4095,2017-12-27 15:00:00, 3.25787,52
None, 1017.22, 3.1, 0.664044, 89.7, 89.7346,2017-12-27 16:00:00, 3.06724,52
None, 1017.19, 2.7, 0.708697, 90.9, 90.9375,2017-12-27 17:00:00, 2.6835,52
None, 1016.95, 3.0, 1.32275, 92.0, 92.0207,2017-12-27 18:00:00, 2.98902,52
None, 1017.16, 2.9, 0.922685, 91.3, 91.3482,2017-12-27 19:00:00, 2.91087,52
None, 1017.12, 3.0, 1.83685, 91.0, 91.0,2017-12-27 20:00:00, 3.03759,52
None, 1016.71, 3.1, 2.14807, 91.0, 90.98,2017-12-27 21:00:00, 3.0507,52
None, 1016.8, 3.1, 1.61672, 91.4, 91.3585,2017-12-27 22:00:00, 3.13978,52
None, 1016.51, 3.4, 1.59182, 91.2, 91.1783,2017-12-27 23:00:00, 3.41109,52
None, 1016.33, 3.6, 1.47094, 91.7, 91.7296,2017-12-28 00:00:00, 3.55208,52
None, 1015.56, 3.5, 1.31748, 92.5, 92.5197,2017-12-28 01:00:00, 3.50156,52
None, 1015.16, 3.1, 1.03813, 93.7, 93.6569,2017-12-28 02:00:00, 3.07311,52
None, 1014.65, 3.3, 1.81136, 94.4, 94.4426,2017-12-28 03:00:00, 3.27217,52
None, 1014.2, 3.4, 1.75364, 95.0, 95.0,2017-12-28 04:00:00, 3.40522,52
None, 1013.15, 3.2, 1.78442, 95.6, 95.6134,2017-12-28 05:00:00, 3.21092,52
None, 1012.59, 3.2, 2.43788, 96.0, 96.0,2017-12-28 06:00:00, 3.20531,52
None, 1011.72, 3.3, 2.30771, 96.0, 95.9902,2017-12-28 07:00:00, 3.26341,52
None, 1010.95, 3.3, 2.01052, 95.8, 95.8371,2017-12-28 08:00:00, 3.32723,52
None, 1009.85, 3.2, 1.92938, 96.0, 95.9608,2017-12-28 09:00:00, 3.21045,52
None, 1009.14, 3.4, 1.77287, 95.9, 95.8775,2017-12-28 10:00:00, 3.43494,52
None, 1008.11, 3.5, 0.583548, 95.9, 95.8743,2017-12-28 11:00:00, 3.48353,52
None, 1006.8, 4.3, 0.894622, 96.0, 96.0,2017-12-28 12:00:00, 4.34222,52
None, 1005.42, 4.9, 1.19045, 96.0, 96.0,2017-12-28 13:00:00, 4.88435,52
None, 1004.44, 5.4, 1.10776, 96.0, 96.027,2017-12-28 14:00:00, 5.41664,52
None, 1004.16, 5.8, 1.43479, 96.1, 96.1238,2017-12-28 15:00:00, 5.81205,52
