pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,time,MIN_TEMP,week_of_year
None, None, None, None, None, -6.0, 53.0, None, None,439.0, 150.0,2018-03-05 00:00:00, None,10
None, None, None, None, None, -6.5, 53.0, None, None,439.0, 150.0,2018-03-05 01:00:00, None,10
None, None, None, None, None, -8.3, 53.0, None, None,439.0, 150.0,2018-03-05 02:00:00, None,10
None, None, None, None, None, -10.9, 54.0, None, None,439.0, 151.0,2018-03-05 03:00:00, None,10
None, None, None, None, None, -11.9, 53.0, None, None,439.0, 151.0,2018-03-05 04:00:00, None,10
None, None, None, None, None, -12.0, 53.0, None, None,440.0, 151.0,2018-03-05 05:00:00, None,10
None, None, None, None, None, -11.9, 53.0, None, None,440.0, 151.0,2018-03-05 06:00:00, None,10
None, None, None, None, None, -12.1, 53.0, None, None,440.0, 151.0,2018-03-05 07:00:00, None,10
None, None, None, None, None, -11.8, 53.0, None, None,440.0, 151.0,2018-03-05 08:00:00, None,10
None, None, None, None, None, -12.5, 53.0, None, None,440.0, 151.0,2018-03-05 09:00:00, None,10
None, None, None, None, None, -13.5, 53.0, None, None,440.0, 151.0,2018-03-05 10:00:00, None,10
None, None, None, None, None, -13.8, 53.0, None, None,440.0, 151.0,2018-03-05 11:00:00, None,10
None, None, None, None, None, -14.4, 53.0, None, None,440.0, 151.0,2018-03-05 12:00:00, None,10
None, None, None, None, None, -15.3, 53.0, None, None,440.0, 150.0,2018-03-05 13:00:00, None,10
None, None, None, None, None, -16.8, 53.0, None, None,440.0, 150.0,2018-03-05 14:00:00, None,10
None, None, None, None, None, -18.2, 53.0, None, None,440.0, 150.0,2018-03-05 15:00:00, None,10
None, 18.0, None, None, None, -19.6, 53.0, None, None,440.0, 150.0,2018-03-05 16:00:00, None,10
None, None, None, None, None, -18.6, 53.0, None, None,441.0, 149.0,2018-03-05 17:00:00, None,10
None, None, None, None, None, -11.8, 53.0, None, None,441.0, 149.0,2018-03-05 18:00:00, None,10
None, None, None, None, None, -5.1, 51.0, None, None,441.0, 149.0,2018-03-05 19:00:00, None,10
None, None, None, None, None, -4.8, 51.0, None, None,440.0, 150.0,2018-03-05 20:00:00, None,10
None, None, None, None, None, -6.4, 52.0, None, None,440.0, 150.0,2018-03-05 21:00:00, None,10
None, None, None, None, None, -5.7, 52.0, None, None,439.0, 151.0,2018-03-05 22:00:00, None,10
None, None, None, None, None, -7.1, 53.0, None, None,439.0, 151.0,2018-03-05 23:00:00, None,10
None, None, None, None, None, -8.7, 53.0, None, None,439.0, 151.0,2018-03-06 00:00:00, None,10
None, None, None, None, None, -10.0, 53.0, None, None,439.0, 151.0,2018-03-06 01:00:00, None,10
None, None, None, None, None, -11.8, 53.0, None, None,439.0, 151.0,2018-03-06 02:00:00, None,10
None, None, None, None, None, -14.9, 53.0, None, None,440.0, 151.0,2018-03-06 03:00:00, None,10
None, None, None, None, None, -17.5, 53.0, None, None,440.0, 151.0,2018-03-06 04:00:00, None,10
None, None, None, None, None, -19.4, 53.0, None, None,440.0, 151.0,2018-03-06 05:00:00, None,10
None, None, None, None, None, -21.0, 53.0, None, None,440.0, 150.0,2018-03-06 06:00:00, None,10
None, None, None, None, None, -22.2, 53.0, None, None,441.0, 150.0,2018-03-06 07:00:00, None,10
None, None, None, None, None, -23.1, 53.0, None, None,441.0, 149.0,2018-03-06 08:00:00, None,10
None, None, None, None, None, -24.0, 53.0, None, None,441.0, 149.0,2018-03-06 09:00:00, None,10
None, None, None, None, None, -24.7, 53.0, None, None,441.0, 149.0,2018-03-06 10:00:00, None,10
None, None, None, None, None, -25.2, 53.0, None, None,441.0, 148.0,2018-03-06 11:00:00, None,10
None, None, None, None, None, -25.8, 53.0, None, None,441.0, 148.0,2018-03-06 12:00:00, None,10
None, None, None, None, None, -26.3, 53.0, None, None,441.0, 148.0,2018-03-06 13:00:00, None,10
None, None, None, None, None, -26.6, 53.0, None, None,441.0, 147.0,2018-03-06 14:00:00, None,10
None, None, None, None, None, -27.1, 53.0, None, None,441.0, 147.0,2018-03-06 15:00:00, None,10
None, 15.0, None, None, None, -27.2, 53.0, None, None,441.0, 147.0,2018-03-06 16:00:00, None,10
None, None, None, None, None, -25.1, 53.0, None, None,441.0, 147.0,2018-03-06 17:00:00, None,10
None, None, None, None, None, -13.5, 51.0, None, None,441.0, 146.0,2018-03-06 18:00:00, None,10
None, None, None, None, None, -9.0, 52.0, None, None,441.0, 147.0,2018-03-06 19:00:00, None,10
None, None, None, None, None, -6.2, 52.0, None, None,440.0, 148.0,2018-03-06 20:00:00, None,10
None, None, None, None, None, -6.9, 53.0, None, None,440.0, 150.0,2018-03-06 21:00:00, None,10
None, None, None, None, None, -6.4, 53.0, None, None,439.0, 150.0,2018-03-06 22:00:00, None,10
None, None, None, None, None, -5.8, 53.0, None, None,439.0, 151.0,2018-03-06 23:00:00, None,10
None, None, None, None, None, -6.7, 53.0, None, None,439.0, 152.0,2018-03-07 00:00:00, None,10
None, None, None, None, None, -6.7, 53.0, None, None,439.0, 152.0,2018-03-07 01:00:00, None,10
None, None, None, None, None, -7.6, 53.0, None, None,439.0, 152.0,2018-03-07 02:00:00, None,10
None, None, None, None, None, -8.6, 53.0, None, None,439.0, 152.0,2018-03-07 03:00:00, None,10
None, None, None, None, None, -9.3, 53.0, None, None,439.0, 152.0,2018-03-07 04:00:00, None,10
None, None, None, None, None, -12.9, 53.0, None, None,439.0, 152.0,2018-03-07 05:00:00, None,10
None, None, None, None, None, -15.8, 53.0, None, None,439.0, 152.0,2018-03-07 06:00:00, None,10
None, None, None, None, None, -17.8, 53.0, None, None,440.0, 152.0,2018-03-07 07:00:00, None,10
None, None, None, None, None, -19.1, 53.0, None, None,440.0, 152.0,2018-03-07 08:00:00, None,10
None, None, None, None, None, -20.1, 53.0, None, None,440.0, 151.0,2018-03-07 09:00:00, None,10
None, None, None, None, None, -20.6, 53.0, None, None,440.0, 151.0,2018-03-07 10:00:00, None,10
