TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
-2.334,0.6,78.0,1.3,921.75, 0.0,4.64,2018-03-12 00:00:00,137.6,-5.6,11
-3.687,0.6,79.8,0.93,922.05, 0.0,4.08,2018-03-12 01:00:00,134.8,-6.7,11
-2.16,0.6,80.6,1.3,922.05, 0.0,4.64,2018-03-12 02:00:00,129.2,-5.0,11
-3.124,0.6,79.8,1.11,921.95, 0.0,4.27,2018-03-12 03:00:00,132.0,-6.1,11
-4.106,0.6,81.3,1.11,921.95, 0.0,4.64,2018-03-12 04:00:00,132.0,-6.8,11
-3.747,0.6,83.8,1.48,921.65, 0.0,5.2,2018-03-12 05:00:00,129.2,-6.1,11
-5.172,4.4,84.0,1.11,921.65, 0.0,5.57,2018-03-12 06:00:00,133.4,-7.5,11
-4.046,33.1,84.8,1.3,921.35, 0.0,4.27,2018-03-12 07:00:00,124.9,-6.2,11
-0.845,415.6,79.6,1.11,921.15, 0.0,4.27,2018-03-12 08:00:00,129.2,-3.9,11
1.561,604.4,70.0,1.48,921.05, 0.0,6.49,2018-03-12 09:00:00,126.4,-3.3,11
3.485,723.1,61.2,1.48,920.75, 0.0,6.12,2018-03-12 10:00:00,130.6,-3.3,11
4.402,823.1,55.9,1.86,920.05, 0.0,5.94,2018-03-12 11:00:00,133.4,-3.6,11
6.026,845.6,51.6,1.67,919.25, 0.0,6.31,2018-03-12 12:00:00,133.4,-3.2,11
5.539,105.6,49.1,1.67,918.55, 0.0,5.94,2018-03-12 13:00:00,137.6,-4.3,11
6.712,140.6,46.8,1.48,917.95, 0.0,5.94,2018-03-12 14:00:00,139.0,-3.9,11
6.585,70.6,44.8,1.48,917.35, 0.0,5.2,2018-03-12 15:00:00,140.4,-4.6,11
6.179,66.9,44.4,1.48,916.75, 0.0,4.64,2018-03-12 16:00:00,147.4,-5.0,11
6.102,40.6,44.0,1.67,916.45, 0.0,5.2,2018-03-12 17:00:00,143.2,-5.2,11
5.514,0.6,47.9,2.04,916.25, 0.0,6.31,2018-03-12 18:00:00,146.0,-4.6,11
4.74,0.6,47.4,2.23,916.25, 0.0,6.49,2018-03-12 19:00:00,137.6,-5.5,11
2.77,0.6,50.4,2.41,916.35, 0.0,6.31,2018-03-12 20:00:00,136.2,-6.5,11
1.994,0.6,61.1,1.3,916.35, 0.0,3.71,2018-03-12 21:00:00,144.6,-4.7,11
1.235,0.6,59.8,1.86,916.25, 0.0,5.01,2018-03-12 22:00:00,136.2,-5.7,11
-0.789,0.6,67.8,1.11,915.85, 0.0,7.05,2018-03-12 23:00:00,129.2,-6.0,11
0.163,0.6,72.4,1.67,915.65, 0.0,5.57,2018-03-13 00:00:00,132.0,-4.2,11
-1.299,0.6,70.9,1.67,915.55, 0.0,4.64,2018-03-13 01:00:00,130.6,-5.9,11
-2.102,0.6,75.7,1.11,915.45, 0.0,4.08,2018-03-13 02:00:00,122.1,-5.8,11
-1.871,0.6,76.1,1.3,915.15, 0.0,5.01,2018-03-13 03:00:00,127.8,-5.5,11
-2.508,0.6,78.0,1.86,914.55, 0.0,4.64,2018-03-13 04:00:00,129.2,-5.8,11
-3.153,0.6,77.7,1.67,914.05, 0.0,4.64,2018-03-13 05:00:00,134.8,-6.5,11
-3.153,5.6,78.4,1.3,913.45, 0.0,4.64,2018-03-13 06:00:00,127.8,-6.4,11
-2.45,95.6,76.6,1.48,912.95, 0.0,4.08,2018-03-13 07:00:00,132.0,-6.0,11
1.017,306.9,69.3,1.67,912.35, 0.0,5.94,2018-03-13 08:00:00,130.6,-4.0,11
3.459,656.9,60.1,2.04,912.15, 0.0,8.53,2018-03-13 09:00:00,129.2,-3.5,11
3.354,615.6,53.7,1.86,911.65, 0.0,7.42,2018-03-13 10:00:00,129.2,-5.1,11
4.844,463.1,52.3,2.41,910.65, 0.0,6.86,2018-03-13 11:00:00,133.4,-4.1,11
6.484,491.9,49.5,1.67,909.95, 0.0,6.12,2018-03-13 12:00:00,134.8,-3.3,11
8.02,415.6,45.8,0.93,909.05, 0.0,3.34,2018-03-13 13:00:00,133.4,-2.9,11
9.213,301.9,42.9,0.93,908.55, 0.0,3.71,2018-03-13 14:00:00,134.8,-2.7,11
8.419,124.4,40.7,1.3,907.85, 0.0,5.38,2018-03-13 15:00:00,139.0,-4.2,11
8.916,139.4,40.7,1.48,906.95, 0.0,4.64,2018-03-13 16:00:00,144.6,-3.7,11
8.02,43.1,39.1,1.86,906.55, 0.0,6.86,2018-03-13 17:00:00,137.6,-5.0,11
7.92,0.6,38.9,2.6,906.25, 0.0,7.05,2018-03-13 18:00:00,139.0,-5.2,11
7.469,0.6,46.5,1.3,905.75, 0.0,6.68,2018-03-13 19:00:00,157.2,-3.2,11
4.454,0.6,52.0,0.74,905.65, 0.0,5.01,2018-03-13 20:00:00,160.0,-4.5,11
3.512,0.6,52.5,1.11,905.65, 0.0,6.49,2018-03-13 21:00:00,105.3,-5.3,11
2.61,0.6,56.6,0.93,905.55, 0.0,5.57,2018-03-13 22:00:00,132.0,-5.1,11
1.534,0.6,64.5,0.74,905.45, 0.0,3.9,2018-03-13 23:00:00,130.6,-4.4,11
2.664,0.6,66.2,1.11,905.35, 0.0,5.57,2018-03-14 00:00:00,124.9,-3.0,11
0.934,0.6,68.4,1.11,905.05, 0.0,4.64,2018-03-14 01:00:00,124.9,-4.2,11
0.825,0.6,71.3,1.48,904.55, 0.0,4.64,2018-03-14 02:00:00,133.4,-3.8,11
-0.339,0.6,73.1,1.3,904.35, 0.0,4.27,2018-03-14 03:00:00,129.2,-4.6,11
-0.845,0.6,75.3,1.3,903.85, 0.0,4.64,2018-03-14 04:00:00,134.8,-4.7,11
-0.958,0.6,78.2,1.3,903.45, 0.0,4.27,2018-03-14 05:00:00,136.2,-4.3,11
-0.873,5.6,78.5,1.67,903.15, 0.0,4.64,2018-03-14 06:00:00,137.6,-4.1,11
-0.62,85.6,78.7,0.93,902.65, 0.0,3.9,2018-03-14 07:00:00,130.6,-3.9,11
1.425,443.1,74.4,0.37,902.15, 0.0,1.67,2018-03-14 08:00:00,137.6,-2.6,11
5.693,474.4,65.5,0.56,901.75, 0.0,3.34,2018-03-14 09:00:00,119.3,-0.3,11
6.281,499.4,58.4,0.37,901.05, 0.0,2.6,2018-03-14 10:00:00,154.4,-1.3,11
8.095,420.6,49.3,0.74,900.65, 0.0,3.34,2018-03-14 11:00:00,134.8,-1.9,11
8.668,434.4,46.1,0.56,900.15, 0.0,3.53,2018-03-14 12:00:00,148.8,-2.3,11
9.188,795.6,43.4,0.93,899.45, 0.0,3.34,2018-03-14 13:00:00,139.0,-2.6,11
8.369,209.4,46.1,0.37,899.05, 0.0,1.86,2018-03-14 14:00:00,139.0,-2.5,11
7.368,149.4,52.2,0.37,899.05, 0.0,2.04,2018-03-14 15:00:00,122.1,-1.8,11
7.494,111.9,53.8,0.37,899.45, 0.0,2.23,2018-03-14 16:00:00,113.7,-1.3,11
5.847,15.6,61.1,1.67,900.15, 0.0,5.38,2018-03-14 17:00:00,134.8,-1.1,11
4.688,0.6,76.2,2.04,900.65, 0.0,6.49,2018-03-14 18:00:00,134.8,0.9,11
4.558,0.6,83.0,2.04,901.25, 0.0,5.75,2018-03-14 19:00:00,133.4,1.9,11
4.558,0.6,82.8,1.67,901.65, 0.0,6.68,2018-03-14 20:00:00,133.4,1.9,11
3.274,0.6,84.0,1.11,902.25, 0.0,5.01,2018-03-14 21:00:00,134.8,0.8,11
3.38,0.6,85.4,0.74,902.85, 0.0,3.53,2018-03-14 22:00:00,139.0,1.2,11
2.209,0.6,82.9,0.93,903.25, 0.0,4.82,2018-03-14 23:00:00,140.4,-0.4,11
1.967,0.6,87.2,0.37,903.65, 0.0,1.11,2018-03-15 00:00:00,143.2,0.1,11
1.94,0.6,88.4,0.56,904.05, 0.0,1.48,2018-03-15 01:00:00,255.5,0.2,11
1.724,0.6,89.2,0.37,905.05, 0.0,1.3,2018-03-15 02:00:00,292.0,0.1,11
1.453,0.6,89.9,0.19,905.25, 0.0,0.93,2018-03-15 03:00:00,292.0,0.0,11
2.182,0.6,90.8,0.19,905.45, 0.0,1.48,2018-03-15 04:00:00,283.6,0.8,11
1.967,0.6,92.1,0.74,905.55, 0.0,2.41,2018-03-15 05:00:00,297.6,0.8,11
1.832,3.1,92.5,0.56,905.75, 0.0,1.86,2018-03-15 06:00:00,322.9,0.7,11
2.45,86.9,91.3,0.74,905.85, 0.0,3.34,2018-03-15 07:00:00,296.2,1.2,11
2.209,121.9,90.7,0.74,905.95, 0.0,2.6,2018-03-15 08:00:00,324.3,0.8,11
2.637,271.9,91.8,0.74,906.25, 0.0,2.23,2018-03-15 09:00:00,320.1,1.4,11
3.985,436.9,87.2,1.67,905.95, 0.0,4.64,2018-03-15 10:00:00,317.3,2.1,11
4.037,376.9,81.3,2.23,906.05, 0.0,5.94,2018-03-15 11:00:00,317.3,1.1,11
4.48,290.6,79.5,2.04,906.05, 0.0,4.82,2018-03-15 12:00:00,317.3,1.2,11
5.154,345.6,75.5,2.23,905.85, 0.0,4.82,2018-03-15 13:00:00,315.9,1.2,11
5.514,294.4,69.0,2.23,905.65, 0.0,6.12,2018-03-15 14:00:00,311.7,0.3,11
5.154,191.9,68.8,2.6,905.45, 0.0,6.86,2018-03-15 15:00:00,314.5,-0.1,11
5.05,128.1,66.9,2.04,905.55, 0.0,7.05,2018-03-15 16:00:00,314.5,-0.6,11
4.454,21.9,67.1,1.86,905.65, 0.0,6.12,2018-03-15 17:00:00,310.3,-1.1,11
3.591,0.6,70.7,1.86,905.65, 0.0,6.31,2018-03-15 18:00:00,308.9,-1.2,11
3.063,0.6,78.7,2.04,905.75, 0.0,6.49,2018-03-15 19:00:00,304.7,-0.3,11
1.994,0.6,85.2,2.04,905.85, 0.2,5.38,2018-03-15 20:00:00,307.5,-0.2,11
1.262,0.6,89.5,2.23,905.95, 0.2,5.75,2018-03-15 21:00:00,313.1,-0.3,11
1.017,0.6,91.8,1.67,906.05, 0.2,4.82,2018-03-15 22:00:00,315.9,-0.2,11
0.715,0.6,92.4,1.67,906.35, 0.2,4.64,2018-03-15 23:00:00,318.7,-0.4,11
0.605,0.6,93.2,1.48,906.35, 0.0,4.27,2018-03-16 00:00:00,314.5,-0.4,11
0.467,0.6,94.0,1.67,906.35, 0.2,4.08,2018-03-16 01:00:00,314.5,-0.4,11
0.218,0.6,94.7,1.67,906.35, 0.2,4.64,2018-03-16 02:00:00,313.1,-0.5,11
0.079,0.6,95.3,1.67,906.25, 0.2,5.01,2018-03-16 03:00:00,314.5,-0.6,11
0.051,0.6,95.6,1.67,906.35, 0.0,4.64,2018-03-16 04:00:00,313.1,-0.6,11
