ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
None, 395.0, 890.0, None, None,2018-04-23 00:00:00, 2.7, None, None,17
None, 395.0, 890.0, None, None,2018-04-23 01:00:00, 1.8, None, None,17
None, 395.0, 890.0, None, None,2018-04-23 02:00:00, 1.2, None, None,17
None, 395.0, 890.0, None, None,2018-04-23 03:00:00, -1.1, None, None,17
None, 395.0, 891.0, None, None,2018-04-23 04:00:00, -3.7, None, None,17
None, 395.0, 891.0, None, None,2018-04-23 05:00:00, -4.8, None, None,17
None, 395.0, 891.0, None, None,2018-04-23 06:00:00, -5.2, None, None,17
None, 395.0, 891.0, None, None,2018-04-23 07:00:00, -6.5, None, None,17
None, 395.0, 891.0, None, None,2018-04-23 08:00:00, -7.5, None, None,17
None, 396.0, 891.0, None, None,2018-04-23 09:00:00, -8.0, None, None,17
None, 396.0, 891.0, None, None,2018-04-23 10:00:00, -7.6, None, None,17
None, 396.0, 891.0, None, None,2018-04-23 11:00:00, -8.1, None, None,17
None, 396.0, 891.0, None, None,2018-04-23 12:00:00, -8.1, None, None,17
None, 396.0, 891.0, None, None,2018-04-23 13:00:00, -8.2, None, None,17
None, 396.0, 891.0, None, None,2018-04-23 14:00:00, -6.9, None, None,17
None, 396.0, 891.0, None, None,2018-04-23 15:00:00, -3.5, None, None,17
None, 396.0, 890.0, 0.0, None,2018-04-23 16:00:00, 1.4, None, None,17
None, 395.0, 890.0, None, None,2018-04-23 17:00:00, 3.3, None, None,17
None, 395.0, 890.0, None, None,2018-04-23 18:00:00, 5.8, None, None,17
None, 395.0, 889.0, None, None,2018-04-23 19:00:00, 8.0, None, None,17
None, 394.0, 889.0, None, None,2018-04-23 20:00:00, 9.0, None, None,17
None, 394.0, 890.0, None, None,2018-04-23 21:00:00, 8.7, None, None,17
None, 394.0, 890.0, None, None,2018-04-23 22:00:00, 9.6, None, None,17
None, 394.0, 890.0, None, None,2018-04-23 23:00:00, 9.4, None, None,17
None, 394.0, 890.0, None, None,2018-04-24 00:00:00, 8.6, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 01:00:00, 7.2, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 02:00:00, 3.6, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 03:00:00, 0.5, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 04:00:00, -1.1, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 05:00:00, -1.3, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 06:00:00, -1.7, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 07:00:00, -2.2, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 08:00:00, -3.1, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 09:00:00, -3.5, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 10:00:00, -3.1, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 11:00:00, -3.2, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 12:00:00, -3.5, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 13:00:00, -3.4, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 14:00:00, -1.6, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 15:00:00, 0.9, None, None,17
None, 395.0, 890.0, 0.0, None,2018-04-24 16:00:00, 4.9, None, None,17
None, 395.0, 890.0, None, None,2018-04-24 17:00:00, 7.9, None, None,17
None, 395.0, 888.0, None, None,2018-04-24 18:00:00, 9.5, None, None,17
None, 394.0, 888.0, None, None,2018-04-24 19:00:00, 11.3, None, None,17
None, 394.0, 888.0, None, None,2018-04-24 20:00:00, 12.2, None, None,17
None, 394.0, 888.0, None, None,2018-04-24 21:00:00, 12.5, None, None,17
None, 394.0, 888.0, None, None,2018-04-24 22:00:00, 13.1, None, None,17
None, 394.0, 888.0, None, None,2018-04-24 23:00:00, 12.3, None, None,17
None, 394.0, 888.0, None, None,2018-04-25 00:00:00, 11.3, None, None,17
None, 394.0, 888.0, None, None,2018-04-25 01:00:00, 11.1, None, None,17
None, 394.0, 887.0, None, None,2018-04-25 02:00:00, 6.0, None, None,17
None, 395.0, 885.0, None, None,2018-04-25 03:00:00, 2.8, None, None,17
None, 395.0, 885.0, None, None,2018-04-25 04:00:00, 2.6, None, None,17
None, 395.0, 884.0, None, None,2018-04-25 05:00:00, 2.3, None, None,17
None, 395.0, 884.0, None, None,2018-04-25 06:00:00, 2.5, None, None,17
None, 395.0, 883.0, None, None,2018-04-25 07:00:00, 2.0, None, None,17
None, 395.0, 882.0, None, None,2018-04-25 08:00:00, 1.2, None, None,17
None, 395.0, 881.0, None, None,2018-04-25 09:00:00, 1.7, None, None,17
None, 395.0, 881.0, None, None,2018-04-25 10:00:00, 1.1, None, None,17
None, 395.0, 881.0, None, None,2018-04-25 11:00:00, 0.6, None, None,17
None, 395.0, 881.0, None, None,2018-04-25 12:00:00, -1.3, None, None,17
None, 395.0, 881.0, None, None,2018-04-25 13:00:00, 1.0, None, None,17
None, 395.0, 881.0, None, None,2018-04-25 14:00:00, 3.5, None, None,17
None, 395.0, 880.0, None, None,2018-04-25 15:00:00, 5.1, None, None,17
None, 395.0, 879.0, 0.0, None,2018-04-25 16:00:00, 6.5, None, None,17
None, 394.0, 876.0, None, None,2018-04-25 17:00:00, 6.5, None, None,17
None, 394.0, 876.0, None, None,2018-04-25 18:00:00, 7.9, None, None,17
None, 394.0, 875.0, None, None,2018-04-25 19:00:00, 10.3, None, None,17
None, 394.0, 875.0, None, None,2018-04-25 20:00:00, 10.9, None, None,17
None, 394.0, 875.0, None, None,2018-04-25 21:00:00, 11.0, None, None,17
None, 394.0, 873.0, None, None,2018-04-25 22:00:00, 11.9, None, None,17
None, 394.0, 873.0, None, None,2018-04-25 23:00:00, 11.0, None, None,17
None, 394.0, 872.0, None, None,2018-04-26 00:00:00, 10.4, None, None,17
None, 395.0, 869.0, None, None,2018-04-26 01:00:00, 10.0, None, None,17
None, 395.0, 867.0, None, None,2018-04-26 02:00:00, 7.3, None, None,17
None, 395.0, 866.0, None, None,2018-04-26 03:00:00, 3.2, None, None,17
None, 395.0, 866.0, None, None,2018-04-26 04:00:00, 0.8, None, None,17
None, 395.0, 865.0, None, None,2018-04-26 05:00:00, 0.6, None, None,17
None, 395.0, 865.0, None, None,2018-04-26 06:00:00, 0.2, None, None,17
None, 395.0, 864.0, None, None,2018-04-26 07:00:00, -0.6, None, None,17
None, 395.0, 864.0, None, None,2018-04-26 08:00:00, -0.5, None, None,17
None, 395.0, 864.0, None, None,2018-04-26 09:00:00, -1.3, None, None,17
None, 396.0, 863.0, None, None,2018-04-26 10:00:00, -1.1, None, None,17
None, 396.0, 863.0, None, None,2018-04-26 11:00:00, -0.9, None, None,17
None, 396.0, 863.0, None, None,2018-04-26 12:00:00, -1.5, None, None,17
None, 396.0, 863.0, None, None,2018-04-26 13:00:00, -1.6, None, None,17
None, 396.0, 862.0, None, None,2018-04-26 14:00:00, -0.3, None, None,17
None, 396.0, 861.0, None, None,2018-04-26 15:00:00, 3.3, None, None,17
None, 395.0, 860.0, 0.0, None,2018-04-26 16:00:00, 8.0, None, None,17
None, 395.0, 857.0, None, None,2018-04-26 17:00:00, 10.3, None, None,17
None, 395.0, 857.0, None, None,2018-04-26 18:00:00, 12.2, None, None,17
None, 395.0, 857.0, None, None,2018-04-26 19:00:00, 14.3, None, None,17
None, 394.0, 857.0, None, None,2018-04-26 20:00:00, 14.9, None, None,17
None, 394.0, 856.0, None, None,2018-04-26 21:00:00, 16.0, None, None,17
None, 394.0, 855.0, None, None,2018-04-26 22:00:00, 16.9, None, None,17
None, 395.0, 854.0, None, None,2018-04-26 23:00:00, 15.2, None, None,17
None, 395.0, 850.0, None, None,2018-04-27 00:00:00, 13.6, None, None,17
None, 395.0, 847.0, None, None,2018-04-27 01:00:00, 9.7, None, None,17
None, 395.0, 845.0, None, None,2018-04-27 02:00:00, 6.0, None, None,17
None, 395.0, 843.0, None, None,2018-04-27 03:00:00, 3.8, None, None,17
None, 395.0, 843.0, None, None,2018-04-27 04:00:00, 2.7, None, None,17
None, 395.0, 843.0, None, None,2018-04-27 05:00:00, 2.4, None, None,17
None, 395.0, 842.0, None, None,2018-04-27 06:00:00, 2.0, None, None,17
None, 395.0, 842.0, None, None,2018-04-27 07:00:00, 1.7, None, None,17
None, 395.0, 842.0, None, None,2018-04-27 08:00:00, 1.1, None, None,17
None, 395.0, 842.0, None, None,2018-04-27 09:00:00, 0.7, None, None,17
None, 395.0, 842.0, None, None,2018-04-27 10:00:00, 0.2, None, None,17
None, 395.0, 842.0, None, None,2018-04-27 11:00:00, 0.5, None, None,17
None, 395.0, 842.0, None, None,2018-04-27 12:00:00, -0.2, None, None,17
None, 395.0, 842.0, None, None,2018-04-27 13:00:00, 0.0, None, None,17
None, 396.0, 842.0, None, None,2018-04-27 14:00:00, 1.7, None, None,17
None, 396.0, 840.0, None, None,2018-04-27 15:00:00, 4.3, None, None,17
None, 395.0, 839.0, 0.0, None,2018-04-27 16:00:00, 9.9, None, None,17
None, 395.0, 837.0, None, None,2018-04-27 17:00:00, 11.9, None, None,17
None, 395.0, 837.0, None, None,2018-04-27 18:00:00, 14.0, None, None,17
None, 394.0, 837.0, None, None,2018-04-27 19:00:00, 17.1, None, None,17
None, 394.0, 837.0, None, None,2018-04-27 20:00:00, 17.3, None, None,17
None, 394.0, 837.0, None, None,2018-04-27 21:00:00, 18.2, None, None,17
None, 394.0, 835.0, None, None,2018-04-27 22:00:00, 17.8, None, None,17
None, 394.0, 832.0, None, None,2018-04-27 23:00:00, 16.9, None, None,17
None, 395.0, 829.0, None, None,2018-04-28 00:00:00, 13.5, None, None,17
None, 395.0, 825.0, None, None,2018-04-28 01:00:00, 10.6, None, None,17
None, 395.0, 823.0, None, None,2018-04-28 02:00:00, 7.3, None, None,17
None, 395.0, 821.0, None, None,2018-04-28 03:00:00, 4.3, None, None,17
None, 395.0, 820.0, None, None,2018-04-28 04:00:00, 3.0, None, None,17
None, 395.0, 820.0, None, None,2018-04-28 05:00:00, 2.7, None, None,17
None, 395.0, 820.0, None, None,2018-04-28 06:00:00, 2.8, None, None,17
None, 395.0, 820.0, None, None,2018-04-28 07:00:00, 2.0, None, None,17
None, 395.0, 819.0, None, None,2018-04-28 08:00:00, 1.6, None, None,17
None, 395.0, 819.0, None, None,2018-04-28 09:00:00, 1.5, None, None,17
None, 395.0, 819.0, None, None,2018-04-28 10:00:00, 1.1, None, None,17
None, 396.0, 819.0, None, None,2018-04-28 11:00:00, 1.4, None, None,17
None, 396.0, 819.0, None, None,2018-04-28 12:00:00, 1.1, None, None,17
None, 396.0, 819.0, None, None,2018-04-28 13:00:00, 1.5, None, None,17
None, 396.0, 819.0, None, None,2018-04-28 14:00:00, 2.8, None, None,17
None, 396.0, 816.0, None, None,2018-04-28 15:00:00, 5.1, None, None,17
None, 395.0, 816.0, 0.0, None,2018-04-28 16:00:00, 6.4, None, None,17
None, 395.0, 816.0, None, None,2018-04-28 17:00:00, 8.1, None, None,17
None, 395.0, 816.0, None, None,2018-04-28 18:00:00, 7.5, None, None,17
None, 395.0, 816.0, None, None,2018-04-28 19:00:00, 7.1, None, None,17
None, 395.0, 816.0, None, None,2018-04-28 20:00:00, 6.6, None, None,17
None, 395.0, 816.0, None, None,2018-04-28 21:00:00, 6.3, None, None,17
None, 396.0, 816.0, None, None,2018-04-28 22:00:00, 5.6, None, None,17
None, 397.0, 816.0, None, None,2018-04-28 23:00:00, 4.8, None, None,17
None, 397.0, 816.0, None, None,2018-04-29 00:00:00, 3.9, None, None,17
None, 397.0, 816.0, None, None,2018-04-29 01:00:00, 4.2, None, None,17
None, 397.0, 815.0, None, None,2018-04-29 02:00:00, 2.8, None, None,17
None, 397.0, 814.0, None, None,2018-04-29 03:00:00, 2.1, None, None,17
None, 398.0, 814.0, None, None,2018-04-29 04:00:00, 1.9, None, None,17
None, 400.0, 814.0, None, None,2018-04-29 05:00:00, 1.8, None, None,17
None, 402.0, 814.0, None, None,2018-04-29 06:00:00, 1.6, None, None,17
None, 403.0, 814.0, None, None,2018-04-29 07:00:00, 1.4, None, None,17
None, 404.0, 814.0, None, None,2018-04-29 08:00:00, 1.2, None, None,17
None, 404.0, 814.0, None, None,2018-04-29 09:00:00, 1.0, None, None,17
None, 404.0, 813.0, None, None,2018-04-29 10:00:00, 1.2, None, None,17
None, 405.0, 813.0, None, None,2018-04-29 11:00:00, 1.3, None, None,17
None, 407.0, 813.0, None, None,2018-04-29 12:00:00, 0.4, None, None,17
None, 408.0, 813.0, None, None,2018-04-29 13:00:00, 0.2, None, None,17
None, 409.0, 813.0, None, None,2018-04-29 14:00:00, 0.3, None, None,17
None, 409.0, 813.0, None, None,2018-04-29 15:00:00, 1.0, None, None,17
None, 409.0, 813.0, 0.0, None,2018-04-29 16:00:00, 1.1, None, None,17
None, 409.0, 813.0, None, None,2018-04-29 17:00:00, 1.6, None, None,17
None, 409.0, 813.0, None, None,2018-04-29 18:00:00, 3.0, None, None,17
None, 409.0, 813.0, None, None,2018-04-29 19:00:00, 4.3, None, None,17
None, 409.0, 813.0, None, None,2018-04-29 20:00:00, 4.8, None, None,17
None, 409.0, 812.0, None, None,2018-04-29 21:00:00, 5.5, None, None,17
None, 409.0, 811.0, None, None,2018-04-29 22:00:00, 5.7, None, None,17
None, 409.0, 810.0, None, None,2018-04-29 23:00:00, 3.6, None, None,17
