WDIR_VECT,TEMP_MEAN,WSPD_SCLR,PRECIP_TOTAL,avg_rel_hum_pst1hr,time,HUMIDITY,avg_air_temp_pst1hr,week_of_year
None, None, 0.101998, None, None,2018-05-07 00:00:00, None, None,19
None, None, 0.261999, None, None,2018-05-07 01:00:00, None, None,19
None, None, 1.281, None, None,2018-05-07 02:00:00, None, None,19
None, None, 1.169, None, None,2018-05-07 03:00:00, None, None,19
None, None, 1.389, None, None,2018-05-07 04:00:00, None, None,19
None, None, 1.943, None, None,2018-05-07 05:00:00, None, None,19
None, None, 2.471, None, None,2018-05-07 06:00:00, None, None,19
None, None, 3.032, None, None,2018-05-07 07:00:00, None, None,19
None, None, 2.047, None, None,2018-05-07 08:00:00, None, None,19
None, None, 1.524, None, None,2018-05-07 09:00:00, None, None,19
None, None, 2.181, None, None,2018-05-07 10:00:00, None, None,19
None, None, 2.235, None, None,2018-05-07 11:00:00, None, None,19
None, None, 1.544, None, None,2018-05-07 12:00:00, None, None,19
None, None, 2.4, None, None,2018-05-07 13:00:00, None, None,19
None, None, 1.575, None, None,2018-05-07 14:00:00, None, None,19
None, None, 4.819, None, None,2018-05-07 15:00:00, None, None,19
None, None, 1.268, None, None,2018-05-07 16:00:00, None, None,19
None, None, 5.833, None, None,2018-05-07 17:00:00, None, None,19
None, None, 6.923, None, None,2018-05-07 18:00:00, None, None,19
None, None, 4.412, None, None,2018-05-07 19:00:00, None, None,19
None, None, 1.257, None, None,2018-05-07 20:00:00, None, None,19
None, None, 1.835, None, None,2018-05-07 21:00:00, None, None,19
None, None, 1.204, None, None,2018-05-07 22:00:00, None, None,19
None, None, 2.683, None, None,2018-05-07 23:00:00, None, None,19
None, None, 1.81, None, None,2018-05-08 00:00:00, None, None,19
None, None, 1.256, None, None,2018-05-08 01:00:00, None, None,19
None, None, 1.309, None, None,2018-05-08 02:00:00, None, None,19
None, None, 0.256, None, None,2018-05-08 03:00:00, None, None,19
None, None, 0.252, None, None,2018-05-08 04:00:00, None, None,19
None, None, 0.389999, None, None,2018-05-08 05:00:00, None, None,19
None, None, 1.518, None, None,2018-05-08 06:00:00, None, None,19
None, None, 2.415, None, None,2018-05-08 07:00:00, None, None,19
None, None, 1.672, None, None,2018-05-08 08:00:00, None, None,19
None, None, 1.932, None, None,2018-05-08 09:00:00, None, None,19
None, None, 1.53, None, None,2018-05-08 10:00:00, None, None,19
None, None, 1.256, None, None,2018-05-08 11:00:00, None, None,19
None, None, 2.869, None, None,2018-05-08 12:00:00, None, None,19
None, None, 4.241, None, None,2018-05-08 13:00:00, None, None,19
None, None, 4.474, None, None,2018-05-08 14:00:00, None, None,19
None, None, 4.331, None, None,2018-05-08 15:00:00, None, None,19
None, None, 4.363, None, None,2018-05-08 16:00:00, None, None,19
None, None, 3.866, None, None,2018-05-08 17:00:00, None, None,19
None, None, 3.994, None, None,2018-05-08 18:00:00, None, None,19
None, None, 3.213, None, None,2018-05-08 19:00:00, None, None,19
None, None, 2.677, None, None,2018-05-08 20:00:00, None, None,19
None, None, 2.004, None, None,2018-05-08 21:00:00, None, None,19
None, None, 0.657998, None, None,2018-05-08 22:00:00, None, None,19
None, None, 0.280999, None, None,2018-05-08 23:00:00, None, None,19
None, None, 0.412999, None, None,2018-05-09 00:00:00, None, None,19
None, None, 1.037, None, None,2018-05-09 01:00:00, None, None,19
None, None, 2.076, None, None,2018-05-09 02:00:00, None, None,19
None, None, 1.534, None, None,2018-05-09 03:00:00, None, None,19
None, None, 1.153, None, None,2018-05-09 04:00:00, None, None,19
None, None, 0.699998, None, None,2018-05-09 05:00:00, None, None,19
None, None, 0.971, None, None,2018-05-09 06:00:00, None, None,19
None, None, 1.543, None, None,2018-05-09 07:00:00, None, None,19
None, None, 2.862, None, None,2018-05-09 08:00:00, None, None,19
None, None, 2.535, None, None,2018-05-09 09:00:00, None, None,19
None, None, 5.483, None, None,2018-05-09 10:00:00, None, None,19
None, None, 5.658, None, None,2018-05-09 11:00:00, None, None,19
None, None, 6.089, None, None,2018-05-09 12:00:00, None, None,19
None, None, 6.283, None, None,2018-05-09 13:00:00, None, None,19
None, None, 6.322, None, None,2018-05-09 14:00:00, None, None,19
None, None, 7.98, None, None,2018-05-09 15:00:00, None, None,19
None, None, 6.94, None, None,2018-05-09 16:00:00, None, None,19
None, None, 6.694, None, None,2018-05-09 17:00:00, None, None,19
None, None, 5.172, None, None,2018-05-09 18:00:00, None, None,19
None, None, 4.951, None, None,2018-05-09 19:00:00, None, None,19
None, None, 3.128, None, None,2018-05-09 20:00:00, None, None,19
None, None, 3.25, None, None,2018-05-09 21:00:00, None, None,19
None, None, 2.301, None, None,2018-05-09 22:00:00, None, None,19
None, None, 0.555998, None, None,2018-05-09 23:00:00, None, None,19
None, None, 1.197, None, None,2018-05-10 00:00:00, None, None,19
None, None, 1.952, None, None,2018-05-10 01:00:00, None, None,19
None, None, 1.486, None, None,2018-05-10 02:00:00, None, None,19
None, None, 1.766, None, None,2018-05-10 03:00:00, None, None,19
None, None, 1.185, None, None,2018-05-10 04:00:00, None, None,19
None, None, 1.332, None, None,2018-05-10 05:00:00, None, None,19
None, None, 1.474, None, None,2018-05-10 06:00:00, None, None,19
None, None, 0.975, None, None,2018-05-10 07:00:00, None, None,19
None, None, 1.028, None, None,2018-05-10 08:00:00, None, None,19
None, None, 1.798, None, None,2018-05-10 09:00:00, None, None,19
None, None, 1.636, None, None,2018-05-10 10:00:00, None, None,19
None, None, 2.534, None, None,2018-05-10 11:00:00, None, None,19
None, None, 3.965, None, None,2018-05-10 12:00:00, None, None,19
None, None, 5.664, None, None,2018-05-10 13:00:00, None, None,19
None, None, 2.768, None, None,2018-05-10 14:00:00, None, None,19
None, None, 2.202, None, None,2018-05-10 15:00:00, None, None,19
None, None, 2.052, None, None,2018-05-10 16:00:00, None, None,19
None, None, 2.549, None, None,2018-05-10 17:00:00, None, None,19
None, None, 2.004, None, None,2018-05-10 18:00:00, None, None,19
None, None, 3.18, None, None,2018-05-10 19:00:00, None, None,19
None, None, 1.73, None, None,2018-05-10 20:00:00, None, None,19
None, None, 1.394, None, None,2018-05-10 21:00:00, None, None,19
None, None, 0.62, None, None,2018-05-10 22:00:00, None, None,19
None, None, 0.906, None, None,2018-05-10 23:00:00, None, None,19
None, None, 0.605, None, None,2018-05-11 00:00:00, None, None,19
None, None, 0.391, None, None,2018-05-11 01:00:00, None, None,19
None, None, 0.303999, None, None,2018-05-11 02:00:00, None, None,19
None, None, 0.412, None, None,2018-05-11 03:00:00, None, None,19
None, None, 0.72, None, None,2018-05-11 04:00:00, None, None,19
None, None, 1.57, None, None,2018-05-11 05:00:00, None, None,19
None, None, 0.257999, None, None,2018-05-11 06:00:00, None, None,19
None, None, 0.764998, None, None,2018-05-11 07:00:00, None, None,19
None, None, 0.361999, None, None,2018-05-11 08:00:00, None, None,19
None, None, 2.093, None, None,2018-05-11 09:00:00, None, None,19
None, None, 2.432, None, None,2018-05-11 10:00:00, None, None,19
None, None, 2.998, None, None,2018-05-11 11:00:00, None, None,19
None, None, 2.7, None, None,2018-05-11 12:00:00, None, None,19
None, None, 2.528, None, None,2018-05-11 13:00:00, None, None,19
None, None, 2.713, None, None,2018-05-11 14:00:00, None, None,19
None, None, 2.192, None, None,2018-05-11 15:00:00, None, None,19
None, None, 3.024, None, None,2018-05-11 16:00:00, None, None,19
None, None, 3.459, None, None,2018-05-11 17:00:00, None, None,19
None, None, 3.382, None, None,2018-05-11 18:00:00, None, None,19
None, None, 1.528, None, None,2018-05-11 19:00:00, None, None,19
None, None, 0.533999, None, None,2018-05-11 20:00:00, None, None,19
None, None, 0.226998, None, None,2018-05-11 21:00:00, None, None,19
None, None, 0.164, None, None,2018-05-11 22:00:00, None, None,19
None, None, 0.168999, None, None,2018-05-11 23:00:00, None, None,19
None, None, 0.180998, None, None,2018-05-12 00:00:00, None, None,19
None, None, 0.212999, None, None,2018-05-12 01:00:00, None, None,19
None, None, 0.657998, None, None,2018-05-12 02:00:00, None, None,19
None, None, 0.517, None, None,2018-05-12 03:00:00, None, None,19
None, None, 0.131999, None, None,2018-05-12 04:00:00, None, None,19
None, None, 0.135, None, None,2018-05-12 05:00:00, None, None,19
None, None, 1.79, None, None,2018-05-12 06:00:00, None, None,19
None, None, 1.579, None, None,2018-05-12 07:00:00, None, None,19
None, None, 1.02, None, None,2018-05-12 08:00:00, None, None,19
None, None, 0.759, None, None,2018-05-12 09:00:00, None, None,19
None, None, 4.491, None, None,2018-05-12 10:00:00, None, None,19
None, None, 2.794, None, None,2018-05-12 11:00:00, None, None,19
None, None, 2.581, None, None,2018-05-12 12:00:00, None, None,19
None, None, 3.541, None, None,2018-05-12 13:00:00, None, None,19
None, None, 4.489, None, None,2018-05-12 14:00:00, None, None,19
None, None, 5.035, None, None,2018-05-12 15:00:00, None, None,19
None, None, 3.975, None, None,2018-05-12 16:00:00, None, None,19
None, None, 4.203, None, None,2018-05-12 17:00:00, None, None,19
None, None, 3.475, None, None,2018-05-12 18:00:00, None, None,19
None, None, 2.394, None, None,2018-05-12 19:00:00, None, None,19
None, None, 0.751999, None, None,2018-05-12 20:00:00, None, None,19
None, None, 0.233998, None, None,2018-05-12 21:00:00, None, None,19
None, None, 0.231998, None, None,2018-05-12 22:00:00, None, None,19
None, None, 0.162, None, None,2018-05-12 23:00:00, None, None,19
None, None, 0.495999, None, None,2018-05-13 00:00:00, None, None,19
None, None, 0.112998, None, None,2018-05-13 01:00:00, None, None,19
None, None, 0.104998, None, None,2018-05-13 02:00:00, None, None,19
None, None, 0.105999, None, None,2018-05-13 03:00:00, None, None,19
None, None, 0.116999, None, None,2018-05-13 04:00:00, None, None,19
None, None, 0.131999, None, None,2018-05-13 05:00:00, None, None,19
None, None, 1.659, None, None,2018-05-13 06:00:00, None, None,19
None, None, 0.884998, None, None,2018-05-13 07:00:00, None, None,19
None, None, 0.388998, None, None,2018-05-13 08:00:00, None, None,19
None, None, 1.504, None, None,2018-05-13 09:00:00, None, None,19
None, None, 3.164, None, None,2018-05-13 10:00:00, None, None,19
None, None, 2.552, None, None,2018-05-13 11:00:00, None, None,19
None, None, 2.217, None, None,2018-05-13 12:00:00, None, None,19
None, None, 2.226, None, None,2018-05-13 13:00:00, None, None,19
None, None, 2.102, None, None,2018-05-13 14:00:00, None, None,19
None, None, 2.476, None, None,2018-05-13 15:00:00, None, None,19
None, None, 1.585, None, None,2018-05-13 16:00:00, None, None,19
None, None, 1.617, None, None,2018-05-13 17:00:00, None, None,19
None, None, 1.896, None, None,2018-05-13 18:00:00, None, None,19
None, None, 1.491, None, None,2018-05-13 19:00:00, None, None,19
None, None, 0.739, None, None,2018-05-13 20:00:00, None, None,19
None, None, 0.101998, None, None,2018-05-13 21:00:00, None, None,19
None, None, 0.151998, None, None,2018-05-13 22:00:00, None, None,19
None, None, 0.231, None, None,2018-05-13 23:00:00, None, None,19
