TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
9.089,0.6,48.0,0.39,801.25,0.0,1.75,2018-05-14 00:00:00,63.2, None,20
9.188,0.6,46.9,0.19,800.95,0.0,0.97,2018-05-14 01:00:00,175.5, None,20
9.139,0.6,46.1,0.39,800.95,0.0,1.17,2018-05-14 02:00:00,162.9, None,20
9.139,0.6,45.0,2.34,800.85,0.0,3.51,2018-05-14 03:00:00,133.4, None,20
8.99,9.4,44.2,3.51,800.75,0.0,4.68,2018-05-14 04:00:00,134.8, None,20
8.841,56.9,43.5,3.31,800.65,0.0,4.68,2018-05-14 05:00:00,127.8, None,20
9.114,190.6,44.7,3.9,800.65,0.0,5.46,2018-05-14 06:00:00,124.9, None,20
9.756,428.1,44.4,4.68,800.45,0.0,6.04,2018-05-14 07:00:00,124.9, None,20
10.247,615.6,43.2,5.07,800.25,0.0,7.99,2018-05-14 08:00:00,123.5, None,20
10.785,740.6,44.2,4.68,800.05,0.0,8.19,2018-05-14 09:00:00,130.6, None,20
12.171,843.1,44.4,4.29,799.85,0.0,7.41,2018-05-14 10:00:00,144.6, None,20
13.161,905.6,43.6,4.29,799.65,0.0,7.99,2018-05-14 11:00:00,158.6, None,20
13.906,925.6,40.6,5.46,799.25,0.0,8.58,2018-05-14 12:00:00,176.9, None,20
13.906,869.4,37.8,6.04,798.95,0.0,10.13,2018-05-14 13:00:00,193.7, None,20
14.337,806.9,35.9,6.43,798.75,0.0,12.86,2018-05-14 14:00:00,217.6, None,20
14.792,696.9,34.5,7.21,798.35,0.0,13.64,2018-05-14 15:00:00,223.2, None,20
14.194,135.6,34.1,6.82,798.05,0.0,11.69,2018-05-14 16:00:00,209.2, None,20
14.529,345.6,34.4,5.65,797.85,0.0,10.91,2018-05-14 17:00:00,217.6, None,20
12.871,51.9,36.7,4.29,797.55,0.0,8.58,2018-05-14 18:00:00,202.2, None,20
12.92,14.4,37.9,3.12,797.45,0.0,5.85,2018-05-14 19:00:00,213.4, None,20
11.88,0.6,40.9,1.75,797.55,0.0,3.9,2018-05-14 20:00:00,336.9, None,20
10.736,0.6,45.2,2.34,797.55,0.0,5.85,2018-05-14 21:00:00,345.4, None,20
10.565,0.6,49.6,4.09,797.55,0.0,6.43,2018-05-14 22:00:00,348.2, None,20
10.394,0.6,50.3,7.02,797.55,0.0,12.08,2018-05-14 23:00:00,345.4, None,20
10.026,0.6,43.9,10.72,797.35,0.0,15.01,2018-05-15 00:00:00,344.0, None,20
9.188,0.6,39.6,10.91,797.35,0.0,14.81,2018-05-15 01:00:00,342.6, None,20
8.469,0.6,42.0,9.74,797.45,0.0,12.47,2018-05-15 02:00:00,344.0, None,20
7.995,0.6,43.4,8.77,797.35,0.0,12.08,2018-05-15 03:00:00,344.0, None,20
7.419,10.6,46.1,5.26,797.55,0.0,8.77,2018-05-15 04:00:00,346.8, None,20
7.87,30.6,47.6,1.75,797.85,0.0,4.09,2018-05-15 05:00:00,12.6, None,20
9.509,286.9,45.5,0.97,797.95,0.0,3.7,2018-05-15 06:00:00,344.0, None,20
9.312,454.4,43.8,0.78,797.95,0.0,2.73,2018-05-15 07:00:00,332.7, None,20
9.287,610.6,43.8,1.95,798.15,0.0,4.09,2018-05-15 08:00:00,287.8, None,20
9.682,744.4,42.4,3.12,798.15,0.0,5.26,2018-05-15 09:00:00,306.1, None,20
10.418,844.4,43.5,1.95,798.15,0.0,3.9,2018-05-15 10:00:00,265.3, None,20
10.883,904.4,41.9,2.53,798.25,0.0,5.65,2018-05-15 11:00:00,233.1, None,20
11.419,914.4,38.5,4.29,798.15,0.0,9.16,2018-05-15 12:00:00,214.8, None,20
12.147,889.4,38.0,3.9,798.15,0.0,8.77,2018-05-15 13:00:00,217.6, None,20
11.807,228.1,37.3,4.87,798.05,0.0,9.16,2018-05-15 14:00:00,231.6, None,20
11.929,195.6,37.6,3.51,797.95,0.0,10.33,2018-05-15 15:00:00,202.2, None,20
12.606,331.9,37.1,3.31,797.75,0.0,9.36,2018-05-15 16:00:00,209.2, None,20
12.292,193.1,39.0,2.34,797.65,0.0,5.26,2018-05-15 17:00:00,200.8, None,20
11.297,103.1,40.1,1.17,797.65,0.0,3.31,2018-05-15 18:00:00,329.9, None,20
11.419,28.1,39.4,0.78,797.55,0.0,1.95,2018-05-15 19:00:00,153.0, None,20
11.175,0.6,40.3,0.58,797.55,0.0,2.73,2018-05-15 20:00:00,188.1, None,20
10.32,0.6,45.6,1.56,797.65,0.0,3.31,2018-05-15 21:00:00,151.6, None,20
10.247,0.6,47.7,1.56,797.65,0.0,2.34,2018-05-15 22:00:00,124.9, None,20
10.296,0.6,46.4,2.53,797.55,0.0,3.7,2018-05-15 23:00:00,119.3, None,20
10.075,0.6,45.4,3.12,797.35,0.0,4.29,2018-05-16 00:00:00,113.7, None,20
9.139,0.6,46.0,2.73,797.35,0.0,4.09,2018-05-16 01:00:00,116.5, None,20
9.163,0.6,47.2,2.73,797.35,0.0,4.68,2018-05-16 02:00:00,120.7, None,20
9.657,0.6,47.3,3.12,797.15,0.0,5.07,2018-05-16 03:00:00,119.3, None,20
8.792,6.9,49.9,3.12,796.85,0.0,5.65,2018-05-16 04:00:00,119.3, None,20
8.27,48.1,52.8,1.95,797.15,0.0,7.21,2018-05-16 05:00:00,57.6, None,20
6.889,94.4,53.5,5.26,797.35,0.0,8.58,2018-05-16 06:00:00,12.6, None,20
8.295,163.1,56.6,5.85,797.55,0.0,9.74,2018-05-16 07:00:00,23.9, None,20
7.645,304.4,58.5,3.51,797.55,0.0,7.02,2018-05-16 08:00:00,37.9, None,20
7.444,191.9,61.6,3.12,797.85,0.0,8.19,2018-05-16 09:00:00,9.8, None,20
7.72,271.9,62.9,3.7,797.95,0.0,6.63,2018-05-16 10:00:00,43.5, None,20
9.657,513.1,61.8,0.97,798.25,0.0,2.73,2018-05-16 11:00:00,88.4, None,20
9.608,486.9,61.3,0.97,798.45,0.0,3.51,2018-05-16 12:00:00,84.2, None,20
