TempC,SolarRadiationWm,RH,Wetness,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
10.858,0.6,84.0,13.53,0.0,947.65, 0.0,0.0,2018-06-18 00:00:00,230.2,8.3,25
9.731,0.6,89.4,100.0,0.0,947.45, 0.0,0.0,2018-06-18 01:00:00,230.2,8.1,25
8.941,0.6,91.5,100.0,0.0,948.05, 0.0,0.0,2018-06-18 02:00:00,230.2,7.6,25
8.519,0.6,93.4,100.0,0.0,948.75, 0.0,0.0,2018-06-18 03:00:00,230.2,7.5,25
7.895,4.4,95.1,100.0,0.0,949.15, 0.0,0.0,2018-06-18 04:00:00,230.2,7.2,25
8.568,20.6,96.5,100.0,0.0,949.55, 0.0,0.0,2018-06-18 05:00:00,230.2,8.1,25
10.516,76.9,96.9,20.59,0.0,949.85, 0.0,0.0,2018-06-18 06:00:00,230.2,10.1,25
15.055,143.1,85.6,2.35,0.0,950.05, 0.0,0.56,2018-06-18 07:00:00,227.4,12.7,25
18.438,74.4,70.2,2.35,0.19,950.05, 0.0,0.74,2018-06-18 08:00:00,23.9,12.9,25
21.963,666.9,61.6,2.94,0.19,949.95, 0.0,1.11,2018-06-18 09:00:00,33.7,14.3,25
24.726,115.6,51.7,2.94,0.37,949.45, 0.0,1.3,2018-06-18 10:00:00,21.1,14.1,25
27.235,86.9,44.1,3.53,0.37,949.05, 0.0,1.3,2018-06-18 11:00:00,26.7,14.0,25
29.015,78.1,36.0,3.53,0.37,948.45, 0.0,1.3,2018-06-18 12:00:00,30.9,12.4,25
30.621,885.6,32.6,3.53,0.37,948.05, 0.0,1.67,2018-06-18 13:00:00,12.6,12.3,25
31.357,835.6,28.0,4.12,0.56,947.55, 0.0,2.04,2018-06-18 14:00:00,315.9,10.7,25
31.561,188.1,27.6,3.53,0.56,947.35, 0.0,1.86,2018-06-18 15:00:00,346.8,10.6,25
30.722,615.6,27.2,2.94,0.56,947.05, 0.0,2.04,2018-06-18 16:00:00,280.8,9.7,25
29.389,56.9,29.9,2.35,0.37,946.45, 0.0,1.67,2018-06-18 17:00:00,249.9,10.0,25
27.358,44.4,35.5,2.35,0.19,946.45, 0.0,1.3,2018-06-18 18:00:00,231.6,10.8,25
22.944,33.1,51.8,1.76,0.0,946.15, 0.0,0.56,2018-06-18 19:00:00,207.8,12.5,25
21.294,8.1,56.1,1.18,0.0,946.15, 0.0,0.19,2018-06-18 20:00:00,207.8,12.2,25
18.366,0.6,65.1,1.18,0.0,946.65, 0.0,0.0,2018-06-18 21:00:00,207.8,11.7,25
16.249,0.6,71.6,1.18,0.0,946.55, 0.0,0.0,2018-06-18 22:00:00,207.8,11.1,25
14.481,0.6,77.8,5.29,0.0,947.35, 0.0,0.0,2018-06-18 23:00:00,207.8,10.7,25
13.233,0.6,82.6,12.94,0.0,947.35, 0.0,0.0,2018-06-19 00:00:00,207.8,10.4,25
12.171,0.6,86.5,37.06,0.0,947.85, 0.0,0.0,2018-06-19 01:00:00,207.8,10.0,25
11.637,0.6,91.3,100.0,0.0,947.95, 0.0,0.0,2018-06-19 02:00:00,207.8,10.3,25
10.858,0.6,94.2,100.0,0.0,947.85, 0.0,0.0,2018-06-19 03:00:00,207.8,10.0,25
10.271,8.1,95.9,100.0,0.0,948.05, 0.0,0.0,2018-06-19 04:00:00,207.8,9.7,25
11.589,51.9,96.8,100.0,0.0,948.35, 0.0,0.0,2018-06-19 05:00:00,207.8,11.1,25
13.04,59.4,95.7,24.12,0.0,949.05, 0.0,0.0,2018-06-19 06:00:00,207.8,12.4,25
17.391,178.1,84.5,2.94,0.0,948.85, 0.0,0.19,2018-06-19 07:00:00,182.5,14.8,25
20.841,100.6,66.7,2.35,0.19,948.55, 0.0,0.74,2018-06-19 08:00:00,46.3,14.4,25
23.785,665.6,57.6,2.94,0.19,948.25, 0.0,0.93,2018-06-19 09:00:00,5.6,14.9,25
24.363,185.6,54.6,2.94,0.19,948.15, 0.0,0.93,2018-06-19 10:00:00,39.3,14.6,25
27.481,183.1,51.1,3.53,0.19,947.95, 0.0,1.11,2018-06-19 11:00:00,25.3,16.5,25
29.59,220.6,46.2,3.53,0.37,947.35, 0.0,1.48,2018-06-19 12:00:00,5.6,16.8,25
30.419,736.9,42.3,4.12,0.37,946.85, 0.0,1.67,2018-06-19 13:00:00,32.3,16.2,25
32.33,823.1,33.6,4.12,0.37,946.75, 0.0,1.86,2018-06-19 14:00:00,25.3,14.3,25
32.613,284.4,28.5,3.53,0.37,946.35, 0.0,1.3,2018-06-19 15:00:00,335.5,12.0,25
31.842,579.4,29.1,3.53,0.37,945.85, 0.0,2.04,2018-06-19 16:00:00,304.7,11.7,25
30.192,63.1,35.7,2.94,0.19,945.45, 0.0,1.11,2018-06-19 17:00:00,165.7,13.4,25
26.769,46.9,49.7,2.94,0.0,944.95, 0.0,0.74,2018-06-19 18:00:00,230.2,15.4,25
24.146,28.1,56.3,1.76,0.0,944.75, 0.0,0.37,2018-06-19 19:00:00,238.7,14.9,25
21.628,8.1,60.6,1.76,0.0,944.85, 0.0,0.0,2018-06-19 20:00:00,238.7,13.7,25
