TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
None,0.6, None,2.34,822.45, 0.6,4.48,2018-06-25 00:00:00,57.6, None,26
None,0.6, None,2.14,822.15, 0.2,4.48,2018-06-25 01:00:00,11.2, None,26
None,0.6, None,1.95,821.95, 0.0,4.68,2018-06-25 02:00:00,353.8, None,26
None,0.6, None,1.95,821.55, 1.2,4.29,2018-06-25 03:00:00,15.4, None,26
None,4.4, None,2.53,820.75, 0.8,4.48,2018-06-25 04:00:00,346.8, None,26
None,11.9, None,3.31,820.45, 1.0,4.48,2018-06-25 05:00:00,338.3, None,26
None,23.1, None,3.9,819.95, 2.2,5.65,2018-06-25 06:00:00,329.9, None,26
None,54.4, None,5.46,819.75, 1.8,8.19,2018-06-25 07:00:00,324.3, None,26
None,86.9, None,6.63,819.35, 1.0,9.16,2018-06-25 08:00:00,331.3, None,26
None,74.4, None,6.82,819.05, 0.8,9.74,2018-06-25 09:00:00,335.5, None,26
None,93.1, None,7.6,818.75, 1.0,11.69,2018-06-25 10:00:00,338.3, None,26
None,149.4, None,8.38,818.65, 1.0,12.47,2018-06-25 11:00:00,336.9, None,26
None,221.9, None,8.58,818.65, 2.2,12.67,2018-06-25 12:00:00,336.9, None,26
None,110.6, None,8.58,818.55, 1.6,11.69,2018-06-25 13:00:00,328.5, None,26
None,113.1, None,7.8,818.45, 3.0,10.52,2018-06-25 14:00:00,327.1, None,26
None,81.9, None,7.41,818.25, 2.2,10.52,2018-06-25 15:00:00,324.3, None,26
None,100.6, None,6.63,818.55, 1.4,8.77,2018-06-25 16:00:00,321.5, None,26
None,91.9, None,7.8,817.85, 0.6,11.11,2018-06-25 17:00:00,311.7, None,26
None,21.9, None,8.58,817.75, 1.0,12.67,2018-06-25 18:00:00,321.5, None,26
None,20.6, None,7.6,817.45, 1.0,11.3,2018-06-25 19:00:00,314.5, None,26
None,3.1, None,7.99,817.05, 2.0,12.28,2018-06-25 20:00:00,314.5, None,26
None,0.6, None,11.69,816.25, 4.6,20.46,2018-06-25 21:00:00,320.1, None,26
None,0.6, None,15.59,815.65, 4.4,22.22,2018-06-25 22:00:00,321.5, None,26
None,0.6, None,14.23,815.15, 2.6,23.19,2018-06-25 23:00:00,314.5, None,26
None,0.6, None,13.64,814.75, 2.4,21.44,2018-06-26 00:00:00,317.3, None,26
None,0.6, None,11.69,814.65, 2.8,17.74,2018-06-26 01:00:00,313.1, None,26
None,0.6, None,10.33,814.75, 2.2,15.2,2018-06-26 02:00:00,308.9, None,26
None,0.6, None,10.13,814.95, 1.4,16.57,2018-06-26 03:00:00,313.1, None,26
