wind_speed,temperature,avg_wnd_dir_10m_pst10mts,wind_direction,rel_hum,relative_humidity,rnfl_amt_pst24hrs,rnfl_amt_pst1hr,avg_wnd_spd_10m_pst10mts,precipitation,time,week_of_year
9.3,12.3, None,265.0, None,52.0, None, None, None,0.0,2018-08-06 00:00:00,32
13.0,12.1, None,265.0, None,53.0, None, None, None,0.0,2018-08-06 01:00:00,32
12.6,11.8, None,267.0, None,56.0, None, None, None,0.0,2018-08-06 02:00:00,32
14.7,11.4, None,271.0, None,58.0, None, None, None,0.0,2018-08-06 03:00:00,32
13.5,11.2, None,266.0, None,59.0, None, None, None,0.0,2018-08-06 04:00:00,32
17.4,12.3, None,263.0, None,55.0, None, None, None,0.0,2018-08-06 05:00:00,32
10.6,14.0, None,273.0, None,50.0, None, None, None,0.0,2018-08-06 06:00:00,32
12.4,13.9, None,276.0, None,50.0, None, None, None,0.0,2018-08-06 07:00:00,32
9.9,17.2, None,264.0, None,43.0, None, None, None,0.0,2018-08-06 08:00:00,32
10.2,18.1, None,245.0, None,39.0, None, None, None,0.0,2018-08-06 09:00:00,32
10.1,17.5, None,283.0, None,41.0, None, None, None,0.0,2018-08-06 10:00:00,32
13.2,16.7, None,307.0, None,39.0, None, None, None,0.0,2018-08-06 11:00:00,32
9.3,18.4, None,250.0, None,38.0, None, None, None,0.0,2018-08-06 12:00:00,32
5.5,17.7, None,295.0, None,40.0, None, None, None,0.0,2018-08-06 13:00:00,32
14.6,20.1, None,263.0, None,30.0, None, None, None,0.0,2018-08-06 14:00:00,32
10.8,17.4, None,308.0, None,38.0, None, None, None,0.0,2018-08-06 15:00:00,32
14.3,19.1, None,274.0, None,28.0, None, None, None,0.0,2018-08-06 16:00:00,32
19.0,20.2, None,271.0, None,29.0, None, None, None,0.0,2018-08-06 17:00:00,32
13.7,17.1, None,277.0, None,38.0, None, None, None,0.0,2018-08-06 18:00:00,32
22.5,16.5, None,285.0, None,40.0, None, None, None,0.0,2018-08-06 19:00:00,32
33.6,15.1, None,273.0, None,44.0, None, None, None,0.0,2018-08-06 20:00:00,32
34.3,14.9, None,277.0, None,45.0, None, None, None,0.0,2018-08-06 21:00:00,32
27.8,14.6, None,275.0, None,47.0, None, None, None,0.0,2018-08-06 22:00:00,32
31.3,14.4, None,276.0, None,47.0, None, None, None,0.0,2018-08-06 23:00:00,32
29.5,14.3, None,282.0, None,47.0, None, None, None,0.0,2018-08-07 00:00:00,32
29.9,14.1, None,282.0, None,48.0, None, None, None,0.0,2018-08-07 01:00:00,32
23.5,13.3, None,277.0, None,50.0, None, None, None,0.0,2018-08-07 02:00:00,32
24.2,13.4, None,280.0, None,50.0, None, None, None,0.0,2018-08-07 03:00:00,32
22.1,13.3, None,282.0, None,50.0, None, None, None,0.0,2018-08-07 04:00:00,32
21.8,13.0, None,278.0, None,51.0, None, None, None,0.0,2018-08-07 05:00:00,32
21.1,13.5, None,284.0, None,49.0, None, None, None,0.0,2018-08-07 06:00:00,32
15.7,15.0, None,280.0, None,43.0, None, None, None,0.0,2018-08-07 07:00:00,32
8.5,17.1, None,279.0, None,39.0, None, None, None,0.0,2018-08-07 08:00:00,32
10.7,17.6, None,284.0, None,40.0, None, None, None,0.0,2018-08-07 09:00:00,32
14.3,17.4, None,302.0, None,38.0, None, None, None,0.0,2018-08-07 10:00:00,32
16.8,17.4, None,306.0, None,36.0, None, None, None,0.0,2018-08-07 11:00:00,32
13.7,18.7, None,303.0, None,35.0, None, None, None,0.0,2018-08-07 12:00:00,32
12.7,18.2, None,301.0, None,36.0, None, None, None,0.0,2018-08-07 13:00:00,32
8.9,21.2, None,274.0, None,29.0, None, None, None,0.0,2018-08-07 14:00:00,32
12.8,20.2, None,243.0, None,30.0, None, None, None,0.0,2018-08-07 15:00:00,32
5.5,22.2, None,300.0, None,29.0, None, None, None,0.0,2018-08-07 16:00:00,32
11.0,20.9, None,280.0, None,28.0, None, None, None,0.0,2018-08-07 17:00:00,32
8.7,19.3, None,341.0, None,29.0, None, None, None,0.0,2018-08-07 18:00:00,32
12.6,18.0, None,347.0, None,31.0, None, None, None,0.0,2018-08-07 19:00:00,32
18.4,17.1, None,278.0, None,34.0, None, None, None,0.0,2018-08-07 20:00:00,32
21.2,16.9, None,276.0, None,36.0, None, None, None,0.0,2018-08-07 21:00:00,32
21.2,16.1, None,275.0, None,40.0, None, None, None,0.0,2018-08-07 22:00:00,32
17.9,16.2, None,279.0, None,39.0, None, None, None,0.0,2018-08-07 23:00:00,32
13.7,16.0, None,294.0, None,40.0, None, None, None,0.0,2018-08-08 00:00:00,32
8.0,15.8, None,315.0, None,39.0, None, None, None,0.0,2018-08-08 01:00:00,32
9.7,15.8, None,309.0, None,39.0, None, None, None,0.0,2018-08-08 02:00:00,32
6.1,14.6, None,274.0, None,42.0, None, None, None,0.0,2018-08-08 03:00:00,32
8.2,14.5, None,266.0, None,42.0, None, None, None,0.0,2018-08-08 04:00:00,32
13.6,14.9, None,252.0, None,41.0, None, None, None,0.0,2018-08-08 05:00:00,32
6.3,17.8, None,251.0, None,36.0, None, None, None,0.0,2018-08-08 06:00:00,32
7.3,19.4, None,259.0, None,33.0, None, None, None,0.0,2018-08-08 07:00:00,32
7.9,21.1, None,248.0, None,30.0, None, None, None,0.0,2018-08-08 08:00:00,32
10.6,20.6, None,246.0, None,32.0, None, None, None,0.0,2018-08-08 09:00:00,32
13.9,20.9, None,248.0, None,32.0, None, None, None,0.0,2018-08-08 10:00:00,32
12.6,21.0, None,245.0, None,33.0, None, None, None,0.0,2018-08-08 11:00:00,32
12.5,22.9, None,269.0, None,30.0, None, None, None,0.0,2018-08-08 12:00:00,32
10.5,23.1, None,277.0, None,29.0, None, None, None,0.0,2018-08-08 13:00:00,32
7.2,22.4, None,267.0, None,28.0, None, None, None,0.0,2018-08-08 14:00:00,32
9.8,23.5, None,280.0, None,27.0, None, None, None,0.0,2018-08-08 15:00:00,32
11.0,23.7, None,251.0, None,26.0, None, None, None,0.0,2018-08-08 16:00:00,32
8.5,22.0, None,242.0, None,27.0, None, None, None,0.0,2018-08-08 17:00:00,32
11.3,21.1, None,255.0, None,29.0, None, None, None,0.0,2018-08-08 18:00:00,32
22.2,18.8, None,260.0, None,32.0, None, None, None,0.0,2018-08-08 19:00:00,32
27.8,18.1, None,258.0, None,34.0, None, None, None,0.0,2018-08-08 20:00:00,32
26.5,18.0, None,261.0, None,35.0, None, None, None,0.0,2018-08-08 21:00:00,32
