pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None,-2.364, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 00:00:00, None, None, None, None,4
None,-2.288, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 01:00:00, None, None, None, None,4
None,-2.184, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 02:00:00, None, None, None, None,4
None,-1.995, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 03:00:00, None, None, None, None,4
None,-2.052, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 04:00:00, None, None, None, None,4
None,-2.317, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 05:00:00, None, None, None, None,4
None,-2.487, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 06:00:00, None, None, None, None,4
None,-2.62, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 07:00:00, None, None, None, None,4
None,-2.525, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 08:00:00, None, None, None, None,4
None,-2.232, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 09:00:00, None, None, None, None,4
None,-2.062, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 10:00:00, None, None, None, None,4
None,-1.561, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 11:00:00, None, None, None, None,4
None,-1.467, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 12:00:00, None, None, None, None,4
None,-1.524, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 13:00:00, None, None, None, None,4
None,-1.714, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 14:00:00, None, None, None, None,4
None,-2.131, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 15:00:00, None, None, None, None,4
None,-2.765, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 16:00:00, None, None, None, None,4
None,-3.124, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 17:00:00, None, None, None, None,4
None,-3.38, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 18:00:00, None, None, None, None,4
None,-3.227, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 19:00:00, None, None, None, None,4
None,-2.99, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 20:00:00, None, None, None, None,4
None,-2.733, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 21:00:00, None, None, None, None,4
None,-2.601, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 22:00:00, None, None, None, None,4
None,-2.515, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-22 23:00:00, None, None, None, None,4
None,-2.326, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 00:00:00, None, None, None, None,4
None,-2.506, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 01:00:00, None, None, None, None,4
None,-2.592, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 02:00:00, None, None, None, None,4
None,-2.44, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 03:00:00, None, None, None, None,4
None,-2.582, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 04:00:00, None, None, None, None,4
None,-2.762, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 05:00:00, None, None, None, None,4
None,-2.886, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 06:00:00, None, None, None, None,4
None,-2.791, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 07:00:00, None, None, None, None,4
None,-2.809, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 08:00:00, None, None, None, None,4
None,-2.923, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 09:00:00, None, None, None, None,4
None,-2.885, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 10:00:00, None, None, None, None,4
None,-2.582, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 11:00:00, None, None, None, None,4
None,-2.402, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 12:00:00, None, None, None, None,4
None,-2.289, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 13:00:00, None, None, None, None,4
None,-2.147, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 14:00:00, None, None, None, None,4
None,-1.787, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 15:00:00, None, None, None, None,4
None,-1.4, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 16:00:00, None, None, None, None,4
None,-0.928, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 17:00:00, None, None, None, None,4
None,-0.73, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 18:00:00, None, None, None, None,4
None,-0.759, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 19:00:00, None, None, None, None,4
None,-0.919, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 20:00:00, None, None, None, None,4
None,-0.947, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 21:00:00, None, None, None, None,4
None,-0.749, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 22:00:00, None, None, None, None,4
None,-1.098, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-23 23:00:00, None, None, None, None,4
None,-0.919, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 00:00:00, None, None, None, None,4
None,-0.673, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 01:00:00, None, None, None, None,4
None,-0.258, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 02:00:00, None, None, None, None,4
None,-0.192, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 03:00:00, None, None, None, None,4
None,-0.098, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 04:00:00, None, None, None, None,4
None,-0.079, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 05:00:00, None, None, None, None,4
None,-0.051, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 06:00:00, None, None, None, None,4
None,-0.089, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 07:00:00, None, None, None, None,4
None,-0.156, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 08:00:00, None, None, None, None,4
None,-0.089, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 09:00:00, None, None, None, None,4
None,-0.24, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 10:00:00, None, None, None, None,4
None,-0.495, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 11:00:00, None, None, None, None,4
None,-0.183, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 12:00:00, None, None, None, None,4
None,-0.202, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 13:00:00, None, None, None, None,4
None,-0.297, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 14:00:00, None, None, None, None,4
None,-0.532, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 15:00:00, None, None, None, None,4
None,-0.56, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 16:00:00, None, None, None, None,4
None,-0.787, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 17:00:00, None, None, None, None,4
None,-0.787, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 18:00:00, None, None, None, None,4
None,-1.136, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 19:00:00, None, None, None, None,4
None,-0.975, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 20:00:00, None, None, None, None,4
None,-0.966, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 21:00:00, None, None, None, None,4
None,-1.495, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 22:00:00, None, None, None, None,4
None,-2.241, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-24 23:00:00, None, None, None, None,4
None,-2.62, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-25 00:00:00, None, None, None, None,4
None,-3.17, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-01-25 01:00:00, None, None, None, None,4
