pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None,-0.8, None, None, None,428.0, 19.0, None,2018-10-29 00:00:00, None,44
None, None, None, None,-0.8, None, None, None,429.0, 20.0, None,2018-10-29 01:00:00, None,44
None, None, None, None,-0.7, None, None, None,429.0, 20.0, None,2018-10-29 02:00:00, None,44
None, None, None, None,-0.7, None, None, None,430.0, 21.0, None,2018-10-29 03:00:00, None,44
None, None, None, None,-0.6, None, None, None,432.0, 23.0, None,2018-10-29 04:00:00, None,44
None, None, None, None,-0.7, None, None, None,432.0, 23.0, None,2018-10-29 05:00:00, None,44
None, None, None, None,-0.8, None, None, None,432.0, 23.0, None,2018-10-29 06:00:00, None,44
None, None, None, None,-1.0, None, None, None,432.0, 23.0, None,2018-10-29 07:00:00, None,44
None, None, None, None,-1.2, None, None, None,432.0, 23.0, None,2018-10-29 08:00:00, None,44
None, None, None, None,-1.4, None, None, None,432.0, 23.0, None,2018-10-29 09:00:00, None,44
None, None, None, None,-1.8, None, None, None,432.0, 23.0, None,2018-10-29 10:00:00, None,44
None, None, None, None,-2.4, None, None, None,432.0, 23.0, None,2018-10-29 11:00:00, None,44
None, None, None, None,-2.1, None, None, None,432.0, 23.0, None,2018-10-29 12:00:00, None,44
None, None, None, None,-2.1, None, None, None,432.0, 23.0, None,2018-10-29 13:00:00, None,44
None, None, None, None,-2.3, None, None, None,432.0, 23.0, None,2018-10-29 14:00:00, None,44
None, None, None, None,-2.3, None, None, None,432.0, 23.0, None,2018-10-29 15:00:00, None,44
None, None, None, None,-2.1, None, None, None,432.0, 23.0, None,2018-10-29 16:00:00, None,44
None, None, None, None,-1.9, None, None, None,432.0, 23.0, None,2018-10-29 17:00:00, None,44
None, None, None, None,-1.6, None, None, None,432.0, 23.0, None,2018-10-29 18:00:00, None,44
None, None, None, None,-1.3, None, None, None,432.0, 23.0, None,2018-10-29 19:00:00, None,44
None, None, None, None,-0.5, None, None, None,431.0, 23.0, None,2018-10-29 20:00:00, None,44
None, None, None, None,-0.2, None, None, None,432.0, 24.0, None,2018-10-29 21:00:00, None,44
None, None, None, None,-0.3, None, None, None,432.0, 24.0, None,2018-10-29 22:00:00, None,44
None, None, None, None,-0.6, None, None, None,432.0, 24.0, None,2018-10-29 23:00:00, None,44
None, None, None, None,-1.0, None, None, None,432.0, 24.0, None,2018-10-30 00:00:00, None,44
None, None, None, None,-1.3, None, None, None,432.0, 24.0, None,2018-10-30 01:00:00, None,44
None, None, None, None,-1.2, None, None, None,432.0, 24.0, None,2018-10-30 02:00:00, None,44
None, None, None, None,-1.0, None, None, None,431.0, 24.0, None,2018-10-30 03:00:00, None,44
None, None, None, None,-1.0, None, None, None,432.0, 24.0, None,2018-10-30 04:00:00, None,44
None, None, None, None,-1.3, None, None, None,432.0, 24.0, None,2018-10-30 05:00:00, None,44
None, None, None, None,-1.5, None, None, None,432.0, 24.0, None,2018-10-30 06:00:00, None,44
None, None, None, None,-1.7, None, None, None,432.0, 24.0, None,2018-10-30 07:00:00, None,44
None, None, None, None,-1.8, None, None, None,433.0, 24.0, None,2018-10-30 08:00:00, None,44
None, None, None, None,-1.9, None, None, None,433.0, 25.0, None,2018-10-30 09:00:00, None,44
None, None, None, None,-2.0, None, None, None,432.0, 25.0, None,2018-10-30 10:00:00, None,44
None, None, None, None,-2.3, None, None, None,433.0, 25.0, None,2018-10-30 11:00:00, None,44
None, None, None, None,-2.4, None, None, None,433.0, 25.0, None,2018-10-30 12:00:00, None,44
None, None, None, None,-2.6, None, None, None,433.0, 25.0, None,2018-10-30 13:00:00, None,44
None, None, None, None,-2.6, None, None, None,433.0, 25.0, None,2018-10-30 14:00:00, None,44
None, None, None, None,-2.7, None, None, None,432.0, 25.0, None,2018-10-30 15:00:00, None,44
None, None, None, None,-2.3, None, None, None,432.0, 25.0, None,2018-10-30 16:00:00, None,44
None, None, None, None,-1.6, None, None, None,432.0, 25.0, None,2018-10-30 17:00:00, None,44
None, None, None, None,-0.7, None, None, None,432.0, 25.0, None,2018-10-30 18:00:00, None,44
None, None, None, None,-1.1, None, None, None,432.0, 25.0, None,2018-10-30 19:00:00, None,44
None, None, None, None,-0.3, None, None, None,432.0, 25.0, None,2018-10-30 20:00:00, None,44
None, None, None, None,-0.3, None, None, None,432.0, 25.0, None,2018-10-30 21:00:00, None,44
None, None, None, None,-0.3, None, None, None,433.0, 25.0, None,2018-10-30 22:00:00, None,44
None, None, None, None,-0.1, None, None, None,433.0, 25.0, None,2018-10-30 23:00:00, None,44
None, None, None, None,-1.6, None, None, None,433.0, 25.0, None,2018-10-31 00:00:00, None,44
None, None, None, None,-2.3, None, None, None,433.0, 25.0, None,2018-10-31 01:00:00, None,44
None, None, None, None,-2.3, None, None, None,433.0, 25.0, None,2018-10-31 02:00:00, None,44
None, None, None, None,-2.1, None, None, None,432.0, 25.0, None,2018-10-31 03:00:00, None,44
None, None, None, None,-2.2, None, None, None,432.0, 25.0, None,2018-10-31 04:00:00, None,44
None, None, None, None,-2.2, None, None, None,432.0, 25.0, None,2018-10-31 05:00:00, None,44
None, None, None, None,-2.2, None, None, None,432.0, 25.0, None,2018-10-31 06:00:00, None,44
None, None, None, None,-2.3, None, None, None,434.0, 26.0, None,2018-10-31 07:00:00, None,44
None, None, None, None,-2.6, None, None, None,435.0, 28.0, None,2018-10-31 08:00:00, None,44
None, None, None, None,-2.6, 0.0, None, None,436.0, 28.0, None,2018-10-31 09:00:00, None,44
None, None, None, None,-2.6, 1.0, None, None,437.0, 30.0, None,2018-10-31 10:00:00, None,44
None, None, None, None,-2.5, 1.0, None, None,438.0, 30.0, None,2018-10-31 11:00:00, None,44
None, None, None, None,-2.6, 2.0, None, None,440.0, 33.0, None,2018-10-31 12:00:00, None,44
None, None, None, None,-2.6, 6.0, None, None,443.0, 36.0, None,2018-10-31 13:00:00, None,44
None, None, None, None,-2.6, 8.0, None, None,445.0, 37.0, None,2018-10-31 14:00:00, None,44
None, None, None, None,-2.6, 9.0, None, None,448.0, 40.0, None,2018-10-31 15:00:00, None,44
None, None, None, None,-2.5, 11.0, None, None,450.0, 43.0, None,2018-10-31 16:00:00, None,44
None, None, None, None,-2.0, 12.0, None, None,451.0, 44.0, None,2018-10-31 17:00:00, None,44
None, None, None, None,-1.6, 11.0, None, None,451.0, 44.0, None,2018-10-31 18:00:00, None,44
None, None, None, None,-1.1, 11.0, None, None,452.0, 44.0, None,2018-10-31 19:00:00, None,44
None, None, None, None,-1.1, 12.0, None, None,452.0, 45.0, None,2018-10-31 20:00:00, None,44
None, None, None, None,-0.7, 12.0, None, None,453.0, 45.0, None,2018-10-31 21:00:00, None,44
None, None, None, None,-0.9, 12.0, None, None,453.0, 46.0, None,2018-10-31 22:00:00, None,44
None, None, None, None,-1.0, 12.0, None, None,453.0, 46.0, None,2018-10-31 23:00:00, None,44
None, None, None, None,-0.8, 12.0, None, None,453.0, 46.0, None,2018-11-01 00:00:00, None,44
None, None, None, None,-0.8, 12.0, None, None,453.0, 46.0, None,2018-11-01 01:00:00, None,44
None, None, None, None,-0.8, 12.0, None, None,453.0, 46.0, None,2018-11-01 02:00:00, None,44
None, None, None, None,-1.1, 11.0, None, None,453.0, 46.0, None,2018-11-01 03:00:00, None,44
None, None, None, None,-1.8, 11.0, None, None,453.0, 46.0, None,2018-11-01 04:00:00, None,44
None, None, None, None,-1.5, 11.0, None, None,453.0, 46.0, None,2018-11-01 05:00:00, None,44
None, None, None, None,-1.7, 11.0, None, None,453.0, 46.0, None,2018-11-01 06:00:00, None,44
None, None, None, None,-2.4, 11.0, None, None,453.0, 46.0, None,2018-11-01 07:00:00, None,44
None, None, None, None,-2.7, 11.0, None, None,453.0, 46.0, None,2018-11-01 08:00:00, None,44
None, None, None, None,-2.7, 11.0, None, None,453.0, 46.0, None,2018-11-01 09:00:00, None,44
None, None, None, None,-3.1, 10.0, None, None,453.0, 46.0, None,2018-11-01 10:00:00, None,44
None, None, None, None,-3.6, 10.0, None, None,453.0, 46.0, None,2018-11-01 11:00:00, None,44
None, None, None, None,-4.2, 10.0, None, None,453.0, 46.0, None,2018-11-01 12:00:00, None,44
None, None, None, None,-4.9, 10.0, None, None,453.0, 46.0, None,2018-11-01 13:00:00, None,44
