pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,MIN_TEMP,ONE_DAY_SNOW,time,air_temp_1,SNOW_ON_THE_GROUND,snw_dpth,MAX_TEMP,week_of_year
None, None, 308.0, 30.0, None, None, None,2018-12-03 00:00:00, -6.5, None, 21.0, None,49
None, None, 308.0, 30.0, None, None, None,2018-12-03 01:00:00, -7.5, None, 22.0, None,49
None, None, 308.0, 30.0, None, None, None,2018-12-03 02:00:00, -7.5, None, 19.0, None,49
None, None, 308.0, 30.0, None, None, None,2018-12-03 03:00:00, -7.4, None, 18.0, None,49
None, None, 309.0, 30.0, None, None, None,2018-12-03 04:00:00, -7.9, None, 19.0, None,49
None, None, 309.0, 30.0, None, None, None,2018-12-03 05:00:00, -8.0, None, 18.0, None,49
None, None, 309.0, 29.0, None, None, None,2018-12-03 06:00:00, -8.2, None, 18.0, None,49
None, None, 309.0, 28.0, None, None, None,2018-12-03 07:00:00, -8.5, None, 21.0, None,49
None, None, 309.0, 28.0, None, None, None,2018-12-03 08:00:00, -8.6, None, 23.0, None,49
None, None, 309.0, 28.0, None, None, None,2018-12-03 09:00:00, -9.1, None, 23.0, None,49
None, None, 309.0, 28.0, None, None, None,2018-12-03 10:00:00, -9.7, None, 23.0, None,49
None, None, 309.0, 28.0, None, None, None,2018-12-03 11:00:00, -9.6, None, 23.0, None,49
None, None, 309.0, 28.0, None, None, None,2018-12-03 12:00:00, -10.2, None, 23.0, None,49
None, None, 309.0, 28.0, None, None, None,2018-12-03 13:00:00, -10.3, None, 23.0, None,49
None, None, 309.0, 28.0, None, None, None,2018-12-03 14:00:00, -9.8, None, 22.0, None,49
None, None, 309.0, 28.0, None, None, None,2018-12-03 15:00:00, -10.6, None, 23.0, None,49
None, None, 309.0, 28.0, None, None, None,2018-12-03 16:00:00, -10.5, None, 23.0, None,49
None, None, 309.0, 28.0, None, None, None,2018-12-03 17:00:00, -10.5, None, 22.0, None,49
None, None, 309.0, 28.0, None, None, None,2018-12-03 18:00:00, -10.2, None, 23.0, None,49
None, None, 309.0, 28.0, None, None, None,2018-12-03 19:00:00, -9.0, None, 22.0, None,49
None, None, 309.0, 29.0, None, None, None,2018-12-03 20:00:00, -6.5, None, None, None,49
None, None, 308.0, 30.0, None, None, None,2018-12-03 21:00:00, -6.3, None, None, None,49
None, None, 308.0, 30.0, None, None, None,2018-12-03 22:00:00, -6.7, None, None, None,49
None, None, 308.0, 30.0, None, None, None,2018-12-03 23:00:00, -7.5, None, 24.0, None,49
None, None, 309.0, 30.0, None, None, None,2018-12-04 00:00:00, -8.1, None, 24.0, None,49
None, None, 309.0, 30.0, None, None, None,2018-12-04 01:00:00, -8.3, None, 24.0, None,49
None, None, 309.0, 30.0, None, None, None,2018-12-04 02:00:00, -8.8, None, 24.0, None,49
None, None, 309.0, 31.0, None, None, None,2018-12-04 03:00:00, -8.8, None, 24.0, None,49
None, None, 309.0, 31.0, None, None, None,2018-12-04 04:00:00, -8.9, None, 24.0, None,49
None, None, 309.0, 31.0, None, None, None,2018-12-04 05:00:00, -8.8, None, 24.0, None,49
None, None, 309.0, 32.0, None, None, None,2018-12-04 06:00:00, -8.7, None, 24.0, None,49
None, None, 309.0, 32.0, None, None, None,2018-12-04 07:00:00, -9.0, None, 24.0, None,49
None, None, 309.0, 32.0, None, None, None,2018-12-04 08:00:00, -8.2, None, 24.0, None,49
None, None, 309.0, 32.0, None, None, None,2018-12-04 09:00:00, -8.0, None, 24.0, None,49
None, None, 309.0, 33.0, None, None, None,2018-12-04 10:00:00, -8.3, None, 24.0, None,49
None, None, 309.0, 33.0, None, None, None,2018-12-04 11:00:00, -8.7, None, 23.0, None,49
None, None, 309.0, 33.0, None, None, None,2018-12-04 12:00:00, -8.2, None, 24.0, None,49
None, None, 309.0, 33.0, None, None, None,2018-12-04 13:00:00, -8.6, None, 23.0, None,49
None, None, 309.0, 33.0, None, None, None,2018-12-04 14:00:00, -8.9, None, 23.0, None,49
None, None, 309.0, 33.0, None, None, None,2018-12-04 15:00:00, -9.2, None, 22.0, None,49
None, None, 309.0, 33.0, None, None, None,2018-12-04 16:00:00, -9.0, None, 22.0, None,49
None, None, 309.0, 33.0, None, None, None,2018-12-04 17:00:00, -9.4, None, 22.0, None,49
None, None, 309.0, 33.0, None, None, None,2018-12-04 18:00:00, -8.9, None, 22.0, None,49
None, None, 309.0, 34.0, None, None, None,2018-12-04 19:00:00, -8.3, None, 23.0, None,49
None, None, 308.0, 35.0, None, None, None,2018-12-04 20:00:00, -5.7, None, 21.0, None,49
None, None, 308.0, 36.0, None, None, None,2018-12-04 21:00:00, -5.4, None, 24.0, None,49
None, None, 308.0, 36.0, None, None, None,2018-12-04 22:00:00, -3.9, None, 22.0, None,49
None, None, 308.0, 37.0, None, None, None,2018-12-04 23:00:00, -6.5, None, 24.0, None,49
