pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, None,-2.598,101.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-05 00:00:00, None, None, 207.2, None,6
None, None,-2.71,101.4, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-05 01:00:00, None, None, 207.2, None,6
None, None,-2.862,101.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-05 02:00:00, None, None, 206.9, None,6
None, None,-3.006,101.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-05 03:00:00, None, None, 206.6, None,6
None, None,-3.1,101.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-05 04:00:00, None, None, 206.4, None,6
None, None,-3.225,101.4, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-05 05:00:00, None, None, 205.7, None,6
None, None,-3.301,101.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-05 06:00:00, None, None, 202.2, None,6
None, None,-3.377,101.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-05 07:00:00, None, None, 205.2, None,6
None, None,-3.491,100.7, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-05 08:00:00, None, None, 204.6, None,6
None, None,-3.262,99.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-05 09:00:00, None, None, 203.8, None,6
None, None,-2.692,94.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-05 10:00:00, None, None, 202.0, None,6
None, None,-1.894,82.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-05 11:00:00, None, None, 201.4, None,6
None, None,-1.475,77.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-05 12:00:00, None, None, 199.6, None,6
None, None,-1.379,78.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-05 13:00:00, None, None, 202.9, None,6
None, None,-1.6,84.7, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-05 14:00:00, None, None, 202.9, None,6
None, None,-1.581,85.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -3.0, None, None, None, None, None,2018-02-05 15:00:00, None, None, 201.4, None,6
None, None,-2.282,86.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-05 16:00:00, None, None, 201.3, None,6
None, None,-2.872,93.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-05 17:00:00, None, None, 201.1, None,6
None, None,-3.292,96.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-05 18:00:00, None, None, 201.3, None,6
None, None,-3.529,97.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-05 19:00:00, None, None, 201.2, None,6
None, None,-3.758,95.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-05 20:00:00, None, None, 200.9, None,6
None, None,-3.96,95.6, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-05 21:00:00, None, None, 200.8, None,6
None, None,-4.027,96.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-05 22:00:00, None, None, 200.7, None,6
None, None,-4.16,97.4, None, None, None, None, None, None, None, None, None, None, None, None, None, -4.0, None, None, None, None, None,2018-02-05 23:00:00, None, None, 200.6, None,6
None, None,-4.276,98.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, None,2018-02-06 00:00:00, None, None, 200.4, None,6
None, None,-4.372,98.3, None, None, None, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, None,2018-02-06 01:00:00, None, None, 200.2, None,6
None, None,-4.487,98.1, None, None, None, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, None,2018-02-06 02:00:00, None, None, 200.2, None,6
None, None,-4.814,95.2, None, None, None, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, None,2018-02-06 03:00:00, None, None, 200.0, None,6
None, None,-5.006,95.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, None,2018-02-06 04:00:00, None, None, 199.8, None,6
None, None,-5.064,97.8, None, None, None, None, None, None, None, None, None, None, None, None, None, -5.0, None, None, None, None, None,2018-02-06 05:00:00, None, None, 199.8, None,6
None, None,-5.325,95.9, None, None, None, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, None,2018-02-06 06:00:00, None, None, 199.7, None,6
None, None,-5.47,97.0, None, None, None, None, None, None, None, None, None, None, None, None, None, -6.0, None, None, None, None, None,2018-02-06 07:00:00, None, None, 199.5, None,6
None, None,-5.945,93.5, None, None, None, None, None, None, None, None, None, None, None, None, None, -7.0, None, None, None, None, None,2018-02-06 08:00:00, None, None, 199.4, None,6
