station_observations
AirTemp, ONE_DAY_PRECIPITATION, time, MIN_TEMP, MAX_TEMP
None, 0.2, 2019-01-01 00:00:00, -6.0, 4.1
None, 0.0, 2019-01-02 00:00:00, -5.2, 6.1
None, 0.0, 2019-01-03 00:00:00, -13.7, -5.2
None, 3.8, 2019-01-04 00:00:00, -10.9, -6.0
None, 1.3, 2019-01-05 00:00:00, -10.5, -7.4
None, 8.5, 2019-01-06 00:00:00, -16.7, -7.5
None, 0.3, 2019-01-07 00:00:00, -29.4, -16.7
None, 0.0, 2019-01-08 00:00:00, -32.9, -22.9
None, 3.6, 2019-01-09 00:00:00, -24.7, -15.4
None, 0.3, 2019-01-10 00:00:00, -17.2, -12.0
None, 0.0, 2019-01-11 00:00:00, -15.3, -6.8
None, 0.0, 2019-01-12 00:00:00, -12.0, -1.6
None, 1.4, 2019-01-13 00:00:00, -4.5, -0.1
None, 0.0, 2019-01-14 00:00:00, -6.4, 0.3
None, 0.0, 2019-01-15 00:00:00, -9.9, -4.9
None, 0.8, 2019-01-16 00:00:00, -18.0, -9.5
None, 0.2, 2019-01-17 00:00:00, -18.5, -17.1
None, 2.4, 2019-01-18 00:00:00, -19.0, -14.2
None, 6.7, 2019-01-19 00:00:00, -19.2, -12.6
None, 0.0, 2019-01-20 00:00:00, -21.9, -10.1
None, 0.0, 2019-01-21 00:00:00, -20.6, -9.3
None, 0.0, 2019-01-22 00:00:00, -11.5, -0.3
None, 0.0, 2019-01-23 00:00:00, -18.7, -11.5
None, 0.0, 2019-01-24 00:00:00, -18.3, 0.1
None, 0.5, 2019-01-25 00:00:00, -8.3, 3.1
None, 0.2, 2019-01-26 00:00:00, 2.8, 7.9
None, 0.4, 2019-01-27 00:00:00, -8.8, 4.4
None, 0.0, 2019-01-28 00:00:00, -15.2, -4.4
None, 0.0, 2019-01-29 00:00:00, -18.3, 0.2
None, 0.0, 2019-01-30 00:00:00, -1.4, 4.5
None, 3.8, 2019-01-31 00:00:00, -18.0, 1.5
None, 10.1, 2019-02-01 00:00:00, -24.6, -18.0
None, 0.6, 2019-02-02 00:00:00, -30.5, -23.7
None, 0.0, 2019-02-03 00:00:00, -39.8, -26.0
None, 0.0, 2019-02-04 00:00:00, -42.7, -24.8
None, 0.2, 2019-02-05 00:00:00, -32.0, -20.3
None, 0.0, 2019-02-06 00:00:00, -35.8, -21.8
None, 0.3, 2019-02-07 00:00:00, -28.6, -13.5
None, 0.3, 2019-02-08 00:00:00, -32.8, -18.6
None, 0.9, 2019-02-09 00:00:00, -38.8, -18.8
None, 2.8, 2019-02-10 00:00:00, -22.6, -13.3
None, 0.4, 2019-02-11 00:00:00, -19.6, -11.2
None, 0.1, 2019-02-12 00:00:00, -22.3, -11.1
None, 0.0, 2019-02-13 00:00:00, -30.9, -15.5
None, 0.0, 2019-02-14 00:00:00, -27.0, -10.7
None, 2.2, 2019-02-15 00:00:00, -16.2, -12.3
None, 0.7, 2019-02-16 00:00:00, -17.2, -14.4
None, 0.2, 2019-02-17 00:00:00, -26.0, -14.2
None, 0.0, 2019-02-18 00:00:00, -28.8, -3.0
None, 0.2, 2019-02-19 00:00:00, -13.6, 1.8
None, 0.4, 2019-02-20 00:00:00, -19.6, -2.3
None, 0.0, 2019-02-21 00:00:00, -24.4, -0.6
None, 6.8, 2019-02-22 00:00:00, -15.5, -5.3
None, 0.1, 2019-02-23 00:00:00, -27.3, -12.7
None, 0.0, 2019-02-24 00:00:00, -34.8, -15.1
None, 0.0, 2019-02-25 00:00:00, -34.5, -9.4
None, 0.0, 2019-02-26 00:00:00, -17.2, -2.1
None, 0.0, 2019-02-27 00:00:00, -15.7, 0.1
None, 0.0, 2019-02-28 00:00:00, -15.3, -0.9
None, 0.0, 2019-03-01 00:00:00, -30.2, -14.7
None, 0.0, 2019-03-02 00:00:00, -35.7, -14.8
None, 0.0, 2019-03-03 00:00:00, -33.1, -9.3
None, 0.0, 2019-03-04 00:00:00, -29.9, -5.0
None, 0.0, 2019-03-05 00:00:00, -24.4, -7.1
None, 0.0, 2019-03-06 00:00:00, -17.6, -9.0
None, 0.0, 2019-03-07 00:00:00, -23.4, -3.9
None, 0.0, 2019-03-08 00:00:00, -24.7, 2.9
None, 0.0, 2019-03-09 00:00:00, -20.4, 4.5
None, 0.0, 2019-03-10 00:00:00, -16.3, 3.7
None, 0.0, 2019-03-11 00:00:00, -1.5, 8.0
None, 0.0, 2019-03-12 00:00:00, -5.5, 6.3
None, 0.0, 2019-03-13 00:00:00, -7.2, 6.7
None, 0.0, 2019-03-14 00:00:00, -7.3, 7.1
None, 0.0, 2019-03-15 00:00:00, -8.1, 6.4
None, 0.0, 2019-03-16 00:00:00, -8.2, 7.7
None, 0.0, 2019-03-17 00:00:00, -3.8, 12.9
None, 0.0, 2019-03-18 00:00:00, -3.2, 15.6
None, 0.0, 2019-03-19 00:00:00, -4.1, 18.1
None, 0.0, 2019-03-20 00:00:00, -4.7, 15.5
None, 0.0, 2019-03-21 00:00:00, -5.1, 14.3
None, 0.0, 2019-03-22 00:00:00, -4.2, 13.9
None, 0.0, 2019-03-23 00:00:00, -2.4, 10.4
None, 0.0, 2019-03-24 00:00:00, -3.7, 11.1
