pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None, -3.6, 156.0, None, None, 511.0, 741.0, None,2019-03-12 00:00:00, None,11
None, None, None, None, -3.4, 157.0, None, None, 512.0, 743.0, None,2019-03-12 01:00:00, None,11
None, None, None, None, -3.5, 157.0, None, None, 513.0, 746.0, None,2019-03-12 02:00:00, None,11
None, None, None, None, -3.4, 158.0, None, None, 513.0, 746.0, None,2019-03-12 03:00:00, None,11
None, None, None, None, -3.2, 161.0, None, None, 514.0, 747.0, None,2019-03-12 04:00:00, None,11
None, None, None, None, -2.9, 163.0, None, None, 514.0, 748.0, None,2019-03-12 05:00:00, None,11
None, None, None, None, -2.8, 161.0, None, None, 514.0, 748.0, None,2019-03-12 06:00:00, None,11
None, None, None, None, -2.6, 163.0, None, None, 514.0, 749.0, None,2019-03-12 07:00:00, None,11
None, None, None, None, -2.8, 163.0, None, None, 514.0, 750.0, None,2019-03-12 08:00:00, None,11
None, None, None, None, -2.8, 163.0, None, None, 514.0, 750.0, None,2019-03-12 09:00:00, None,11
None, None, None, None, -3.1, 163.0, None, None, 514.0, 750.0, None,2019-03-12 10:00:00, None,11
None, None, None, None, -3.2, 163.0, None, None, 515.0, 751.0, None,2019-03-12 11:00:00, None,11
None, None, None, None, -3.4, 163.0, None, None, 515.0, 751.0, None,2019-03-12 12:00:00, None,11
None, None, None, None, -3.4, 163.0, None, None, 515.0, 751.0, None,2019-03-12 13:00:00, None,11
None, None, None, None, -3.5, 163.0, None, None, 515.0, 751.0, None,2019-03-12 14:00:00, None,11
None, None, None, None, -3.8, 163.0, None, None, 515.0, 751.0, None,2019-03-12 15:00:00, None,11
None, 1586.0, None, None, -3.2, 162.0, None, None, 514.0, 751.0, None,2019-03-12 16:00:00, None,11
None, None, None, None, -2.1, 161.0, None, None, 514.0, 751.0, None,2019-03-12 17:00:00, None,11
None, None, None, None, -0.8, 161.0, None, None, 514.0, 750.0, None,2019-03-12 18:00:00, None,11
