CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, -0.286, 54.69, None, None, None, None, 21.8, None, 7.961, 92.4, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-26 00:00:00, None, None, 166.6,13
None, 0.356, 55.57, None, None, None, None, 24.74, None, 7.616, 97.4, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-26 01:00:00, None, None, 166.7,13
None, -2.274, 94.8, None, None, None, None, 34.59, None, 11.57, 162.7, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-26 02:00:00, None, None, 166.8,13
None, -2.935, 97.0, None, None, None, None, 31.46, None, 5.949, 153.9, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-26 03:00:00, None, None, 169.1,13
None, -2.674, 97.0, None, None, None, None, 28.67, None, 6.353, 166.6, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-26 04:00:00, None, None, 169.4,13
None, -1.916, 97.7, None, None, None, None, 26.19, None, 10.72, 165.9, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-26 05:00:00, None, None, 168.2,13
None, -2.047, 97.6, None, None, None, None, 22.54, None, 15.77, 185.5, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-26 06:00:00, None, None, 169.2,13
None, -2.323, 97.1, None, None, None, None, 23.05, None, 13.39, 187.2, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-26 07:00:00, None, None, 170.2,13
None, -2.82, 96.7, None, None, None, None, 24.3, None, 14.37, 194.6, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-26 08:00:00, None, None, 169.6,13
None, -3.217, 96.2, None, None, None, None, 26.5, None, 11.45, 182.8, None, None, None, None, None, None, None, None, None, None, None, None,2019-03-26 09:00:00, None, None, 170.7,13
