WDIR_VECT,time,TEMP_MEAN,HUMIDITY,week_of_year
315.2,2019-04-23 00:00:00,9.2,98.6,17
304.8,2019-04-23 01:00:00,9.2,99.3,17
311.5,2019-04-23 02:00:00,9.2,100.0,17
113.6,2019-04-23 03:00:00,9.2,100.0,17
146.8,2019-04-23 04:00:00,9.2,99.9,17
324.5,2019-04-23 05:00:00,9.3,100.0,17
131.5,2019-04-23 06:00:00,9.4,100.0,17
9.8,2019-04-23 07:00:00,9.5,100.0,17
329.0,2019-04-23 08:00:00,9.7,100.0,17
36.8,2019-04-23 09:00:00,10.1,98.3,17
45.2,2019-04-23 10:00:00,10.9,90.9,17
32.6,2019-04-23 11:00:00,11.7,88.1,17
325.1,2019-04-23 12:00:00,11.4,89.8,17
21.5,2019-04-23 13:00:00,12.9,74.7,17
329.2,2019-04-23 14:00:00,13.4,78.7,17
305.5,2019-04-23 15:00:00,12.9,72.1,17
304.4,2019-04-23 16:00:00,13.5,62.3,17
304.7,2019-04-23 17:00:00,14.0,57.2,17
305.6,2019-04-23 18:00:00,14.0,51.6,17
302.3,2019-04-23 19:00:00,13.9,53.8,17
296.0,2019-04-23 20:00:00,13.3,60.3,17
301.7,2019-04-23 21:00:00,11.8,72.3,17
243.2,2019-04-23 22:00:00,9.8,84.7,17
277.8,2019-04-23 23:00:00,8.7,92.5,17
120.7,2019-04-24 00:00:00,7.6,94.0,17
171.8,2019-04-24 01:00:00,7.1,95.2,17
185.9,2019-04-24 02:00:00,6.7,96.9,17
144.2,2019-04-24 03:00:00,6.0,98.9,17
170.2,2019-04-24 04:00:00,5.6,98.7,17
134.7,2019-04-24 05:00:00,5.2,99.3,17
156.9,2019-04-24 06:00:00,4.6,99.4,17
61.7,2019-04-24 07:00:00,5.0,100.0,17
354.8,2019-04-24 08:00:00,6.0,99.7,17
337.3,2019-04-24 09:00:00,7.4,86.6,17
16.9,2019-04-24 10:00:00,8.7,78.1,17
7.7,2019-04-24 11:00:00,10.3,66.7,17
13.0,2019-04-24 12:00:00,11.1,58.2,17
205.1,2019-04-24 13:00:00,12.6,49.3,17
269.3,2019-04-24 14:00:00,13.2,56.3,17
271.4,2019-04-24 15:00:00,13.8,30.5,17
242.7,2019-04-24 16:00:00,14.6,33.7,17
252.0,2019-04-24 17:00:00,14.7,38.2,17
263.2,2019-04-24 18:00:00,14.5,41.3,17
306.4,2019-04-24 19:00:00,13.5,44.5,17
299.8,2019-04-24 20:00:00,12.7,40.0,17
306.7,2019-04-24 21:00:00,11.5,54.0,17
280.3,2019-04-24 22:00:00,9.9,59.0,17
229.9,2019-04-24 23:00:00,8.5,67.1,17
199.1,2019-04-25 00:00:00,7.6,76.1,17
140.6,2019-04-25 01:00:00,6.7,82.5,17
213.0,2019-04-25 02:00:00,6.1,85.1,17
196.4,2019-04-25 03:00:00,5.5,87.3,17
197.7,2019-04-25 04:00:00,4.7,91.0,17
166.8,2019-04-25 05:00:00,4.1,91.4,17
172.5,2019-04-25 06:00:00,3.8,94.0,17
220.0,2019-04-25 07:00:00,4.1,94.8,17
67.3,2019-04-25 08:00:00,5.8,89.8,17
30.6,2019-04-25 09:00:00,7.6,70.9,17
25.0,2019-04-25 10:00:00,10.4,58.3,17
342.7,2019-04-25 11:00:00,11.4,57.1,17
338.7,2019-04-25 12:00:00,12.6,57.9,17
312.9,2019-04-25 13:00:00,13.6,53.3,17
303.7,2019-04-25 14:00:00,13.8,50.0,17
315.6,2019-04-25 15:00:00,13.8,51.2,17
313.3,2019-04-25 16:00:00,13.9,59.3,17
