pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None, None, 19.4, 37.0, None, None, 424.0, 202.0, None,2019-05-28 00:00:00, None,22
None, None, None, None, None, 18.9, 36.0, None, None, 424.0, 196.0, None,2019-05-28 01:00:00, None,22
None, None, None, None, None, 18.1, 33.0, None, None, 424.0, 195.0, None,2019-05-28 02:00:00, None,22
None, None, None, None, None, 15.0, 34.0, None, None, 425.0, 193.0, None,2019-05-28 03:00:00, None,22
None, None, None, None, None, 12.0, 34.0, None, None, 426.0, 191.0, None,2019-05-28 04:00:00, None,22
None, None, None, None, None, 10.0, 34.0, None, None, 426.0, 190.0, None,2019-05-28 05:00:00, None,22
None, None, None, None, None, 7.6, 36.0, None, None, 426.0, 188.0, None,2019-05-28 06:00:00, None,22
None, None, None, None, None, 7.2, 34.0, None, None, 426.0, 188.0, None,2019-05-28 07:00:00, None,22
None, None, None, None, None, 6.8, 35.0, None, None, 426.0, 186.0, None,2019-05-28 08:00:00, None,22
None, None, None, None, None, 6.0, 34.0, None, None, 426.0, 184.0, None,2019-05-28 09:00:00, None,22
None, None, None, None, None, 6.1, 35.0, None, None, 426.0, 182.0, None,2019-05-28 10:00:00, None,22
None, None, None, None, None, 5.1, 34.0, None, None, 426.0, 180.0, None,2019-05-28 11:00:00, None,22
None, None, None, None, None, 4.5, 34.0, None, None, 426.0, 179.0, None,2019-05-28 12:00:00, None,22
None, None, None, None, None, 4.3, None, None, None, 426.0, 178.0, None,2019-05-28 13:00:00, None,22
None, None, None, None, None, 9.8, 33.0, None, None, 425.0, 176.0, None,2019-05-28 14:00:00, None,22
None, None, None, None, None, 12.5, 33.0, None, None, 424.0, 176.0, None,2019-05-28 15:00:00, None,22
None, 0.0, None, None, None, 13.6, 36.0, None, None, 422.0, 177.0, None,2019-05-28 16:00:00, None,22
None, None, None, None, None, 13.7, 36.0, None, None, 423.0, 182.0, None,2019-05-28 17:00:00, None,22
None, None, None, None, None, 14.4, 36.0, None, None, 424.0, 186.0, None,2019-05-28 18:00:00, None,22
None, None, None, None, None, 15.2, 33.0, None, None, 424.0, 188.0, None,2019-05-28 19:00:00, None,22
None, None, None, None, None, 16.7, 31.0, None, None, 423.0, 189.0, None,2019-05-28 20:00:00, None,22
