pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None, None, 6.8, 42.0, None, None, 619.0, 173.0, None,2019-06-11 00:00:00, None,24
None, None, None, None, None, 7.2, 40.0, None, None, 619.0, 171.0, None,2019-06-11 01:00:00, None,24
None, None, None, None, None, 7.1, 41.0, None, None, 619.0, 169.0, None,2019-06-11 02:00:00, None,24
None, None, None, None, None, 6.5, 40.0, None, None, 619.0, 168.0, None,2019-06-11 03:00:00, None,24
None, None, None, None, None, 5.8, 40.0, None, None, 619.0, 168.0, None,2019-06-11 04:00:00, None,24
None, None, None, None, None, 5.4, 39.0, None, None, 618.0, 167.0, None,2019-06-11 05:00:00, None,24
None, None, None, None, None, 5.4, 38.0, None, None, 618.0, 166.0, None,2019-06-11 06:00:00, None,24
None, None, None, None, None, 5.8, 38.0, None, None, 619.0, 165.0, None,2019-06-11 07:00:00, None,24
None, None, None, None, None, 5.0, 38.0, None, None, 618.0, 164.0, None,2019-06-11 08:00:00, None,24
None, None, None, None, None, 5.3, 39.0, None, None, 618.0, 163.0, None,2019-06-11 09:00:00, None,24
None, None, None, None, None, 4.8, 37.0, None, None, 618.0, 162.0, None,2019-06-11 10:00:00, None,24
None, None, None, None, None, 5.1, 37.0, None, None, 618.0, 162.0, None,2019-06-11 11:00:00, None,24
None, None, None, None, None, 4.5, 38.0, None, None, 618.0, 162.0, None,2019-06-11 12:00:00, None,24
None, None, None, None, None, 4.7, 37.0, None, None, 618.0, 161.0, None,2019-06-11 13:00:00, None,24
None, None, None, None, None, 5.5, 37.0, None, None, 619.0, 160.0, None,2019-06-11 14:00:00, None,24
None, None, None, None, None, 5.9, 37.0, None, None, 619.0, 160.0, None,2019-06-11 15:00:00, None,24
None, 0.0, None, None, None, 6.5, 36.0, None, None, 620.0, 159.0, None,2019-06-11 16:00:00, None,24
None, None, None, None, None, 7.2, 36.0, None, None, 620.0, 158.0, None,2019-06-11 17:00:00, None,24
None, None, None, None, None, 9.2, 39.0, None, None, 622.0, 158.0, None,2019-06-11 18:00:00, None,24
None, None, None, None, None, 10.3, 36.0, None, None, 623.0, 155.0, None,2019-06-11 19:00:00, None,24
