pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None, 8.9, 1.0, None, None, 491.0, None, None,2019-07-16 00:00:00, None,29
None, None, None, None, 9.2, 1.0, None, None, 492.0, None, None,2019-07-16 01:00:00, None,29
None, None, None, None, 9.0, 1.0, None, None, 492.0, None, None,2019-07-16 02:00:00, None,29
None, None, None, None, 8.6, 0.0, None, None, 493.0, None, None,2019-07-16 03:00:00, None,29
None, None, None, None, 8.3, 1.0, None, None, 493.0, None, None,2019-07-16 04:00:00, None,29
None, None, None, None, 8.0, 1.0, None, None, 493.0, None, None,2019-07-16 05:00:00, None,29
None, None, None, None, 8.0, 1.0, None, None, 493.0, None, None,2019-07-16 06:00:00, None,29
None, None, None, None, 7.9, 1.0, None, None, 494.0, None, None,2019-07-16 07:00:00, None,29
None, None, None, None, 7.5, 1.0, None, None, 494.0, None, None,2019-07-16 08:00:00, None,29
None, None, None, None, 7.4, 1.0, None, None, 494.0, None, None,2019-07-16 09:00:00, None,29
None, None, None, None, 7.3, 1.0, None, None, 494.0, None, None,2019-07-16 10:00:00, None,29
None, None, None, None, 7.3, 1.0, None, None, 495.0, None, None,2019-07-16 11:00:00, None,29
None, None, None, None, 7.3, 1.0, None, None, 495.0, None, None,2019-07-16 12:00:00, None,29
None, None, None, None, 7.3, 1.0, None, None, 495.0, None, None,2019-07-16 13:00:00, None,29
None, None, None, None, 7.2, 2.0, None, None, 495.0, None, None,2019-07-16 14:00:00, None,29
None, None, None, None, 8.1, 1.0, None, None, 495.0, None, None,2019-07-16 15:00:00, None,29
None, None, None, None, 9.7, None, None, None, 494.0, None, None,2019-07-16 16:00:00, None,29
None, None, None, None, 10.2, 2.0, None, None, 493.0, None, None,2019-07-16 17:00:00, None,29
None, None, None, None, 12.5, 2.0, None, None, 491.0, None, None,2019-07-16 18:00:00, None,29
None, None, None, None, 14.3, 2.0, None, None, 489.0, None, None,2019-07-16 19:00:00, None,29
None, None, None, None, 12.0, 1.0, None, None, 488.0, None, None,2019-07-16 20:00:00, None,29
None, None, None, None, 9.9, 2.0, None, None, 492.0, None, None,2019-07-16 21:00:00, None,29
None, None, None, None, 14.9, 1.0, None, None, 489.0, None, None,2019-07-16 22:00:00, None,29
None, None, None, None, 13.3, 1.0, None, None, 489.0, None, None,2019-07-16 23:00:00, None,29
None, None, None, None, 13.8, 2.0, None, None, 489.0, None, None,2019-07-17 00:00:00, None,29
None, None, None, None, 11.8, 2.0, None, None, 490.0, None, None,2019-07-17 01:00:00, None,29
None, None, None, None, 11.2, 2.0, None, None, 491.0, None, None,2019-07-17 02:00:00, None,29
None, None, None, None, 10.6, 1.0, None, None, 492.0, None, None,2019-07-17 03:00:00, None,29
None, None, None, None, 9.9, 3.0, None, None, 492.0, None, None,2019-07-17 04:00:00, None,29
None, None, None, None, 9.5, 1.0, None, None, 493.0, None, None,2019-07-17 05:00:00, None,29
None, None, None, None, 9.2, 0.0, None, None, 493.0, None, None,2019-07-17 06:00:00, None,29
None, None, None, None, 8.5, 1.0, None, None, 494.0, None, None,2019-07-17 07:00:00, None,29
None, None, None, None, 8.5, 1.0, None, None, 494.0, None, None,2019-07-17 08:00:00, None,29
None, None, None, None, 8.2, 1.0, None, None, 494.0, None, None,2019-07-17 09:00:00, None,29
None, None, None, None, 7.9, 1.0, None, None, 495.0, None, None,2019-07-17 10:00:00, None,29
