WDIR_VECT,time,TEMP_MEAN,week_of_year
9.9,2019-01-15 00:00:00,2.5,3
358.6,2019-01-15 01:00:00,2.5,3
319.7,2019-01-15 02:00:00,1.7,3
350.2,2019-01-15 03:00:00,1.5,3
14.6,2019-01-15 04:00:00,0.1,3
None,2019-01-15 05:00:00,1.2,3
13.7,2019-01-15 06:00:00,1.1,3
266.3,2019-01-15 07:00:00,1.6,3
0.4,2019-01-15 08:00:00,1.4,3
356.6,2019-01-15 09:00:00,1.3,3
351.2,2019-01-15 10:00:00,1.0,3
24.8,2019-01-15 11:00:00,2.9,3
None,2019-01-15 12:00:00,4.8,3
189.8,2019-01-15 13:00:00,6.7,3
208.6,2019-01-15 14:00:00,7.7,3
29.9,2019-01-15 15:00:00,6.7,3
None,2019-01-15 16:00:00,5.9,3
10.4,2019-01-15 17:00:00,4.5,3
9.5,2019-01-15 18:00:00,3.9,3
1.4,2019-01-15 19:00:00,3.7,3
None,2019-01-15 20:00:00,3.2,3
10.9,2019-01-15 21:00:00,2.9,3
5.2,2019-01-15 22:00:00,1.7,3
359.6,2019-01-15 23:00:00,2.0,3
243.8,2019-01-16 00:00:00,2.7,3
9.0,2019-01-16 01:00:00,2.5,3
17.1,2019-01-16 02:00:00,2.1,3
0.9,2019-01-16 03:00:00,1.7,3
23.5,2019-01-16 04:00:00,2.1,3
7.5,2019-01-16 05:00:00,1.8,3
329.5,2019-01-16 06:00:00,1.6,3
282.8,2019-01-16 07:00:00,1.2,3
13.4,2019-01-16 08:00:00,1.4,3
11.3,2019-01-16 09:00:00,0.4,3
205.3,2019-01-16 10:00:00,2.7,3
60.3,2019-01-16 11:00:00,4.3,3
170.4,2019-01-16 12:00:00,4.7,3
16.9,2019-01-16 13:00:00,5.6,3
21.9,2019-01-16 14:00:00,6.6,3
39.8,2019-01-16 15:00:00,7.2,3
12.2,2019-01-16 16:00:00,6.4,3
357.0,2019-01-16 17:00:00,5.6,3
194.0,2019-01-16 18:00:00,5.8,3
