WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
251.0, 18.9, 2.906, 62.1, 68.11,2019-07-30 00:00:00, 17.47,31
259.4, 17.5, 2.955, 68.1, 71.27,2019-07-30 01:00:00, 16.59,31
257.2, 16.6, 2.961, 71.3, 71.35,2019-07-30 02:00:00, 16.25,31
254.0, 16.3, 2.976, 71.4, 72.07,2019-07-30 03:00:00, 15.89,31
254.6, 15.9, 2.474, 72.1, 71.94,2019-07-30 04:00:00, 15.9,31
251.8, 15.9, 2.006, 71.9, 71.27,2019-07-30 05:00:00, 16.16,31
255.9, 16.2, 1.934, 71.3, 69.93,2019-07-30 06:00:00, 16.34,31
242.8, 16.3, 2.246, 69.9, 67.65,2019-07-30 07:00:00, 17.03,31
243.1, 17.0, 2.323, 67.7, 63.39,2019-07-30 08:00:00, 18.03,31
242.0, 18.0, 1.838, 63.4, 60.41,2019-07-30 09:00:00, 18.61,31
235.9, 18.6, 1.761, 60.4, 52.25,2019-07-30 10:00:00, 20.55,31
235.8, 20.6, 1.55, 52.3, 45.39,2019-07-30 11:00:00, 22.58,31
243.0, 22.6, 2.31, 45.4, 50.2,2019-07-30 12:00:00, 22.35,31
134.7, 22.4, 2.797, 50.2, 48.21,2019-07-30 13:00:00, 22.41,31
134.1, 22.4, 2.879, 48.2, 46.55,2019-07-30 14:00:00, 22.69,31
148.2, 22.7, 2.865, 46.6, 47.33,2019-07-30 15:00:00, 22.99,31
153.1, 23.0, 2.547, 47.3, 45.84,2019-07-30 16:00:00, 23.34,31
129.2, 23.3, 1.636, 45.8, 49.13,2019-07-30 17:00:00, 22.68,31
109.1, 22.7, 1.285, 49.1, 52.46,2019-07-30 18:00:00, 21.76,31
106.4, 21.8, 0.913999, 52.5, 54.01,2019-07-30 19:00:00, 21.29,31
139.9, 21.3, 0.598999, 54.0, 57.35,2019-07-30 20:00:00, 20.86,31
138.0, 20.9, 0.620998, 57.4, 60.59,2019-07-30 21:00:00, 20.31,31
238.1, 20.3, 1.33, 60.6, 61.1,2019-07-30 22:00:00, 19.68,31
256.0, 19.7, 1.495, 61.1, 67.95,2019-07-30 23:00:00, 18.73,31
253.1, 18.7, 1.272, 68.0, 71.64,2019-07-31 00:00:00, 18.3,31
251.5, 18.3, 1.161, 71.6, 73.05,2019-07-31 01:00:00, 18.16,31
262.0, 18.2, 0.883, 73.1, 75.47,2019-07-31 02:00:00, 17.89,31
271.0, 17.9, 0.853999, 75.5, 77.21,2019-07-31 03:00:00, 17.64,31
274.9, 17.6, 0.684, 77.2, 78.79,2019-07-31 04:00:00, 17.36,31
281.0, 17.4, 0.61, 78.8, 79.94,2019-07-31 05:00:00, 17.25,31
260.8, 17.3, 0.652998, 79.9, 81.3,2019-07-31 06:00:00, 17.26,31
264.5, 17.3, 0.73, 81.3, 81.0,2019-07-31 07:00:00, 17.6,31
248.4, 17.6, 0.321, 81.0, 76.32,2019-07-31 08:00:00, 18.68,31
285.8, 18.7, 0.665, 76.3, 72.82,2019-07-31 09:00:00, 19.77,31
74.4, 19.8, 1.106, 72.8, 65.77,2019-07-31 10:00:00, 21.31,31
66.4, 21.3, 1.187, 65.8, 56.66,2019-07-31 11:00:00, 22.91,31
83.6, 22.9, 1.23, 56.7, 56.55,2019-07-31 12:00:00, 23.45,31
100.9, 23.5, 1.77, 56.6, 52.68,2019-07-31 13:00:00, 24.22,31
132.7, 24.2, 1.86, 52.7, 51.48,2019-07-31 14:00:00, 24.49,31
141.6, 24.5, 1.764, 51.5, 52.24,2019-07-31 15:00:00, 24.59,31
151.3, 24.6, 1.995, 52.2, 50.47,2019-07-31 16:00:00, 24.44,31
119.4, 24.4, 1.696, 50.5, 49.14,2019-07-31 17:00:00, 23.98,31
123.8, 24.0, 0.736998, 49.1, 49.64,2019-07-31 18:00:00, 24.15,31
25.3, 24.2, 0.287999, 49.6, 48.83,2019-07-31 19:00:00, 23.7,31
47.8, 23.7, 0.535, 48.8, 57.71,2019-07-31 20:00:00, 22.29,31
1.8, 22.3, 0.342, 57.7, 63.9,2019-07-31 21:00:00, 20.96,31
280.5, 21.0, 0.197999, 63.9, 70.56,2019-07-31 22:00:00, 20.22,31
25.4, 20.2, 0.479, 70.6, 77.62,2019-07-31 23:00:00, 19.12,31
291.6, 19.1, 0.185, 77.6, 83.1,2019-08-01 00:00:00, 17.99,31
22.3, 18.0, 0.381, 83.1, 86.7,2019-08-01 01:00:00, 17.35,31
285.9, 17.4, 0.123, 86.7, 89.5,2019-08-01 02:00:00, 16.56,31
35.0, 16.6, 0.046, 89.5, 93.1,2019-08-01 03:00:00, 15.61,31
1.9, 15.6, 0.301999, 93.1, 92.9,2019-08-01 04:00:00, 15.51,31
96.0, 15.5, 0.202998, 92.9, 91.2,2019-08-01 05:00:00, 15.4,31
98.5, 15.4, 0.458999, 91.2, 91.5,2019-08-01 06:00:00, 15.23,31
16.5, 15.2, 0.523998, 91.5, 83.0,2019-08-01 07:00:00, 17.03,31
61.3, 17.0, 1.654, 83.0, 74.31,2019-08-01 08:00:00, 18.71,31
152.5, 18.7, 1.802, 74.3, 72.31,2019-08-01 09:00:00, 19.16,31
151.8, 19.2, 1.991, 72.3, 74.7,2019-08-01 10:00:00, 18.42,31
154.4, 18.4, 1.837, 74.7, 73.01,2019-08-01 11:00:00, 19.31,31
130.5, 19.3, 1.761, 73.0, 64.38,2019-08-01 12:00:00, 21.02,31
137.3, 21.0, 1.561, 64.4, 57.8,2019-08-01 13:00:00, 22.19,31
127.2, 22.2, 1.894, 57.8, 60.28,2019-08-01 14:00:00, 22.17,31
125.2, 22.2, 1.951, 60.3, 56.67,2019-08-01 15:00:00, 22.75,31
122.4, 22.8, 1.752, 56.7, 51.9,2019-08-01 16:00:00, 24.04,31
135.4, 24.0, 1.62, 51.9, 49.91,2019-08-01 17:00:00, 24.81,31
110.0, 24.8, 1.434, 49.9, 49.88,2019-08-01 18:00:00, 24.56,31
130.9, 24.6, 0.652998, 49.9, 50.73,2019-08-01 19:00:00, 24.24,31
147.1, 24.2, 0.950999, 50.7, 56.7,2019-08-01 20:00:00, 23.55,31
242.8, 23.6, 1.242, 56.7, 77.27,2019-08-01 21:00:00, 20.48,31
257.6, 20.5, 0.675998, 77.3, 95.3,2019-08-01 22:00:00, 18.56,31
228.0, 18.6, 0.640999, 95.3, 97.4,2019-08-01 23:00:00, 18.25,31
75.4, 18.3, 0.463999, 97.4, 97.5,2019-08-02 00:00:00, 18.15,31
198.6, 18.2, 1.125, 97.5, 95.4,2019-08-02 01:00:00, 18.01,31
156.9, 18.0, 2.056, 95.4, 92.7,2019-08-02 02:00:00, 18.11,31
157.2, 18.1, 2.613, 92.7, 96.1,2019-08-02 03:00:00, 16.96,31
158.6, 17.0, 2.19, 96.1, 97.5,2019-08-02 04:00:00, 16.48,31
164.9, 16.5, 1.77, 97.5, 95.0,2019-08-02 05:00:00, 16.97,31
158.0, 17.0, 1.604, 95.0, 81.2,2019-08-02 06:00:00, 17.36,31
178.4, 17.4, 1.414, 81.2, 73.27,2019-08-02 07:00:00, 18.0,31
165.8, 18.0, 1.122, 73.3, 67.66,2019-08-02 08:00:00, 19.4,31
173.1, 19.4, 1.662, 67.7, 57.03,2019-08-02 09:00:00, 21.37,31
216.8, 21.4, 2.963, 57.0, 53.07,2019-08-02 10:00:00, 22.05,31
246.3, 22.1, 2.09, 53.1, 50.97,2019-08-02 11:00:00, 22.84,31
279.7, 22.8, 1.937, 51.0, 46.67,2019-08-02 12:00:00, 23.71,31
286.7, 23.7, 2.477, 46.7, 42.66,2019-08-02 13:00:00, 24.68,31
266.3, 24.7, 2.559, 42.7, 38.98,2019-08-02 14:00:00, 25.34,31
256.9, 25.3, 2.732, 39.0, 36.27,2019-08-02 15:00:00, 26.13,31
245.4, 26.1, 1.599, 36.3, 35.85,2019-08-02 16:00:00, 26.52,31
257.2, 26.5, 1.713, 35.9, 34.55,2019-08-02 17:00:00, 26.49,31
264.9, 26.5, 1.847, 34.6, 37.68,2019-08-02 18:00:00, 25.74,31
262.3, 25.7, 1.767, 37.7, 42.24,2019-08-02 19:00:00, 23.96,31
256.8, 24.0, 1.533, 42.2, 49.57,2019-08-02 20:00:00, 22.22,31
249.7, 22.2, 2.04, 49.6, 59.04,2019-08-02 21:00:00, 20.34,31
247.6, 20.3, 2.007, 59.0, 67.79,2019-08-02 22:00:00, 18.97,31
254.9, 19.0, 1.59, 67.8, 73.09,2019-08-02 23:00:00, 17.75,31
258.2, 17.8, 1.181, 73.1, 75.11,2019-08-03 00:00:00, 16.65,31
262.0, 16.7, 1.315, 75.1, 81.0,2019-08-03 01:00:00, 15.78,31
255.2, 15.8, 0.521, 81.0, 85.6,2019-08-03 02:00:00, 14.79,31
263.7, 14.8, 0.527, 85.6, 88.3,2019-08-03 03:00:00, 13.95,31
6.1, 14.0, 0.458, 88.3, 91.0,2019-08-03 04:00:00, 13.35,31
260.2, 13.4, 0.178, 91.0, 91.6,2019-08-03 05:00:00, 12.49,31
23.3, 12.5, 0.25, 91.6, 92.8,2019-08-03 06:00:00, 12.34,31
41.8, 12.3, 0.252999, 92.8, 84.3,2019-08-03 07:00:00, 14.37,31
35.9, 14.4, 0.463999, 84.3, 69.66,2019-08-03 08:00:00, 18.01,31
67.6, 18.0, 1.035, 69.7, 62.5,2019-08-03 09:00:00, 19.97,31
19.5, 20.0, 1.186, 62.5, 57.38,2019-08-03 10:00:00, 21.55,31
23.3, 21.6, 1.499, 57.4, 56.85,2019-08-03 11:00:00, 22.12,31
98.7, 22.1, 1.508, 56.9, 50.55,2019-08-03 12:00:00, 23.44,31
37.9, 23.4, 1.553, 50.6, 43.47,2019-08-03 13:00:00, 24.67,31
20.9, 24.7, 1.766, 43.5, 36.27,2019-08-03 14:00:00, 25.86,31
13.1, 25.9, 1.25, 36.3, 34.01,2019-08-03 15:00:00, 26.73,31
35.2, 26.7, 1.57, 34.0, 34.9,2019-08-03 16:00:00, 26.65,31
19.2, 26.7, 1.148, 34.9, 34.43,2019-08-03 17:00:00, 26.73,31
23.1, 26.7, 1.348, 34.4, 33.57,2019-08-03 18:00:00, 26.08,31
24.6, 26.1, 0.97, 33.6, 35.67,2019-08-03 19:00:00, 24.4,31
18.5, 24.4, 0.421999, 35.7, 44.46,2019-08-03 20:00:00, 22.36,31
282.7, 22.4, 0.521, 44.5, 58.44,2019-08-03 21:00:00, 19.25,31
255.4, 19.3, 0.351999, 58.4, 68.19,2019-08-03 22:00:00, 17.19,31
208.4, 17.2, 0.326, 68.2, 70.25,2019-08-03 23:00:00, 16.61,31
208.3, 16.6, 0.202998, 70.3, 75.6,2019-08-04 00:00:00, 15.47,31
317.1, 15.5, 0.116999, 75.6, 81.2,2019-08-04 01:00:00, 14.49,31
350.3, 14.5, 0.185, 81.2, 84.6,2019-08-04 02:00:00, 13.65,31
255.7, 13.7, 0.156, 84.6, 86.7,2019-08-04 03:00:00, 13.01,31
331.4, 13.0, 0.231998, 86.7, 86.3,2019-08-04 04:00:00, 12.64,31
39.3, 12.6, 0.023, 86.3, 87.7,2019-08-04 05:00:00, 12.12,31
339.6, 12.1, 0.185, 87.7, 88.0,2019-08-04 06:00:00, 12.16,31
12.7, 12.2, 0.321, 88.0, 76.46,2019-08-04 07:00:00, 15.25,31
177.8, 15.3, 0.479, 76.5, 58.43,2019-08-04 08:00:00, 19.6,31
159.7, 19.6, 0.633, 58.4, 48.61,2019-08-04 09:00:00, 21.71,31
21.3, 21.7, 0.889998, 48.6, 40.85,2019-08-04 10:00:00, 24.23,31
296.8, 24.2, 1.199, 40.9, 38.92,2019-08-04 11:00:00, 25.97,31
54.8, 26.0, 1.18, 38.9, 33.2,2019-08-04 12:00:00, 27.96,31
38.5, 28.0, 1.182, 33.2, 31.22,2019-08-04 13:00:00, 28.66,31
9.4, 28.7, 1.393, 31.2, 26.6,2019-08-04 14:00:00, 29.77,31
76.5, 29.8, 1.31, 26.6, 23.31,2019-08-04 15:00:00, 30.62,31
81.9, 30.6, 1.312, 23.3, 22.34,2019-08-04 16:00:00, 30.97,31
94.6, 31.0, 1.176, 22.3, 21.97,2019-08-04 17:00:00, 31.21,31
18.1, 31.2, 0.976, 22.0, 22.08,2019-08-04 18:00:00, 30.86,31
31.0, 30.9, 1.093, 22.1, 26.19,2019-08-04 19:00:00, 28.81,31
18.0, 28.8, 0.354999, 26.2, 34.68,2019-08-04 20:00:00, 25.53,31
312.5, 25.5, 0.317999, 34.7, 50.0,2019-08-04 21:00:00, 21.62,31
236.1, 21.6, 0.201, 50.0, 57.74,2019-08-04 22:00:00, 19.65,31
99.3, 19.7, 0.210998, 57.7, 68.39,2019-08-04 23:00:00, 18.21,31
13.4, 18.2, 0.446999, 68.4, 74.31,2019-08-05 00:00:00, 16.92,31
18.8, 16.9, 0.277999, 74.3, 79.51,2019-08-05 01:00:00, 15.79,31
9.6, 15.8, 0.128, 79.5, 82.2,2019-08-05 02:00:00, 14.87,31
340.3, 14.9, 0.122, 82.2, 80.6,2019-08-05 03:00:00, 14.2,31
274.6, 14.2, 0.101, 80.6, 81.6,2019-08-05 04:00:00, 13.52,31
345.2, 13.5, 0.087999, 81.6, 84.4,2019-08-05 05:00:00, 12.9,31
313.8, 12.9, 0.083999, 84.4, 82.6,2019-08-05 06:00:00, 12.94,31
285.2, 12.9, 0.156, 82.6, 72.59,2019-08-05 07:00:00, 15.64,31
32.7, 15.6, 0.462998, 72.6, 62.42,2019-08-05 08:00:00, 19.77,31
41.9, 19.8, 0.693, 62.4, 46.48,2019-08-05 09:00:00, 23.0,31
74.9, 23.0, 0.876999, 46.5, 36.42,2019-08-05 10:00:00, 25.52,31
41.0, 25.5, 1.387, 36.4, 34.39,2019-08-05 11:00:00, 27.49,31
100.9, 27.5, 1.448, 34.4, 34.3,2019-08-05 12:00:00, 28.51,31
30.9, 28.5, 1.113, 34.3, 34.25,2019-08-05 13:00:00, 29.56,31
50.7, 29.6, 1.232, 34.3, 29.6,2019-08-05 14:00:00, 30.61,31
94.3, 30.6, 1.861, 29.6, 32.54,2019-08-05 15:00:00, 30.51,31
134.7, 30.5, 1.962, 32.5, 33.66,2019-08-05 16:00:00, 30.43,31
127.9, 30.4, 1.889, 33.7, 35.44,2019-08-05 17:00:00, 29.9,31
142.6, 29.9, 1.845, 35.4, 35.71,2019-08-05 18:00:00, 29.45,31
156.0, 29.5, 1.244, 35.7, 38.54,2019-08-05 19:00:00, 28.45,31
153.7, 28.5, 0.602998, 38.5, 46.59,2019-08-05 20:00:00, 25.88,31
158.2, 25.9, 0.289, 46.6, 61.5,2019-08-05 21:00:00, 22.86,31
208.6, 22.9, 0.919, 61.5, 59.66,2019-08-05 22:00:00, 22.73,31
250.9, 22.7, 0.912, 59.7, 63.52,2019-08-05 23:00:00, 21.74,31
