time,TEMP_MEAN,HUMIDITY,week_of_year
2019-08-20 00:00:00,13.0, 63.8,34
2019-08-20 01:00:00,12.2, 65.5,34
2019-08-20 02:00:00,10.8, 70.5,34
2019-08-20 03:00:00,9.6, 76.1,34
2019-08-20 04:00:00,9.1, 81.1,34
2019-08-20 05:00:00,9.3, 79.5,34
2019-08-20 06:00:00,7.4, 85.6,34
2019-08-20 07:00:00,7.9, 87.5,34
2019-08-20 08:00:00,12.6, 70.1,34
2019-08-20 09:00:00,15.5, 57.5,34
2019-08-20 10:00:00,19.7, 41.6,34
2019-08-20 11:00:00,21.6, 36.2,34
2019-08-20 12:00:00,23.9, 31.9,34
2019-08-20 13:00:00,25.9, 28.1,34
2019-08-20 14:00:00,28.2, 23.1,34
2019-08-20 15:00:00,29.5, 18.1,34
2019-08-20 16:00:00,30.9, 14.5,34
2019-08-20 17:00:00,31.2, 16.9,34
2019-08-20 18:00:00,31.3, 15.4,34
2019-08-20 19:00:00,30.1, 18.3,34
2019-08-20 20:00:00,26.0, 26.7,34
2019-08-20 21:00:00,21.9, 35.2,34
2019-08-20 22:00:00,20.4, 38.2,34
2019-08-20 23:00:00,19.1, 43.5,34
2019-08-21 00:00:00,15.6, 54.1,34
2019-08-21 01:00:00,14.2, 59.4,34
2019-08-21 02:00:00,12.7, 64.3,34
2019-08-21 03:00:00,12.0, 68.0,34
2019-08-21 04:00:00,10.8, 74.5,34
2019-08-21 05:00:00,9.3, 80.6,34
2019-08-21 06:00:00,8.0, 83.7,34
2019-08-21 07:00:00,7.7, 85.5,34
2019-08-21 08:00:00,10.2, 78.4,34
2019-08-21 09:00:00,14.5, 62.8,34
2019-08-21 10:00:00,19.7, 42.6,34
2019-08-21 11:00:00,23.5, 31.4,34
2019-08-21 12:00:00,26.3, 27.2,34
2019-08-21 13:00:00,28.9, 23.7,34
2019-08-21 14:00:00,32.0, 18.8,34
2019-08-21 15:00:00,33.4, 15.9,34
2019-08-21 16:00:00,33.6, 15.6,34
2019-08-21 17:00:00,33.4, 15.3,34
2019-08-21 18:00:00,32.4, 16.0,34
2019-08-21 19:00:00,31.0, 18.8,34
2019-08-21 20:00:00,28.7, 24.1,34
2019-08-21 21:00:00,26.1, 28.6,34
2019-08-21 22:00:00,24.6, 34.4,34
2019-08-21 23:00:00,22.6, 41.5,34
2019-08-22 00:00:00,21.3, 46.1,34
2019-08-22 01:00:00,20.4, 49.6,34
2019-08-22 02:00:00,18.9, 54.6,34
2019-08-22 03:00:00,17.6, 58.8,34
2019-08-22 04:00:00,17.0, 63.5,34
2019-08-22 05:00:00,16.6, 68.2,34
2019-08-22 06:00:00,16.4, 69.2,34
2019-08-22 07:00:00,16.5, 70.7,34
2019-08-22 08:00:00,16.9, 68.7,34
2019-08-22 09:00:00,18.3, 62.1,34
2019-08-22 10:00:00,19.3, 56.5,34
2019-08-22 11:00:00,20.8, 48.4,34
2019-08-22 12:00:00,22.5, 40.5,34
2019-08-22 13:00:00,23.3, 39.6,34
2019-08-22 14:00:00,24.4, 34.9,34
2019-08-22 15:00:00,25.8, 29.7,34
2019-08-22 16:00:00,26.3, 27.6,34
2019-08-22 17:00:00,27.2, 24.5,34
2019-08-22 18:00:00,26.9, 24.9,34
2019-08-22 19:00:00,25.1, 27.7,34
2019-08-22 20:00:00,23.2, 31.0,34
2019-08-22 21:00:00,20.7, 35.9,34
2019-08-22 22:00:00,18.4, 44.2,34
2019-08-22 23:00:00,16.3, 56.6,34
2019-08-23 00:00:00,15.0, 62.8,34
2019-08-23 01:00:00,12.4, 72.1,34
2019-08-23 02:00:00,10.5, 78.1,34
2019-08-23 03:00:00,9.7, 80.5,34
2019-08-23 04:00:00,8.2, 85.1,34
2019-08-23 05:00:00,7.1, 90.9,34
2019-08-23 06:00:00,6.4, 96.5,34
2019-08-23 07:00:00,7.0, 95.8,34
2019-08-23 08:00:00,12.2, 71.0,34
2019-08-23 09:00:00,15.0, 64.9,34
2019-08-23 10:00:00,17.2, 63.0,34
2019-08-23 11:00:00,19.3, 56.4,34
2019-08-23 12:00:00,20.9, 55.4,34
2019-08-23 13:00:00,23.8, 44.6,34
2019-08-23 14:00:00,25.1, 37.4,34
2019-08-23 15:00:00,25.5, 33.7,34
2019-08-23 16:00:00,26.6, 28.5,34
2019-08-23 17:00:00,26.4, 25.6,34
2019-08-23 18:00:00,26.0, 24.8,34
2019-08-23 19:00:00,24.8, 28.4,34
2019-08-23 20:00:00,22.6, 41.9,34
2019-08-23 21:00:00,20.3, 54.4,34
2019-08-23 22:00:00,19.0, 58.9,34
2019-08-23 23:00:00,18.2, 61.6,34
2019-08-24 00:00:00,16.9, 65.8,34
2019-08-24 01:00:00,15.5, 71.1,34
2019-08-24 02:00:00,14.9, 74.1,34
2019-08-24 03:00:00,13.7, 78.5,34
2019-08-24 04:00:00,12.0, 84.8,34
2019-08-24 05:00:00,12.3, 85.7,34
2019-08-24 06:00:00,11.4, 95.5,34
2019-08-24 07:00:00,9.7, 100.0,34
2019-08-24 08:00:00,12.0, 93.0,34
2019-08-24 09:00:00,15.8, 73.3,34
2019-08-24 10:00:00,18.4, 61.1,34
2019-08-24 11:00:00,20.4, 53.5,34
2019-08-24 12:00:00,22.1, 46.3,34
2019-08-24 13:00:00,23.7, 39.1,34
2019-08-24 14:00:00,24.8, 32.6,34
2019-08-24 15:00:00,26.7, 21.5,34
2019-08-24 16:00:00,27.3, 16.2,34
2019-08-24 17:00:00,26.5, 19.4,34
2019-08-24 18:00:00,25.7, 21.5,34
2019-08-24 19:00:00,23.5, 27.3,34
2019-08-24 20:00:00,21.0, 33.0,34
2019-08-24 21:00:00,18.3, 39.8,34
2019-08-24 22:00:00,15.4, 48.7,34
2019-08-24 23:00:00,12.9, 57.3,34
2019-08-25 00:00:00,11.9, 62.1,34
