TempC,time,RH,week_of_year
3.932,2019-10-22 00:00:00,93.2,43
5.231,2019-10-22 01:00:00,90.9,43
3.801,2019-10-22 02:00:00,92.8,43
4.246,2019-10-22 03:00:00,94.4,43
4.584,2019-10-22 04:00:00,92.6,43
4.141,2019-10-22 05:00:00,93.8,43
4.454,2019-10-22 06:00:00,95.5,43
3.906,2019-10-22 07:00:00,94.4,43
3.354,2019-10-22 08:00:00,97.2,43
3.142,2019-10-22 09:00:00,98.1,43
3.195,2019-10-22 10:00:00,98.3,43
3.88,2019-10-22 11:00:00,95.8,43
5.539,2019-10-22 12:00:00,90.8,43
6.204,2019-10-22 13:00:00,75.6,43
7.368,2019-10-22 14:00:00,66.5,43
7.142,2019-10-22 15:00:00,59.4,43
6.56,2019-10-22 16:00:00,61.9,43
6.408,2019-10-22 17:00:00,60.4,43
5.539,2019-10-22 18:00:00,62.1,43
5.411,2019-10-22 19:00:00,68.1,43
3.67,2019-10-22 20:00:00,72.1,43
3.696,2019-10-22 21:00:00,78.7,43
3.564,2019-10-22 22:00:00,78.0,43
1.071,2019-10-22 23:00:00,84.9,43
0.273,2019-10-23 00:00:00,88.8,43
-1.814,2019-10-23 01:00:00,91.8,43
-2.654,2019-10-23 02:00:00,94.3,43
-2.421,2019-10-23 03:00:00,95.5,43
-1.756,2019-10-23 04:00:00,96.0,43
-1.613,2019-10-23 05:00:00,96.0,43
-1.128,2019-10-23 06:00:00,96.1,43
-0.76,2019-10-23 07:00:00,96.4,43
-0.423,2019-10-23 08:00:00,96.6,43
1.724,2019-10-23 09:00:00,95.2,43
3.301,2019-10-23 10:00:00,90.8,43
5.205,2019-10-23 11:00:00,83.7,43
5.821,2019-10-23 12:00:00,77.9,43
6.433,2019-10-23 13:00:00,73.8,43
6.357,2019-10-23 14:00:00,71.6,43
5.77,2019-10-23 15:00:00,74.0,43
5.36,2019-10-23 16:00:00,76.8,43
4.844,2019-10-23 17:00:00,77.0,43
4.298,2019-10-23 18:00:00,80.8,43
3.906,2019-10-23 19:00:00,84.0,43
2.664,2019-10-23 20:00:00,91.7,43
2.262,2019-10-23 21:00:00,95.2,43
1.994,2019-10-23 22:00:00,96.1,43
2.128,2019-10-23 23:00:00,96.9,43
2.155,2019-10-24 00:00:00,96.9,43
1.94,2019-10-24 01:00:00,97.2,43
2.021,2019-10-24 02:00:00,97.6,43
2.209,2019-10-24 03:00:00,97.6,43
2.343,2019-10-24 04:00:00,97.7,43
2.69,2019-10-24 05:00:00,97.6,43
2.956,2019-10-24 06:00:00,97.6,43
3.142,2019-10-24 07:00:00,97.9,43
3.38,2019-10-24 08:00:00,97.9,43
3.485,2019-10-24 09:00:00,98.1,43
3.722,2019-10-24 10:00:00,98.2,43
