ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
None, 532.0, 154.0, None, None,2019-11-05 00:00:00, -0.2, None, 62.0, None,45
None, 532.0, 154.0, None, None,2019-11-05 01:00:00, -0.2, None, 62.0, None,45
None, 532.0, 155.0, None, None,2019-11-05 02:00:00, -0.1, None, 62.0, None,45
None, 532.0, 155.0, None, None,2019-11-05 03:00:00, -0.1, None, 62.0, None,45
None, 532.0, 155.0, None, None,2019-11-05 04:00:00, -0.2, None, 62.0, None,45
None, 533.0, 155.0, None, None,2019-11-05 05:00:00, -0.4, None, 62.0, None,45
None, 533.0, 155.0, None, None,2019-11-05 06:00:00, -1.2, None, 62.0, None,45
None, 533.0, 156.0, None, None,2019-11-05 07:00:00, -3.5, None, 62.0, None,45
None, 533.0, 156.0, None, None,2019-11-05 08:00:00, -4.4, None, 62.0, None,45
None, 533.0, 156.0, None, None,2019-11-05 09:00:00, -6.5, None, 62.0, None,45
None, 533.0, 156.0, None, None,2019-11-05 10:00:00, -8.4, None, 62.0, None,45
None, 532.0, 156.0, None, None,2019-11-05 11:00:00, -9.9, None, 62.0, None,45
None, 533.0, 156.0, None, None,2019-11-05 12:00:00, -10.6, None, 62.0, None,45
None, 532.0, 156.0, None, None,2019-11-05 13:00:00, -10.7, None, 62.0, None,45
None, 532.0, 155.0, None, None,2019-11-05 14:00:00, -10.9, None, 62.0, None,45
None, 533.0, 155.0, None, None,2019-11-05 15:00:00, -11.3, None, 62.0, None,45
None, 531.0, 155.0, 588.0, None,2019-11-05 16:00:00, -11.6, None, 62.0, None,45
None, 531.0, 155.0, None, None,2019-11-05 17:00:00, -11.3, None, 62.0, None,45
None, 532.0, 155.0, None, None,2019-11-05 18:00:00, -10.9, None, 62.0, None,45
None, 532.0, 155.0, None, None,2019-11-05 19:00:00, -10.8, None, 61.0, None,45
None, 532.0, 155.0, None, None,2019-11-05 20:00:00, -10.6, None, 61.0, None,45
None, 530.0, 155.0, None, None,2019-11-05 21:00:00, -10.3, None, 61.0, None,45
None, 532.0, 155.0, None, None,2019-11-05 22:00:00, -10.3, None, 61.0, None,45
None, 533.0, 155.0, None, None,2019-11-05 23:00:00, -11.5, None, 61.0, None,45
None, 533.0, 155.0, None, None,2019-11-06 00:00:00, -12.1, None, 61.0, None,45
None, 533.0, 155.0, None, None,2019-11-06 01:00:00, -12.9, None, 61.0, None,45
None, 533.0, 155.0, None, None,2019-11-06 02:00:00, -13.3, None, 61.0, None,45
None, 534.0, 155.0, None, None,2019-11-06 03:00:00, -14.3, None, 61.0, None,45
None, 533.0, 155.0, None, None,2019-11-06 04:00:00, -14.7, None, 61.0, None,45
None, 534.0, 155.0, None, None,2019-11-06 05:00:00, -15.9, None, 60.0, None,45
None, 534.0, 155.0, None, None,2019-11-06 06:00:00, -16.2, None, 60.0, None,45
None, 534.0, 155.0, None, None,2019-11-06 07:00:00, -16.8, None, 60.0, None,45
None, 534.0, 155.0, None, None,2019-11-06 08:00:00, -17.0, None, 60.0, None,45
None, 534.0, 155.0, None, None,2019-11-06 09:00:00, -16.6, None, 60.0, None,45
None, 534.0, 155.0, None, None,2019-11-06 10:00:00, -16.4, None, 60.0, None,45
None, 533.0, 155.0, None, None,2019-11-06 11:00:00, -15.9, None, 60.0, None,45
None, 534.0, 155.0, None, None,2019-11-06 12:00:00, -15.0, None, 60.0, None,45
None, 534.0, 155.0, None, None,2019-11-06 13:00:00, -15.1, None, 60.0, None,45
None, 534.0, 155.0, None, None,2019-11-06 14:00:00, -15.1, None, 60.0, None,45
None, 534.0, 155.0, None, None,2019-11-06 15:00:00, -14.8, None, 60.0, None,45
