ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
None,445.0, 13.0, None, None,2019-11-26 00:00:00,-1.6, None, 7.0, None,48
None,445.0, 9.0, None, None,2019-11-26 01:00:00,-2.0, None, 7.0, None,48
None,445.0, 21.0, None, None,2019-11-26 02:00:00,-2.5, None, 7.0, None,48
None,444.0, 29.0, None, None,2019-11-26 03:00:00,-2.7, None, 8.0, None,48
None,444.0, 10.0, None, None,2019-11-26 04:00:00,-2.8, None, 7.0, None,48
None,444.0, 3.0, None, None,2019-11-26 05:00:00,-2.9, None, 8.0, None,48
None,444.0, 0.0, None, None,2019-11-26 06:00:00,-2.8, None, 8.0, None,48
None,444.0, 2.0, None, None,2019-11-26 07:00:00,-2.8, None, 8.0, None,48
None,445.0, None, None, None,2019-11-26 08:00:00,-2.8, None, 8.0, None,48
None,445.0, 8.0, None, None,2019-11-26 09:00:00,-2.8, None, 8.0, None,48
None,444.0, 3.0, None, None,2019-11-26 10:00:00,-2.7, None, 8.0, None,48
None,445.0, None, None, None,2019-11-26 11:00:00,-2.8, None, 8.0, None,48
None,446.0, None, None, None,2019-11-26 12:00:00,-3.0, None, 9.0, None,48
None,446.0, None, None, None,2019-11-26 13:00:00,-3.4, None, 8.0, None,48
None,446.0, None, None, None,2019-11-26 14:00:00,-3.7, None, 9.0, None,48
None,446.0, None, None, None,2019-11-26 15:00:00,-3.5, None, 8.0, None,48
None,446.0, None, None, None,2019-11-26 16:00:00,-3.4, None, 9.0, None,48
None,446.0, None, None, None,2019-11-26 17:00:00,-3.0, None, 8.0, None,48
None,447.0, None, None, None,2019-11-26 18:00:00,-3.7, None, 10.0, None,48
None,447.0, None, None, None,2019-11-26 19:00:00,-2.9, None, 10.0, None,48
None,448.0, None, None, None,2019-11-26 20:00:00,-2.0, None, 10.0, None,48
None,447.0, None, None, None,2019-11-26 21:00:00,0.0, None, 9.0, None,48
None,447.0, None, None, None,2019-11-26 22:00:00,-0.6, None, 10.0, None,48
None,447.0, 10.0, None, None,2019-11-26 23:00:00,-2.0, None, 11.0, None,48
None,447.0, None, None, None,2019-11-27 00:00:00,-2.6, None, 11.0, None,48
None,447.0, None, None, None,2019-11-27 01:00:00,-2.9, None, 10.0, None,48
None,447.0, None, None, None,2019-11-27 02:00:00,-3.1, None, 11.0, None,48
None,446.0, None, None, None,2019-11-27 03:00:00,-3.4, None, 11.0, None,48
None,447.0, None, None, None,2019-11-27 04:00:00,-3.6, None, 11.0, None,48
None,447.0, None, None, None,2019-11-27 05:00:00,-4.0, None, 11.0, None,48
None,447.0, 1.0, None, None,2019-11-27 06:00:00,-4.3, None, 11.0, None,48
None,447.0, 5.0, None, None,2019-11-27 07:00:00,-4.0, None, 11.0, None,48
None,447.0, 9.0, None, None,2019-11-27 08:00:00,-4.0, None, 10.0, None,48
None,447.0, 10.0, None, None,2019-11-27 09:00:00,-3.9, None, 11.0, None,48
None,447.0, 10.0, None, None,2019-11-27 10:00:00,-3.9, None, 11.0, None,48
None,447.0, 11.0, None, None,2019-11-27 11:00:00,-4.1, None, 11.0, None,48
None,446.0, 10.0, None, None,2019-11-27 12:00:00,-3.8, None, 11.0, None,48
None,447.0, 11.0, None, None,2019-11-27 13:00:00,-3.8, None, 11.0, None,48
None,446.0, 11.0, None, None,2019-11-27 14:00:00,-3.6, None, 11.0, None,48
None,447.0, 11.0, None, None,2019-11-27 15:00:00,-3.6, None, 11.0, None,48
None,447.0, 10.0, None, None,2019-11-27 16:00:00,-3.5, None, 11.0, None,48
None,447.0, 10.0, None, None,2019-11-27 17:00:00,-3.6, None, 11.0, None,48
None,446.0, 10.0, None, None,2019-11-27 18:00:00,-2.7, None, 10.0, None,48
None,448.0, None, None, None,2019-11-27 19:00:00,-2.4, None, 10.0, None,48
None,447.0, None, None, None,2019-11-27 20:00:00,-2.3, None, 10.0, None,48
None,446.0, None, None, None,2019-11-27 21:00:00,-2.1, None, 9.0, None,48
None,447.0, None, None, None,2019-11-27 22:00:00,-2.8, None, 10.0, None,48
None,447.0, None, None, None,2019-11-27 23:00:00,-3.8, None, 10.0, None,48
