SolarRadiation,AirTemperature,Precipitation,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
0.0,3.6, 0.0,0.0,3.8, 0.002,2019-12-17 00:00:00,252.0,100.0,51
None,3.6, None,0.0,4.1, None,2019-12-17 00:15:00,303.0,100.0,51
None,3.5, None,0.0,5.3, None,2019-12-17 00:30:00,299.0,100.0,51
None,3.6, None,0.0,4.0, None,2019-12-17 00:45:00,285.0,100.0,51
0.0,3.6, 0.0,0.0,3.2, 0.002,2019-12-17 01:00:00,288.0,100.0,51
None,3.6, None,0.0,4.0, None,2019-12-17 01:15:00,349.0,100.0,51
None,3.6, None,0.0,4.7, None,2019-12-17 01:30:00,284.0,100.0,51
None,3.6, None,0.0,4.5, None,2019-12-17 01:45:00,318.0,100.0,51
0.0,3.6, 0.0,0.0,4.3, 0.002,2019-12-17 02:00:00,244.0,100.0,51
None,3.6, None,0.0,2.4, None,2019-12-17 02:15:00,220.0,100.0,51
None,3.6, None,0.0,5.0, None,2019-12-17 02:30:00,80.0,100.0,51
None,3.6, None,0.0,4.3, None,2019-12-17 02:45:00,70.0,100.0,51
0.0,3.7, 1.0,0.0,4.4, 0.002,2019-12-17 03:00:00,31.0,100.0,51
None,3.7, None,0.0,4.6, None,2019-12-17 03:15:00,12.0,100.0,51
None,3.6, None,0.0,3.2, None,2019-12-17 03:30:00,292.0,100.0,51
None,3.6, None,0.0,2.9, None,2019-12-17 03:45:00,226.0,100.0,51
0.0,3.5, -1.0,0.0,4.2, 0.001,2019-12-17 04:00:00,81.0,100.0,51
None,3.5, None,0.0,3.2, None,2019-12-17 04:15:00,280.0,100.0,51
None,3.5, None,0.0,2.1, None,2019-12-17 04:30:00,305.0,100.0,51
None,3.3, None,0.0,2.4, None,2019-12-17 04:45:00,300.0,100.0,51
0.0,3.2, 1.0,0.0,2.7, 0.0,2019-12-17 05:00:00,330.0,100.0,51
None,3.1, None,0.0,1.9, None,2019-12-17 05:15:00,341.0,100.0,51
None,3.0, None,0.0,1.8, None,2019-12-17 05:30:00,332.0,100.0,51
None,3.0, None,0.254,1.0, None,2019-12-17 05:45:00,339.0,100.0,51
0.0,3.0, 0.0,0.0,2.0, 0.001,2019-12-17 06:00:00,309.0,100.0,51
None,3.1, None,0.0,3.0, None,2019-12-17 06:15:00,318.0,100.0,51
None,3.1, None,0.0,1.7, None,2019-12-17 06:30:00,326.0,100.0,51
None,3.0, None,0.0,1.2, None,2019-12-17 06:45:00,34.0,100.0,51
0.0,3.0, 0.0,0.0,2.5, 0.0,2019-12-17 07:00:00,275.0,100.0,51
None,3.0, None,0.0,1.3, None,2019-12-17 07:15:00,161.0,100.0,51
None,2.9, None,0.0,0.8, None,2019-12-17 07:30:00,118.0,100.0,51
None,2.9, None,0.0,1.3, None,2019-12-17 07:45:00,220.0,100.0,51
0.0,2.8, -1.0,0.0,1.3, 0.0,2019-12-17 08:00:00,76.0,100.0,51
None,2.6, None,0.0,1.3, None,2019-12-17 08:15:00,67.0,100.0,51
None,2.5, None,0.0,2.1, None,2019-12-17 08:30:00,93.0,100.0,51
None,2.5, None,0.0,1.3, None,2019-12-17 08:45:00,30.0,100.0,51
9.0,2.7, 0.0,0.0,1.5, 0.002,2019-12-17 09:00:00,37.0,100.0,51
None,3.0, None,0.0,2.2, None,2019-12-17 09:15:00,85.0,100.0,51
None,3.3, None,0.0,2.3, None,2019-12-17 09:30:00,97.0,100.0,51
None,3.7, None,0.0,1.6, None,2019-12-17 09:45:00,95.0,100.0,51
26.0,3.8, 1.0,0.0,1.1, 0.001,2019-12-17 10:00:00,346.0,100.0,51
None,3.8, None,0.0,2.5, None,2019-12-17 10:15:00,351.0,100.0,51
None,4.0, None,0.0,1.7, None,2019-12-17 10:30:00,34.0,100.0,51
None,4.2, None,0.0,1.7, None,2019-12-17 10:45:00,59.0,100.0,51
37.0,4.5, -1.0,0.0,2.6, 0.003,2019-12-17 11:00:00,358.0,100.0,51
None,4.8, None,0.0,2.3, None,2019-12-17 11:15:00,5.0,100.0,51
None,5.2, None,0.254,1.9, None,2019-12-17 11:30:00,42.0,100.0,51
None,5.2, None,0.0,2.0, None,2019-12-17 11:45:00,127.0,100.0,51
62.0,5.4, 1.0,0.0,1.7, 0.0,2019-12-17 12:00:00,7.0,100.0,51
None,5.7, None,0.0,1.2, None,2019-12-17 12:15:00,58.0,100.0,51
None,5.9, None,0.0,2.3, None,2019-12-17 12:30:00,133.0,100.0,51
None,5.8, None,0.0,1.8, None,2019-12-17 12:45:00,7.0,100.0,51
78.0,5.6, 0.0,0.0,1.5, 0.0,2019-12-17 13:00:00,81.0,100.0,51
None,5.6, None,0.0,2.9, None,2019-12-17 13:15:00,152.0,100.0,51
None,5.5, None,0.0,4.9, None,2019-12-17 13:30:00,146.0,100.0,51
None,5.5, None,0.0,3.3, None,2019-12-17 13:45:00,152.0,100.0,51
62.0,5.5, 0.0,0.0,1.8, 0.0,2019-12-17 14:00:00,155.0,100.0,51
None,5.3, None,0.0,2.3, None,2019-12-17 14:15:00,141.0,100.0,51
None,5.2, None,0.0,2.9, None,2019-12-17 14:30:00,144.0,100.0,51
None,4.9, None,0.0,2.5, None,2019-12-17 14:45:00,147.0,100.0,51
49.0,4.8, 1.0,0.0,1.3, -0.001,2019-12-17 15:00:00,147.0,100.0,51
None,4.7, None,0.0,1.7, None,2019-12-17 15:15:00,143.0,100.0,51
None,4.5, None,0.0,1.5, None,2019-12-17 15:30:00,244.0,100.0,51
None,4.2, None,0.0,2.0, None,2019-12-17 15:45:00,293.0,100.0,51
29.0,4.0, -1.0,0.0,2.7, -0.001,2019-12-17 16:00:00,159.0,100.0,51
