AirTemperature,Precipitation,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
-5.4, 0.0,0.0,6.9, 0.324,2019-02-12 00:00:00,271.0,92.0,7
-5.4, None,0.0,6.9, None,2019-02-12 00:15:00,292.0,92.0,7
-5.5, None,0.0,10.7, None,2019-02-12 00:30:00,282.0,92.0,7
-5.3, None,0.0,8.1, None,2019-02-12 00:45:00,283.0,92.0,7
-5.3, 0.0,0.0,4.1, 0.324,2019-02-12 01:00:00,292.0,92.0,7
-5.4, None,0.0,7.7, None,2019-02-12 01:15:00,287.0,92.0,7
-5.3, None,0.0,9.2, None,2019-02-12 01:30:00,286.0,92.0,7
-5.3, None,0.0,8.5, None,2019-02-12 01:45:00,274.0,92.0,7
-5.3, 0.0,0.0,9.6, 0.328,2019-02-12 02:00:00,285.0,92.0,7
-5.3, None,0.0,8.0, None,2019-02-12 02:15:00,276.0,93.0,7
-5.3, None,0.0,7.0, None,2019-02-12 02:30:00,289.0,93.0,7
-5.2, None,0.0,6.0, None,2019-02-12 02:45:00,263.0,93.0,7
-5.1, 0.0,0.0,3.1, 0.326,2019-02-12 03:00:00,183.0,93.0,7
-5.2, None,0.0,5.8, None,2019-02-12 03:15:00,273.0,93.0,7
-5.2, None,0.0,7.9, None,2019-02-12 03:30:00,285.0,93.0,7
-5.2, None,0.0,6.6, None,2019-02-12 03:45:00,276.0,93.0,7
-5.2, 1.0,0.0,7.7, 0.332,2019-02-12 04:00:00,265.0,93.0,7
-5.1, None,0.0,6.8, None,2019-02-12 04:15:00,278.0,93.0,7
-5.1, None,0.0,6.9, None,2019-02-12 04:30:00,264.0,93.0,7
-5.1, None,0.0,8.8, None,2019-02-12 04:45:00,293.0,93.0,7
-5.1, 1.0,0.0,7.8, 0.346,2019-02-12 05:00:00,295.0,93.0,7
-5.1, None,0.0,6.4, None,2019-02-12 05:15:00,304.0,93.0,7
-5.1, None,0.0,7.3, None,2019-02-12 05:30:00,279.0,93.0,7
-5.1, None,0.0,7.1, None,2019-02-12 05:45:00,275.0,93.0,7
-5.1, 0.0,0.0,8.5, 0.364,2019-02-12 06:00:00,286.0,93.0,7
-5.1, None,0.0,7.8, None,2019-02-12 06:15:00,300.0,93.0,7
-5.1, None,0.0,7.2, None,2019-02-12 06:30:00,286.0,93.0,7
-5.1, None,0.0,5.4, None,2019-02-12 06:45:00,299.0,93.0,7
-4.9, 1.0,0.0,9.3, 0.361,2019-02-12 07:00:00,315.0,93.0,7
-5.0, None,0.0,8.4, None,2019-02-12 07:15:00,302.0,93.0,7
-4.9, None,0.0,6.9, None,2019-02-12 07:30:00,304.0,93.0,7
-5.0, None,0.0,6.3, None,2019-02-12 07:45:00,278.0,93.0,7
-5.0, 1.0,0.0,7.3, 0.36,2019-02-12 08:00:00,272.0,93.0,7
-4.9, None,0.0,5.8, None,2019-02-12 08:15:00,294.0,93.0,7
-4.6, None,0.0,7.5, None,2019-02-12 08:30:00,7.0,92.0,7
-4.4, None,0.0,8.6, None,2019-02-12 08:45:00,320.0,92.0,7
-4.2, 0.0,0.0,6.6, 0.376,2019-02-12 09:00:00,341.0,92.0,7
-4.1, None,0.0,7.8, None,2019-02-12 09:15:00,358.0,92.0,7
-4.0, None,0.0,9.0, None,2019-02-12 09:30:00,0.0,92.0,7
-4.0, None,0.0,9.1, None,2019-02-12 09:45:00,357.0,92.0,7
-3.8, 1.0,0.0,5.3, 0.332,2019-02-12 10:00:00,47.0,92.0,7
-3.7, None,0.0,6.1, None,2019-02-12 10:15:00,268.0,92.0,7
-3.7, None,0.0,3.1, None,2019-02-12 10:30:00,239.0,93.0,7
-3.2, None,0.0,2.2, None,2019-02-12 10:45:00,209.0,93.0,7
-3.1, 0.0,0.0,4.4, 0.347,2019-02-12 11:00:00,250.0,92.0,7
-2.7, None,0.0,4.4, None,2019-02-12 11:15:00,236.0,92.0,7
-2.5, None,0.0,5.4, None,2019-02-12 11:30:00,259.0,92.0,7
-2.4, None,0.0,5.0, None,2019-02-12 11:45:00,259.0,92.0,7
-2.1, 0.0,0.0,4.5, 0.354,2019-02-12 12:00:00,240.0,92.0,7
-1.7, None,0.0,3.8, None,2019-02-12 12:15:00,206.0,92.0,7
-1.3, None,0.0,4.1, None,2019-02-12 12:30:00,233.0,92.0,7
-1.5, None,0.0,4.7, None,2019-02-12 12:45:00,236.0,92.0,7
-1.1, 1.0,0.0,4.0, 0.357,2019-02-12 13:00:00,228.0,92.0,7
-0.3, None,0.0,3.0, None,2019-02-12 13:15:00,230.0,92.0,7
-0.4, None,0.0,3.2, None,2019-02-12 13:30:00,222.0,92.0,7
0.0, None,0.0,2.2, None,2019-02-12 13:45:00,231.0,93.0,7
0.0, 0.0,0.0,2.1, 0.356,2019-02-12 14:00:00,81.0,93.0,7
-0.2, None,0.0,3.0, None,2019-02-12 14:15:00,162.0,94.0,7
-0.6, None,0.0,3.5, None,2019-02-12 14:30:00,95.0,94.0,7
-0.3, None,0.0,3.3, None,2019-02-12 14:45:00,193.0,95.0,7
-0.4, 0.0,0.0,4.8, 0.364,2019-02-12 15:00:00,211.0,95.0,7
-0.8, None,0.0,3.2, None,2019-02-12 15:15:00,117.0,95.0,7
-0.9, None,0.0,7.8, None,2019-02-12 15:30:00,170.0,96.0,7
-1.2, None,0.0,6.1, None,2019-02-12 15:45:00,123.0,95.0,7
-1.2, -1.0,0.0,7.6, 0.369,2019-02-12 16:00:00,158.0,96.0,7
-1.3, None,0.0,10.5, None,2019-02-12 16:15:00,133.0,96.0,7
-1.2, None,0.0,5.3, None,2019-02-12 16:30:00,91.0,96.0,7
-0.7, None,0.0,6.4, None,2019-02-12 16:45:00,66.0,96.0,7
-1.2, 1.0,0.0,4.2, 0.368,2019-02-12 17:00:00,259.0,96.0,7
-2.0, None,0.0,3.8, None,2019-02-12 17:15:00,193.0,96.0,7
-2.5, None,0.0,3.9, None,2019-02-12 17:30:00,192.0,96.0,7
-2.8, None,0.254,4.0, None,2019-02-12 17:45:00,144.0,96.0,7
-2.9, 0.0,0.0,1.2, 0.368,2019-02-12 18:00:00,212.0,95.0,7
-3.1, None,0.0,1.7, None,2019-02-12 18:15:00,205.0,95.0,7
-3.3, None,0.0,2.1, None,2019-02-12 18:30:00,341.0,95.0,7
-3.4, None,0.0,2.8, None,2019-02-12 18:45:00,218.0,95.0,7
-3.4, 0.0,0.0,2.3, 0.364,2019-02-12 19:00:00,127.0,95.0,7
-3.3, None,0.0,1.1, None,2019-02-12 19:15:00,47.0,95.0,7
-3.2, None,0.0,2.2, None,2019-02-12 19:30:00,88.0,95.0,7
-2.6, None,0.0,7.6, None,2019-02-12 19:45:00,284.0,96.0,7
-2.6, 0.0,0.0,3.2, 0.356,2019-02-12 20:00:00,198.0,96.0,7
-3.1, None,0.0,2.4, None,2019-02-12 20:15:00,45.0,95.0,7
-3.0, None,0.0,3.4, None,2019-02-12 20:30:00,79.0,95.0,7
-3.1, None,0.0,2.5, None,2019-02-12 20:45:00,114.0,95.0,7
-3.0, 0.0,0.0,3.1, 0.357,2019-02-12 21:00:00,335.0,95.0,7
-3.2, None,0.0,2.9, None,2019-02-12 21:15:00,113.0,95.0,7
-2.9, None,0.0,3.4, None,2019-02-12 21:30:00,36.0,95.0,7
-2.7, None,0.0,0.9, None,2019-02-12 21:45:00,73.0,96.0,7
-2.7, 1.0,0.0,2.0, 0.335,2019-02-12 22:00:00,117.0,96.0,7
-2.5, None,0.0,2.5, None,2019-02-12 22:15:00,57.0,96.0,7
-2.4, None,0.0,2.5, None,2019-02-12 22:30:00,5.0,96.0,7
-2.7, None,0.0,3.4, None,2019-02-12 22:45:00,42.0,96.0,7
-2.6, 0.0,0.0,3.6, 0.367,2019-02-12 23:00:00,87.0,96.0,7
-2.7, None,0.0,4.3, None,2019-02-12 23:15:00,81.0,96.0,7
-3.0, None,0.0,3.0, None,2019-02-12 23:30:00,83.0,95.0,7
-3.0, None,0.0,3.4, None,2019-02-12 23:45:00,33.0,95.0,7
-2.8, 1.0,0.0,2.7, 0.354,2019-02-13 00:00:00,92.0,96.0,7
-2.8, None,0.0,1.7, None,2019-02-13 00:15:00,43.0,96.0,7
-2.5, None,0.0,3.8, None,2019-02-13 00:30:00,54.0,96.0,7
-2.5, None,0.0,2.9, None,2019-02-13 00:45:00,85.0,96.0,7
-2.5, 1.0,0.0,3.8, 0.393,2019-02-13 01:00:00,270.0,96.0,7
-2.7, None,0.0,1.3, None,2019-02-13 01:15:00,245.0,96.0,7
-2.6, None,0.0,2.8, None,2019-02-13 01:30:00,12.0,96.0,7
-2.7, None,0.0,0.0, None,2019-02-13 01:45:00,288.0,96.0,7
-3.0, 0.0,0.0,0.1, 3.091,2019-02-13 02:00:00,213.0,96.0,7
-3.1, None,0.0,0.0, None,2019-02-13 02:15:00,69.0,95.0,7
-3.0, None,0.0,0.8, None,2019-02-13 02:30:00,292.0,95.0,7
